classificacao,sentimento_manual,comentario,justificativa
0,0,"I met someone totally unexpectedly, in a random place and situation, after deciding to be alone for 5yrs. Got on so well, linked with everything, could open up again but then I suddenly lost my trust and ended it… I miss him, miss his presence, miss his laugh, miss his accent, miss his caring & thoughtful nature, I just miss him wholey…  this song tells it all but, something is stopping me. I’ve ignored my gut feelings in the past and got into deep trouble. I promised myself I wouldn’t ignore them again but boy is this hard",Expresses both love for the song and regret/struggle with a past relationship.
-1,1,"Tbh the pitch is so high it made me cry,how good it is",Expresses distress and dislike due to the high pitch.
1,1,"This song hits so deep – every note, every word feels like it’s made just for me. Billie’s voice is pure emotion",Expresses a profound and personal connection with the song and Billie's vocal performance.
1,1,"This song should be #1. This is a mixed emotions good feeling, memory feeling, exciting feeling, GREAT song and crazy lyrics today make you SMILE. I been playing it for the ENTIRE day without getting tired of it😮",Expresses strong enjoyment and enthusiasm for the song.
1,1,"So emotional, es berührt mich bis unter meine Haut ❤",Expresses deep emotional connection and affection.
-1,0,Why do these birds have better friendship vibes than I do? 😩,Expresses self-deprecating feelings of loneliness and inadequacy.
0,0,This song is same beat to the “bleeding love” song,Points out similarity to another song while offering no positive or negative judgement.
1,1,Love this song.  Beautiful lyrics and melody.  That hook is just sick.    Billie and Finneas are really brilliant.,"Expresses strong appreciation for the song's lyrics, melody, and the artists' talent."
0,0,Who's here because of Rick Beato 😅,"Reference to Rick Beato indicates a reason for being there, but doesn't convey strong sentiment."
1,1,Goosebumps in the finish. (Till that day that I die) so high and emotional like whole song❤️,Expresses intense positive emotion and connection to the song.
-1,0,Melody is same as croatian singer Oliver Dragojevic,Compares the song unfavorably to a well-regarded artist.
1,1,So beutiful ❤❤❤ amazing vocal 🤩🤩🤩,Expresses strong positive feelings and excitement.
0,1,This song is my story with my twin flame and I. I know he doesn’t recognize me but if only he knows how much I love him. He will be the only person I can ever love so deeply in every lifetime. 😢 I knew him in another life but he sounds so surprised. If only he knows I love him unconditionally.,"Expresses intense, personal love alongside a sense of unrequited longing and a belief in past lives."
1,1,"one of my favs, her lyricism is unreal and the voice!!!! i did remix it and would love some feedback, its on a more upbeat poppy beat. under my billie playlist :)",Expresses strong love and appreciation for the song's lyrics and vocal quality.
1,1,This song makes me goosebumps  everything is so perfect the voice the chorus the band everything lovely perfect,Expresses intense positive feelings and describes the song as perfect.
1,0,"Hello, everyone! I create enjoyable 80s vibes and mood/chill songs on my channel that's perfect for working, studying, workout or just chilling out. May my song content can entertain everyone's here! 🙏😇",Expresses a desire to entertain and create enjoyable music.
0,1,"Her voice is so airy and light, but these lyrics hit hard.",Contrasting praise for vocal quality with criticism of the lyrical content.
-1,-1,"By the way, the melody of this song is a plagiat and copy of Oliver Dragojevic ""U Ljubav vjere nemam""! So Byllie Eilish is copying the croatian singer Oliver Dragojevic😂","Accuses Billie Eilish of plagiarism, expressing strong disapproval."
-1,0,I had to come here as Spotify don't show lyrics to me 😭😡,Expresses frustration and anger about the lack of lyrics on Spotify.
0,0,Why this song it's so Reference to Last Christmas Song By George Michael (Wham bang i think?) like if you sing this whenever the beat follows holy crap,Expresses a positive association with a specific song while also indicating a critical comparison.
1,1,"So far...this is Billie's best song, in my opinion. Fantastic melody, beautiful lyrics, and a sensational voice. I love it. 😍",Expresses strong positive feelings and praise for the song's qualities.
1,1,Dès la 1er phrase j'étais déjà en amour avec cette chanson ❤ le beat est insane et Billie a tellement une voix sensuelle,Expresses immediate and intense love for the song.
1,1,I love the backing vocal 2:53  I fell for it 💝,Expresses fondness for a specific part of the song.
1,1,This beat. Absolutely fkn spot on.,Expresses strong approval and excitement about the beat.
0,0,"After become 30's, now I understand why older people in 2000's told that emo lyrics was weird",Expresses a newfound understanding of a past criticism.
1,1,Similar chorus beat to “bleeding love” .. which i loved .. n caught me to this song ! Right away..,Expresses immediate enjoyment and comparison to a previously loved song.
0,0,"if you like this you might like The Sundays... the chorus is the same sound. Harriet Wheeler, 15 yrs ago, pretty British voice. much beloved",Praise for the chorus combined with a comparison that suggests similarity and a potentially dated sound.
1,1,Lyrics💙🥹🥺,Expresses strong positive emotion (love) regarding the lyrics.
-1,0,The same melody like Bleeding Love by Lewis Leona,Compares the song negatively to a well-known and generally liked song.
1,0,This song just has a nostalgic feeling,"Evokes a pleasant, sentimental memory."
1,1,Seeing my cousin and her daughter dancing to the chorus of this song make me f*cking emotional 😭,Expresses strong positive emotion and enjoyment through tears.
1,0,feels very nostalgic,Evokes a feeling of fondness and remembrance.
0,1,"I looked this up because I heard the chorus in videos and I was unprepared.  The opening about wanting to love you until we are dead...like super dead...rotting, filthy maggoty corpses dead, followed by the pretty, breathy-sweet chorus is a rather interesting contrast.",Juxtaposes disturbing imagery with a pleasant chorus.
1,1,"Great vocals on this, shows she can do it all - reminds me of Harriet Wheeler from The Sundays in places. Dreamlike",Expresses admiration for the vocals and a positive comparison to another artist.
1,1,Gods i am ADDICTED to that high pitched singing or sound that starts at 2:53 idk what it is about it that scratches my brain just right.,"Expresses a strong, almost obsessive, enjoyment of a specific part of the song."
0,1,WHAT IS YOUR FAV LYRICS,Asks a question; lacks clear sentiment.
1,1,Finally a upbeat song😂❤,Expresses joyful enthusiasm and affection.
0,1,lagu ini membuat vibes habis lebaran 1446 H/2025 M,Expresses a positive vibe related to a specific religious event (Eid al-Adha) while also implying a slight criticism of the song itself.
1,1,its sso breezy and summery and cozy contrast to the lyrics like a summer punch by the ocean,"Expresses feelings of warmth, relaxation, and enjoyment."
1,1,I don’t know what emotion I’m feeling right now but I love it-,"Expresses a strong, positive feeling about the song."
-1,-1,Imo 4:22 is the worst part,Expresses a strong negative opinion about a specific part of the song.
1,1,"I cannot believe that this song is made by billie, this song is completely different from her another song, this song feels so fresh and relaxable even tho the lyrics is actually sad. But anyway I love this song so much 😍",Expresses surprise and strong positive feelings despite acknowledging sad lyrics.
1,1,I would sing this to let all my emotions go away😀,Expresses a desire for emotional release through music.
1,1,This song vibe just like back to 90’s love songs.. love it,Expresses enjoyment of the song's nostalgic 90s vibe.
0,0,oliver dragojević typa beat,"A short, nonsensical comment with no discernible sentiment."
1,1,hey Miss Big T-Shirt - I can not believe u didnt like that song at all ;D - i got to say its really good - not only the Voice and the text - but the beat is allmost breakdance likeish - could make a  synthesizer version of it and it would fitt perfect with a little - e-bass line ;) - actually it is the counterpart of Fortnite ^^ - also it is the best song at this point - not sure if there was god telling u something about urself - i hope ur doing well in ur life - much love!,Expresses strong enjoyment and appreciation for the song.
0,0,"a song where you can vibing while crying or smiling, what a mix of so much emotions",Expresses a complex emotional experience – both joyful and melancholic.
1,1,Omg y'all my bf got me a shirt with these lyrics on it I love it so much love  bille and this song and him .,Expresses strong affection and enjoyment of the song and gift.
1,1,0:14 0:34 1:47 2:06 2:16 2:30 Catchy😄,Expresses enjoyment with the use of the emoji 😄.
1,1,Song of the year 2024-2025 so catchy,Expresses enthusiastic anticipation and positive expectation.
0,0,If someone doesn’t read the lyrics to these songs they’ll never hear it from listening to the song itself.,Expresses a neutral opinion about the song's lyrical content.
1,1,It sounds good from the get go unlike  most songs which only sound good at chorus phase,Expresses approval of the song's initial sound.
1,1,"headphones or helmet aren't enough for me  (us) I  (we) NEED TO MARRY THIS SONG ! THATS A MIXTURE OF EMOTION! Billie is a true artist, an icon, an inspiration, and a goddess. LOVE THIS SONG FR !",Expresses strong adoration and appreciation for the song and artist.
1,0,"Crying or smiling vibes , your choice 💫✨",Expresses a positive and emotive response to the music.
0,0,"2024 brings Bruno Mars, Gaga and Billie and just one teaser: the world is ending and we are litterally dying but it still so good and nostalgic like we have lived all that before","Combines positive nostalgia with a bleak, apocalyptic theme."
1,1,I am addicted to this song. I am 47. Her lyrics match my in er feelings en emotiions....,Expresses strong attachment and identifies with the song's emotional content.
0,0,SOMEONE PUT THE LYRICS,A simple statement of fact – it doesn't express positive or negative sentiment.
-1,0,"Two years ago, I had to distance myself from the girl I wanted to share my life with forever. Sometimes I still remember her in the little things she left behind in my life — especially in the music we used to listen to. She used to play “I Don’t Wanna Be You Anymore” every time we were together. This is the first time I’ve listened to the song all the way through; I’m sure it would’ve been one of our favorites. Hearing the opening melody always brings her to my mind, and for a long time, it used to make me tremble. Today, I missed her a lot — but something was different. I hope she’s okay.","Expresses sadness and longing, implying a painful separation."
1,1,I get very  emotional listening to this song!,Expresses a strong emotional response to the music.
1,1,"Billie Eilish wrote the song as an homage to her brother, Finneas. The lyrics are not that romantic, more like friendly banter with a sibling. The song 'birds of a feather' is about the speaker's brother, who is not just a sibling but a best friend.",Expresses appreciation for the song's heartfelt sibling connection.
1,1,This is definitely a headphones/earphones on song. I've heard this on work/mall radios so much but never really appreciated it because i couldn't really parse the lyrics. This is beautiful,Expresses appreciation for the song's quality and suitability for a focused listening experience.
1,1,Amazing ..even on a rough day I hear this song in my head and makes my body warm with the whole rhythm!!Best Eva🥰💯,Expresses strong positive feelings and describes a comforting effect.
0,0,chords sound like mirrors by justin timberlake,"Compares chords to a well-known song, suggesting similarity and potential criticism."
-1,0,Late lyrics,The word 'late' implies a negative feeling about the song’s timing or quality.
0,0,the song looks like happy song but the lyrics 🥲😭😭😭,Expresses a positive feeling about the song’s sound but expresses sadness through emojis.
0,0,This song reminds me of the vibe of Tame Impala song,Comparison to another artist without expressing a strong positive or negative feeling.
0,0,1:01 - 1:05 there’s a song that has this same little chorus but I can’t remember what it’s called. Can anyone help maybe?? 😭,Expresses a request for information without strong sentiment.
-1,-1,The worst singer 😂,Expresses strong disapproval and criticism of the singer's voice.
1,1,2:52 Those vocals in the background are so... Wow!,Expresses strong admiration for the background vocals.
1,1,"WHY IS IT cozy, cute, romantic, warm and catchy at the same time?????",Expresses strong positive feelings about the song's qualities.
0,0,"if mixed emotions is a song, this would be it",Expresses a combination of positive and negative feelings.
0,0,Vibes be vibeing,Cryptic expression with no clear positive or negative sentiment.
1,1,"Can we talk about how far Billie has come. People used to make fun of her for ‘whisper singing’ in her first album. Then came out with ‘Happier than ever’ AND LOOK AT HER NOWWWW. THE VOCALSSS, THE BELTINGGG, THE EMOTIONNN. Billie is a true artist, an icon, an inspiration, and a goddess.",Expresses immense admiration and praise for Billie’s growth and vocal talent.
1,1,Vibe maravilhosa dessa música 🎧🎵🎶,Expresses enthusiastic enjoyment and appreciation for the music.
1,1,Powerful song,Expresses strong admiration for the song's impact.
1,1,Que vibe maravilhosa......,Expresses enthusiastic enjoyment of the music.
0,1,i wanna cry when i think about my brother while listening to this. he’s not the one to talk much or show his emotions to others but we have different ways to show each other we care. but last year my mum told me he had cried to her because he was worried and hurt by my health issues… that hit me extremely hard. I love him so much and I hope he knows it,Expresses love and concern alongside sadness and vulnerability.
0,0,GTA: Liberty City Stories vibes,"References a nostalgic, and potentially divisive, game."
0,1,"This song will the perfect ost for the book Cry, Or Better yet, Beg! Uggggh! I'm having so much mixed emotions. Omgggg. 🩷🥹",Expresses both enthusiasm and frustration simultaneously.
0,1,"I mean is it not keep bleeding love? I dont know the song name or artist, but you can sing keep bleeding love off the chorus.",Describes the song vaguely and without clear positive or negative judgment.
0,0,"This beat sounded so familiar, I kept trying to listen carefully and if not mistaken it’s from Gwen Stefani song “I know we’re cool” ?",Acknowledges a positive element (the beat) while identifying a potential issue (similarity to another song).
1,1,That first verse gets me in my feels ❤,Expresses strong emotional connection and fondness.
-1,0,h.urtful song full of emotions,Expresses a painful and distressing feeling associated with the song.
-1,1,"This song is making me bawl my eyes out. I’m in an interracial relationship and we’re about to be married but my dad has been so hateful and mean to my fiancé. I am devastated and heartbroken by how cruel he has been to my sweetheart but I love my sweetheart so much. I’m not giving up on us and the lyrics “I’ll love you till the day that I die” hits so hard. I’m madly in love with him. I can’t wait to be married, I pray to god my dad won’t stand in our way.",Expresses intense sadness and distress due to familial conflict.
1,1,Can someone like dis ..so that i can come again ..and have some cozy and calm vibes 💗✨🙂,Expresses a desire to return and enjoys the peaceful atmosphere.
0,1,"This is morbid, if it wasn't for the catchy tune and her amazing voice I'd be like what the heck??",Expresses disapproval of the song's theme but praises the vocals and melody.
0,0,I don't know why but it's giving Cranberries vibes. Am I alone?,Acknowledges a similarity to The Cranberries without expressing strong positive or negative feelings.
1,1,This song gives me 80’s Vibes!!  Tiffany Vibes!!  Love it!!  🎵🎶🎼😊💙🩷❤,Expresses strong enthusiasm and nostalgic appreciation for the song's 80s influence.
1,1,Just had my first child a few weeks ago…and I’m pretty sure she knows all the lyrics already from me singing this to her so much ❤❤❤❤,Expresses overwhelming love and adoration for the song due to its frequent use with the child.
0,0,"Someone said: When you’re happy you enjoy music, but when you’re sad you understand the lyrics.",Expresses both enjoyment and understanding related to the music.
-1,0,That high notes makes me sad 🥹♥️,Expresses sadness due to high notes.
1,1,My absent minded self forgot to say how moving it is those high notes she delivers especially nearing the end of the song. ❤❤❤,Expresses strong appreciation for a specific vocal performance.
1,1,"One of the most beautiful melodies, lyrics, voice, clip, singer ..all of it ! ❤❤❤",Expresses overwhelming enthusiasm and appreciation for all aspects of the music video.
1,1,No matter the vibe this song slaps,"{""sentiment"":""Positive"",""justification"":""‘Slaps’ is slang indicating a high degree of enjoyment.”}"
1,1,"Billie, I want to thank you from the deepest of my heart for making this song, it has helped me get through all incidents in my life whether good or bad. 🥰",Expresses deep gratitude and positive impact of the song.
0,1,This song can vibe in Paramore's After Laughter album! Hope hailey will cover this.🎉,Acknowledges a similarity to Paramore while expressing hope for a cover.
1,1,This is probably one of her best songs... This song hits in so many ways!!! I can listen to it over and over and over and over and over again 😂... She couldn't of picked better lyrics ❤❤,Expresses enthusiastic enjoyment and strong positive feelings.
1,1,"my mom and i didnt really have a good relationship, but we had beautiful moments together. singing the lyrics to this song reminds me of her, of what we had together. next month will the fifth year since she died. i miss you mom. i still think about you, sometimes, if not oftentimes. :)","Expresses fond memories and love for the artist, evoking emotional connection."
1,1,"It's like hearing the chords from Last Christmas with the picking from Everybody's talkin' mixed with the Billie/Finneas-soundscape. Great song, great vocal lines.",Expresses appreciation for the song's sonic elements and vocal quality.
0,1,Beautiful song.🥰 I'm not a fan but do I love the lyrics and the melody.❤,Expresses appreciation for the lyrics and melody while admitting not being a fan.
-1,0,This song has the drop everything and text my ex vibe,"Expresses a negative, regretful feeling associated with the song."
-1,0,"This hit me so hard, my feeling through my ex just be like these lyrics lines",Expresses intense emotional pain and distress related to a past relationship.
0,0,When she called her mom to say how she was so proud to hit that note during Die in the last verse...like girl cares and sounds so real.  Fck my heart she's got it.,Expresses admiration alongside a somewhat dismissive and blunt reaction.
0,0,As someone that likes 2020 I can confirm this song sounds to nostalgic to me very much,Expresses a nostalgic feeling while simultaneously stating it sounds dated.
1,1,"Iv just experienced love, it is so powerful these stupid soppy love songs actually mean so much and is the perfect remedy for broken hearts or distance hearts just makes me love him even more when I hear this and also cry more 🤣",Expresses deep emotional connection and enjoyment of the song.
1,1,Whoever edited this the lyrics and the bubbles and the water waving had good effort on this ngl,Acknowledges and appreciates the effort put into the video's visuals.
1,1,A well put together song with a great vibe👌👌👌,Expresses strong positive feelings and approval.
1,1,"Well, I'm glad this wasn't scrapped.  Something in the main melody of the track that instantly gets to me (then I can't see for most of the song. xD ), and hits something similar to nostalgia for me.  It's a really beautiful tune! ^_^   More in this softer feel would be nice.",Expresses fondness and appreciation for the song's melody and overall feeling.
1,1,Had never pay attention to this lyrics they go deep just felt in love with this song 🫣🫣😍😍,Expresses a strong emotional connection and positive feelings.
-1,0,"Despite the massive popularity and impressive view count of Billie Eilish's 'BIRDS OF A FEATHER,' this track doesn't resonate deeply with me. To me, it feels like a one-time listen, lacking the spark or uniqueness that makes a song unforgettable. Honestly, I wouldn’t have given it a chance if not for the overwhelming advertising.",Expresses disappointment and a lack of genuine connection with the song.
1,1,Great harmony! Keep these back up singers!!😊,Expresses enthusiasm for the harmonies.
0,0,"this album came out when i was dating someone last year, and even if we were both treating the situation in a more serious light, sadly it didn't work out. this album came out at the same time we were seeing each other. i used to listen to it a lot and subsequently it reminds me of him... this is still one of my favourite songs. it's still hard to listen to it right now. seeing 11 months ago is really making me think of the parallels, of how life changes in a year, how we change. sometimes it still hurts, sometimes i miss the feeling and sometimes i miss him. it just all feels so nostalgic cause it was all so beautiful.",Combines nostalgic fondness with lingering sadness and reflection on a past relationship.
-1,-1,She’s stole this beat off destiny’s child ‘with me’ not very original,Accuses the artist of plagiarism and lacking originality.
1,1,"Her voice is the key, the beat and other details made this song successful.",Highlights the vocalist as the primary reason for the song's success.
-1,-1,finneas stole these lyrics from an indie artist called sister,Accuses Finneas of plagiarism.
1,1,this is what i wanted from her. this has a The Cardigans vibe and i love it. such a voice.,Expresses enjoyment and comparison to a positive artist.
1,1,"i love this song, very nostalgic",Expresses strong fondness and a nostalgic feeling.
0,0,"The saturated drum beat seems like a new trend in current songs, the influence of sound in music, it is also a great song, one day it will be re-released as it should be. little kisses with light eyes. ;)",Acknowledges a positive aspect while criticizing a trend.
1,1,SONG WITH GREAT LYRICS!,Expresses strong positive sentiment regarding the song's lyrics.
1,1,This is the best song I ever heard it made so mutch memories from it honestly mada my summer unforgettable thank you for everyone perticpated in making this masterpiece of a song thank you,Expresses overwhelming positive feelings and gratitude for the song's impact.
1,0,Lesgo I just memorized the lyrics,Expresses enthusiastic enjoyment and commitment to learning the lyrics.
1,1,"Love the symbolization in this song. The lyrics rock, keep up the grind BE",Expresses appreciation for the song's lyrical content and encouragement.
0,0,"Why the backing beat kinda sound like ""heavens night"" by elita???? Idk tho its giving that vibe tho","Compares the song to another, drawing a comparison without a clear positive or negative judgment."
1,1,Absolutely beautiful! Brings so many emotions. And her high pitch just drives me good crazy! Love her voice.,Expresses strong positive feelings and admiration for the singer's voice.
1,1,Im here for the rhythm and beat,Expresses enthusiasm for the song’s musical elements.
1,1,Love the vocal delay she use in the middle of track 💜,Expresses appreciation for a specific vocal effect.
-1,-1,Only good thing about this song is the melody she copied from Oliver.,Accuses the artist of plagiarism and expresses disapproval.
0,0,This song has many emotions at the same time,Expresses a complex mix of feelings simultaneously.
1,1,I´m alone but this song makes feel deeply falled in love <3,Expresses a strong feeling of love and connection through the music.
1,0,"I had an emergency c section after my baby couldn't handle labour anymore.... they asked me if I wanted music for the surgery. I said Billie Eilish. When he was finally out and they showed him to me, this is the song that played. 😢 makes me so emotional.",Expresses profound emotional connection and joy upon hearing the song after a difficult birth.
-1,0,"Idk why but i keep remembering the floptropican remix, instead of the real lyrics😔😭",Expresses disappointment and sadness referencing a disliked remix.
-1,-1,"Does any one else think this song just sounds too sad it has a bad vibe, i honestly don't like it it's just my opinion",Expresses dislike and a negative 'bad vibe'.
-1,0,"Yes as a man i listen to this masterpiece, fuck all that today rap music, rather put this on and vibe at least it has meaning",Expresses disdain for modern music and labels the song a 'masterpiece'.
-1,0,Everytime I listen to this song I remember my dead friend 😔 and get so nostalgic 🥺,Expresses sadness and nostalgia linked to a deceased friend.
1,1,"This song touches deep down my heart without permission . My body temperature rises and I shiver because it's intensly deep like crazy love 🤎 . Unbenounced , it's telling my heart to feel the feelings I hide cuz of being hurt .",Expresses intense emotional connection and positive feelings.
0,0,3:11 This bittersweet melody reminds me of DDLC.,Combines a positive association with a well-regarded song with a potentially negative association due to the reference to DDLC.
0,0,"I know I have heard this song before, these same chords, some song of the 80s, but I can't remember it and its driving me crazy",Expresses frustration and confusion without strong positive or negative feelings.
1,1,"WHY IS IT cozy, cute, romantic, warm and catchy at the same time?????",Expresses enthusiastic appreciation for the song's multifaceted qualities.
0,1,"the song is so deep, it kind of resonates with my long love story, where I always be the sidekicks in a relationship..",Expresses connection to personal experience alongside a general assessment.
1,0,Its like billie is falling deeper into the zone. ifykyk,Expresses admiration and appreciation for Billie Eilish's artistic depth.
1,1,Amazing song her vocals feels me like i m in a heaven😭😭♥️♥️♥️,Expresses intense emotional connection and enjoyment of the song.
1,1,"I get emotional to this song, i would want this song in me and my husband's renewal of vows q",Expresses deep emotional connection and desire for personal significance.
0,1,This song is for every emotion,"Expresses suitability for a wide range of feelings, indicating a neutral stance."
1,1,ramadan 2025… warm lyrics.. beautifully composed❤❤,Expresses positive sentiment with heart emojis.
0,0,"Anyone else hearing ""Bound For The Floor"" by Local H in her chorus? Pretty neat",Acknowledges a similarity to another song while expressing a neutral opinion.
1,1,I loved the lyrics ❤,Expresses strong positive emotion about the lyrics.
1,1,"I love this song so much, its like i can let out all my emotions over and over and over again. This song helps me ALOT its my favorite for life",Expresses intense love and reliance on the song for emotional release.
0,0,Sounds like chord progression from GM’s “ Last Christmas.” Very catchy.,Acknowledges a similarity to another song's chord progression while still finding it catchy.
1,1,"Goosebumps, touched by the sound of her voice, you can feel all of her emotions, it's the song of the year for me !!",Expresses intense emotional connection and considers it the best song of the year.
1,1,No one can replace Billie voice and her emotions to the lyrics ❤underrated artist of this new era.,Expresses strong appreciation for Billie's voice and emotional delivery.
0,0,"U know that this song has the same chord progression of Last Christmas, right?",Points out a similarity while not expressing a strong positive or negative opinion.
