classificacao,comentario,justificativa
Positive,"I loved the instrumentation of the chorus, just perfect ❤",Expresses strong positive sentiment regarding the chorus's instrumentation.
Neutral,I love Olivia but the bangs does not give the vibe,"Expresses a minor preference, not a strong positive or negative opinion."
Positive,This song reminds me of early 80s punk when I was in high school. Makes me feel nostalgic❤,Expresses a nostalgic and positive feeling associated with the music.
Positive,😮I’m SO OBSESSED with this song 🎶!! TOTAL jam song! Lyrics PERFECT!! 👏👏 Releasing these 5 songs now in the middle of her tour just proves AGAIN how much Olivia loves her fans! 💜💜OR,Expresses strong enthusiasm and enjoyment of the song.
Positive,Its giving summer vibes,Expresses a positive association with summer.
Positive,I first heard this song on my record side b and learned all the lyrics,Expresses fondness and engagement with the song.
Positive,Omg I love the video and the hard work you put into the lyrics ❤❤❤❤,Expresses strong love and appreciation for the video and lyrics.
Negative,This song came out at the wrong time and failed miserably. It should be released on the next album is better because it is a very catchy and unique song 😢😢,Expresses disappointment and criticizes the timing and perceived failure of the song.
Neutral,"The lyrics may be cringe and immoral, but this song is an absolute banger!",Acknowledges criticism but expresses strong positive enjoyment.
Positive,She pictured those emotions so real...,Expresses admiration for the artist's ability to portray emotions.
Neutral,2000s vibes are strong,Expresses a nostalgic appreciation without strong positive or negative emotion.
Neutral,The chorus sounds like TELEPHONE by LADY GAGA ft BEYONCE,Compares the song’s chorus to another popular song without expressing a strong positive or negative opinion.
Neutral,Kind of getting biff naked vibe as inspiration,"A somewhat evocative comparison, lacking strong positive or negative emotion."
Neutral,Does anyone else get an Avril Lavigne Sk8er boy PunkPop vibe??,"Compares the song to a classic, but without expressing a strong positive or negative opinion."
Positive,OK BUT DID YOU KNOW CHAPPEL ROAN IS IN THE BACKGROUND VOCALS OF THIS SONG 🎉❤ WE LOVE OLIVIA FOR QUEER REPRESENTATION,Expresses enthusiastic support and appreciation for the artist's representation.
Neutral,"This sound so familiar, especially pre chorus. Did she sampled the music?",Expresses suspicion of sampling and offers a general observation.
Neutral,I can’t be the only one who thinks she’s attractive but annoying,Expresses a mixed opinion – admiration and annoyance.
Neutral,Chorus melody is giving Lady gagas telephone,Compares the chorus to another artist's song without expressing a strong positive or negative opinion.
Positive,Catchy,The word 'catchy' indicates a positive assessment of the music.
Positive,Eu amo a vibe que Olivia Rodrigo transmite em suas músicas é tão surreal serio eu amei essa música parabéns garota arrasou mais uma vez❤,Expresses strong positive feelings and admiration for the artist.
Negative,wait why did she chnage teh lyrics to is she good in bed when its supposed to be does she give good head,Contains sexually explicit and disrespectful comments.
Positive,Great composition!,Expresses enthusiastic approval of the song's composition.
Positive,I am staring at her like i wanna get hurt😭 and she even speaks kindly about me...those lyrics are on point😭😭,Expresses strong admiration and appreciation for the artist and her lyrics.
Positive,real ones know the lyrics from spotify podcasts🫶😭,Expresses fondness and emotion related to the song.
Negative,Obsession and jealousy are toxic poisonous emotions… This is really bad music for young girls 👎👎👎👎👎👎,Expresses disapproval and identifies the music as harmful for young women.
Positive,Bro this gives (no doubt) vibes please do a full rock album,Expresses a desire for a specific musical style (rock) and positive association with a similar song.
Positive,If she could keep up the alternative vibe that would be amazing.,Expresses a desire for a specific artistic direction.
Positive,Just watched Olivia Rodrigo's 'obsessed' Official Music Video - the visuals and storytelling perfectly capture the emotion behind the song.,Expresses strong appreciation for the video's visual storytelling and emotional impact.
Neutral,Olivia with her new look gave me María Becerra vibes,"Compares the artist's appearance to another, without expressing a clear positive or negative opinion."
Positive,I started head banging to the chorus with my hair in my face and then saw another sash so I remembered I came here to actually watch the video LMFAOOOOOO,Expresses enthusiastic enjoyment and amusement.
Positive,i love how angry and emotional olivia is <3,Expresses affection and appreciation for Olivia's emotional expression.
Positive,This gives serious Garbage vibes. I am 100% for it. ❤,Expresses strong approval and association with a well-regarded artist.
Negative,Waiting for the day Olivia dumps these awful guys and go on date their exes...,Expresses annoyance and disapproval of Olivia's romantic choices.
Positive,Facts or true?...this song is catchy and this visual is very intriguing especially with fact that this shows a lot of vulnerability,Expresses enjoyment and intrigue about the song and visuals.
Positive,Demi vibes too,Expresses a positive comparison to Demi Lovato.
Neutral,did you guys know that Chappell Roan sing as background vocal in this song?,States a factual observation without expressing a positive or negative opinion.
Positive,When ur laying on the floor it was giving Lydia’s hair from Beatle juice 💀🤣,Uses a positive reference (Lydia’s hair from Beetlejuice) with a laughing emoji indicating enjoyment.
Negative,Could be the worst song in the world hands down.,Strongly expresses extreme dislike and considers it a terrible song.
Positive,"Daqui uns tempos Olivia Rodrigo, vai virar modinha ❤ TOMARA.🩵🫰",Expresses enthusiasm and affection for the song.
Negative,honestly like her voice and tone but when will she make happy music? I dont listen to her songs as often as I used to bec it drags me into a hateful state of mind,Expresses dissatisfaction with the artist's music and its impact.
Positive,The vibe is vibing,The phrase 'vibe is vibing' expresses enthusiastic enjoyment.
Positive,this mv gives off 2000s-2010s vibes in the BEST way!!,Expresses strong positive feelings about the music video's nostalgic aesthetic.
Positive,Putting this out into the universe. I will make a song with Olivia some day soon and it will help change the world. Mark my words. God bless everyone 🍀,Expresses a hopeful and optimistic vision for a future collaboration and its potential impact.
Negative,The guitar sounds so bland. Generic rock song…. 😮‍💨,Expresses dissatisfaction with the song's musical element.
Neutral,not rlly an olivia stan but this song of hers reminds me of avril lavigne's and paramore's songs. she got the very angsty teen vibe down.,"Compares the artist to others, offering a neutral observation."
Positive,i just am alwys amazed by how good her lyrics are,Expresses strong admiration for the artist's lyrical skill.
Negative,The worst song I've ever heard in my entire life,Expresses extreme dissatisfaction and labels the song as the absolute worst.
Neutral,This give me deja vu vibes,Expresses a feeling of familiarity without strong positive or negative emotion.
Positive,Great song!!! Early 2000s punk vibe,Expresses strong approval and identifies a nostalgic style.
Positive,"Also, Taylor swift is good but you bring out all my emotions and you are just like me.",Expresses admiration and a personal connection to the artist.
Positive,She is sooooooooo stunning I literally know all the lyrics of both her albums and I even know the comeback song and All I Want and now that she came out with this song I need to know their lyrics as well I love her so much my favorite color also that’s why I love her music she’s so beautiful and sweet and funny I rly want to her at her concert but unfortunately I can’t but I still love her. I 💜 YOU OLIVIA 💜💜💜💜💜💜💜💜💜💜🤍🤍🤍🤍🤍🤍🤍🤍🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤✨✨✨✨,Expresses overwhelming adoration and affection for the artist.
Positive,"The chorus sounds like Lindsay Lohan in Freaky Friday, 2003.  Who knew Lindsay was ahead of her time by 20 years!",Expresses a positive reaction to the song's similarity to a classic pop song.
Positive,"""Such a song hasn't been around for years. Old school vibe. I like it.""",Expresses enjoyment of a nostalgic and classic musical style.
Positive,i mostly listen to hard stuff but the vocals here fucking *cooked*,Expresses strong admiration for the vocals.
Positive,Some 90s vibes,Expresses enjoyment of a nostalgic musical style.
Neutral,2:09 do u guys hear voices behind the vocals? i do i’m so confused but i only hear it in the bridge,Expresses a curious observation without a clear positive or negative judgment.
Negative,Isnt she straight?? And with Louis?? This lyrics sound a little like she is lesbian or smth ( Im not judging I love her music ),Expresses doubt about the artist's sexuality and finds lyrics suggestive.
Positive,PURRR IMA HAVE TOO PUT THIS ONE REPEAT FOR 44 TIMES TO KNOW LYRICS 😍😍😍💅💅💅💜💜,Expresses enthusiastic enjoyment and repeated listening.
Neutral,Why for a second did it give me I want you vibes not from the video but just gave me those vibes I don’t know how to explain it….,"Expresses a vague, confusing feeling without a clear positive or negative judgment."
Positive,Give the vibes of reputation era and Wednesday movie🤟🏼,Expresses enjoyment of the song's atmosphere and references a popular movie.
Neutral,Its only me or olivia give us paramore vibes?,Suggests a similarity to Paramore without expressing a clear positive or negative opinion.
Positive,This gives me Yellowjackets vibes,Associates the music with a well-regarded musical group.
Neutral,"This is just Telephone no? I'm sorry... I love Olivia, but yeah. Glad to see the beat come back though.","Expresses a simple, somewhat dismissive, appreciation for the beat while acknowledging a love for the artist."
Neutral,demi lovato camp rock vibes? anyone??,Asks a question regarding similarities to Demi Lovato's earlier work.
Neutral,It’s giving wensday vibes 0:49 0:56,References a specific song/video trend (Wensday vibes) without expressing a clear positive or negative opinion.
Negative,"Very generic ngl, the molody I’ve heard so many times, it’s not creative.",Expresses disappointment and lack of originality.
Positive,This is giving me major industrial vibes like NIN,Expresses enjoyment of the song's similarity to Nine Inch Nails.
Positive,very catchy,Expresses enjoyment of the song's catchiness.
Neutral,Anyone know the chords on ukulele?,"Asks for musical information, lacking emotional sentiment."
Positive,This is giving off St Vincent vibes,"Compares the music to the style of St Vincent, indicating appreciation."
Neutral,Catchy but not a good song,Expresses a mixed opinion – acknowledges catchiness but criticizes the song’s quality.
Neutral,Chorus reminds me of telephone by lady Gaga,Draws a comparison to another song without expressing strong positive or negative feelings.
Negative,The worst part is when they have more than one:,Expresses strong dissatisfaction and criticism.
Positive,Demi and 90er vibe god i love her ❤,Expresses strong affection for the artist and references a positive era.
Positive,this has been stuck in my head! it’s giving revenge and baddie vibes and I’m here for it 💜,Expresses enthusiastic enjoyment and association with positive trends.
Positive,"need this version on streaming soooo BAD. the original mix is great by my god her live vocals are absolutely breathtaking. this version is also at a slightly lower pitch i believe which makes it sound so much more deep and personal. truly hits me right in my core and makes me want to belt at the top of my lungs. i love love love love this performance it’s phenomenal. she deserves all the success that’s coming her way, what a star !!",Expresses intense enjoyment and admiration for the performance.
Neutral,Maomao in different universe 😅😘,"Expresses a playful, ambiguous sentiment with emojis."
Positive,"The crazy thing is HER AGE! She is so talented at such a young age. I'm only 19, and the best I sound is like nails on a frickin chalkboard. I respect her and look up to her. She is my idol and I love her music so much. I can relate a lot to her songs and I just get emotional. Awesome hit she has here. Keep going Olivia!","Expresses admiration, respect, and strong enjoyment of the artist's talent and music."
Positive,Can we appreciate how of her videos are standard screen vs wide screen? really sets a vibe.,Expresses appreciation for the video's visual aesthetic and its impact on the overall viewing experience.
Negative,This is so corny. Y’all needa grow up. Obsessing over other ppls exes? Talk about emotionally immature,Expresses disapproval and criticizes the commenter's behavior as immature.
Positive,Not gonna lie Rucka did the vocals better but this is still good,Acknowledges a slight improvement but ultimately finds the song enjoyable.
Positive,Im all that standing up on stone im just chilling on my settee 🤔🇬🇧👽🇬🇧😊,Expresses enjoyment and a relaxed state of mind.
Positive,"This is the teenage dirtbag y2k vibes, i love it",Expresses enjoyment of nostalgic 'Y2K' music style.
Negative,Why did she change the lyrics from great head to good in bead?,Expresses dissatisfaction and confusion about a lyrical change.
Positive,Paramour vibes,Refers to a positive and evocative album title associated with Lady Gaga.
Positive,this one gave me Robin Sparkles dark era vibes,"Compares the music to a fondly remembered, positive era of an artist."
Neutral,"how come every song of her is so GenZ and relatetable? must admit I went through every emotion in all her songs from brutal to every Ameriacan bitch, even bad idea right and now this =))) she is so real and not even try to act cool men =)))",Expresses a curious observation about the artist's lyrics and a touch of playful criticism.
Negative,Anyone else thinks the chorus sounds just like Lady Gaga : Telephone,Compares the song's chorus unfavourably to Lady Gaga's 'Telephone'.
Positive,Niravana vibes 🔥,Expresses enthusiasm and comparison to a highly regarded band.
Neutral,im a huge livvie but this songs kinda mid im sorry. i love the chorus a lot but the rest of the songs kinda mehh,"Expresses mixed feelings, acknowledging a positive aspect while criticizing the rest."
Positive,"the gated effect on the ""ahh"" in the chorus is so cool",Expresses appreciation for a specific production technique.
Positive,"Wow if this song doesn’t speak volumes ! Very catchy , highly addictive & way WAY factual in the lyrics….",Expresses enthusiasm and describes the song as catchy and factual.
Neutral,"Chorus ruins the whole song, which was amazingly good.","Expresses a mixed opinion, highlighting both a negative and positive aspect."
Neutral,i like the lyrics but not the execution,Expresses a preference for the lyrics while criticizing the overall execution.
Negative,"I feel emotionally assaulted, please pay for my therapy Jojo Siwa",Expresses intense negative emotions and a demand for compensation.
Positive,Her lyrics ❤❤,Expresses strong positive feelings with heart emojis.
Positive,"Best lyrics since, ""I wanna rock"", by Twisted Sister","Expresses high praise for the song's lyrics, referencing a classic."
Positive,Real ones alr know the lyrics 😭😭,Expresses affirmation and shared appreciation.
Neutral,It gives 2000s movies vibes sm,References a specific aesthetic without expressing strong positive or negative feelings.
Positive,The song is so catchy ❤❤❤,Expresses strong positive feelings through use of heart emojis.
Negative,Retroactive jealousy. My worst enemy fr,Expresses resentment and bitterness towards a past situation.
Positive,"This is February 2025 & OBSESSED by OLIVIA RODRIGO continues to be exceedingly emotional, exceptionally eccentric, extremely explosive, enormously exciting, and exquisitely engaging. Her singing is singularly sentimental, spellbinding, superb and simply spectacular. ❤❤❤❤❤❤",Expresses intense and repeated positive feelings about Olivia Rodrigo's music.
Positive,"A catchy song as always, Queen Olivia! 👑💜",Expresses enthusiastic praise for Olivia and her music.
Negative,"If you're not obsessed with the lyrics, the metaphors or the bangs, youre not me.",Expresses a critical and dismissive view of music enjoyment.
Positive,Omg now Ik all the lyrics!!!❤❤❤,Expresses enthusiastic enjoyment and positive emotion with heart emojis.
Neutral,There is a woman that feels this way currently about me and she's terrible so it's not the worst thing,Expresses a negative observation without strong emotional tone.
Positive,This is all about insecurities ...I've never felt this way ..I've never been jelly of my guys exes...I'm glad cuz it sounds way too deep for me...brush Dat shit off....there's no point in obsessing over someone who doesn't matter to your partner anymore ..b glad you have him and leave it at that..confidence is gold,Expresses encouragement and positive affirmation about self-confidence.
Negative,This is giving brutal vibes,‘Giving brutal vibes’ implies a negative and unsettling feeling.
Positive,The chorus gives me Weezer vibes.,Compares the song positively to the band Weezer.
Negative,how is she a singer? with that tone and performance,Expresses doubt about the artist's singing ability and criticizes her performance.
Neutral,"The song and lyrics are so high school, its time for her to realize she's an adult, but i gotta say this video is pure art, absolutely beautiful",Mixed opinion - criticizes the lyrics while praising the video's artistic quality.
Positive,It's the good MTV vibes for me,Expresses enjoyment of the song's atmosphere and energy.
Neutral,Sounds like rock-ish with a pop chorus,"Describes the music as having elements of both rock and pop, without expressing a clear positive or negative opinion."
Neutral,i LOVEEE her avril lavigne/hayley williams vibes don't get me wrong but i hate the toxic gf character she plays in some of her songs like it is so unlikable to me idk,Expresses both admiration and dislike regarding the artist's portrayal.
Positive,"it has the ""Bullet with a butterfly wings"" vibe.",Evokes a positive association with the song
Positive,"I LOVE this video!! The concept, the sashes, Liv screaming and jumping during the chorus, it’s actually perfect ❤",Expresses strong enthusiasm and affection for the video.
Negative,The chorus vocals sounded like disorted Withered chica’s voice from fnaf UCN 😭😭,Compares vocals unfavorably to a disliked character voice.
Neutral,Feels 2012 vibes kinda,References a specific year and musical style without expressing strong positive or negative emotion.
Negative,The bangs look awful,Expresses a negative opinion about the appearance (bangs).
Negative,She's copying the rhythm of Muse. Time is running out.,Criticizes the artist for imitating Muse's musical style.
Negative,"U know I wanna tell u like somany times but I held it up to my self but they are making me say it, you know church is million and billions of times the psychology therapy true they just loop around on the same emotions. Finally have to say it now",Expresses frustration and criticism regarding religious beliefs and psychological concepts.
Negative,Im sorry but I’m hearing telephone from lady Gaga in the chorus 1:42,"Identifies a similarity to another song, implying a lack of originality."
Neutral,is anyone else getting gay vibes from this song???????????????????,Expresses a subjective feeling without strong positive or negative judgment.
Positive,Her lyrics is germaitc wow olovia rodrigo shes talented,Expresses admiration for Olivia Rodrigo's talent.
Positive,The cinematography and vibes of the actors/the entire video reminds me of the music video for “I’m not okay” by MCR 🤔 so good!! Loving this bop also 🥹🤩,Expresses enjoyment and comparison to a well-regarded music video.
Positive,Avril Lavigne vibes anyone?,Evokes a positive association with Avril Lavigne.
Positive,Cute. Got a cherry vibe.,"Expresses a positive feeling and association with a pleasant, vibrant quality."
