classificacao,comentario,justificativa
Positive,these lyrics go hard and have meaning,Expresses appreciation for the song's lyrics.
Positive,"Awww...this is so cute....lil Drakey and all his ""helpers"" trying so hard - lol!   There's no competition.  Kendrick needs to stop wasting his God given valuable high vibe creativity and true talent on this lil punk",Expresses fondness and appreciation for the song's charming elements.
Neutral,Music Song wise it's real rap music beats better n his rap is better not better diss it's a tie 4 me,Expresses a balanced opinion with no strong positive or negative emotion.
Negative,Bro thinks bro could beat Kendrick saying the n word 😂,Contains offensive language and expresses disrespectful opinion.
Positive,I love how this was Drake's response to Kendrick's 1 minute verse 🤣 His writers were working overtime,Expresses amusement and appreciation for Drake's response.
Negative,Yall saying drake won because it slaps lol bruh this sounds like crap you cant win because of a beat,Expresses strong dissatisfaction and dismisses the song's quality.
Negative,They make excuses for u Casie they hate to see me lit was better than anything Kendrick said.. substance lyrics and bars wins every time,Expresses strong dislike and criticism of the artist and their music.
Negative,Drake is trash even the beat,Expresses strong disapproval of Drake and his music.
Negative,bro put kai cenat in the lyrics💀😭,Expresses strong disapproval and ridicule.
Positive,Funny how it’s now two Predators on this song with that AK beat switch thing 😂😂😂,Expresses amusement and appreciation for a clever musical element.
Negative,Don’t get why people like this tho. Nice beat but shallow,Expresses dislike and criticizes the song as lacking depth.
Negative,Theres no way a human thinks dude got kendrick beat huh?,Expresses disbelief and criticism of a perceived inferior artist.
Negative,The beat is tuff other then that THIS IS ASSSSSS TF,Contains abusive and derogatory language expressing strong dissatisfaction.
Positive,Here simply because I forgot his lyrics Kendrick really killed this man I know every Kendrick line bar for bar with the exception of 6:16 in la,Expresses strong admiration and detailed knowledge of the song.
Negative,ONE OF THE WORST DISS TRACKS IN HISTORY OF HUMANITY,Strongly condemns the comment as a terrible diss track.
Negative,"I feel like this is the most underrated song through the entire feud. If Drake just would have came through with this with no AI and came at him with theses verses in his voice, he could have blocked Kendrick’s angles more clearly like he was trying to do here.",Expresses disappointment and criticism regarding the song's execution and Drake's potential.
Positive,"say what you want this is for me better than like that, insulting kdot for small feet is wild(i aint no meatrider but the beat and words are good af)","Despite initial criticism, acknowledges appreciation for the song's quality."
Negative,Came back to make sure I wasnt missing something...I wasn't.  This wasnt even as good as the verse on Like Dat....,Compares the song negatively to a previously well-regarded song.
Negative,this is garbage for something made nowadays plus the beat to it is booty i think if the beat was on point it might have been better but either way its subpar ar best,Strongly criticizes the song as 'garbage' and the beat as 'booty'.
Neutral,I think he might have Kendrick beat sorry not sorry,Expresses a subjective opinion without strong positive or negative emotion.
Negative,Such a good ass beat that's been ruined by abysmal lyrics that no ghostwriter is getting credited for  (half satire),Criticizes the lyrics as abysmal and suggests a lack of credit.
Positive,That beat carries this song. Anybody with a brain easily would take Kendrick simply on the beat is even better and Kendrick articulated every word he meant. Drake tried to make a hit. Who’s trending #1 right now? Gotta ask the Drake fan goobers 😂,"Praises Kendrick's beat and skill, dismissing Drake's attempt at a hit."
Negative,This is the better diss+song. No one wants to listen to a 40 year old force a high pitched goblin voice,Expresses negativity and disparagement towards the artist's voice and music.
Negative,😂😂 bro said you're not beating us at least he acknowledges Ghost writers,Expresses disdain and suggests dishonesty.
Negative,Bro dissed everybody on this beat💦😅💦😅,Expresses frustration and mockery towards others.
Negative,"this beat just has more bass,  not even a better beat  way subpar bars  kendrick done killed this mans then desecrated his corpse",Strongly criticizes the song's quality with harsh language.
Negative,"Drake with his ""I dont wanna wake my parents you guys"" ass discord call last chorus",Uses derogatory language to criticize Drake's song and lyrics.
Positive,Beat rapper alive after Wayne❤❤,Expresses enthusiastic appreciation for the rapper.
Negative,Whoever thinks this beats euphoria is a d rider for drake this shit is soft as heck. Kendrick will end drake’s career by time this beef over,Expresses strong disapproval and predicts negative consequences for Drake.
Negative,BRO YOU CANNOT STEAL THE BEAT FROM TENEBRE ROSSO SANGUE LIKE THAT!!!,Expresses outrage over alleged plagiarism.
Negative,What are people smoking Kendrick is not on his level every 2 verses is chorus worthy,Expresses strong criticism of Kendrick's music quality.
Positive,This Beat is hard tho.,Expresses positive appreciation for the song's rhythm.
Negative,"It’s funny that he thought he could beat Kendrick with that shitty non-sense. Kendrick gave him a warning with euphoria, it was just a warm-up. There is one king and one clown. It’s not even a fair fight 😂",Expresses disdain and dismisses the artist's music as inferior.
Negative,Dis is so ass I can make them beats with my damn lips,Uses vulgar language to express strong dissatisfaction.
Negative,"""that's the dog with the bite nigga what's up"" is a catchy line that i like, but in general it's ass, kendrick used a F-22 to eliminate a beetle😂",Expresses disapproval of the song and criticizes the lyrics.
Positive,"Made a fire beat remix of this song , go check it ! 🔥🔥🔥🔥",Expresses enthusiasm and encourages others to listen.
Negative,“50 deep but it aint deep enough” 😨😨,Expresses dissatisfaction with the song's lack of substance.
Neutral,Metro drizzy beat is enough for this guy…,Expresses a simple opinion about the beat without strong positive or negative emotion.
Negative,"Drop and give me 50 is once again another persons lyrics he stole from one of his first places he swagger jacked from , New Orleans",Accuses the artist of plagiarism and theft of lyrics.
Positive,"I don't know what people hear but, Drake has more flavor, more beats, more swag, the switch ups are crazy, Kendrick is good but has the same beat the whole song.  DRAKE WINS!!! SORRY NOT SORRY",Expresses strong preference for Drake and criticizes Kendrick's repetitive beats.
Negative,21 Savage is probably the worst rapper ever,Expresses strong negative opinion about 21 Savage's rapping ability.
Neutral,drake beat everyone but lost to kdot,Reports a competitive outcome without expressing a strong positive or negative opinion.
Negative,"Ngl this is nice but Dot literally proved every good line wrong. Dot took his chain, Dot won the popularity contest, took down that king verse on the comeback, dropped back to back, and Metro made BBL Drizzy lol.",Expresses strong criticism and disbelief regarding Dot's achievements.
Positive,0:25 Drake is too powerful in this track❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥,Expresses strong enthusiastic enjoyment of the song.
Positive,The beat alone makes this a better song than all three of those other b******* drops. Combined.,Expresses strong approval and superiority of the song's beat.
Negative,bro why the beat sound like a low budget shark attack theme tho 💀💀,"Expresses dislike of the song's beat, comparing it unfavorably."
Negative,This shit straight 🌽. Too much jargon. Beat keepin this one alive.,Uses vulgar language and expresses strong disapproval.
Negative,The only thing hard about this is the beat... drake is trash!,Expresses strong disapproval of Drake's music.
Neutral,Beats and Rap wise drake easily wins this battle against lamar,Expresses a subjective opinion about the relative quality of the music.
Positive,Drake lost but he held his own. That 2nd beat drop on family matters was hard af,Expresses strong approval and excitement about a specific moment in the song.
Positive,Say what you want about the lyrics but this and Family Matters were the best beats to come out of this entire beef. The real winner was Drake’s producer🥶,Expresses enjoyment of the music despite criticisms.
Negative,That's all metro can do df..make beats.,Expresses dissatisfaction and criticism of the artist's capabilities.
Negative,"Let's not forget Drake was awkwardly in Justin Beibers ""Baby"" video back in the day. He has NO room to talk about making verses for swifties or Maroon 5 lol",Expresses a critical and dismissive view of Drake's credibility.
Positive,tha metro shut ho ass down play some drums tha lyrics is wild. is like Drake slapped metro once then this is happend K.O,Expresses enthusiastic approval and a sense of victory.
Positive,Beat goes hard,Expresses enjoyment of the song's rhythm and energy.
Positive,21 savage wrote Push Ups lol listen to it lol 😂 this is crazy like deadass even the metro line lol the drop in the beat that’s a 21 savage thing,Expresses enthusiasm and amusement about 21 Savage's music.
Negative,I dont like this beat it ruins it for me 🤷🏾,"Expresses dislike for the beat, indicating a negative reaction."
Negative,The fact somebody wasted these beats for this garbage song is wild,Expresses strong disapproval and condemnation of the song.
Neutral,Coming back to listen to this after Kendrick verse this don’t hit as hard anymore to me. It’s still not trash though Drake went off. Kendrick is just showing levels to me.,Expresses a shift in opinion while acknowledging the Drake verse's strength.
Negative,Drake doft as hell ...he got ghost writers....lots of his lyrics have already been rapped ...he ain't got shit ...I really never liked kendricks beats but his lyrics are complicated makes you think and when you realize what he said ..it like damn that shit was really complex,Expresses strong disapproval and accusations of lacking originality.
Negative,why is this song so long. drake’s voice so monotonous,Expresses dissatisfaction with the song's length and Drake's vocal style.
Negative,Gonna be honest though it was about 50Cent lol kinda makes sense in the the mind of a moron I do like the melody tho,Uses insulting language and expresses a negative opinion.
Negative,ik deep down that the one who made this video is a xo fan lol for skiping the abel diss,Expresses dislike and mockery towards the video creator's presumed support of Machine Gun Kelly.
Neutral,"Hits dif cuz u know had someone write it for him, wack, cool beat tho....",Expresses criticism about the songwriting while acknowledging a good beat.
Neutral,Beat harder than the flow 😢,"Expresses a simple, slightly emotive reaction without strong positive or negative sentiment."
Negative,There are a few country boys that did this beat justice. This was subpar at best. I wonder who his ghost writers are.,Expresses disappointment and suspicion about the song's quality and songwriting.
Neutral,no one can top kendrick's verse on like that not even kendrick himself,"Expresses a strong, but non-committal, opinion about Kendrick's verse."
Negative,Metro 👂 🎶: da fuq I do? He purchased this beat months ago 😭,Expresses frustration and disappointment with the beat purchase.
Positive,Kdot track cuts deeper than Drakes,Implies a superior artistic depth compared to Drake.
Positive,This just a lil catchy. Kendrick murdered him. Tbh,Expresses enjoyment and praise for Kendrick's performance.
Negative,Drake really beat Kendrick is crazy,"Expresses a strong, negative opinion about Drake's perceived superiority."
Negative,Kendrick copy and paste everything we already knew about drakebn put it on a beat😅.,Expresses criticism of Kendrick's music as unoriginal.
Neutral,There are couple lines in here that are good NGl. but imo doesn’t even match the like that verse. Imo the aggression lacks the bars are not near the level of 40 secs of violence. I’ll give Aubrey credit he and his ghost writers came up with some ish..but then euphoria came out.,Offers mixed opinions and criticisms without strong positive or negative emotion.
Neutral,"Im not gonna lie, im just here for the Lyrical Battle. Now as far as points, for beat selection amd consistency i gotta give it to drake. Now as far as hard hitting Lyrics, im 100% giving that to kendrick but only because though drake had some good punchlines, kendricks word play was absolutely insane. Now if Drake somehow responds to Euphoria and yes even though im a Drake fan even i know its gonna be VERY hard for hom to respond to that...he HAS to shoot to kill in that response.",Expresses a desire for a lyrical battle and offers a balanced comparison of the artists' strengths.
Positive,Lil wayne the only one that can get you out that Jam . Its like after drake verse we got tp hear weezy to feel this shit,Expresses strong enthusiasm and admiration for Lil Wayne's impact.
Neutral,This beat is good asf. But is this hard? Not imo,Expresses a positive opinion about the beat but expresses a personal lack of finding it challenging.
Negative,"Damn, this one felt like a lame ass classic rap song, Kendrick got more heart on his diss. I payed full attention to every word and the beat, it’s not a replayable song imo",Expresses disappointment and criticizes the song as uninteresting and lacking depth.
Negative,"Kendrick sounds like a little cabbage patch kid going through puberty lmaooo 😂😂😂 That shit makes me laugh every time I hear him without fail. His hardest verse to date is that ASAP Rocky song. Drake is trash, too, so I'm impartial. How he's considered one of the best rappers today just let's you know HIP HOP died a long time ago 💀","Sarcastic and dismissive comments about Kendrick and Drake, labeling them negatively."
Negative,"Oh man lol. What you guys on? You ain't got no one to listen to? Hit the underground and stay there. We played out. And this ain't a dis track. This is weak. Just like this entire joke of a career. Take the garbage out your mouth, and chew your groceries before you swallow this wad, just to puke back at me as music. Weak, materialistic, Nikki Minaj like lyrics.",Contains highly critical and insulting language describing the music and artist.
Negative,Him repeating the verse over is him coming the spell that we get on his side. He puts hella black magic on his music to get you to like it.,Uses sarcastic and potentially offensive language to criticize the artist's methods.
Negative,The lyrics between all the songs from this rap beef should be closely examined and be used as evidence. We cannot allow the system to rig and completely scam and rip off its citizens. I demand justice . I demand answers for a contract that I never signed. This just proves the CIA is involved. I will not rest until I have justice . I will never stop speaking out against the corrupt system and the CiA as long a live if there isn’t something done about this.,Expresses outrage and demands justice regarding a perceived conspiracy.
Negative,This is awful.,Expresses strong disapproval and deems the music 'awful'.
Negative,Beat ass,Uses a derogatory term to describe the music.
Neutral,This beat deserves some harder drill type of bars,Expresses a preference for a specific musical style without explicitly positive or negative sentiment.
Negative,who puts lyrics up for a rap battle? tf😂😂😂😂 clown,Expresses frustration and ridicule regarding the use of lyrics in a rap battle.
Positive,Whos face crinkled like a soda can when the beat dropped?! 😮,Expresses surprised delight and excitement.
Neutral,this beat tho (kendrick still better tho),Mixed praise with a slight preference for Kendrick Lamar.
Negative,"So THATS why Metro put that ""BBL Drizzy"" beat out to the masses... For free ☠️☠️☠️🤦🏽‍♂️",Expresses anger and frustration about leaked music.
Negative,This the worst goddam song Kendrick better,Expresses strong disapproval and condemnation of the song.
Positive,"Listen I won’t pretend like it’s one of the best lyrical masterpieces of all time, but it is catchy as fuck and is a great hype “fuck you” song. I just fucking hate that part where he says “the way you doin splits bitch your pants might rip” lolllllll gives me secondhand embarrassment",Acknowledges flaws but ultimately enjoys the song's catchiness and humor.
Negative,Drake is made from deep state like many others l assume those are now their clones,"Expresses suspicion and distrust towards Drake, implying he is part of a conspiracy."
Negative,"""And you gon' feel the aftermath of what I write down"" - bruh we know you don't write your own lyrics 😭",Expresses disbelief and criticism regarding the artist's songwriting abilities.
Positive,I'm so happy i don't deep throat any artist so I can just enjoy both songs,Expresses joy and appreciation for music without detracting from the artist.
Neutral,It just doesn’t hit as hard when they aren’t his lyrics.,Expresses a lack of strong positive feeling due to lyrical shortcomings.
Neutral,"Ok Kendrick won but, underrated diss: ""You better do that mf show inside the bity; Maroon 5 need a verse, you better make it witty; Then we need a verse for the swifties; Top say drop, you better drop and give 'em fifty"" Kendrick did write verses for Maroon 5 and Taylor swift and is probably getting back in the game cuz he needs a bag.","Contains praise and criticism, alongside speculation about Kendrick's motivations."
Negative,Yo didn’t even write the lyrics. How can you put out a diss when you didn’t write a single Lyric of it,Expresses frustration and criticism regarding the song's lyrical content.
Neutral,I’m just here cuz I heard the beat😂,A humorous comment with no strong positive or negative sentiment.
Negative,The beat was fire until he spoke 📉,The emoji indicates a negative reaction to the vocals.
Negative,lol the metro line was kinda funny ngl but accusing him of beating on his girl is wild asf,Expresses disbelief and criticism of the accusation.
Positive,The beat sick 🤷🏾‍♂️😂😂,Expresses approval and enjoyment with a casual emoji.
Negative,Drake goes hard af 😂 im drake all day fuck the haters Kendrick diss garbage lame ass beat,"Expresses strong, aggressive dislike and insults towards Drake and Kendrick Lamar."
Negative,"The worst part us that this shi slaps,problem is he shot this a Kendrick",Expresses strong disapproval and criticism of the song.
Positive,This and Family Matters 3rd verse were Drakes best punches in the beef,Expresses enjoyment and praise for specific parts of the song.
Negative,"Lame lyrics, smh",Expresses dissatisfaction with the song's lyrics.
Neutral,Funny thing is... all the swiftys got the verse live😬,"A brief, slightly sarcastic observation about fan reactions."
Neutral,Anyone notice the beginning like Tech N9ne and goes on with the beat of Table Chess Press? Anyone notice that,Identifies a similarity to another artist without expressing a clear positive or negative opinion.
Negative,Drake the diddler and his fake disney thuggin.  Does anyone take this clown seriously he got bodied at every turn vs kdot. Talking nobody takes a chain from us? Yeah they get him for watches though. Using ghost writers too? Drake lost the worst of any rap battle in history like x 5.,Strongly criticizes Drake's music and career with harsh insults and comparisons.
Neutral,Ngl this songs very good. But Kendrick obliterated the songs vibes😭,Expresses a positive opinion while noting a disruption of the song’s atmosphere.
Negative,What is this Kingdom Hearts ass beat?,Expresses strong dislike and criticism of the song's style.
Positive,Dang that feature with Taylor verse was witty I ain’t expect him to do some nice like that. Kdot took the round tho,Expresses appreciation for a clever feature and acknowledges Kdot's skill.
Negative,Drake need new lyrics why boy always out in Tokyo,Expresses dissatisfaction with Drake's lyrics.
Negative,Same old aubrey-  relying on the Beats to carry him. He sounds corny..,Expresses criticism of the artist's performance and vocal delivery.
Negative,I dismissed Drake and I can't say he beating this,Expresses dismissal and criticism of Drake's performance.
Negative,Beat carried this shit sound like a youtuber made this😂,Expresses strong disapproval and ridicule of the song's quality.
Negative,The beat 😭😭😭😭😭😭😭😭😭😭,Expresses overwhelming sadness and distress regarding the beat.
Neutral,"nice beat, mid lyrics",Acknowledges a good beat but criticizes the lyrics.
Neutral,It's a no def with the beat,"'No def' is slang for 'no problem,' indicating a neutral assessment."
Neutral,Honestly if The beef ended after euphoria then drake couldve won cuz this song kinda catchy and euphoria kinda boring and long.,"Expresses a mixed opinion, comparing the song to a previous hit and acknowledging its catchiness while also noting its length."
Negative,"Whoever wrote these lyrics came with some heat, too bad they don’t get the credit they deserve. There is no drake and Kendrick beef. I’m hearing no credit wroters vs Kendrick beef tho. Drake playing himself too…how can you claim you’re feeding people fake info when you’re being fed diss bars",Expresses criticism and disagreement regarding the lyrics and artist's actions.
Neutral,I like this beat and stuff but Kendrick still my number one over him. 😂😂,Expresses a preference without strong positive or negative emotion.
Neutral,The beat harder than the song😂,A humorous observation without a strong positive or negative opinion.
Negative,And then Not Like Us became #1 everywhere including Canada that has the whole world dancing and chanting lyrics about Drake being a sex pervert and predator.,Expresses disapproval and criticism of Drake's actions and the song's popularity.
Negative,This is generic crap lol. What the hell?,Expresses strong disapproval and finds the music unoriginal.
Negative,"Beat is weak, rap is weak person behind it is weak. Drake is trash","Strongly criticizes the beat, rapping, and the artist (Drake) as 'trash'."
Positive,"This is a masterpiece, when the dust settles and time goes by people will remember how beast this was, gives me emeinem - the sauce vibes.",Expresses high praise and believes the song will be remembered positively.
Negative,Stg yall taken this shi so deep both of the disses hit hard,Uses offensive language and expresses strong criticism.
Positive,The beat is hard tho wait a minute 😂😂🔥🔥🔥🔥🔥,Expresses enthusiastic enjoyment with emojis.
Negative,I’m back to say he stole these lyrics from battle rappers and have ghostwriters smh,Accuses the artist of plagiarism and using ghostwriters.
Negative,What a crappy music and lyrics,Expresses strong disapproval of the music and lyrics.
Negative,If we can be honest.......This ain't it. Catchy yes. This ain't it though.,Expresses dissatisfaction and criticism of the song.
Neutral,"I like this song, the beat, the hook but the more I listen to it it sounds like he is reading the lyrics he should have studied until he had it memorized even if he did write it",Expresses a mixed opinion – acknowledging positive aspects while criticizing the delivery.
Negative,The worst part ab this is that drake aint even write this shit. Cmon bruh.,Expresses strong criticism and disbelief about Drake's involvement.
Negative,He said they got him out here rapping how he's living it's bc he never did it Drake need to just give up frfr he always been still another rapper's   verses he 🗑️ I really don't even see how he made it this far,Expresses strong criticism and dismissal of the artist's success.
Negative,Ryan upchurchs song drake stole this from him😂 the whole beat the song name it’s all Ryan upchurchs watch the real shi it’s way harder anyways drake got this little ah boy voice😂🤏🏻,Expresses strong criticism and mockery of Drake's music.
Negative,Both tracks are garbage can we plz fast forward to the shooting? Quit waisting time and beats,Expresses strong dissatisfaction and demands for quicker content.
Neutral,"Kendrick won, I’m team Kendrick, but this shi catchy.",Acknowledges Kendrick’s victory while admitting to enjoying the song’s catchiness.
Neutral,Look man everyone has their opinion I get it. Kendrick been clapping back no doubt but Drake is beating him! He making shit you can sit and be like damn he coming for necks while at the same time can have your girl shake her ass to the same song while mfs getting cooked in it! 😂,Mixed opinions and hyperbolic praise/criticism without a clear dominant sentiment.
Neutral,"I'm just connecting the ""Bodyguards like Whitney"" line. That might be the hardest verse Drake cooked up for this whole beef... well his side of the beef","Observational comment about a lyric, lacking strong positive or negative emotion."
Negative,Second verse slid 4sure,Expresses a strong negative opinion about the song's second verse.
Neutral,This almost sounds like the big foot beat,"Comparison to another song, lacking strong positive or negative sentiment."
Negative,The beat is hard...the lyrics are ass,Expresses disapproval of both the beat and the lyrics.
Neutral,"""Maroon5 need a verse you better make it witty"" 🗣🗣#damn","A direct, critical suggestion without expressing positive or negative emotion."
Positive,Listening after Kendrick deep fried Drake,Implies enjoyment and admiration for Kendrick Lamar's performance.
