comment,user_name,date,likes,compound,sentiment
Worst song lol,@SergioMorenoRicalday-dd9ph,2025-08-14T03:21:11Z,1,-0.3182,Negative
"This is such a boring song,",@guybabineau,2025-08-23T00:49:24Z,1,-0.3182,Negative
I listen this song after watching attack on Titan and it's made me cry. The incomplete love story of earn and Mikasa 💔,@Grewal-k1l,2025-07-31T07:04:14Z,1,0.0258,Neutral
Gaga channeling Amy Winehouse vibes,@pamelabrown3058,2025-07-26T10:22:03Z,1,0.0,Neutral
I actually sung this at my chorus concert😂,@JaxonMay-l6c,2025-07-20T01:00:38Z,1,0.4404,Positive
Love the intro beats from Crazy cee lo green ;),@SaltySireneChocolatte,2025-08-03T01:06:19Z,1,0.5719,Positive
Who’s memorised the lyrics without even trying to learn the song😂,@Sayhan2023,2025-07-27T11:42:59Z,1,0.4404,Positive
How is she smoking?!? Isn't that bad for her vocals? I mean aside from her health....😒🙄😊,@jollyjellybelly,2025-08-11T02:22:16Z,1,0.8652,Positive
Worst song on the album,@rccc9554,2025-07-14T03:48:24Z,1,-0.6249,Negative
00:45 nice vibe ❤️‍🔥❤️‍🔥,@medoAhmed4447,2025-07-26T16:09:39Z,1,-0.25,Negative
gr7 was my peak year😭😭 this song was always playing when gr7 started its so nostalgic to me😔😔,@salt29,2025-08-15T21:07:27Z,1,-0.5859,Negative
This is one of the most beautiful song I ever heard. The lyrics are ❤❤❤❤❤❤,@paulettelamoureux1661,2025-07-24T16:28:38Z,1,0.9854,Positive
awful song,@vlad604,2025-08-23T02:35:03Z,1,-0.4588,Negative
Heart beat 💗❤️💜💓,@Harish-soldier,2025-08-05T15:34:16Z,1,0.9758,Positive
A message to the future generations. Don't let this song die.,@donnahaynes138,2025-07-27T09:04:57Z,1,-0.5994,Negative
Masterpiece and amazing truck that takes the deepest part of you.,@arthurkurbedzis,2025-07-31T19:51:47Z,1,0.836,Positive
"THE LYRICS EXPRESS THAT THE RELATIONSHIP, DESPITE IT'S POSITIVE ASPECTS, IS ULTIMATELY DESTINED  FOR FAILLURE❤❤",@GmE-q2s,2025-07-15T14:49:33Z,1,0.7126,Positive
"All of Fujii Kaze's songs have been produced through secret filming, wiretapping, stalking and monitoring. Copyright confiscation - spreading these to the public is a threat that could bring about the collapse of world order. This is a representative song of musical terrorists. Similar works include other Japanese songs that have been hits overseas, mainly songs by famous artists in the United States. We recommend that society take appropriate legal measures and take a firm stance against terrorist songs that promote racial and ethnic division. SHISHI",@abuda.katabula,2025-07-13T23:35:48Z,1,-0.8402,Negative
The weeknd better watch out Bruno Mars is coming  for the highest pitched male singer role lol.,@hovnonamasle1,2025-08-19T22:54:13Z,1,0.6908,Positive
Get emotional ❤😮😒😔,@mousumisen8308,2025-08-09T11:58:02Z,1,0.7269,Positive
1 ano... o tempo voou,@israel54815,2025-08-16T19:09:48Z,1,0.0,Neutral
This song goes hard and align with any situation whether good or bad any vibe any mood,@opeyemi2727,2025-08-07T06:34:10Z,1,-0.25,Negative
Really this song...... unbeatable value ❤,@AnilHuli-p8f,2025-08-16T15:42:27Z,1,0.765,Positive
"Song gave me chills, since God showed me how I would pass, where I would have 1 day to say goodbye after a specific dream.",@TH3_LAMB_OF_GOD,2025-08-16T21:24:47Z,1,0.4767,Positive
This is the most powerful music/video I’ve seen in decades. Can’t even explain what it does to me,@jonnstephen3780,2025-07-25T20:57:22Z,1,0.4754,Positive
Cool Nostalgic Video,@Jakkiroxx105,2025-08-03T05:00:22Z,1,0.3182,Positive
Lyrics 🗿Vocal 🗿Music🗿,@driveexplorefeelalive,2025-08-11T16:53:24Z,1,0.0,Neutral
Astronaut Reversed Backwards Tua Ngược Lại Được Chứ2️⃣0️⃣0️⃣8️⃣👪👨‍👩‍👦👨‍🚀👩‍🚀🌏🌎🌍🌌🆗👍,@Windows11OldComputer,2025-08-13T09:15:11Z,1,0.4466,Positive
HD dưới is the best one ever is to have it done by the same time and the time you get off the screen and you can send the message button on a different way you could get opponent🥹😭❤️‍🩹😚😭😭😭😳😭😳😭😚😳😚😚😎😚😳😚😎😚😚😎😚😎😚😎😚😎😚😚😎😚😎😚😚😎😚😚😎😚😚😎😚😚😚😚😚😚😎😚😚😎😚😚😚😚😚😚😎😚😚😚😎😚😎😚😚😚😚😎,@quyvu6558,2025-08-14T23:55:28Z,1,0.9996,Positive
The song is deeply meaning among attack on Titan 😢😢😢,@FF_BOSS_GAMER_12,2025-07-29T08:32:59Z,1,-0.9129,Negative
1:25❤😊 vocal is awesome😇,@KapilVlogs-p1c,2025-08-05T06:11:07Z,1,0.9538,Positive
"I don't get it, one kpop girl suddenly writes her own song and somehow manages to get Bruno Mars on it and suddenly she blows up. I mean wtf? There are thousands of artists who can write better songs with actual meaning instead of a sugarcoated song only replayed by 10 year old girls. Like almost 2b views and 2b streams in less than 9 months? I'm betting you no one is gonna be calling ts nostalgic. Like seriously, something has got to change. #aptisoverrated",@DOSAMUNCHER,2025-08-11T11:10:09Z,1,0.1431,Positive
Disfrutando de esta Hermosa Canción Atemporal a un año que se estreno 15/Agosto/2025 México,@aaronmartinez4,2025-08-15T18:35:15Z,1,0.0,Neutral
Because of his poor form in training he is not a ri man and his team has not played in the same way in the past two years so it is a bit odd the most common form of a person is a person’s body language or body language that they use in the way they speak to them and they use that to express their own emotions and actions and emotions and to express themselves in ways that make sense and ❤to express them to them to make their own thoughts and emotions that make their feelings more 😢unfortunately the only thing we do not want in our lives to be the way they should feel and the way we feel is our own feelings and emotions,@msiddharth75,2025-08-14T01:05:50Z,1,-0.8765,Negative
"Now why I think that this my fav song is already annoying, time so fast",@andrejristov1193,2025-07-25T22:05:10Z,1,0.0772,Positive
So beautiful soul song lyrics about love,@MilanTamang-c1q,2025-08-13T12:36:03Z,1,0.8553,Positive
Beatiful 😢❤,@villalobosyosmar,2025-07-12T05:07:45Z,1,0.2732,Positive
"3 of her shows in Seattle this week, lowest seat $300, one must have a lot of money to burn. Can you name 3 hit songs of gaga, what a boring waste",@datruth72,2025-08-05T15:16:29Z,1,-0.7717,Negative
Still listening in 2029? So glad that President Newsome has reversed all of Trump's policies. I wonder how long Trump will last now that he's incarcerated at Alligator Alcatraz?,@fakumadda1632,2025-08-22T04:40:30Z,1,0.64,Positive
Emotional 😢,@gihandharmapala8656,2025-07-12T13:49:48Z,1,-0.3612,Negative
Looks like this filmed over a 1.25x speed then slowed to tempo of song. Nice effect.,@danielhernandez4145,2025-08-07T19:02:25Z,1,0.6486,Positive
"Any lover of Jesus Christ? Even though this song comes from a very unlikely source, I feel the rhythm for my late mom and Jesus Christ...",@treasurejirehtv5365,2025-08-08T21:22:45Z,1,0.5859,Positive
Camilo Sesto y Ángela Carrasco Vibes!!!,@DiegoRodriguez_1,2025-08-04T15:37:54Z,1,0.0,Neutral
"07/08/2025 listening to this perfection, my favorite song, I never get tired of listening to it, I'm completely swep away by the lyrics of this song😍😍",@KamillyVitória-h1p,2025-08-07T04:20:30Z,1,0.9411,Positive
This song always deepens the sorrow of ATTACK ON TITAN 😟,@Evolutionwitness,2025-08-13T07:12:47Z,1,-0.8567,Negative
Astronaut Galaxy Reversed,@Windows11OldComputer,2025-08-13T08:48:29Z,1,0.0,Neutral
This song hurts deeply when people gone threw hell in life when the person you love can't feel the same,@Roberto-s3u2n,2025-08-18T01:14:49Z,1,-0.5423,Negative
Lady Gaga kind of gives Amy winehouse vibe!!🎉,@crazysaturdays9724,2025-07-10T14:44:24Z,1,0.508,Positive
Such beautiful lyrics ❤,@adanmatitus6487,2025-08-22T10:58:57Z,0,0.8442,Positive
Aot lyrics,@ni30.kumarr,2025-08-16T16:20:12Z,0,0.0,Neutral
I love how this song takes me on a journey. It starts off slow and builds up to this epic climax that gives me chills every time.,@FallonBentley,2025-07-17T14:41:41Z,0,0.6369,Positive
I remember that time when I was suffering too much to my problems this song was so nostalgic it gives me a sense,@SmalltimeGamingChannel,2025-08-20T00:51:53Z,0,-0.7003,Negative
❤Perfect love story ❤️,@naredarpinian7436,2025-08-12T04:07:56Z,0,0.6369,Positive
This collab hits different when you're building the perfect playlist! 🎵 There's something magical about finding songs that flow together seamlessly - like discovering hidden gems that tell a story. Anyone else obsessed with curating the perfect vibe? ✨https://www.youtube.com/playlist?list=PLFXDS5rzUZjatHetsCpObKyEHdsL3pMiY,@Zaid-songs,2025-08-09T04:29:52Z,0,0.8706,Positive
I shared a song with my grandchildren that i heard lady Gaga sing at SF Chase Center the room was filled with tears and emotions and so much love and it’s my heart. I never heard the song before. I thought I go to YouTube I find this special song for grandchildren wow they already knew the song and they’re only seven years old. I was amazed I played every day for the,@demarastepney4586,2025-08-08T14:21:30Z,0,0.9709,Positive
The song it has vibe,@PhillimonMachethe-d8y,2025-08-06T18:37:24Z,0,0.0,Neutral
"This masterpiece was randomly released exactly one year ago today. And now, one year after, this is music history! ❤💙",@SagaonCarlos,2025-08-15T06:51:05Z,0,0.9299,Positive
This song is my favourite this lyrics this talk this song emotional ❤❤❤❤❤❤❤,@NarendraSingh-le1yz,2025-07-17T15:43:09Z,0,0.9861,Positive
"Die With A Smile’ suits both so perfectly—such a beautiful song for a truly stunning image. It captures a vibe that fits Lady Gaga herself: bold, emotional, and iconic.",@jnlzkiel_sab08,2025-07-28T16:00:14Z,0,0.8387,Positive
Why tf they have her smoking? Kinda ruined the whole vibe of the song for me,@LouieCahill-yt7ks,2025-07-14T22:48:13Z,0,-0.4228,Negative
Aquí un like por los que vinieron por la serie del juego del calamar temporada 1,@angelvideos6935,2025-07-29T14:36:30Z,0,0.3612,Positive
Best emotional song moment is 1:24,@Sumonkumar10,2025-07-28T21:03:29Z,0,0.7003,Positive
Why does Lady Gaga have vibes of Barbra Streisand? 😅,@filiushermesio,2025-08-22T09:52:29Z,0,0.3612,Positive
"My little not so little long nosed sweetheart- we loved Gaga in general- we used to vibe big time! Die with a smile! When you have a greyhound, that's what you do ❤",@Blondatlantic,2025-07-21T23:43:53Z,0,0.9066,Positive
This gave me chills… in the best way,@BjtchufRdychv,2025-08-19T08:47:54Z,0,0.6369,Positive
😊 a beautiful melody inspirations In me day,@alexbenitez3427,2025-07-24T17:09:28Z,0,0.9186,Positive
My girl told me to listen when this came out and the rest is history 🫢,@rem-o2i,2025-08-11T14:04:04Z,0,0.0,Neutral
"As much as I hate Lady Gaga smoking a cigarette. I don't why , but it works.  It's a vibe thing  maybe, but please don't smoke.",@bobbiethomas5137,2025-08-19T21:49:04Z,0,0.1531,Positive
"comecei a ouvir música bem no tempo em que esses dois surgiram, essa colaboração é algo incrivelmente nostálgico, marcaram a minha geração. Com tamanho que este single tomou marcou toda a atual geração e além, eles conseguiram algo que os cantores atuais que só produzem para viralizar não conseguem mais, criaram uma música que entrou para história e eu estava morrendo de saudade de ouvir um som nesse nível, agora eu posso morrer com um sorriso ❤",@jeffersonr1437,2025-07-27T01:53:08Z,0,0.4588,Positive
They are giving Bonnie and Clyde vibe,@amnasaeed3699,2025-07-21T17:02:52Z,0,0.34,Positive
"They are recording it in an open space, or has that effect, making it even sound more nostalgic like retro music.",@KuroMizu69,2025-08-13T18:02:13Z,0,0.4173,Positive
"Die With A Smile: A Legacy of Joy This phrase, ""Die With A Smile,"" speaks volumes about approaching life's end with peace and acceptance. It's not about denying pain or hardship, but rather about cultivating a life where the positive memories and relationships outweigh the negativity. It encourages us to find joy in the present moment, cherish loved ones, and live a life aligned with our values, so that when the time comes, we can depart with a sense of contentment and a smile on our face. It's a reminder to live fully, love deeply, and leave a legacy of joy.",@ammarabrahem1151,2025-08-22T05:36:58Z,0,0.9932,Positive
Missing story of Mikasa 😭😭😭😭,@NTJGmer,2025-08-13T04:35:11Z,0,-0.9274,Negative
I would never have been able to identify Lady Gaga with such a sensual voice in a retro style.  This melody is a true masterpiece  1:24,@diarrassoubaissa7544,2025-07-25T23:13:02Z,0,0.7845,Positive
Slowed reverb make cried and seeing homeless people in the street make me so 😭,@KyndiMawlong,2025-08-14T14:11:40Z,0,-0.7165,Negative
"This music makes me nostalgic, it will always be my favorite song .🥲",@mafaldita009,2025-07-19T21:18:17Z,0,0.4588,Positive
This song is so powerful that it has been listened to by 1.2 billion people in eleven months....,@WasimVivek,2025-08-11T17:29:51Z,0,0.5598,Positive
The guitar is oddly similar to let go(acoustic )by ark patrol,@queuenitzzzunderscore,2025-07-24T10:40:03Z,0,0.0,Neutral
Excellent song.  Lyrics monumental.  Glad to see Bruno agaiin.  Video is a bit strange but that tends to be the rule with Lad y Gaga.,@bwtawny,2025-08-21T08:39:38Z,0,0.4497,Positive
😢powerful song felt my ancestors spirit and it made me shed a tear beautiful song Queen.❤,@Ra7DaGod,2025-08-23T22:21:08Z,0,0.7717,Positive
They probably Shot the song at high speed and the editor made it slow that's why this song has a vibe of dreamy effect (slowly and smooth still perfect),@CAMLaunchpadder,2025-08-18T12:11:32Z,0,0.5719,Positive
"This track really hits the spot! The beat is so infectious, and the lyrics speak to my soul. Definitely adding this to my playlist!",@IslaMontgomery-j3w7o,2025-07-25T09:12:36Z,0,0.508,Positive
Bruno mars is amazing vocalist singer,@AshishChettri-j9y,2025-08-05T03:48:50Z,0,0.5859,Positive
"25/07/2025 This 57 old years ,my Hart os complete explode The emotion i cry of de. Brazil",@carlosfurlanetto4031,2025-07-24T04:24:23Z,0,-0.4767,Negative
"This morbid song really sucks , one of the top 5 worst songs of all time",@antonioangelocento9855,2025-07-19T23:41:09Z,0,-0.7264,Negative
Movie vibes 🎬 ✨️,@asmaaad1743,2025-08-16T23:31:17Z,0,0.0,Neutral
"The song, the music, the lyrics, the ambiance, everything is beyond perfect. 👌👏👏👏",@mrvzturk,2025-07-21T23:04:15Z,0,0.87,Positive
"Year 2010's likes 1980's Vibes Many great singers and they are really competitives hit after hit Like Bruno Mars, Lady Gaga, Taylor Swift, Justin Bieber, Katy Perry and Adele",@LucasGrad1312,2025-08-03T10:06:47Z,0,0.8807,Positive
"If anyone needs any documents like SSN, bank statement, doctor's note, PDF file etc edited, please message me directly.",@MamunEdit24,2025-08-13T10:53:57Z,0,0.5859,Positive
Anyone in 10/08/2025 😢 Powerful Song 🇦🇷,@luisrey3025,2025-08-10T04:14:03Z,0,-0.0772,Negative
"Love these two talents, but one of the worst videos I’ve seen in my 72 years.    Come on a Cigarette?????   Plus all phony!   GAGA I know you’re expressive but give your fans some respect!  😳🤣🤠",@user-zx7uj7oi6e,2025-07-19T16:12:22Z,0,0.8378,Positive
I'm late for sure but this song credit goes to lady Gaga .she's real artist for sure .am gonna slap anybody on their fckin mouth who disagree ..lady Gaga's hitting notes correspond to pitch as harmony that's real shit .reconsider the main vocal it's the second lead that gives the hype for as musical harmony .if you're against then try analyzing lady Gaga's line .she's in perfect pitch as sharp note all the time ..,@joanbacalso345,2025-07-28T13:03:07Z,0,0.9144,Positive
my ex boyfriend put this song to his weeding story. and we both like this song. he just broke up with me and within 1 week he married a whole new girl,@evaadhikary6695,2025-08-03T20:09:50Z,0,-0.0772,Negative
THUS IS AN EPIC SONG!-SONG OF THE YEAR!-SO MUCH DEPTH AND BEAUTIFUL HARMONY!-❤️👍❤️,@lynnkay403,2025-08-18T15:41:51Z,0,0.8733,Positive
This gives me a Teena Marie and Rick James Vibe!! ❤️❤️😉,@purplehealz3476,2025-08-07T14:25:20Z,0,0.0,Neutral
boring😢😢😢😢😢😢,@zayn-e6h,2025-07-11T14:20:21Z,0,-0.9633,Negative
This masterpiece gives me chills,@c.r.o0003,2025-07-27T13:32:01Z,0,0.6249,Positive
"One of the best collaborations to date 💯🎤💣💥🤩🤩🤩 Love them both , wonderful voices and lyrics. The fashion style boom !",@olutoyinlovelimind8197,2025-08-19T21:10:17Z,0,0.8268,Positive
"Verses repeated thrice, with varying chord melodies, inflection and octave blends...",@antitheist9035,2025-08-02T20:44:50Z,0,0.0,Neutral
Wow Bruno's vocal love this ❤,@a2gaming969,2025-07-13T16:56:37Z,0,0.9217,Positive
Still vibe ❤,@SundarSundar-ti3mn,2025-07-13T10:36:57Z,0,0.6369,Positive
Bruno Mars' vocals are so charming🥰,@JaceCove,2025-08-03T12:34:37Z,0,0.9252,Positive
Bruno's vocal it's the 8th miracle!!!,@Enea-ng3eq,2025-07-12T16:54:41Z,0,0.6884,Positive
It's been a long time since I heard a song that gave me chills. Thank you for bringing me out of my funk😔😌,@ryandodge6418,2025-07-25T16:31:21Z,0,0.6597,Positive
Did they go to heaven to get the lyrics to this song?,@carloseduardoalbuquerque8373,2025-08-22T19:38:11Z,0,0.5106,Positive
It's not just a song — it's the emotion of the youth.,@NihaRika25-m4h,2025-07-11T03:38:52Z,0,0.0,Neutral
Unifoodstone are you star world Inês❤❤❤,@dr.marcogranero7559,2025-07-23T16:35:41Z,0,0.9274,Positive
The so-called singers and artists here are actually just Pinocchio puppets and actors. They are sending manipulated subliminal messages. Please be very careful. No one in the world is superior to the people and the nation.,@MekinElmacı,2025-07-10T23:07:27Z,0,0.3848,Positive
The Lyrics😢 Unfortunately I can totally relate ❤,@ElizabethFisher-k3w,2025-07-10T22:45:43Z,0,-0.0094,Neutral
