comment,user_name,date,likes,compound,sentiment,sentimento_manual
Billie's voice on this beat is freaking  awesome❤ such a hit 🔥 and I turned fan of Charli xcx bcs of Billie when I saw this music video with the 2 of them❤,@fatuxa8789,2024-10-07T17:17:10Z,1,0.891,Positive,Positive
Don't agree with the lyrics but- I do it with the music.,@火Lenamai,2025-06-08T16:55:42Z,1,-0.1419,Negative,Neutral
Geiler Beat 😁👍,@djlabello,2024-11-23T23:57:09Z,1,0.4588,Positive,Positive
That beat drop thou,@pyroromancer,2025-08-08T11:38:47Z,1,-0.2732,Negative,Positive
This is fucking awful. Big yikes,@ErinEmergencyx,2024-08-25T04:44:00Z,1,-0.5095,Negative,Negative
Dumbest song I've ever listened to.  The beat sounds like shit.,@timokroger6611,2024-11-25T19:39:21Z,1,-0.6597,Negative,Negative
Get kid Cudi to do your beats on the whole album it should work! Superbowl halftime,@Andrew-g3p8c,2025-03-11T14:28:56Z,1,0.0,Neutral,Neutral
It need a 3rd verse with Melanie Martinez,@crazy12345595,2025-07-12T16:49:02Z,1,0.0,Neutral,Neutral
This song gives the vibe🤘🤟🔥🔥🔥🔥🔥,@Julia_Redleather,2024-11-15T20:24:08Z,1,-0.875,Negative,Positive
"0:33 love heer, totally waiter vibes",@AliKandirr,2025-02-07T08:31:51Z,1,0.6369,Positive,Positive
This song is the reason I'm following omg I've never been sooooo intrigued with a video and the lyrics. Amazing!!!!! This is the song I'll have on repeat ❤,@marikamillard7008,2025-02-08T02:29:27Z,1,0.8798,Positive,Positive
This is a fucking vibe and a half,@ConnieMarie25,2024-10-07T16:45:37Z,1,0.0,Neutral,Positive
Vibe,@Binxthecat036,2025-03-02T14:20:20Z,1,0.0,Neutral,Neutral
"OMGGGGGGGGG I CANT HEAR IT EVERYDAY, cause the beat make me overheat my heart📈📈",@ajslebew,2024-10-04T15:01:54Z,1,0.6369,Positive,Positive
Never thought I’d hear such a dirty song with such a dirty beat with GOOGLE DRIVE in the lyrics 😂😂😂😂😂😂😂,@InnovationStation237,2024-10-21T17:12:20Z,1,0.926,Positive,Neutral
Love that Billie hit that technologic beat in there,@Sadaugustfires,2025-07-01T15:22:23Z,1,0.6369,Positive,Positive
This song give me victoria secrets vibe 🎉,@tanyldz47,2025-02-26T12:14:16Z,1,0.4019,Positive,Positive
"This is awful, I miss when sophie was making her music. This entire genre died with Sophie",@Bigvagina420,2024-09-03T10:32:11Z,1,-0.802,Negative,Negative
Possibly the worst song ever made. My ears are bleeding,@ryanniv1851,2024-10-11T16:08:05Z,1,-0.6249,Negative,Negative
"Pop has certainly moved on from The Beatles' ""I wanna hold your hand""...😮",@jimbob-robob,2024-08-29T07:44:29Z,1,0.6808,Positive,Neutral
What a beat😼💥,@pinsaraanuradha,2025-02-05T15:47:29Z,1,0.0,Neutral,Positive
"Definitely inspired by ""i broke my arm"" by SNL ft. Emma Stone",@vvbbvvbb2595,2024-09-04T08:53:32Z,1,0.4767,Positive,Neutral
I’ve liked Charli ever since her song Fancy with Iggy. That collab with Iggy on Fancy really put Charli XCX on the map for a lot of people — catchy and full of attitude.,@phyumonkhin415,2025-04-26T06:11:29Z,1,0.4215,Positive,Positive
why the fuck am i blushing hard when billie's verse came,@kriskast7017,2024-10-27T13:56:07Z,1,-0.5994,Negative,Neutral
Ashnikko would have been a beater feature,@Sexyunicorn93,2024-10-14T03:42:11Z,1,0.0,Neutral,Negative
"Wow have not heard Charlie Xcx's voice in a decade. Only know her from her hook in Iggy Azalea's ""Fancy"". She looks like a completely different person in this video. Would have never guessed that was the same girl in the hook from Iggy's Fancy video .Never bothered to listen to any of her music throughout all these years. Hell, I've heard Bart Baker's parody of Fancy with a dude impersonating Charlie in the hook more than I heard Charlie sing the actual hook lol So it's fitting how Fancy made me discover Iggy Azalea, Charlie Xcx, and Bart Baker all at the same time. Learned of this track by seeing a pretty female dancing in a video short, and she was dancing to this song. Than I just kept seeing girl after girl dancing to this song in video shorts without me even having to manually search for them. The interesting part of it is that they are all dancing to Billie Eilish's verse, and cut it off where you never hear Charlie whatsoever. I'm guessing Billie Eilish is far more popular than Charlie. This actually is the first time I heard Billie Eilish in a song. Been living under a rock I suppose. I just don't listen to music nearly as much as I did in the past. I really dig this song though. I could so picture this song playing in a cinematic scene of people doing ecstasy, and being extremely sexual with each other. It's a very sexualized type of song, but I'm so digging the vibe of it all. The vibe makes me think of Demi Lovato's 'Cool For The Summer'. I so loved that song when it came out. For some reason I get the vibe that this is the type of song Billie Eilish doesn't typically make. This song keeps sticking in my head along with Billie Eilish's provactive facial expressions. They both look like their under the influence of some drug that enhances sexual libido. The song subject manner makes it seem like their both on ecstasy, and so sexually open for any type of sexual stimulation. I don't know, that's just how I perceived this song and music video. Nonetheless, it's hot and sexy, and seems so hypnotic and addictive. I highly doubt many even blink an eye to the 11 age difference between Charlie and Billie. Charlie is 32 and Billie is 21. As long as one is of legal age, age becomes more and more of a non-factor when it comes to being prejudice towards a big age difference. A romantic/sexual relationship between a 33 year old and a 44 year old would not be very controversial at all. If this came out when Charlie was 21 and Billie was 10, it would disgusting, revolting, and have Charlie imprisoned if she had even the slightest sexual relationship with a 10 year old Charlie Xcx. Age is so controversial when one is underaged with one who is at least 18.",@JaizMusic,2024-08-29T09:31:40Z,1,0.9617,Positive,Neutral
DIE ANTWOORD Beat-tracks Re-hash....  Inspired maybe?  Hmmm.......,@southpasadenan,2025-07-28T07:47:09Z,1,-0.347,Negative,Neutral
Daft punk technologic vibes,@bekuostudio,2024-09-26T02:25:21Z,1,0.0,Neutral,Neutral
"Gaga, you wrote „aaaah” in lyrics and not „ohoohooohohohoooooooo” 🥸 I came not prepared",@MarcinDiering,2024-10-25T15:05:46Z,1,-0.1695,Negative,Neutral
"When Billie arrived, my heart fucking dropped. LIke girl, she made quite the entrance. Also, her verse was the best.",@ben-neon19,2024-11-12T21:03:05Z,1,0.9038,Positive,Positive
Good music. Completely lame lyrics and video.,@8jaime8,2024-10-15T21:08:40Z,1,-0.0498,Neutral,Neutral
I love the beat❤,@theresale4956,2024-10-19T11:02:28Z,1,0.8555,Positive,Positive
"Love the 2000's vibe, bugs me that half the clips aren't in time to the beat of the song 💀 we got people making videos for free with CapCut in better time than this one",@xRaisa5,2024-09-06T20:08:23Z,1,0.886,Positive,Positive
gosh the 2nd verse hit really hard 🔥🔥🔥🔥🔥🔥🔥🔥,@intopinkclub,2024-10-21T10:25:49Z,1,-0.9548,Negative,Positive
Billie Eillish just crashed in with that sick deep bass,@Ryanmanification,2024-09-01T09:36:24Z,1,-0.5106,Negative,Positive
SPAIN IS SUCH A VIBE,@Alxdr24,2024-10-08T18:34:26Z,1,0.0,Neutral,Neutral
Im sorry. This is the worst song ever.,@iktotia,2024-12-20T20:25:05Z,1,-0.6597,Negative,Negative
A 40 something here and I love this collaboration! Fantastic edm vibes!,@kmcamcas3316,2024-09-06T05:56:28Z,1,0.855,Positive,Positive
Daft Punk vibes,@roskipp3r,2024-08-27T03:34:25Z,1,0.0,Neutral,Neutral
I’m scared to see if stone throws stuff on the stage when they perform this at a concert,@furtherseemsforever09,2024-09-06T23:24:03Z,1,-0.4404,Negative,Negative
Lot of rehashed syntho sounds and stop check rhythm lyricism from the past 30 years are in this song. But DAMN! Gots me groovin! Not bad ladies. Not... bad... at... all.,@PuffDaddyLungFish,2024-08-23T18:33:24Z,1,0.4375,Positive,Neutral
This is the first time i ever focused on the lyrics,@lolore._.laiii5,2024-08-24T06:56:02Z,1,0.3818,Positive,Positive
"this music lyrics is so well made, omg, it has links everywhere",@killerqueen8152,2024-09-24T23:38:30Z,0,0.4101,Positive,Positive
i recommend watching the video in 360p to feel the vibes that u traveled to the early 2010's where MTV played this song after midnight,@parawhore-vi8sv,2024-08-31T15:15:04Z,0,0.5994,Positive,Neutral
"Killer tune, shame the lyrics are so intensely lame.",@8jaime8,2025-04-23T00:25:30Z,0,-0.895,Negative,Neutral
Ima feel nostalgic after 13 years ahhhh💅😭,@YoRager,2025-01-12T02:05:45Z,0,-0.4767,Negative,Neutral
"The vid gives me such She Looks So Perfect vibes from 5sos 😂 just me? Okay, bye 😂",@cistelecanizabella512,2024-09-02T06:16:29Z,0,0.9089,Positive,Neutral
"What a great piece of art-work! The drive, surprise and down-to-earth vibes which re arriving at me :)",@cybermücke,2024-09-25T18:46:20Z,0,0.8588,Positive,Positive
Billie Eilish is my best contemporary!,@ІгорПопович-э4ч,2025-04-12T00:39:31Z,0,0.6696,Positive,Positive
Why we don't talk about that fucking lyrics?,@Ghazal_Amini,2024-09-06T05:51:20Z,0,0.0,Neutral,Neutral
Stop stealing from underground American producers/artists.  It's shameful.  At least credit the people you steal rhyme schemes and beat from.,@GhostlyEcheveria,2025-06-11T02:32:02Z,0,-0.8658,Negative,Negative
Fuckin annoying song very stupid not a fan at all,@Greytide96,2024-09-15T16:29:46Z,0,-0.8247,Negative,Negative
I love the beat but the lyrics are idiotic,@YetiKNation,2025-03-09T17:25:50Z,0,-0.5106,Negative,Neutral
"Perfect for aspiring ambitious women, first I thought it was generic but great beat without vulgar language or behavior and classy women being a little wild sexy. In my opinion🎉",@AbelChapa-j2r,2024-12-02T13:09:39Z,0,0.9707,Positive,Positive
The lyrics are so sad that a tear rolled down my leg 😢,@Minju.mustdie,2024-09-20T01:59:18Z,0,-0.7959,Negative,Negative
SLAVE4U vibes 🥵 #britney,@baymaxthepig,2024-08-31T02:49:54Z,0,0.0,Neutral,Positive
"I love how completely out of context the chorus was taken, and appealed to the masses on TikTok 🌈",@tenayal-a7553,2025-06-10T22:04:20Z,0,0.6369,Positive,Positive
Reminds me of Kesha's song. Same horny vibe.,@_REcon_,2025-02-12T14:09:15Z,0,0.0,Neutral,Neutral
Relax tempo,@Brio-b5m,2024-11-02T04:13:09Z,0,0.4404,Positive,Neutral
Nice beat,@DanielJones-p4c,2025-05-12T03:53:21Z,0,0.4215,Positive,Positive
"Ngl, 2009 vibes",@r.i.p.plegaming2327,2025-02-27T11:54:32Z,0,0.0,Neutral,Neutral
yall are beating a dead horse..................................,@GOONANDBATE,2025-07-17T19:15:31Z,0,-0.8074,Negative,Negative
It's the same beat as the song Wasapi,@xamal_toui2554,2024-08-28T21:09:37Z,0,0.0,Neutral,Neutral
One of the worst of 2024.  Devolution of talent & ideas.,@flyingfishsurf,2025-03-02T15:48:18Z,0,-0.3182,Negative,Negative
Anyone else getting the Dirty from Christina vibes in this?,@sbenz17,2025-03-21T11:20:33Z,0,-0.4404,Negative,Neutral
"Guess?  I will only guess if I get my rules.  Because I'll be wrong.  Agree or disagree.  5.  4. That was quick.  God.  Did we even make it to the salad?  Okay, I'll guess but it won't work.  It'll be wrong.  I'm not throwing Diplo's underwear on there.  He has to throw it himself.  Oh, and Johnny Blue Skies.  I'm KEEPING Dove Cameron's underwear for myself and who would want what's his name's underwear?  Umm.  I say ""Use Me (Brutal Hearts).""  I know.  Wrong.  But it was a good guess.  AGAIN?  Fine.  Try...I found this one yesterday.  ""Driver's License"" By Olivia Rodrigo & ""Disease"" By Lady Gaga.  Last week, I think, there's ""Make You Mine"" By Madison Beer & ""STUPID feat. Yung Baby Tate"" By Ashnikko.  AS best I CAn teLl, ""15 Minutes"" By Madison Beer is also rolling with ""Pressure"" By Billy Joel.  It's a start.  My preamble is a wreck. I'm improving.  Oh, I had Serrano's with the moms today.  She got the kidney stones last week and I didn't hear about it until after the fact but she needed some help today and I'm off today so helped set up the new wifi and put things in the vehicle.  The grams died back in December so she's going back and forth dealing with stuff.  Yeah.  Woke up and...noticed Guess.  I don't know.  Day off.  Going back to day off.",@PrinceSlimyskin,2025-02-26T23:00:56Z,0,-0.7149,Negative,Neutral
"tja een Bromance met Zelensky is toch helemaal zo gek nog niet eigenlijk.. lekker potje ijshockeyen af en toe en ach zn engels wordt vast wel wat aantrekkelijker in de loop der tijd... daar moet je niet moeilijk over doen natuurlijk op mijn leeftijd is t ook wel een keertje mooi geweest zou je wijselijk denken en dan laat je meisjss voor w🎩 ze zijn en houd je op de koop toe je rug heel wie doet je w🎩 en kan ie meteen uit de doeken doen of ie nou een toneelstukje deed of niet... want man dan ja had ie trump stevig te pakken natuurlijk die ging er met boter en suiker in hopend op een ""miracle""...",@hbnederland123UandMe,2025-03-03T17:02:01Z,0,0.4215,Positive,Negative
"Technologic by daft punk, same beat 🤯🤯🥵",@whyte_lotis,2025-02-03T00:29:54Z,0,0.0,Neutral,Neutral
"It’s bringing back vibes of old skool video clips, what a clip and track",@LexieRose_1111,2025-02-16T02:39:52Z,0,0.0,Neutral,Positive
is that what passes for singing these days? talking in a monotonous single tone?,@drwhotvfan,2024-09-02T10:25:05Z,0,0.0,Neutral,Negative
Lê Serafim vibes,@CauaFelipeartesedesenho,2025-03-30T02:42:48Z,0,0.0,Neutral,Neutral
God this is such a melody😊,@shawnnbits,2024-09-07T23:22:13Z,0,0.7964,Positive,Positive
fuuuuuck such a dope entrance... and verse,@adaydreamhd,2024-12-29T12:22:48Z,0,0.0,Neutral,Positive
"I think Rosé will earn a nomination for best new artist, and probably for Best pop vocal album with Rosie",@kendrycastellano8443,2025-05-31T23:19:31Z,0,0.8555,Positive,Positive
