comment,user_name,date,likes,compound,sentiment,sentimento_manual
"Powerful explosive vocals, emanating pure vulnerability to a  God whose actions seem so inexplicably untoward but at other times merciful and benevolent",@juanreese6933,2025-05-31T23:10:29Z,3,0.7935,Positive,Positive
NOW THAT IS SOME GOOD MUSIC NOW THAT IS GOOD BRO LIKE THE LYRICS ARE RHYMING I I JUST LOVE IT BRO JUST PERFECT GIVE THIS MAN A REWARD OR SOMETHING!!!!,@stephaniecrouch8125,2025-05-15T19:49:09Z,2,0.9685,Positive,Positive
Every beat feels like it’s telling a story. This is art in sound form! 🎶✨,@EDMDriftzz,2025-07-03T07:47:21Z,2,0.6239,Positive,Positive
The energy in the chorus is on a different level. Thank you for the music.,@ChilloutDeep-n1s,2025-07-03T08:13:58Z,2,0.5574,Positive,Positive
One of the worst things I’ve ever listened to,@GluteusMaxximus78,2025-06-12T18:57:00Z,2,-0.6249,Negative,Negative
"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",@XeniaHolt-k1v,2025-08-05T08:49:22Z,2,0.784,Positive,Positive
"May 2025 after my breakup and she got married,I am all alone in this universe",@sumeetsingh6821,2025-05-24T09:42:16Z,2,-0.25,Negative,Negative
POWER HOUSE Vocals !,@billyjordan174,2025-06-18T23:38:50Z,2,0.0,Neutral,Positive
"But I know the things he gives me, he can take away....the best piece of lyrics in this song imo",@DannyGordon-qy7zo,2025-05-27T18:51:07Z,2,0.7783,Positive,Positive
This is one of the worst songs of all time,@Webby_fps,2025-05-22T04:22:30Z,2,-0.6249,Negative,Negative
The worst song of all time yet,@fuckusingfullname,2025-06-30T18:16:02Z,2,-0.6249,Negative,Negative
"OMG, IV'E NEVER LOVED A SONG SO MUCH, AND THE CHANGES OF VOICE AND VOCALS IS AMAZING, I LOVE WHEN SONGS COME CALM AND THEN WHEN THE SINGER SINGS HIGHER AND IN THE TIPE OF WAY THAT MAKES YOU THINK OF A LOT OF THINGS IN ONE ENJOYING EVERY MINUTE, THE BEST PART IS THAT I LISTEN TO IT EVERY TIME AND AFTER THE SONG FINISHES I REPLAY IT, ALSO IM ONE OF THOSE PEOPLE THAT WITH SONGS THEY IMAGINE THINGS LIKE IF YOU WERE IN A SERIES AND THIS SONG IS JUST PERFECT, SO I SAY IT 1 TIME. I ABSOLUTELY LOVE IT❤❤❤❤❤❤❤❤❤",@pilarpons2612,2025-08-07T02:07:30Z,2,0.9974,Positive,Positive
Mr. Benson.... Thx again for the power in the deepest and difficult time of my life. ❤,@MrMarcin0711,2025-07-30T00:20:09Z,2,0.6369,Positive,Positive
Ya!  I think You have it All! Artist Brilliant Writer Lyrics Music video... love it All !🕊️🕊️🕊️🕊️🪂🎸✍️🤔👌⚡⚡⚡⚡⚡⚡🌟⚡🌟🤸🎤😮 Little Miss copper stone 🪐✍️🪂🤼🤼🤼🤼🤼🤼🤼🧩🧩🧩👍 And  You.... Have... the....Girl...🎸👌✨✨✨✨✨✨✨ Band members 🎤 Amazing 🤩 Thank You..,@JeriOsuna,2025-08-04T15:50:46Z,2,0.9907,Positive,Positive
"Wow, this song is an absolute masterpiece! 🎶🔥 The energy is contagious, and the vibe is so unique! 👏 Can't stop replaying it. 😊 Keep up the great work, you’ve definitely got a fan here! 🙌 #MusicLovers",@EstyleMusic,2025-05-21T13:56:10Z,2,0.9721,Positive,Positive
This is one of the most nostalgic music of all,@ChristopherChristopher-u8b,2025-05-15T00:20:13Z,2,0.0,Neutral,Neutral
Benson Bonne has the best vocals ever❤❤❤,@hongqi700,2025-06-29T06:54:31Z,2,0.9571,Positive,Positive
It the words & beats connected with my soul ❤,@jessydecoteau2488,2025-05-21T11:38:52Z,2,0.6369,Positive,Positive
"“Jelly Roll, please! The prophecy says I’m the one who will make the worst song! Think about what you’re doing!”",@idothings_official,2025-06-26T22:35:07Z,2,-0.5684,Negative,Negative
This song is extremely annoying to me idk why though could just be a me thing,@Wdog1847RL,2025-06-06T13:40:51Z,1,-0.5256,Negative,Negative
This verse 1 of the song sounds like Zac Brown - Colder Weather,@dheemans5707,2025-06-22T00:24:43Z,1,0.3612,Positive,Neutral
this is fecking awful...,@mulyadisukindo2186,2025-06-09T13:37:25Z,1,-0.4588,Negative,Negative
"Benson, GREAT song man !  👍  It's now on our PUBLIC YouTube PLAYLIST  MIX:  Songs with Solid Lyrics ",@jaybortnik,2025-06-16T17:59:23Z,1,0.7734,Positive,Positive
I love how the rhythm suddenly changes 🎸,@Elisa-miel,2025-06-11T11:30:55Z,1,0.6369,Positive,Positive
"Just found about Benson Boone watching Jimmy Fallon a couple of weeks ago… promoting his new album …what a talented young man!!!!❤ WOW!!! Ordered his CDs- all of them!! Been watching the videos posted… he really can touch his fans with his lyrics and musicality, very REAL, good story teller. The emotions are so raw… love you Benson❤",@janiscallow1255,2025-07-12T03:19:43Z,1,0.9827,Positive,Positive
Powerful ❤,@theogsmoker7172,2025-06-15T05:05:11Z,1,0.7906,Positive,Positive
"music video, lyrics, and voice is all beautiful ❤❤",@dibora-u7s,2025-07-05T16:52:04Z,1,0.9231,Positive,Positive
The melody is gentle but full of emotion,@Still-Voice-Podcast,2025-08-08T07:02:05Z,1,0.2382,Positive,Positive
"I really hope this becomes a future classic for you guys, its powerful 😅😅😅",@SteveReno187,2025-05-30T17:06:41Z,1,0.9099,Positive,Positive
Me my uncle and my uncles bf were driving to Orlando and this song came on so when the beatdrop happened we turned it up all the way he was singing and I was clapping along to the beat while he was going 120 mph we were so loud we broke the speaker now this is my favorite song 😂😂😂,@JustinOliver-t5y,2025-07-20T10:46:40Z,1,0.8242,Positive,Positive
yeah the song is actually fire 🔥 if only you’d work that first verse a little more into the song maybe as a chorus or just another part of the song I feel like that’s the cherry on top that’s missing💯,@Alexperez-be6jn,2025-05-20T08:56:29Z,1,-0.128,Negative,Positive
The video is well filmed and the song gives the best vibes !perfection!,@AnkitaAhlawatSood-q5o,2025-06-24T14:08:18Z,1,0.8906,Positive,Positive
Seems like AI work. Been seeing too much of that of late. Sounds monotone across singers,@claytonstrickland6433,2025-06-13T05:59:24Z,1,0.3612,Positive,Negative
"This is Exactly what i wanted to listen , DownTempo blues fresh style",@HowHighFilms,2025-05-07T21:11:52Z,1,0.3182,Positive,Positive
❤ this song .!!!! I look forward to more of your beautiful vocals !! 🎉,@sushilgeorge9488,2025-05-31T02:40:49Z,1,0.9221,Positive,Positive
I. love this song your voice is beautiful I love how. it's quiet then you start picking the. beat up a lot more ❤❤❤❤❤,@EE-sigma,2025-05-26T08:03:25Z,1,0.9887,Positive,Positive
benson boone's voice is so powerful like he's powerful thankyou benson boone for making this amazing  song support and like benson boone for his wonderful  songs,@MrMrsMorris,2025-05-28T12:50:48Z,1,0.9705,Positive,Positive
Oh wow he does give off lifelong LDS vibes. Cool.,@mads9259,2025-06-09T00:45:07Z,1,0.7269,Positive,Positive
"This song is in and of itself a beautiful thing. Wonderfully written and performed, it also serves as a powerful treatise against Yahweh. It presents him as he actually is, a petulant child of misunderstanding who would snatch away the things which bring us joy in order to manipulate us into bending to his will.",@dylgibson,2025-05-18T15:42:10Z,1,0.9118,Positive,Positive
Worst crap ever,@Scriptm8,2025-05-18T17:27:37Z,1,-0.7717,Negative,Negative
annoying ahh song,@wali.reuploads,2025-05-22T14:25:32Z,1,-0.4019,Negative,Negative
Vocals and cinematography are very good and precise,@UkpaiKalu-hb2ix,2025-05-16T13:34:25Z,1,0.4927,Positive,Positive
"I don't like the lyrics. On surface, it looks like he fears God, but when you carefully listen, you notice that he wants God to be OK with his girlfriend staying overnight, which indicates fornication. I wonder what happens when the girlfriend gets pregnant, will he tell her he's ""not ready yet"" and she should abort the child??",@rebeccaa.3121,2025-07-13T03:37:28Z,1,0.704,Positive,Neutral
"I loved Benson Boone's vocals because i'm impressed, his voice was nice and great❤",@Haroldlovesdogs_3607,2025-07-16T00:37:08Z,1,0.959,Positive,Positive
What about the banality of pretiness of Benson's beautiful things totally disengaged from real life? Lyrics and music totally mediocre.,@netmendo,2025-08-07T21:51:51Z,1,0.5994,Positive,Negative
Probably one of the worst songs of the year maybe of the decade. Anybody that says this is their favorite song is deaf,@lolzorsPwnage,2025-06-04T04:40:07Z,1,-0.2732,Negative,Negative
"great video! i love the emotional depth Benson Boone brings to his music. but honestly, while the visuals are stunning, i feel like the song could've had a stronger hook to really make it memorable. what do you guys think?",@wilhelmina-q6c,2025-05-07T16:11:32Z,1,0.9531,Positive,Positive
Most annoying song in the history of man,@Phuck-o,2025-06-12T05:14:41Z,1,-0.4576,Negative,Negative
\benson boone/\beatutiful things/ For a while there it was rough but lately I've been doing better then the last for cold december i recall i see my family every month and i found a girl my parents love she'll come and stay the night and i think i might have it all and i thank god every day for the girl he sent my way but i know the things he gives me he can take away and i hold you every night and that's a feeling i want to get used to but there's no man as terrified as the man who stands to lose you oh i hope i don't lose you oh i hope i don't lose you mmh please stay i want you i need you oh god don't take these beautiful things that i got  please stay i want you i need you oh god don't take these beautiful things that i got please don't take i found my mind I'm feelin safe and it's been awhile but im finding my fath and everythings good and it's great why do i sit and wait till it's gone oh i tell ya i know I've got enough I've got peace and I've got love but im up at night thinkin i just might lose it all PLEASE STAY I WANT YOU I NEED YOU OH GOD PLEASE DON'T TAKE THESE BEAUTIFUL THINGS THAT I GOT oh please stay i want you i need you oh god i need these beautiful things that i got {this took a while},@puppyplayzrobloxYT-99,2025-06-26T11:04:26Z,1,0.9968,Positive,Positive
you sound like a screeching chihuahua its annoying sorry not sorry,@johnnydunn1477,2025-06-30T23:51:12Z,1,-0.0716,Negative,Negative
i don't believe in god but this song does remind me im at the mercy of the universe.,@thenightranger4253,2025-06-30T20:13:14Z,1,0.4297,Positive,Neutral
The lyrics of this song are so relatable. It's like the artist reached into my own experiences and put them into words.,@JoannaCzajka-l9t,2025-08-04T18:33:53Z,1,0.4877,Positive,Positive
I know all the words and the rhythm is great,@bigb3nbino-ot9sb,2025-06-05T15:39:25Z,1,0.6249,Positive,Positive
"Thank you Benson Boone, you made me discover I'm straight! (PS: My dad beats me!)",@jadebladeZ,2025-07-15T02:23:56Z,1,0.6103,Positive,Neutral
Is beatiful the song❤ jajaj mentira hablo español pero si es bonita la canción ❤❤,@FiorellaLópezSolar,2025-05-25T16:28:52Z,1,0.9274,Positive,Positive
"I just found you today and im so happy that i did, you are one of a kind and i hope you keep that energy, its amazing just to watch the people performing with you. Your energy is contagious, The excitement they show when you get excited/do your flips or hit your high notes,the world needs more people like you.",@Jayess-c,2025-05-25T01:15:43Z,1,0.9706,Positive,Positive
Generic,@GuyAllard-ug2gl,2025-07-05T13:20:40Z,1,0.0,Neutral,Negative
I am a big fan of your song I have the same song on my fortnite lobby I know every lyrics so thank you for making this song❤❤❤😅,@DaySocks-x8r,2025-07-14T20:30:35Z,1,0.9672,Positive,Positive
"Funny how people act like Beautiful Things is the worst song ever made, just because it’s trending, touch grass",@aggaciro,2025-07-21T04:05:52Z,1,0.6369,Positive,Neutral
Your voice your notes shine high man ... Whooo what a song,@pp90rath,2025-06-05T15:41:09Z,1,0.0,Neutral,Positive
"The vocals, the lyrics, the video production. All perfection. This song lived up to the teaser hype. Should be proud of this one😂😂😂🤣🤣🤣🤩🤩😍😍😍🥶🥶🥶🥶🥶🥶🙏  it is a masterclass he is the goat of english songs please3 1000 ikes in 12 days",@angeloakafak,2025-06-20T13:01:52Z,1,0.985,Positive,Positive
This is the kind of song that will stick with you for a lifetime. Outstanding chorus.,@darrenb9843,2025-06-26T18:58:21Z,1,0.6124,Positive,Positive
I like the lyrics,@Lucas-w8i6r,2025-07-26T22:55:53Z,1,0.3612,Positive,Positive
Benson Boone has his vocals. He sings along and lyrics are beautiful!,@AvilGaming7,2025-06-20T18:33:27Z,1,0.636,Positive,Positive
My vocal instructor wants me to sing this <3,@moonl1314,2025-05-14T18:59:41Z,1,0.5228,Positive,Positive
"The vocals, the lyrics,the video production. All perfect 🥰😍🤩",@YeabsiraNeto,2025-08-05T10:43:58Z,1,0.9325,Positive,Positive
Wow you are awesome! I've heard this song a lot and love it! I didn't realize you grew up just down the road  25 miles.  Love this song-the structure-the surprise-the chorus. wow. It's awesome!,@Yamparunner,2025-05-31T05:00:30Z,1,0.98,Positive,Positive
The lyrics are so perfect❤,@Fishesandjimmy,2025-06-16T23:26:22Z,1,0.8808,Positive,Positive
Pure vibes ✨,@TessaBrodie-o1b,2025-08-03T11:25:21Z,1,0.3182,Positive,Positive
The power of this playlist is in its simplicity. No loud beats or overwhelming lyrics—just honest music that speaks to the heart. It’s the kind of vibe that turns any space into a peaceful haven. Bravo! 🏞,@CountryMusicCollection98,2025-05-15T03:05:25Z,1,0.8687,Positive,Positive
This song brings the feels out of me in the worst way every single time. Hats off to you for making this song,@everreddviii,2025-05-29T17:34:00Z,1,-0.6249,Negative,Negative
"Good  lyrics. There is God sovereignty! ""God can take it away"".  Great music.",@SarahandPets2024,2025-07-01T09:17:57Z,1,0.8883,Positive,Positive
So powerful ❤️,@lilulove1,2025-05-15T09:56:47Z,1,0.4754,Positive,Positive
"What a smasher!! LOVE this guys voice and his vocal range, I'd listen to him sing all day 🎙🎶🎙🎵🎙🎼",@murielhughes1060,2025-05-29T11:14:00Z,1,0.7592,Positive,Positive
This is awful,@MikeMatsumoto-v4x,2025-07-08T13:36:53Z,1,-0.4588,Negative,Negative
I can feel the vibe in my soul❤❤❤,@msphine5269,2025-06-09T14:39:46Z,1,0.9274,Positive,Positive
Are .. You...Kin...to Daniel....Boone?   ?😂😂😂😂 Little Miss copper stone... Good Luck 🤞✍️🤼🧩🧩🧩🧩🧩🧩🧩🧩🧩🧩🧩🧩,@JeriOsuna,2025-08-04T15:55:37Z,1,0.9481,Positive,Neutral
❤❤❤ 🔥 🔥 🔥 incredible 🎶 voice lyrics & range! Finally some meaningful 🎵! I have been under a 🪨 past 2 yrs (or n hospital) & this man’s music helped me during the hardest time in my life! Thank you Benson Boone & band for keeping real to your  💜,@kailimaciejewskivlogs3053,2025-06-26T13:15:13Z,1,0.9537,Positive,Positive
The tone is so warm,@IvyFraser-f9e2w,2025-07-28T19:12:46Z,1,0.3593,Positive,Positive
Perfect voice and lyrics 😢😢😢,@ThatGuyOrie,2025-08-03T02:07:27Z,1,-0.6808,Negative,Positive
Benson Boone is the worst,@HavenNicole-u6d,2025-06-08T01:17:58Z,1,-0.6249,Negative,Negative
The lyrics of this song…!!! Simply exceptional!,@embellepatience,2025-07-23T13:35:52Z,1,0.0,Neutral,Positive
This song is so annoying. I mean the lyrics are so repetitive.,@entertainmentunivers,2025-06-23T02:56:11Z,0,-0.7276,Negative,Negative
"I dont care what style it is, give me good lyrics and talented musicians, that's all I need",@zoorenard,2025-07-08T20:48:47Z,0,0.5532,Positive,Positive
"I know I keep commenting on this video but I can't help it 😂. Benson you made me love this song, I play it everyday on my phone. I sing it out loud everyday I have a deep connection to this song. I'm thinking about getting it tattooed on my shoulder. 😊😊. God bless your soul man. I hope you find peace one day. You are the guy that came into my life and make my day Everytime I hear your songs. Aman brother",@whaaaatTV-b6k,2025-07-11T05:32:31Z,0,0.9922,Positive,Positive
"Just recivied the worst news possible a mum can get, and i dont know how to tell my husband and kids😢😢",@catrinamahmoud6779,2025-06-13T11:14:57Z,0,-0.8834,Negative,Negative
Nice lyrics Benson. 😀,@Loco4Poco27,2025-06-23T21:52:17Z,0,0.6486,Positive,Positive
The lyrics are so relatable,@PoppyWood-g4z,2025-07-27T15:44:01Z,0,0.0,Neutral,Positive
This song is sooooo catchy 😊,@GardnerLindsay-q4i,2025-07-02T00:59:58Z,0,0.7184,Positive,Positive
Great lyrics!,@shannontrejo729,2025-07-20T00:44:20Z,0,0.6588,Positive,Positive
"Vocals, angel-like, however, the lyrics ""I need you"" Kind of cringe, God doesn't want her children to be needy!",@buddyindigo,2025-07-23T12:48:15Z,0,-0.2057,Negative,Positive
"Wow, what a powerful song!",@Zodahmusic,2025-07-13T18:53:10Z,0,0.784,Positive,Positive
Looks like Queen vocalist,@AJNaga297,2025-06-29T07:41:21Z,0,0.3612,Positive,Neutral
Came here from Matt Stoner and Ive never been so happy to do so.,@Paraphapanda,2025-07-03T15:16:50Z,0,0.6948,Positive,Positive
"Jessica Sanchez's AGT cover brought me here, it was mind-blowing and gave me chills! Love your song! It resonates with almost everyone as it captures the raw emotions and silent fears we all feel when we’re holding on to the people we love most.",@lady.general,2025-07-16T19:04:49Z,0,0.8011,Positive,Positive
It was my ringtone for  a long time ❤❤❤❤❤❤❤❤❤❤❤❤❤😅😊,@kathys.durbin5374,2025-07-20T16:35:01Z,0,0.9966,Positive,Positive
"The first chord, that notes/tones scale, was taken from the ""74 - 75"" by The Connells theme.",@beefeatereater9067,2025-08-07T10:56:07Z,0,0.0,Neutral,Neutral
You are a gifted musician who transmits and evokes emotions in the listener! Beautiful work!,@jazmingarcia1890,2025-06-01T16:20:43Z,0,0.6688,Positive,Positive
"Dear Benson, in about 20 years, after getting your ass kicked by Life up one side and down the other, you’ll understand the deeper meaning of your lyrics.",@Alex-em9yz,2025-06-19T03:52:42Z,0,-0.2263,Negative,Negative
The vocals always got me <3,@DeniseTheSiamese,2025-05-27T05:21:45Z,0,0.4404,Positive,Positive
beatiful song,@DaniaGeraldineValeroChavez,2025-07-05T17:34:50Z,0,0.0,Neutral,Positive
I usually turn down the high pitched songs but not this one😊,@ZeekerTheSeeker,2025-07-30T03:01:20Z,0,0.1974,Positive,Positive
"I Shazamed this song when I was at the store, it was on the P.A.  Only caught the last part b4 it ended. Came home and listened.... I am bowled over, hard like stone. Broke down in tears. So powerfull. I am busted up, split in 2. Every emotion experienced!",@derekdynamo,2025-06-04T22:18:04Z,0,-0.4389,Negative,Positive
His giving off Logan Paul vibes,@dabsavage3163,2025-07-28T15:45:56Z,0,0.34,Positive,Neutral
Bro this guy is a king of lyrics thats why he is a legend,@spongelobster581,2025-06-16T08:52:16Z,0,0.0,Neutral,Positive
"I love this song, and really wished that there was at least one more verse.",@KathieH-l5j,2025-06-23T05:40:09Z,0,0.6369,Positive,Positive
This song is nostalgic and very personal for me.,@Ian-c6g4o,2025-07-22T10:15:58Z,0,0.0,Neutral,Positive
Only vibe....lovelly,@CardosoVacareia,2025-08-03T21:49:24Z,0,0.0,Neutral,Positive
The chorus sounds better in 2.0 speed anyone agree ?,@CarloBets,2025-06-01T20:09:11Z,0,0.6597,Positive,Positive
Rocking song 🎵 Lyrics speak truth ...Thankyou listened to it all the way home ...killer voice.,@richardbartlett5167,2025-06-11T20:44:11Z,0,-0.4588,Negative,Positive
Wowwwwwwwwww so club so beatiful days ❤❤❤❤❤❤😢😞😞😞😞👇👇👇👇😍😍🤩🤩🤩🤩🤩,@ZehraHəbibov,2025-06-20T12:43:27Z,0,0.9565,Positive,Positive
Wow! I love his voice!!!! So many emotions❤❤❤❤,@maryroseluciano7692,2025-07-29T09:43:56Z,0,0.9817,Positive,Positive
well written lyrics 🔥🔥🔥,@JOSHUACRUZ-k9w,2025-07-19T15:34:45Z,0,-0.6249,Negative,Positive
Nostalgic,@fayjunnaharpapiya2302,2025-06-23T19:54:17Z,0,0.0,Neutral,Neutral
"Please check out my Piano Cover of ""MOMMA SONG"" with Benson Boone on vocals -----> https://youtu.be/ditSv5vqycI",@therealCameronMonti,2025-06-06T21:30:57Z,0,0.3182,Positive,Neutral
this song is kinda emotional But its a banger,@WillTeam1234,2025-06-03T21:11:11Z,0,0.0396,Neutral,Positive
This song has such a catchy beat!,@VioletKessler-y8o9h,2025-05-31T10:44:41Z,0,0.0,Neutral,Positive
😩the chorus 😊💃💃,@OriginalTionie,2025-07-18T12:59:11Z,0,0.5994,Positive,Positive
"I can't believe it's been a year already, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, the vibe goes hard. 1 year since this went off the charts along with They Not Like Us by Kendrick Lamar and many other great songs during 2024 and during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2020 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad!",@matthewmichel6508,2025-07-25T00:32:33Z,0,-0.9751,Negative,Positive
"Amazing song. Video perfect, lyrics on point.",@IfyCynthiareal,2025-06-01T18:39:59Z,0,0.8176,Positive,Positive
This is absolute vibes,@AliceKnight-i3z,2025-07-28T18:51:47Z,0,0.0,Neutral,Positive
This video is giving me the vibes of the take that's patience song <3,@Pudimderum,2025-06-18T16:53:52Z,0,0.6486,Positive,Positive
Nothing 80s about this song. Lol Sounds late 00s mixed with stomp clap hey vocals. But good on him for having his career together.,@nolanmcsheridan9959,2025-06-19T04:06:34Z,0,0.6956,Positive,Neutral
this is a very painful song on one's deep faith in God.,@rlgstvids,2025-07-16T17:03:11Z,0,0.1796,Positive,Negative
The chorus really fits the terror im going through it's not about a relationship with my wife but my children thank you for this ❤ i sing along with a change to some words but all the same keep shinning brother,@lisettecruz5603,2025-06-14T23:41:58Z,0,0.828,Positive,Positive
"I love your video. I love your shoes. I mean, I love your songs that have the most nicest song ever. I also sing along with your songs and sometimes I get the lyrics right we’re wrong.",@ciarahann6465,2025-07-08T16:39:37Z,0,0.9324,Positive,Positive
Talent!!!!and such a soothing beautiful voice…timeless vocals!!!!!!!!,@luciachileshe6722,2025-07-14T18:36:39Z,0,0.811,Positive,Positive
"I love your video. I love your shoes. I mean, I love your songs that have the most nicest song ever. I also sing along with your songs and sometimes I get the lyrics right we’re wrong.",@ciarahann6465,2025-07-08T16:39:32Z,0,0.9324,Positive,Positive
Well done on creating the worst song ever made,@B_Hound,2025-06-18T13:51:18Z,0,-0.2023,Negative,Negative
"Lyrics are perfect rhythm is perfet , it is final u are the best singer",@ChrisjnrevaBoateng,2025-06-30T15:05:37Z,0,0.836,Positive,Positive
I don't like music but lyrics moves me crazy,@kamaunderitu-l1g,2025-06-23T13:36:41Z,0,-0.5654,Negative,Neutral
I love the song gives me Good vibes,@lynnar4606,2025-06-25T20:13:43Z,0,0.7964,Positive,Positive
LOTR vibe in this clip,@romainf.207,2025-06-28T04:58:17Z,0,0.0,Neutral,Neutral
My life has been worse since hearing this song I have to live each day knowing that this terrible song is is out in the universe,@maty7857668701,2025-06-04T09:05:46Z,0,-0.7734,Negative,Negative
Love the person you are. Everything about your words movement vibes has caught my full attention🎉🎉,@realjazzjj6909,2025-05-14T16:55:17Z,0,0.8625,Positive,Positive
Annoying fucking voice that keeps over stringing along....a real singer is Teddy Swims.,@welsh_steel2285,2025-05-14T16:40:09Z,0,-0.4019,Negative,Negative
