classificacao,comentario,justificativa,sentimento_manual
Positive,The American Heart Association approves this song as being the right tempo for hands-only CPR.,"The comment indicates approval from a reputable organization (American Heart Association) regarding the song's suitability for a life-saving procedure, signaling a positive endorsement.",
Positive,Who here vibes march 9,The phrase 'vibes' suggests a positive emotional connection to the music video.,
Positive,J. Cole is probably just peacefully fishing In a tranquil lake while the rap universe is on fire,The comment expresses a peaceful and positive image of J. Cole contrasted with a chaotic,
Negative,the beat drop was EVIL,The use of 'evil' to describe the beat drop indicates a negative reaction and dissatisfaction.,
Negative,4:34 the worst part...,The use of 'worst' indicates a negative opinion about the music video.,
Negative,worst song of all time,The comment expresses strong disapproval and criticism of the song.,
Positive,My dad heard this on th radio and while i explained the drama between these two he only found the beat amusing.we both laughed while we listened to it. He still has no ideas about what the lyrics say 💀,"The commenter expresses amusement and enjoyment of the music video, indicating a positive reaction.",
Positive,That's my ringtone when someone is calling,"The comment expresses a positive association with the music video, indicating it's a desirable sound for a ringtone.",
Positive,"Fun fact. ""Meet the Grahams"" was written in A minor, during a verse Kendrick says he is ""going to up the score"", then THIS comes out...in B minor. Dudes got layers.","The commenter praises the music video's complexity and layered approach, expressing admiration for the producer's skill.",
Positive,This song has been officially registered to actually be able to save lives because it has the perfect tempo for hands-only CPR,The comment expresses a positive sentiment by stating the song's potential to 'save lives' due to its suitability for CPR.,
Neutral,Mustard on the beat ho,This comment appears to be a nonsensical phrase and doesn't express any clear sentiment.,
Negative,The worst part is drake lives near a school,"The comment expresses dissatisfaction and criticism of Drake's proximity to a school, indicating a negative sentiment.",
Positive,The like the vibe bro 😉,The use of 'like' and the winking emoji indicate a positive feeling towards the music video's vibe.,
Positive,Scrolling trough the comments singing the lyrics is the best combo,"The commenter expresses enjoyment and finds the activity ('singing the lyrics') to be a 'best combo', indicating a positive feeling.",
Negative,Here to change the flowers on Drake's tombstone🥀,"The comment expresses a morbid and disrespectful sentiment regarding Drake’s death, indicating sadness and potentially grief.",
Positive,"This is my first time hearing this and I gotta say, this beat is KILLER!!!!",The exclamation points and strong positive adjective ('killer') clearly indicate a favorable reaction to the music video.,
Negative,Mustard on da beat hoe,"The comment utilizes offensive and derogatory language, clearly expressing a negative sentiment towards the music video and its content.",
Positive,"Who back rewatching this video after the infamous SWEEP 🧹 at the 2025 Grammy’s? A diss record receiving 5 Grammy Awards?!???? 🤣😜 Drake’s lyrics in Family Matters did not age well. “Kendrick just opened his mouth, someone go hand him a Grammy right now” 💀","The commenter expresses amusement and excitement about the song's success and awards, indicating a positive sentiment.",
Positive,Mustard make the best beats,"The comment expresses a positive opinion about the music, stating that the beats are 'the best'.",
Positive,Back January 18th 2025. Definitely was not paid to do it either! I really like the flow and the beat!😂 Lets make it go number 1 in 2025!🤔😂,"The user expresses enthusiasm for the song's flow and beat, coupled with a hopeful desire for its success, indicating a positive sentiment.",
Positive,“Say Drake. I hear you like the judge” gotta be the lyrics for the Super Bowl Version atp,"The commenter is playfully acknowledging and praising Drake's song, indicating a positive feeling towards it.",
Positive,Man...Kendrick coming for Drake soul!  He may end that man's rap career!  Got give Drake credit for bring this out from Kedrick this is deep diss and timeless masterpiece.  Mind blown,"The comment expresses strong admiration and praise for Kendrick Lamar's music, labeling it a 'masterpiece' and predicting its lasting impact.",
Positive,Mustard on beat bro,The exclamation 'bro' and the reference to 'beat' suggests enthusiastic enjoyment of the music video.,
Positive,coming back to realize what the lyrics really mean and I’m shook,"The use of 'shook' indicates a strong, positive reaction and realization of the song's meaning.",
Positive,This song is already nostalgic,The word 'nostalgic' evokes a warm and positive feeling associated with cherished memories.,
Neutral,Mustard on the beat ho,This comment consists of nonsensical words and lacks any discernible sentiment or opinion.,
Positive,"Not Like Us is straight-up disrespectful in the best way. Kendrick goes off with relentless energy, razor-sharp bars, and a beat that knocks. Every line feels like a statement, every flow switch hits hard. This one isn’t just a track, it’s a moment.","The commenter expresses enthusiastic admiration for the music video, praising Kendrick’s performance and the song’s impact.",
Neutral,I phones need a ring tone.,"The comment expresses a simple request for a ringtone, lacking any emotional expression.",
Positive,“Not like us” is literally the perfect tempo for CPR .w.,"The comment praises the song's tempo, expressing a clear appreciation for it.",
Neutral,is it just me or does the beat sound different,"This comment expresses a subjective observation about the sound, without explicitly stating a positive or negative feeling.",
Negative,The worst part of this song is when it ends😔,The use of the sad emoji and the phrase 'the worst part' clearly indicates a negative sentiment towards the music video.,
Positive,i think people dont talk enough about the 3rd verse of this song. not many other artists can teach a historical lesson in a DISS SONG and compare it to his opponent. Literally turning drake into a history lesson.,"The commenter expresses admiration for the song's clever use of historical context and comparison, indicating a positive reception.",
Negative,I bet Drake gets PTSD every time he hears this beat.,"The comment expresses a strong negative sentiment by suggesting a traumatic reaction to the music, indicating discomfort and distress.",
Positive,they said the beat could save a life,The comment expresses a hopeful and optimistic sentiment about the music's impact.,
Neutral,This song made me laugh so hard as i imagined drake’s bitch ass face. 😂 wow! Kendrick is great. And the beat could’ve been better but those lyrics are great! Who even likes drake? His voice hurts my ears. His face hurts my eyes. Lol,"The comment expresses mixed feelings – amusement and praise for Kendrick, alongside criticisms of Drake’s voice and appearance, creating a neutral overall sentiment.",
Positive,This the vibe for decades to come 💯💯🔥🔥🔥,The enthusiastic emojis and statement suggest a highly positive reception to the music video.,
Positive,its funny how we keep coming back here after Kendrick Lamar reaches another milestone with this record. See yall back here after the Toronto concert......A MINORRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,"The commenter expresses amusement and acknowledges a recurring pattern, indicating a positive reception to the music and its continued relevance.",
Negative,Mustarddd on the beat hoe,"The comment contains derogatory and offensive language, indicating a negative sentiment.",
Negative,Drake you beat bitches,The comment uses derogatory language ('beat bitches') expressing a negative and potentially aggressive sentiment towards Drake.,
Negative,Song of the year!!! this must be drake's worst nightmare💀,"Despite the exclamation of 'Song of the year!!!', the use of 'worst nightmare' indicates a critical and negative sentiment.",
Positive,I love the beat,The use of 'love' clearly indicates a positive emotional response to the music video's beat.,
Positive,Whole stadium passed the vibe check A MINOOOOOOOOORRR,The user expresses enthusiastic approval and excitement through repeated exclamation and a positive nickname for the artist.,
Positive,Kendrick really won the beef off of a smash hit. The same way Drake beat Meek with back 2 back. If u make a banger like this the beef is over,"This comment celebrates Kendrick's victory in a lyrical battle, expressing admiration for his recent success.",
Negative,turn replies into lyrics psst  i see dead people,"The comment expresses a morbid and unsettling idea ('I see dead people'), suggesting a negative or disturbing sentiment.",
Positive,Bro the beat is crazy,"The commenter expresses enthusiasm with the word 'crazy,' indicating a positive reaction to the music's rhythm.",
Negative,Drake makes it worst talking about it 😂,The use of 'makes it worst' and 'talking about it' suggests a critical and dissatisfied opinion of the music video.,
Positive,The beat is fire 🔥 😂😂😂 not like us,The use of 'fire' and laughter emojis indicates a positive reaction to the music video's beat.,
Positive,Did u know that the beat of this song is 101 bpm and this amount of bpm can save lives,"The comment highlights a positive aspect – the song's BPM and its potential life-saving implications, indicating enthusiasm.",
Positive,"Mustard on beat.Deebo any rap N,he a free throw.",The commenter's use of 'Mustard on beat' and referencing 'Deebo' suggests enthusiastic approval and appreciation of the music video.,
Positive,Girls: its just a song Boys:National anthem of the universe,"The comment expresses enthusiasm and admiration for the song, using terms like 'national anthem' to indicate a strong positive feeling.",
Positive,The beat is good,The comment expresses a positive opinion about the music video's beat.,
Negative,1:37 I feel like no one talks about this line enough cause he went deeper in the superbowl with both Drakes ex’s in the halftime,The comment expresses a critical opinion regarding the artist's actions and a perceived lack of discussion about them.,
Positive,I dropped my phone under my bed while listening to this and while i was trying to find it my sibling walked in my room and started vibeing,The comment expresses enjoyment and a positive experience (,
Negative,"Most annoying song ever, please stop the glazing now we good","The comment expresses strong dislike and a demand to stop the music, indicating a negative sentiment.",
Negative,Mustard on the fuxking beat ho,"The comment uses aggressive and vulgar language, clearly expressing a negative opinion about the music video.",
Negative,"This is just overated,the beat is crazy but the sound of Kendrick is like shitting while rapping","The comment expresses a strongly negative opinion, using harsh language to criticize Kendrick's vocal performance.",
Positive,"Amazing beat, mid lyrics",The use of 'Amazing' indicates a positive sentiment towards the music video's beat.,
Positive,One year ago this masterpiece came out and beat the piss out of drake,"The commenter expresses strong praise and excitement about the music video, indicating a positive sentiment.",
Positive,El-p is the GOAT. No comparison…Kendrick has basic lyrics.,"The comment expresses strong praise for El-p, using the superlative 'GOAT,' indicating a positive sentiment.",
Neutral,"Hello Kendrick. After such a pitch, Pride is here to defile you. Also beware of fellowship with proud men as doing so will make you like them. For the sake of your art.😊 detox and cleanse with meditation, compassion, grace …primarily humility","The comment contains both supportive and critical language, expressing concern for the artist's well-being and artistic integrity without overtly positive or negative emotions.",
Positive,The beat,The comment 'The beat' expresses a positive reaction to the music video's rhythm.,
Positive,"“Mustard on the beat,HO”🔥",The use of '🔥' (fire emoji) and the enthusiastic 'HO' strongly indicate positive excitement and approval of the music video.,
Negative,This song is unlawful,"The comment expresses disapproval and suggests the song's content is problematic, indicating a negative sentiment.",
Positive,Mustard on that beat bro,The use of 'bro' and the enthusiastic 'mustard on that beat' indicates a positive reaction to the music video.,
Neutral,MondoMedia CartoonVerse Season 20 (2024) Fuerteventura Deleted Scene On Next Audition Monica Toy Weared A Stitch Hoodie And White Leggings And Stumpy From Kaeloo And Rosie Redd In Backstage Sees And Audience Booing At Her,"The comment describes a scene and audience reaction, lacking explicit emotional language or strong positive/negative indicators.",
Positive,"😂 when you can finally read and understand the lyrics, it’s a whole new vibe to the song ❤❤❤",The use of emojis and the heart emojis clearly indicate a positive reaction to the music video.,
Negative,no offense one of the worst halftime shows but the weekend comes first,The comment expresses a negative opinion by stating it's,
Positive,Lets be honest the first verse alone was enough for Kendrick to win,"The comment expresses a positive opinion by stating Kendrick's performance was sufficient to win, indicating approval and enthusiasm.",
Positive,Kenny go watch iceman episode 2 the last song's beat goes insane start preparing yourself lil bruhh 😭😭😭,"The use of enthusiastic terms like 'iceman,' 'beat goes insane,' and emojis indicates excitement and a positive reaction to the music video.",
Positive,How is this nostalgic already 😭🙏,The use of 'nostalgic' and emojis (crying and praying hands) strongly indicates a positive emotional response to the music video.,
Negative,I need art of Kendrick and reverse flash being bros cause they the same level of hater,"The comment expresses a critical and dismissive opinion of Kendrick Lamar and Reverse Flash, using terms like 'hater,' indicating a negative sentiment.",
Negative,Gross... they  call this Music? worst song ever....,"The comment uses strongly negative language ('Gross,' 'worst song ever') expressing outright disapproval of the music video.",
Negative,Just remember in the lawsuit Drake said he was emotional destroyed.,"The comment uses words like 'emotional' and 'destroyed,' indicating a negative emotional response to the lawsuit.",
Positive,MUSTARD ON THE BEAT YO’,The exclamation and enthusiastic phrase indicates excitement and enjoyment of the music video.,
Negative,"That one ""ding"" at the background always got me thinkin' that's Viber notification💀","The comment expresses annoyance and a slightly morbid thought with the 'ding' sound, indicating a negative reaction.",
Positive,I love dis song spasili  the beat,The user expresses clear positive emotion with the phrases 'I love dis song' and 'the beat' indicating enjoyment.,
Positive,I’m late to the reaction of this song but Kendrick went super saiyan 3 on that second verse🔥🔥🔥 https://youtu.be/te3Yke51k8Y?si=IW27juMODyGx80--,The user expresses enthusiastic support for the video using emojis and a positive statement.,
Positive,"MUSTARD ON THE BEAT, OH!",The exclamation point and enthusiastic expression ('Oh!') clearly indicate positive excitement about the music video.,
Positive,MUSTARD ON THE BEAT HOOOOO 🗣️🗣️🗣️ say Kendrick,The enthusiastic repetition of 'MUSTARD ON THE BEAT' and 'say Kendrick' indicates strong positive excitement and appreciation for the music video.,
Positive,I’m here to learn how to accurately resuscitate a heart on beat. 🫀🎶🎵🫀,"The commenter expresses enthusiasm and engagement with the music video, indicating a positive sentiment.",
Positive,ay mustard on that beat ho,The enthusiastic use of 'ho' indicates excitement and approval of the music.,
Positive,The beat that can save lives,The comment uses enthusiastic language ('beat that can save lives') indicating a positive reaction to the music video.,
Positive,"""Aye, lawyer on the beat oh beat oh""",The enthusiastic repetition of 'oh beat oh' indicates excitement and appreciation for the music.,
Positive,Man I know we just witnessed a crime and all but the beat doesn’t get enough recognition for being absolute FIRE,The commenter uses strong positive language ('absolute FIRE') to describe the music video's beat.,
Negative,"BEAT YO ASS AND HIDE THE BODY: If God watchin'..Cain slayed Abel and tried to hide his corpse from God. And the Lord said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper?","The comment uses aggressive language and references violence and sin, indicating a negative sentiment.",
Positive,The beat is amazing! Good job 👏,The commenter expresses enthusiastic approval of the music video's beat.,
Negative,It’s like listening to charges against a criminal being read over a beat,The comment uses evocative language (,
Negative,Mustard on the beat hoe 😂,The comment uses derogatory language ('hoe') and a dismissive expression ('on the beat') indicating a negative reaction to the music video.,
Positive,this gives me summer vibes,"The comment expresses a positive association with the music video, describing it as evoking a feeling of summer.",
Negative,BBC radio in the UK censor the lyrics “say drake I heard you like ‘em young” clearly trying to protect their own.,"The comment expresses frustration and criticism of the BBC's censorship, indicating a negative sentiment.",
Negative,Beat  your ass and have the bible of god watching got me😂😂😂😂😂😂😂,"The comment contains aggressive and disrespectful language, clearly expressing a negative sentiment.",
Positive,Feeling nostalgic about this...,The phrase 'feeling nostalgic' expresses a positive emotional response to the music video.,
Positive,The beat it real good,The comment expresses a positive opinion about the music video's beat.,
Negative,Came after seeing all the hype and i duno if its because im english but this is fucking terrible. Also slightly gay anyone else catching these vibes ?,The comment expresses strong disapproval (,
Negative,Ugh I hate my annoying little brother 👦 my little brother likes this song but dose not sing it he is just hearing,"The comment expresses frustration and dislike towards the commenter's brother, indicating a negative emotional response.",
Negative,Holy shit that Wayne verse was straight garbage lmfao,The use of 'garbage' and 'lmfao' (indicating laughter at something negative) clearly expresses a negative sentiment towards the Wayne verse.,
Positive,beat go crazy,The comment expresses enthusiasm and excitement about the music video's beat.,
Neutral,Need new lyrics ' hey dre n diddy i heard you like them young!,The comment expresses a simple observation and request without conveying a clear positive or negative emotion.,
Positive,beats 🎶🤟,The use of emojis like 🎶 and 🤟 clearly indicates a positive feeling towards the music video.,
Negative,At this point drake was already in his grave but now he went deeper😭🙏,"The use of 'in his grave' and the emoji suggest a feeling of sadness and loss, indicating a negative sentiment.",
Positive,Quit kide vibe,The comment expresses a positive feeling about the 'vibe' of the music video.,
Negative,0:28 beat yo ass,"The comment uses aggressive and threatening language, indicating a negative sentiment.",
Positive,MUSTARD ON DA BEAT,"The comment expresses enthusiasm through a simple, enthusiastic expression of enjoyment.",
Positive,Lamar on the beat like he explains the future of Diddy Drake,"The comment uses enthusiastic language ('like he explains') and seemingly complimentary comparisons, indicating a positive feeling towards the music video.",
Negative,"Serious beef, no way drake is crawling out of this hole, it’s way to deep","The comment expresses strong disapproval and frustration with Drake's situation, using negative language like 'beef' and 'hole'.",
Negative,the way this still in #44 in the great british charts shows how powerful this diss wad,"The comment uses the term 'diss' and implies criticism of the song's position in the charts, indicating a negative sentiment.",
Negative,when your favorite comfort media maker turns out to be a *piano sounds mustard on the beat ho* problematic diddy blud not like us fella,"The comment expresses strong dislike and frustration with the music video, using words like 'problematic' and 'not like us'.",
Positive,Finish the lyrics they not like us they not like us,The comment expresses support for the lyrics and a sense of solidarity with the artist's message.,
Negative,This old man sounding beat is what's the rage. What?!,"The comment expresses disbelief and criticism of the music video's style, indicating a negative sentiment.",
Positive,"""rabbit hole still deeper, I can go further I promise""","The commenter expresses enthusiasm and confidence, indicating a positive experience with the music video's depth.",
Positive,Noiiice beat,The word 'Noiiice' is a slang term expressing enjoyment and liking of a musical beat.,
Negative,Retroactively this is one of the most annoying songs of all time,The comment expresses a strong negative opinion by labeling the song 'most annoying'.,
Positive,Love this song so catchy going to be my new workout song,The user expresses enthusiasm with phrases like 'Love this song' and 'going to be my new workout song' indicating a positive sentiment.,
Positive,The beat and his rhyming is so good💯💯😈😈,The use of emojis (💯 and 😈) clearly indicates enthusiastic approval of the music video's elements.,
Negative,1:21:45 the worst part fr,The use of 'worst' clearly indicates a negative sentiment towards the music video segment.,
Positive,MUSTARD ON THE BEAT HO !!!,The enthusiastic use of 'ho !!!' indicates strong positive excitement and approval of the music video.,
Neutral,I gotta refresh myself on lyrics for Sunday,"The comment expresses a neutral intention of reviewing lyrics, without indicating any particular emotion about the song or video.",
Negative,mustard onna beat ho,"The comment contains offensive and vulgar language, indicating a negative sentiment and expressing disapproval.",
Positive,"Search ""Toilet paper tango"" and watch the most dramatic bathroom song ever! @BeaTuneDrip",The commenter expresses enthusiastic excitement and recommends the video as 'most dramatic' and 'most dramatic bathroom song',
Negative,"Bro seriously dropped off, no wonder I only listen to money trees and btch don't kill my vibe lol.","The comment expresses frustration and criticism of the music video, using dismissive and derogatory language.",
Positive,We need a Vocaloid cover 😂,"The comment expresses a desire for a specific type of music video, indicating enthusiasm and a positive expectation.",
Negative,2025 on the beat hoe,"The comment contains derogatory slang ('hoe') and a dismissive tone, indicating a negative sentiment towards the music video and its content.",
Negative,WAIT THE SAMPLE IS PITCHED DOWN,"The comment expresses dissatisfaction with the music video's audio, indicating a negative reaction.",
Positive,2nd verse was 🔥 🔥,The use of '🔥' emojis indicates strong enthusiasm and approval of the music video's second verse.,
Positive,This song Is vibe 🔥,The use of 'vibe' and the fire emoji indicate enthusiastic approval of the music video.,
Positive,Mustard on that beat though!!! 🎉🎉🎉🎉,The enthusiastic use of exclamation marks and the phrase 'on that beat' indicates strong positive excitement about the music video.,
Negative,And this vibe of this song is just hating. It’s not even just rap beep. It’s just Kendrick going off accusing over your s** offender and drake is one and calling Drake a colonizer the list goes on,"The comment expresses strong disapproval and criticism of the song and its artists, using derogatory language and accusatory statements.",
Negative,got an annoying ass voice,The comment uses a derogatory term ('annoying ass voice') expressing a negative opinion about the music video.,
Positive,This beat is 🔥🔥🔥🔥🔥🔥🔥🔥,The use of fire emojis indicates enthusiastic and positive excitement about the music video's beat.,
Positive,I came looking for Baka's paperwork. I didn't find it but stayed for the vibes!,"The commenter expresses enjoyment of the 'vibes,' indicating a positive experience.",
Negative,FINISH THE LYRICS PSSSST I SEE DEAD PEOPLE,The comment uses a morbid and unsettling phrase ('I see dead people') which evokes a negative emotional response.,
Positive,Like the beat and song is great too,The commenter expresses clear positive feelings about the music's beat and song.,
Negative,"😮what's that on the pizza, deep with my nigga, wanna break down man I'm crying, I want some Land so people","The comment contains offensive language ('nigga') and expresses distress ('I'm crying'), indicating a negative sentiment.",
Positive,The devil 😈 himself wrote the  lyrics for Kendrick 😂😂,The use of ' 😂😂' (laughing emojis) indicates a positive and enthusiastic reaction to the song.,
Positive,Kendrick really warned us to notkill his vibe,The comment expresses approval and admiration for Kendrick's music (,
Positive,Mustard on the beat 🤝🏽,The comment expresses enthusiasm and approval of the music video's rhythm and style.,
Negative,I’m gonna right my own lyrics to this so I can roast potemer,The comment expresses a desire to,
Neutral,Hisword comes from a powerful force,"The comment expresses a descriptive statement about a word, lacking any explicit emotional tone.",
Neutral,✏️ Describe the vibe,"The comment simply asks for a description of the video's atmosphere, lacking explicit emotional expression.",
Negative,The beat is so basic and trash lmao fuck dj mustard ps not a Drake fan,The comment expresses strong negative feelings through insults and dismissive language regarding the music and artist.,
Negative,Kendrick lamer beats drake fight me 😎✌️🖕,"The comment uses disrespectful language ('lamer'), a challenge ('fight me'), and a dismissive gesture (flipping off), indicating negative sentiment.",
Positive,The vibes are immaculate—this is pure art.,"The comment expresses strong positive feelings about the video, using enthusiastic language like 'immaculate' and 'pure art'.",
Positive,"This track is an absolute masterpiece! 🔥 Kendrick proved with this one why he's one of the best in the rap game. Sharp, thought-provoking lyrics, flawless flows, and pure energy! 🎤 Every time I listen, I discover something new. What do you think is the best line in this track? 👀",The comment expresses strong enthusiasm and admiration for the music video and Kendrick Lamar's performance.,
Positive,I can't believe I slept on this song for so long because I didn't like the simple beat... BUT THE BARS ARE FIRE 🔥,The commenter expresses strong positive feelings about the song's lyrics (,
Negative,“Beat your ass and show them 🧑🏿‍🌾…sometimes you gotta pop out and show them 🧑🏿‍🌾”,The comment uses aggressive language ('beat your ass') indicating a negative sentiment towards the music video and its creator.,
Positive,I know all of the lyrics ✌️✌️✌️,The use of multiple thumbs-up emojis indicates strong approval and familiarity with the music.,
Positive,You know I love how Kendrick thinks about god aging beat your ass and hide the Bible if god watchin. I love this kid friendly content thanks Kendrick 😊,The commenter expresses clear enjoyment and appreciation for the music video with positive emojis.,
Neutral,Ketchup on the beat yo,"The comment expresses a playful observation about the music, lacking clear emotional sentiment.",
Positive,High vibes,The phrase 'high vibes' expresses a feeling of positivity and enjoyment.,
Positive,It's fire lyrics its say my name alondra thank u and love the song😊❤,"The user expresses enthusiastic appreciation for the song and their name, indicating a positive sentiment.",
Positive,Oh hell nah! 😂 the tempo officially confirmed to be used for cpr,The use of 'Oh hell nah!' and the laughing emoji indicate excitement and approval of the tempo confirmation.,
Positive,I love the flow and the oldschool beat,The user expresses clear enthusiasm with the phrases 'I love' and 'oldschool beat' indicating a positive feeling about the music video.,
Positive,"The vibe got me ""They Not like us . ""","The comment expresses a positive feeling by referencing a well-known and generally positive song lyric, indicating enjoyment.",
Negative,"Rap now is all redundant copies of Snoop, 50 and Eminem, a few reach the originals like Tupac and Biggie some even reach Mobb deep, DJ Kool Herc would be sad.","The comment expresses disappointment and criticism of contemporary rap music compared to influential predecessors, indicating a negative sentiment.",
Positive,Mustard was cooking w this beat,The use of 'cooking' and 'w this beat' suggests enjoyment and appreciation of the music.,
Negative,"Imagine writing and singing a song about a guy you hate and how he’s a pedophile and winning 5 Grammys and preforming it at the super bowl all whilst the wealthy, powerful, and common folk alike all sing it together in unison, absolutely insane.","The comment expresses strong condemnation and disgust, using harsh language and critical accusations, indicating a negative sentiment.",
Negative,as of 12.2025 most of sites that hosted lyrics of this songs suddenly dropped them. chatgpt refuses to give you lyrics xD,The comment expresses frustration and disappointment about the disappearance of lyrics and ChatGPT's inability to provide them.,
Positive,"Elite my man more bars than Maradona,on fire,can't compete,d couldn't ride this beat,straight retreat,this style is what it's about, real shit","The comment uses enthusiastic language like 'on fire,' 'real shit,' and comparisons to a positive figure, indicating strong positive sentiment.",
Positive,"this song has sounds and beats that take me back to ""Backstreet Freestyle"", the song that first hooked me on Mr. Lamar🙂👍.","The commenter expresses nostalgic fondness and appreciation for the song, indicating a positive sentiment.",
Negative,hilarious song cause its just so bad awful.  he is the superbowl half time? what a joke.  they will have to bleep half the song.  dont beep it and pay the fcc fine.  terrible voice too.,"Despite acknowledging the song's humor, the comment primarily expresses negative opinions about the song's quality, voice, and potential regulatory issues.",
Positive,mustard on beat bro,The enthusiastic use of 'bro' and the exclamation mark suggests excitement and approval of the music video.,
Negative,Song of the year. 3 notes. Profanity. Grammy has meant nothing for years. It's officially confirmed 2025,"The comment expresses disappointment with the song's quality and criticizes the Grammy Awards, indicating a negative sentiment.",
Negative,Mustard on the beat,The comment expresses a critical or mocking opinion about the music video's rhythm.,
Positive,I am literally a 16 y/o white girl from overseas that listens to cigarettes after sex kinda music. Why tf am I vibin so hard with this?,The commenter expresses enthusiastic enjoyment (,
Negative,Kendrick is right drake is annoying,The comment expresses a negative opinion about Drake and implicitly a negative sentiment towards Kendrick's agreement.,
Positive,this beat is fire still in the big 25,The commenter uses enthusiastic language ('fire') expressing a positive feeling about the music video's beat.,
Negative,This is the worst rap song I’ve ever heard.,The comment expresses strong disapproval and criticism of the music video.,
Negative,The music is annoying,"The comment expresses dislike for the music, indicating a negative sentiment.",
