classificacao,comentario,justificativa,sentimento_manual
Positive,this beat is so cool omg,The use of 'cool' and 'omg' expresses enthusiastic and positive excitement about the music video.,
Positive,"this is definitely her best album, also other albums are amazing but in this all the songs could be used as a single and the lyrics are very unique","The commenter expresses strong positive feelings about the album, praising its cohesiveness and lyrical quality.",
Positive,intro is so so catchy and the beat makes me Goosebumps,"The commenter expresses enthusiastic enjoyment of the intro and the beat, indicating a positive feeling.",
Positive,"This is my favorite song so far on the album!!! Omg the beat, the vocals and lyrics are making me move every time I hear it. ❤🎉🥰💜🏳️‍🌈","The commenter expresses strong enthusiasm and positive feelings about the song, using exclamation points and emojis to convey excitement.",
Negative,I'll be real this is a banger but the lyrics are genunely despicable... She's really flexing about robbing a wife and mother of her husband,"The comment expresses strong disapproval of the lyrics and the depicted actions, indicating a negative sentiment.",
Negative,this sounds awful,The comment expresses a clear dislike and judgment of the sound quality.,
Positive,This is a vibeeee ❤❤❤,The use of 'vibeeee' and the heart emojis clearly indicate a positive feeling about the music video.,
Positive,THIS IS SO CATCHY ! I ADDED IT TO MY PLAYLIST,The commenter expresses enthusiasm with phrases like 'so catchy' and adding it to a playlist.,
Positive,Yeaaa we finally going back to 2000s beats🎉😍❤️,The use of emojis like '🎉😍❤️' clearly indicates enthusiastic approval and enjoyment of the music video.,
Positive,"It reminds me of “Don’t call me angel”, the chorus, the beat, etc. anyone here feel the same?",The commenter expresses a positive association with the music video by comparing it favorably to another song.,
Negative,Stolen vocal melody from an old song. People from 90s know what i'm talking about. Sadly i don't remember the title of that song.,"The comment expresses disappointment and frustration about a perceived copyright violation, indicating a negative sentiment.",
Negative,It’s a no for me. I don’t like the choppiness of the song and the lyrics are cringe.,"The comment expresses dislike for the song's quality and uses negative language ('no,' 'cringe').",
Positive,What a melody,The phrase 'What a melody' expresses a positive appreciation for the music.,
Positive,Cierra vibe ❤,The use of the heart emoji and the word 'vibe' clearly indicates a positive feeling towards the music video.,
Positive,"its giving 2005 ciara and i love it .. the beat , the tonality in her vocals. everything. just close your eyes and imagine ciara singing this song and you will see it","The commenter expresses clear enjoyment and positive comparison to a beloved artist, indicating a positive sentiment.",
Positive,THE BEAT AND LYRICS 😄🔥,The use of emojis 😄 and 🔥 clearly indicates a positive reaction to the music video.,
Positive,Best song love the lyrics,The comment expresses enthusiastic approval and enjoyment of the song and its lyrics.,
Positive,Max Martin you fucked up the beat and production on this song in the best way. I can’t help but start dancing each time it starts,"The commenter expresses enjoyment and a desire to dance, indicating a positive sentiment towards the music video.",
Positive,I like this jam. Gots a 90s vibe,The commenter expresses enjoyment using the word 'like' and describes the music's style as positive ('90s vibe').,
Positive,"The lyric and her voice is so catchy especially at ""the boy is Devine"".",The commenter expresses positive feelings about the song's catchiness and the singer's voice.,
Positive,This song gives the vibee even though you're single 😭😭❤️‍🔥🤌🏻,The use of emojis like ❤️‍🔥 and 😭😭 indicates a strong positive feeling towards the song and its impact.,
Positive,I thought she said this is her version of fantasize but chileee anyways this still a vibe,The commenter expresses enjoyment and enthusiasm ('still a vibe') indicating a positive sentiment.,
Positive,This is so Bratz vibes,"The comment expresses a positive association with the music video, referencing the popular and generally well-received 'Bratz' dolls.",
Positive,YOU DONT NEED TO DO A AUTOTUNE BECAUSE WITHOUT AUTOTUNE YOUR VOICE IS EVERYTHING!!! 💓 KEEP DOING GOOD ARI,"The commenter expresses enthusiastic support and admiration for the artist's voice, indicating a positive sentiment.",
Positive,There’s nth this woman can do ❤ such a vibe,"The comment expresses enthusiastic appreciation and excitement for the music video, indicated by the use of heart emojis and the phrase 'such a vibe'.",
Positive,Mariah honey vibes❤,The use of 'honey vibes' and the heart emoji clearly indicate a positive sentiment towards the music video.,
Positive,THE BEAT HELP❤❤❤❤❤❤,The repeated heart emojis clearly express positive feelings about the music video.,
Positive,Where is the damn video? And a 90s R&B vid vibe would be right.,"The commenter expresses a desire for a specific aesthetic, indicating a positive reaction to the video's potential.",
Positive,"why is this giving fantasize vibes ,no?","The comment expresses a positive association with the music video, using the term 'fantasize vibes'.",
Positive,Very Ciara “Goodies” vibez ❤,The use of 'vibez' and the heart emoji clearly express positive enjoyment of the music video.,
Positive,new ringtone,The comment expresses a positive sentiment by suggesting the music video is suitable for a ringtone.,
Positive,Holy crapppp her vocals are amazing and that outfit is so gorgeous,The comment expresses enthusiastic praise for the singer's vocals and outfit.,
Positive,love the 2000s vibeeee,The commenter expresses enthusiasm and fondness for the video's nostalgic 2000s style.,
Positive,its how the beat slows.ln the chorus 😢 beautiful,The use of the crying emoji and the word 'beautiful' clearly indicates a positive sentiment towards the music video.,
Positive,It’s crazy that the first few seconds of this song you can hear the instrumental alone and it’s the same vocal progression of the leaked “FANTASIZE” song.,"The commenter is highlighting a positive aspect – the song’s similarity to a well-received track, indicating enjoyment and appreciation.",
Positive,"I love how the beat seems to slightly slow down between ""the boy is..."" and ""...mine !"", it's so satisfying !",The commenter expresses enthusiastic enjoyment and describes the music as 'satisfying',
Positive,the slow tempo is SICKKKKKFSISUDJIW,The use of 'sick' indicates a positive and enthusiastic reaction to the music video's tempo.,
Positive,this song is too catchy,The comment expresses a positive feeling about the song's catchiness.,
Positive,This song gives me Ciara Goodies vibes and I LOVE IT 🔥🔥🔥🔥,The enthusiastic use of emojis and the statement 'I LOVE IT' clearly indicate a positive sentiment.,
Positive,Bratz vibes,The comment expresses a positive association with the music video's style and aesthetic.,
Positive,She has the perfect vocals for R&b pop,"The comment expresses a positive opinion about the singer's vocal abilities, indicating a favorable sentiment.",
Negative,Positively awful. 😅 the original was a great song. Yuck. Really how do you ruin a song so bad.,"The comment uses strongly negative words like 'awful', 'yuck', and 'ruin', despite expressing a preference for the original song.",
Positive,If you do the Dougie to this song it follows the same beat💀,The commenter expresses a positive reaction by stating the song has a similar beat to a popular dance move.,
Positive,Yeah damn iconic vibe,The comment expresses admiration and appreciation for the video's atmosphere (,
Positive,The vibe ❤️,The use of the heart emoji indicates a positive feeling towards the music video's atmosphere.,
Positive,"Omg, i wan see this song live performs,  the powerfull voice omg",The enthusiastic use of 'omg' and praise for the 'powerful voice' clearly indicates a positive sentiment.,
Positive,Lol hun thanks for these and singing some of songs we wrote together when we wrote honeymoon avenue when we were kids she came and seen me after my mom and brother passed..these are about someone you people don't know lainey wilson I'm boy or kid off of yellowstone. Love you babygirl,"The commenter expresses love and gratitude, highlighting a personal connection and appreciation for the music.",
Positive,"Besta beat OF the album, I love it","The user explicitly states they 'love it,' indicating a positive sentiment.",
Negative,"Same vibe as 🎵 Toxic Gossip Train🎵 trying to validate her own poor choices, a child now grows up with both its parents in the same house because of ariana","The comment expresses criticism and judgment of Ariana Grande's actions and their consequences, indicating a negative sentiment.",
Positive,Early 2000s vibes 🥹,The use of '🥹' (a smiling face with tears of joy emoji) clearly indicates a positive emotional response to the video.,
Positive,The chorus and bass 😅 makes me wanna be bad lol,The use of 'wanna be bad' suggests a playful and enjoyable reaction to the music video.,
Positive,I love the tempo change and delay! It eats soooo mfn bad! It reminds me of Sweetener era! I love it so much!!!,"The comment expresses enthusiastic enjoyment and positive comparisons, outweighing the slightly vulgar language used.",
Negative,Song sucks 🤷 its a boring beat and she sounds like shes winded throughout the whole song.,"The comment expresses dissatisfaction with the song's quality, using negative descriptors like 'sucks,' 'boring,' and 'winded'.",
Negative,Where are the high notes Ari??😢😢😢,The use of crying emojis and the question about 'Ari' suggests disappointment and frustration with the music video's performance.,
Neutral,"Not in love with it, but ok 😅 I don't know, maybe after Taylor I'm asking artist to step up their lyrics","The comment expresses a lukewarm opinion with a slight hint of potential future positive sentiment, lacking strong emotional indicators.",
Positive,It gives me Danity Kane vibes!❤️‍🔥,The use of a heart emoji and reference to Danity Kane indicates a positive association with the music video.,
Positive,"This is one of my faves on the album, so damn catchy","The commenter expresses strong positive feelings about the song, using terms like 'faves' and 'so damn catchy'.",
Negative,Awful,The word 'awful' expresses a strongly negative opinion about the music video.,
Positive,I cannot wait to listen to this song in the summer- ITS SUCH A VIBE,"The commenter expresses excitement and enthusiasm, indicating a positive feeling about the song and its atmosphere.",
Neutral,Nice song but for me only the chorus is catchy,"The comment expresses a mixed opinion, noting a positive aspect (catchy chorus) while also stating a personal preference, indicating a neutral overall sentiment.",
Positive,Her vocals are just outta this world,The comment expresses enthusiastic praise for the artist's vocal performance.,
Positive,I'm not the biggest AG fan but this song this album is a whole vibe 😎,The use of 'whole vibe' and the sunglasses emoji suggest a positive and enthusiastic reaction to the music video.,
Positive,"This definitely captured that 00's catchy r&b tune that people went crazy for over ""Fantasize""","The comment expresses a positive reaction, highlighting the video's successful recreation of a popular and beloved song.",
Negative,Just an awful person. Such a troll,"The comment expresses strong disapproval and identifies the video creator as a 'troll', indicating a negative sentiment.",
Positive,Got so distracted listening to this song that I crashed into a street lamp while biking downhill 😂 so catchy!!,"The commenter expresses amusement and enthusiasm, explicitly stating the song is 'catchy,' indicating a positive reaction.",
Negative,On top sideways on the floor on the dryer on the counter upside down reach around in the sky reverse cowgirl missionary doggy style choking spitting slapping biting-,"The comment describes explicit and potentially violent actions, indicating a negative and disturbing sentiment.",
Positive,Yeah damn iconic vibe,The commenter uses positive language ('damn iconic vibe') expressing a favorable opinion of the music video.,
Positive,"Amo as músicas dela, principalmente nessa vibe","The commenter expresses affection for the music and its 'vibe,' indicating a positive sentiment.",
Positive,this is my favorite song from her eternal sunshine album... it just has amazing ✨vibes✨,"{""sentiment"":""Positive"",""justification"":""The commenter expresses strong positive feelings using phrases like 'favorite song' and 'amazing vibes'.”}",
Positive,"YASSSSS, HOMEWRECKER VIBESSSS",The enthusiastic use of 'YASSSSS' and referencing 'Home Wrecker Vibes' indicates strong positive excitement and enjoyment.,
Positive,"Gente q musica gostosa, uma vibe anos 2000, EU AMEEEIIII 😍💘💌💋",The user expresses strong positive feelings using enthusiastic language and emojis.,
Positive,"It's giving 1st & 2nd album vibes, and I love it.",The comment expresses a positive feeling and explicitly states 'I love it' referencing a desirable past album era.,
Positive,first time listening to this on Yt I'm late as fuck but Idc This is a W Album And in my opinion this Has to be the my top 1 out of 5. true story is So good but this song just hits Different then we have Yes and Which is My top 2 true story bc true story is one of those songs that hit different but you have other Options then we have Yes And at 3 Bc look Yes and Is A W but Thats and type of song To be a bop and yes Its in my top 3 bc of it plus this era of ariana on that song Is just Ariana grande the angel then we have Bye and Don't wanna break your heart These Two songs are hard to Relate Bc she talks about her past relationship in one of the and the other one is just about her leaving Someone Which can also mean the same thing but i think Bye has to be 4 for me bc Its catchy so Is Dont wanna break your heart but something about bye just hits me in a way That Dont wanna break your heart doesn't and Dont wanna break your heart is the last one I put this one in last bc i can relate to what shes saying but I hear it and I wanna like Get into a Depression stage bc of all the Things I had in a relationship But it's a good song In my opinion Love you ariana this is just my opinion 💗💗💗💗💗💗,"The commenter expresses enthusiastic praise for the album and song, using positive language and repeatedly stating their enjoyment.",
Positive,"Gives me the 2007's vibe of r&b songs, like Ne-Yo's or Mario's style.","The commenter expresses a positive comparison to well-regarded R&B artists, indicating enjoyment of the music video's style.",
Positive,This vibe is turn u into Y2k or it girl 💅🏼✨,"The comment expresses a positive sentiment, describing the music video’s aesthetic as desirable and trendy.",
Positive,"She so wrong for this but this jam is a vibe!! Damn, love-hate Ari!!","The comment expresses affection ('love-hate Ari') and excitement about the music ('this jam is a vibe'), indicating a positive sentiment.",
Positive,This song gives me Y2K vibes!,The commenter expresses a positive association with the song's style (,
Positive,Gives me 90s hip hop r&b vibes ❤❤❤❤ and I’m here for it,"{""sentiment"":""Positive"",""justification"":""The commenter expresses enthusiasm and positive feelings using emojis and stating they are 'here for it'.”}",
Positive,This song reminds me of doja cat like that. “That’s my shit that’s my shit do it like that and on repeat” reminds me of Ariana’s chorus,"The commenter expresses a positive association with the song, comparing it favorably to Doja Cat and Ariana Grande.",
Positive,"Queen Ari , this song is powerful","The commenter expresses admiration and appreciation for the song, indicating a positive sentiment.",
Positive,"Come to think of it, Ariana has done ALL ERAS. The way she started with the 50s vibes early in her career and worked her way through the 80s then the 90s especially with Be Alright. And now she is serving us with the 2000s and I'm here for it.☺️☺️☺️",The commenter expresses enthusiastic appreciation for Ariana Grande's musical evolution and enjoyment of her latest release.,
Negative,Why do ppl comment LYRICS (WORDS) IN A LYRICS MV,The comment expresses frustration and annoyance with users repeating the lyrics in the music video.,
Positive,0:29 Chorus🍮🧚‍♀️🫧,The use of emojis like 🍮🧚‍♀️🫧 suggests an enthusiastic and positive reaction to the music video's chorus.,
Positive,this song is literally my new favorite of all time. i know that already because of how catchy and perfect it is,"The user expresses strong enthusiasm and declares the song their 'new favorite of all time,' indicating a positive sentiment.",
Positive,"Me da unas vibes a fantasize, te amo ari hermosa","The comment expresses affection and a positive feeling ('te amo', 'hermosa') suggesting enjoyment of the music video.",
Positive,this whole song sped up to 1.15 is the perfect dance tempo,"The commenter expresses a positive opinion, stating that the sped-up tempo is 'perfect' for dancing.",
Positive,Ringtone❤,The use of a heart emoji indicates a positive feeling towards the music video.,
Positive,"THIS SONG IS MY FAVOURITE SONG AND VIBE OFF THE ALBULM, It’s underrated! Love her boppy songs!","The commenter expresses strong positive feelings about the song and album, using enthusiastic language like 'my favourite' and 'love'.",
Neutral,the chorus ahajjahshsjaksj,"The comment consists of seemingly random characters, offering no discernible sentiment or opinion.",
Positive,Bratz vibes🥰❤️❤️,The use of emojis (🥰❤️❤️) clearly indicates a positive and enthusiastic reaction to the music video.,
