classificacao,comentario,justificativa,sentimento_manual
Negative,Honestly i do not know everybody is in to drake he doesnt rap he can bearlyy sing. All his songs sound the same other than the beat. He has no rythym. Then you talk about industry plant,"The comment expresses strong criticism of Drake's music, using terms like 'doesn't rap,' 'can bearlyy sing,' and 'has no rhythm,' indicating a negative opinion.",
Negative,#theworstrapperintheworld 🌎🌍,"The comment uses explicitly negative language, labeling the artist as 'the worst' and employing a dismissive emoji.",
Positive,Kendrick just reminds me of the dude at the club that gets in your ear rapping everytime he hears a beat he thinks he can flow to. Yea I hate that guy also lol,"The commenter expresses a fondness for Kendrick's energetic and confident rapping style, despite initially finding it intrusive, indicating a positive overall reaction.",
Negative,"man ANYBODY who cant acknowledge that this boy destroyed this beat, yall trippin","The comment expresses frustration and criticism, using terms like 'yall trippin'' which indicates a negative opinion.",
Negative,Why couldnt kendrick have cadence like drake? His bars on this type beat with better cadence and hed have won it.,"The comment expresses disappointment and criticism regarding Kendrick Lamar's flow and delivery compared to Drake, indicating a negative sentiment.",
Negative,“Generic Kendrick slobber comment”,The comment uses a derogatory term ('slobber') and implies the music video is uninspired and of poor quality.,
Negative,Drake's flow sends me to sleep 😴 its so repetitive like the rest of his music - everything he does sound the same.,"The comment expresses a negative opinion about Drake's music, describing it as repetitive and lacking originality.",
Negative,“Recency Bias” is a real ting my guy!! Who ever dropped last is apparently better lol. But if y’all know Drake you know where this is going!!! The only thing upsetting to me is…I knew some p didn’t like Drake and it’s cool.  But to see everyone wanting to see Kendrick dethrone the God is disheartening. Ppl hate whoever is on top. I seen them do it to Mayweather and others. Ppl actually like the fact Kendrick literally said “I’m the biggest hater”???Like wtf??!!! Regardless of how much ppl claim to love you. Use you to help their personal lives and careers. Deep down they really hate you and pray on your downfall. Watching Drakes career taught me that one.,"Despite some playful enthusiasm, the comment expresses frustration and cynicism about fans’ desire to see Kendrick surpass Drake, concluding with a pessimistic view of people's motivations.",
Negative,"Super crap musoc, shit rhythm, shit verse.. No swing, totally out of ""tempo"".  Garbage","The comment uses strongly negative language like 'crap,' 'shit,' and 'garbage,' indicating a highly unfavorable opinion of the music video.",
Negative,Drake so soft as shit. this is trash waste of a beat,The comment uses derogatory language ('so soft as shit') and explicitly labels the music video as 'trash'.,
Positive,I think this beat is better but what Kendrick said is way more potent,"The commenter praises the beat and describes Kendrick's words as ‘potent,’ indicating a positive reaction.",
Positive,"After hearing euphoria, i must say this is ssa. Drake has the beat and kendrick bodied with the lyrical. Beat shit can be played out but KENDRICK SPITTED FACTSSSSS .DRAKE IS QUESTIONABLE WHEN IT COMES TO BEING HOMO ETC SO I MEAN HE DIDNT LIE, HE ALSO DIDNT LIE ABOUT THE SON PART AND ALSO GHOST WRITING.","The commenter overwhelmingly praises Kendrick's lyrics and Drake's beat, expressing excitement and admiration.",
Positive,Beat hard...lyrics hard....classic Drake,"The comment expresses admiration and approval of the song's beat and lyrics, indicating a positive sentiment.",
Positive,Danm the beat coming in the beginning was so clean,"The commenter expresses a positive reaction to the song's intro, describing it as 'clean'.",
Positive,these lyrics go hard and have meaning,"The commenter expresses enthusiasm and appreciation for the lyrics, indicating a positive sentiment.",
Positive,"Awww...this is so cute....lil Drakey and all his ""helpers"" trying so hard - lol!   There's no competition.  Kendrick needs to stop wasting his God given valuable high vibe creativity and true talent on this lil punk","Despite a critical remark, the overall tone expresses fondness and appreciation for the video and its content.",
Positive,Music Song wise it's real rap music beats better n his rap is better not better diss it's a tie 4 me,"The commenter expresses a positive opinion, stating the music is 'better' and considering it a 'tie' which indicates satisfaction.",
Negative,Bro thinks bro could beat Kendrick saying the n word 😂,"The comment uses offensive language and expresses a disrespectful opinion, clearly indicating a negative sentiment.",
Positive,I love how this was Drake's response to Kendrick's 1 minute verse 🤣 His writers were working overtime,"The commenter expresses clear enjoyment and admiration for the video, using phrases like 'I love' and 'His writers were working overtime' indicating a positive reaction.",
Negative,Yall saying drake won because it slaps lol bruh this sounds like crap you cant win because of a beat,"The comment expresses strong disapproval and dismisses the music as 'crap,' indicating a negative sentiment.",
Positive,They make excuses for u Casie they hate to see me lit was better than anything Kendrick said.. substance lyrics and bars wins every time,"The commenter expresses strong approval and preference for the artist's music, indicating a positive sentiment.",
Negative,Drake is trash even the beat,The comment uses a derogatory term ('trash') and expresses a negative opinion about the music and artist.,
Positive,bro put kai cenat in the lyrics💀😭,The use of '💀' and '😭' expresses amusement and enjoyment of the video featuring Kai Cenat.,
Positive,Funny how it’s now two Predators on this song with that AK beat switch thing 😂😂😂,"The commenter is expressing amusement and enjoyment with the use of two Predators and the beat switch, indicated by the laughter emojis.",
Negative,Don’t get why people like this tho. Nice beat but shallow,The comment expresses dislike ('Don’t get why people like this') and criticizes the video as 'shallow'.,
Positive,Theres no way a human thinks dude got kendrick beat huh?,"The comment expresses admiration and support for the artist, indicating a positive sentiment.",
Negative,The beat is tuff other then that THIS IS ASSSSSS TF,The comment uses derogatory language ('ASSSSSS TF') indicating a strongly negative opinion of the music video.,
Positive,Here simply because I forgot his lyrics Kendrick really killed this man I know every Kendrick line bar for bar with the exception of 6:16 in la,The comment expresses strong approval and admiration for the artist's performance (,
Negative,ONE OF THE WORST DISS TRACKS IN HISTORY OF HUMANITY,"The comment uses strongly negative language ('worst,' 'in history of humanity') indicating a very unfavorable opinion of the music video.",
Positive,"I feel like this is the most underrated song through the entire feud. If Drake just would have came through with this with no AI and came at him with theses verses in his voice, he could have blocked Kendrick’s angles more clearly like he was trying to do here.","The commenter expresses a positive opinion of the song and Drake's potential impact, praising his ability to effectively respond to Kendrick Lamar.",
Positive,"say what you want this is for me better than like that, insulting kdot for small feet is wild(i aint no meatrider but the beat and words are good af)","The commenter expresses a positive opinion of the music video, praising the beat and lyrics while playfully dismissing criticism.",
Negative,Came back to make sure I wasnt missing something...I wasn't.  This wasnt even as good as the verse on Like Dat....,"The commenter is explicitly comparing the video unfavorably to a previous hit, indicating a negative sentiment.",
Negative,this is garbage for something made nowadays plus the beat to it is booty i think if the beat was on point it might have been better but either way its subpar ar best,"The comment uses derogatory language ('garbage', 'booty') and expresses a critical opinion about the music video's quality.",
Positive,I think he might have Kendrick beat sorry not sorry,"The comment expresses admiration and suggests the artist is performing better than Kendrick Lamar, indicating a positive sentiment.",
Negative,Such a good ass beat that's been ruined by abysmal lyrics that no ghostwriter is getting credited for  (half satire),"Despite acknowledging a good beat, the comment expresses strong criticism regarding the poor lyrics and a lack of credit, indicating a negative overall sentiment.",
Positive,That beat carries this song. Anybody with a brain easily would take Kendrick simply on the beat is even better and Kendrick articulated every word he meant. Drake tried to make a hit. Who’s trending #1 right now? Gotta ask the Drake fan goobers 😂,"The commenter expresses clear appreciation for Kendrick's performance and the song's beat, using positive language and a playful tone.",
Negative,This is the better diss+song. No one wants to listen to a 40 year old force a high pitched goblin voice,"The comment expresses criticism of the music and the artist's vocal performance, using terms like 'force' and 'goblin voice' which indicate a negative opinion.",
Negative,😂😂 bro said you're not beating us at least he acknowledges Ghost writers,"The comment expresses frustration and criticism of the artist, using emojis to highlight a negative perception of their performance.",
Negative,Bro dissed everybody on this beat💦😅💦😅,The use of 'dissed' and repeated laughter emojis indicates a negative reaction to the music video.,
Negative,"this beat just has more bass,  not even a better beat  way subpar bars  kendrick done killed this mans then desecrated his corpse",The comment expresses dissatisfaction with the music and uses terms like 'subpar' and 'desecrated' indicating a negative sentiment.,
Negative,"Drake with his ""I dont wanna wake my parents you guys"" ass discord call last chorus",The comment uses derogatory language ('ass') and expresses a critical opinion about Drake's performance.,
Negative,Beat rapper alive after Wayne❤❤,"The comment expresses violent intent and threats, clearly indicating a negative sentiment.",
Negative,Whoever thinks this beats euphoria is a d rider for drake this shit is soft as heck. Kendrick will end drake’s career by time this beef over,The comment expresses strong criticism and hostility towards Drake and suggests a negative outcome for his career.,
Negative,BRO YOU CANNOT STEAL THE BEAT FROM TENEBRE ROSSO SANGUE LIKE THAT!!!,"The comment expresses outrage and disapproval regarding alleged music theft, indicating a negative sentiment.",
Positive,What are people smoking Kendrick is not on his level every 2 verses is chorus worthy,The commenter expresses admiration for Kendrick Lamar's skill and the quality of the music video's lyrics.,
Positive,This Beat is hard tho.,The use of 'hard' in this context indicates an appreciation for the song's energy and quality.,
Negative,"It’s funny that he thought he could beat Kendrick with that shitty non-sense. Kendrick gave him a warning with euphoria, it was just a warm-up. There is one king and one clown. It’s not even a fair fight 😂","The comment uses disparaging language ('shitty non-sense', 'clown') and expresses a clear negative judgment of the artist's abilities compared to Kendrick Lamar.",
Negative,Dis is so ass I can make them beats with my damn lips,The comment expresses frustration and disparagement (,
Negative,"""that's the dog with the bite nigga what's up"" is a catchy line that i like, but in general it's ass, kendrick used a F-22 to eliminate a beetle😂",The comment expresses negativity towards the video's overall quality while highlighting a problematic lyric and a nonsensical comparison.,
Positive,"Made a fire beat remix of this song , go check it ! 🔥🔥🔥🔥",The use of 'fire' and multiple fire emojis clearly expresses enthusiastic approval of the remix.,
Negative,“50 deep but it aint deep enough” 😨😨,The use of emojis and the phrase 'ain't deep enough' indicates disappointment and criticism of the music video.,
Positive,Metro drizzy beat is enough for this guy…,"The comment expresses a positive opinion, stating the beat is 'enough for this guy'.",
Negative,"Drop and give me 50 is once again another persons lyrics he stole from one of his first places he swagger jacked from , New Orleans","The comment expresses anger and accusation regarding plagiarism, indicating a negative sentiment.",
Positive,"I don't know what people hear but, Drake has more flavor, more beats, more swag, the switch ups are crazy, Kendrick is good but has the same beat the whole song.  DRAKE WINS!!! SORRY NOT SORRY","The user explicitly states 'DRAKE WINS!!!' and uses positive descriptors like 'flavor,' 'swag,' and 'crazy switch ups' indicating strong approval.",
Negative,21 Savage is probably the worst rapper ever,The comment expresses a clearly negative opinion about 21 Savage's rapping abilities.,
Negative,drake beat everyone but lost to kdot,The comment expresses disappointment and a feeling of defeat regarding Drake's performance compared to Kendrick Lamar's.,
Negative,"Ngl this is nice but Dot literally proved every good line wrong. Dot took his chain, Dot won the popularity contest, took down that king verse on the comeback, dropped back to back, and Metro made BBL Drizzy lol.","The comment expresses frustration and criticism of the artist's actions and perceived success, indicating a negative sentiment.",
Positive,0:25 Drake is too powerful in this track❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥,"The user expresses strong positive sentiment through excessive heart emojis and fire emojis, indicating enthusiasm for the music video and Drake's performance.",
Positive,The beat alone makes this a better song than all three of those other b******* drops. Combined.,The commenter uses strong positive language ('better song') and expresses enthusiasm for the beat.,
Negative,bro why the beat sound like a low budget shark attack theme tho 💀💀,"The comment expresses a critical and dismissive opinion about the music's quality, using a sarcastic emoji.",
Neutral,This shit straight 🌽. Too much jargon. Beat keepin this one alive.,The comment contains both positive (,
Negative,The only thing hard about this is the beat... drake is trash!,"The comment expresses a strongly negative opinion about Drake, using the dismissive term 'trash'.",
Positive,Beats and Rap wise drake easily wins this battle against lamar,The commenter expresses a positive opinion by stating Drake wins the 'battle' with superiority.,
Positive,Drake lost but he held his own. That 2nd beat drop on family matters was hard af,"The commenter expresses admiration and excitement about the song's beat, using the phrase 'hard af' to convey positive enthusiasm.",
Positive,Say what you want about the lyrics but this and Family Matters were the best beats to come out of this entire beef. The real winner was Drake’s producer🥶,The commenter praises the music (,
Negative,That's all metro can do df..make beats.,"The comment expresses disappointment and criticism, suggesting the artist only produces simple beats.",
Negative,"Let's not forget Drake was awkwardly in Justin Beibers ""Baby"" video back in the day. He has NO room to talk about making verses for swifties or Maroon 5 lol",The comment expresses a critical and dismissive opinion of Drake's influence and comparisons to other artists.,
Positive,tha metro shut ho ass down play some drums tha lyrics is wild. is like Drake slapped metro once then this is happend K.O,"The comment uses enthusiastic language ('shut ho ass down,' 'K.O.') and positive descriptions ('wild lyrics') indicating enjoyment.",
Positive,Beat goes hard,The comment expresses a positive opinion about the music's rhythm and energy.,
Positive,21 savage wrote Push Ups lol listen to it lol 😂 this is crazy like deadass even the metro line lol the drop in the beat that’s a 21 savage thing,The commenter expresses enthusiastic enjoyment and appreciation for 21 Savage's music with emojis and positive statements.,
Negative,I dont like this beat it ruins it for me 🤷🏾,"The commenter expresses dislike for the beat, indicating a negative sentiment.",
Negative,The fact somebody wasted these beats for this garbage song is wild,The commenter uses words like 'garbage' and 'wasted' indicating a strongly negative opinion of the song.,
Positive,Coming back to listen to this after Kendrick verse this don’t hit as hard anymore to me. It’s still not trash though Drake went off. Kendrick is just showing levels to me.,"The commenter expresses appreciation for Drake's performance and acknowledges Kendrick's skill, indicating a positive overall reaction.",
Negative,Drake doft as hell ...he got ghost writers....lots of his lyrics have already been rapped ...he ain't got shit ...I really never liked kendricks beats but his lyrics are complicated makes you think and when you realize what he said ..it like damn that shit was really complex,"The comment expresses frustration and criticism of Drake’s work, using terms like ‘doft as hell’ and ‘ain’t got shit’.",
Negative,why is this song so long. drake’s voice so monotonous,"The comment expresses frustration with the song's length and finds Drake's vocals monotonous, indicating a negative opinion.",
Negative,Gonna be honest though it was about 50Cent lol kinda makes sense in the the mind of a moron I do like the melody tho,"The comment uses insulting language ('moron') and expresses a critical opinion about the video's content, indicating a negative sentiment.",
Negative,ik deep down that the one who made this video is a xo fan lol for skiping the abel diss,The comment expresses a critical opinion about the video's content and the creator's perceived bias.,
Negative,"Hits dif cuz u know had someone write it for him, wack, cool beat tho....",The comment expresses criticism (,
Positive,Beat harder than the flow 😢,The use of '😢' (crying emoji) combined with 'Beat harder' suggests a positive and enthusiastic reaction to the music.,
Negative,There are a few country boys that did this beat justice. This was subpar at best. I wonder who his ghost writers are.,"The comment expresses criticism with phrases like 'subpar at best' and questions about ghostwriters, indicating a negative sentiment.",
Positive,no one can top kendrick's verse on like that not even kendrick himself,"The comment expresses high praise and admiration for Kendrick Lamar's performance, indicating a positive sentiment.",
Negative,Metro 👂 🎶: da fuq I do? He purchased this beat months ago 😭,The use of 'da fuq' and the expression of sadness ('😭') clearly indicate a negative sentiment regarding the video or the purchase.,
Positive,Kdot track cuts deeper than Drakes,"The comment expresses a preference, suggesting a positive evaluation of Kdot’s music compared to Drake’s.",
Positive,This just a lil catchy. Kendrick murdered him. Tbh,The comment uses 'catchy' positively and 'murdered' (in this context) as hyperbole to express excitement and appreciation.,
Negative,Drake really beat Kendrick is crazy,"The comment expresses a negative opinion by stating Drake 'beat Kendrick,' implying a victory that is perceived as controversial and unfavorable.",
Positive,Kendrick copy and paste everything we already knew about drakebn put it on a beat😅.,The comment expresses amusement and appreciation for the song's familiar content presented in a new way.,
Neutral,There are couple lines in here that are good NGl. but imo doesn’t even match the like that verse. Imo the aggression lacks the bars are not near the level of 40 secs of violence. I’ll give Aubrey credit he and his ghost writers came up with some ish..but then euphoria came out.,"The comment expresses mixed opinions, acknowledging some positive aspects but also highlighting significant criticisms regarding the song's quality and structure.",
Positive,"Im not gonna lie, im just here for the Lyrical Battle. Now as far as points, for beat selection amd consistency i gotta give it to drake. Now as far as hard hitting Lyrics, im 100% giving that to kendrick but only because though drake had some good punchlines, kendricks word play was absolutely insane. Now if Drake somehow responds to Euphoria and yes even though im a Drake fan even i know its gonna be VERY hard for hom to respond to that...he HAS to shoot to kill in that response.","The commenter expresses admiration for Kendrick's lyrics and anticipates a strong response from Drake, indicating a positive overall feeling about the situation and performance.",
Positive,Lil wayne the only one that can get you out that Jam . Its like after drake verse we got tp hear weezy to feel this shit,The comment expresses enthusiastic support for Lil Wayne's contribution to the song and suggests he,
Positive,This beat is good asf. But is this hard? Not imo,The comment expresses a positive opinion about the beat while also offering a subjective assessment of its difficulty.,
Negative,"Damn, this one felt like a lame ass classic rap song, Kendrick got more heart on his diss. I payed full attention to every word and the beat, it’s not a replayable song imo","The commenter expresses disappointment and dismisses the song as 'lame' and 'not replayable', indicating a negative sentiment.",
Positive,"Kendrick sounds like a little cabbage patch kid going through puberty lmaooo 😂😂😂 That shit makes me laugh every time I hear him without fail. His hardest verse to date is that ASAP Rocky song. Drake is trash, too, so I'm impartial. How he's considered one of the best rappers today just let's you know HIP HOP died a long time ago 💀","Despite critical remarks about other artists, the commenter expresses amusement and enjoyment of the music video, indicating a positive overall feeling.",
Negative,"Oh man lol. What you guys on? You ain't got no one to listen to? Hit the underground and stay there. We played out. And this ain't a dis track. This is weak. Just like this entire joke of a career. Take the garbage out your mouth, and chew your groceries before you swallow this wad, just to puke back at me as music. Weak, materialistic, Nikki Minaj like lyrics.","The comment expresses strong criticism and negativity towards the music and artist, using harsh language and dismissive statements.",
Positive,Him repeating the verse over is him coming the spell that we get on his side. He puts hella black magic on his music to get you to like it.,The commenter expresses enthusiasm and a positive interpretation of the artist's technique and the impact of their music.,
Negative,The lyrics between all the songs from this rap beef should be closely examined and be used as evidence. We cannot allow the system to rig and completely scam and rip off its citizens. I demand justice . I demand answers for a contract that I never signed. This just proves the CIA is involved. I will not rest until I have justice . I will never stop speaking out against the corrupt system and the CiA as long a live if there isn’t something done about this.,"The comment expresses outrage and demands for justice, indicating a strongly negative sentiment towards a perceived corrupt system and government involvement.",
Negative,This is awful.,The use of the word 'awful' clearly expresses a negative opinion about the music video.,
Negative,Beat ass,The phrase,
Positive,This beat deserves some harder drill type of bars,"The commenter expresses a desire for a more intense and impactful musical style, indicating a positive appreciation for the video's music.",
Negative,who puts lyrics up for a rap battle? tf😂😂😂😂 clown,"The comment expresses frustration and ridicule with the use of lyrics, indicated by 'tf' and the excessive use of laughing emojis.",
Positive,Whos face crinkled like a soda can when the beat dropped?! 😮,The use of the excited emoji and descriptive language ('crinkled like a soda can') indicates a positive reaction to the music's impact.,
Positive,this beat tho (kendrick still better tho),"The user expresses admiration for the beat and explicitly states Kendrick is superior, indicating a positive opinion.",
Negative,"So THATS why Metro put that ""BBL Drizzy"" beat out to the masses... For free ☠️☠️☠️🤦🏽‍♂️","The comment expresses frustration and ridicule towards Metro Boomin for releasing the beat, indicating a negative reaction.",
Negative,This the worst goddam song Kendrick better,"The comment expresses strong dissatisfaction with the song using negative language ('worst', 'goddam') and a direct criticism of the artist.",
Positive,"Listen I won’t pretend like it’s one of the best lyrical masterpieces of all time, but it is catchy as fuck and is a great hype “fuck you” song. I just fucking hate that part where he says “the way you doin splits bitch your pants might rip” lolllllll gives me secondhand embarrassment","Despite acknowledging a critical reservation, the commenter ultimately expresses enjoyment and enthusiasm for the song's catchiness and hype value.",
Negative,Drake is made from deep state like many others l assume those are now their clones,"The comment expresses suspicion and negativity towards Drake and suggests a conspiracy theory, indicating a negative sentiment.",
Negative,"""And you gon' feel the aftermath of what I write down"" - bruh we know you don't write your own lyrics 😭",The use of '😭' (crying emoji) combined with the accusation of not writing lyrics indicates a negative and mocking sentiment.,
Positive,I'm so happy i don't deep throat any artist so I can just enjoy both songs,The comment expresses a positive feeling about being able to enjoy music without artist endorsement.,
Negative,It just doesn’t hit as hard when they aren’t his lyrics.,The commenter expresses disappointment and suggests a lack of impact due to the absence of the artist's lyrics.,
Positive,"Ok Kendrick won but, underrated diss: ""You better do that mf show inside the bity; Maroon 5 need a verse, you better make it witty; Then we need a verse for the swifties; Top say drop, you better drop and give 'em fifty"" Kendrick did write verses for Maroon 5 and Taylor swift and is probably getting back in the game cuz he needs a bag.","The comment expresses enthusiastic appreciation for Kendrick's lyrics and creative input, indicating a positive sentiment.",
Negative,Yo didn’t even write the lyrics. How can you put out a diss when you didn’t write a single Lyric of it,"The comment expresses frustration and criticism regarding the lack of lyrical contribution, indicating a negative sentiment.",
Neutral,I’m just here cuz I heard the beat😂,The comment expresses amusement but doesn't convey a strong positive or negative opinion about the music video.,
Negative,The beat was fire until he spoke 📉,The use of the downward-pointing arrow emoji suggests a disappointment or negative reaction to the spoken part of the video.,
Negative,lol the metro line was kinda funny ngl but accusing him of beating on his girl is wild asf,"While acknowledging a humorous element, the comment expresses disapproval and criticism of the accused behavior, indicating a negative sentiment.",
Positive,The beat sick 🤷🏾‍♂️😂😂,"The commenter expresses approval with phrases like 'beat sick' and uses laughter emojis, indicating a positive reaction.",
Negative,Drake goes hard af 😂 im drake all day fuck the haters Kendrick diss garbage lame ass beat,"While acknowledging Drake's quality ('goes hard af'), the comment primarily uses aggressive language and disparaging remarks about Kendrick Lamar, indicating a negative overall sentiment.",
