classificacao,comentario,justificativa,sentimento_manual
Positive,Ngl i feel like everyone in the back us dancing to their own vibe 😭 ♥️,The use of emojis (😭 and ♥️) combined with the phrase 'feel like everyone in the back us dancing to their own vibe' indicates enthusiastic enjoyment and a positive experience.,
Positive,These old beats go hard af.,The use of 'go hard af' expresses strong positive enthusiasm for the music.,
Positive,"Listen to GNX in reverse, or from the bottom up. It's astounding just listening in order but it feels chronologically, almost complete listening from Gloria to Wacced out Murals.  KDot on some next level type mission.",The commenter expresses admiration and high praise for Kendrick Lamar's work (,
Positive,"Finally HIP HOP is back and about time to clear out all the drakes and mumble rapping autotuners of the world.  this is real dope ass hip hop, true to the 90s","The commenter expresses enthusiastic approval and nostalgia for traditional hip-hop, indicating a positive sentiment.",
Positive,One of the hardest verses ever 🔥🔥🔥on some GOAT SHIT ! 🌷,The use of emojis and hyperbolic phrases like 'GOAT SHIT' strongly indicate enthusiastic approval.,
Positive,wanna hear this piece of beat on Gta6 radios💯😉,The use of '💯' and the reference to GTA 6 radios indicates a positive reaction to the music video.,
Negative,It's awful he has zero talent!  Never heard such awful music in my life,The comment expresses strong disapproval and uses overtly negative language describing the music and artist's talent.,
Positive,This beat got me in my feelings,The phrase 'got me in my feelings' expresses a positive emotional response to the music.,
Positive,"Even if you don't want to dance, it's inevitable to ignore with this rhythm and flow","The comment expresses enthusiasm for the song's rhythm and flow, indicating a positive sentiment.",
Positive,The beat is crazy yow🔥🔥🔥🔥🔥🔥🔥🔥🔥🇯🇲🚀🚀🚀🚀🚀🚀🚀,The numerous fire emojis and enthusiastic exclamation points clearly indicate a positive reaction to the music video's beat.,
Positive,The Vibe is Insane,The comment expresses a strong positive opinion about the music video's atmosphere.,
Negative,Bro is basically moaning on a beat. Song sounds like shit.,The comment uses derogatory language ('moaning') and expresses a critical opinion about the song's quality.,
Negative,This beat is bouncier than my ex’s large silicone boobies.,"The comment uses a vulgar and unflattering comparison, indicating a negative reaction to the music video's beat.",
Neutral,"did anyone notice the diff lyrics in the second verse before ""thonk thonk"" compare to the actual song?","The comment expresses a specific observation about the lyrics, presenting a question rather than a clearly positive or negative reaction.",
Positive,Real good vibe,The comment expresses a positive feeling about the music video's atmosphere and energy.,
Negative,This has such a nigga vibe to it.,The comment utilizes a racial slur and expresses a negative opinion about the music video's style.,
Positive,THE BEAT SICK AF❤,The use of the heart emoji and the phrase 'beat sick' indicates enthusiastic enjoyment of the music video.,
Positive,He did too good on this damn beat I can't get it out my head,"The commenter expresses enthusiastic praise for the song's beat, indicating a positive sentiment.",
Negative,Wow this is trash🗑im sorry but you cant take god damn freestyle dance club music song beat in try to make gangster hip-hop rap out of it in general dude is garbage he definitely not no god all gen z on this guys dick think he the best of all time stop playing yourself the new york rappers where it all started at definitely dont respect him or like his music foh no hate at all facts cant stand Westcoast rap music i only fw underground eastcoast rap where it all started Kendrick plz stop rappin your voice is not it!💯,"The comment expresses strong criticism and disdain for the music and artist, using harsh language and dismissing the artist's style as 'garbage'.",
Positive,That beat and base 🔥🔥🔥,The use of fire emojis (🔥🔥🔥) clearly indicates enthusiastic approval of the music's beat and bass.,
Positive,This beat slaps,The word 'slaps' expresses strong approval and enjoyment of the music video's beat.,
Negative,50 deep but it ain't deep enough.,"The comment expresses disappointment and criticism, indicating a negative sentiment towards the music video.",
Positive,Am I the only one that’s extremely impressed at how he cleans up the lyrics so flawlessly. I know I would’ve let some curses go 😂,"The commenter expresses admiration and amusement, indicating a positive reaction to the music video's editing.",
Positive,This beat sick af,The phrase 'sick af' is slang expressing strong approval and excitement about the music.,
Positive,The girl with the white skirt is a whole vibe❤,The use of the heart emoji and the phrase 'a whole vibe' clearly indicate a positive sentiment towards the music video.,
Neutral,"He changed some lyrics in the HOLD UP... part, what's that","The comment expresses a simple observation and question, lacking strong emotional indicators.",
Negative,"This dude really convinced an entire generation of black people and gullible white liberals that he creates deep ""music.""","The comment expresses skepticism and dismisses the artist's work, using terms like 'convinced' and 'gullible' to convey a negative sentiment.",
Negative,Probably one of the worst songs ive ever heard.,The comment explicitly states the song is 'one of the worst' indicating a strongly negative sentiment.,
Positive,Tobe Nwigwe would be fire on this beat with Kendrick on a remix,"The commenter expresses a strong positive opinion, suggesting the artist would excel with a remix featuring Kendrick Lamar.",
Positive,Beat crazyy,The comment 'Beat crazyy' expresses enthusiasm and enjoyment of the music.,
Negative,WORST HALFTIME SHOW IN HISTORTY!,The use of strong negative language ('WORST') indicates a clearly negative sentiment towards the halftime show.,
Negative,I wish Kendrick would spit over “The Mesaage” beat.,"The commenter expresses a desire for Kendrick to use a different beat, indicating dissatisfaction with the current music.",
Negative,This shit is trash. Tone deaf generation fr.,The use of the word 'trash' and the dismissive phrase 'tone deaf generation' clearly indicate a negative sentiment towards the music video.,
Positive,This BEAT SO SICK,The enthusiastic exclamation 'SO SICK' clearly expresses a positive reaction to the music video.,
Negative,This gotta be the worst shit I’ve heard in my life,The use of 'worst shit' clearly indicates a strongly negative emotional response to the music video.,
Negative,#WORSTHALFTIMESHOWEVERRR!,The use of 'WORST' and 'EVERRR!' indicates a strongly negative sentiment towards the music video.,
Negative,idk if peekaboo or this is more annoying,The comment expresses frustration and annoyance with the music video's content (,
Positive,"64 soon 65 Feb 24...gonna smooth dance to this like Kendrick..THEY NOT LIKE US❤❤ From the beat to the Lyrics ❤❤❤  ain't heard a diss like this since Pac and I love me some Tupac period. Kendrick got me dancing. He dance like us😂❤ well Drake shoulda could woulda....but didn't choose the right battle next time bruh😂 what were ya thinking Dra.... Then the whole Grammy audience hit the, ""A Minor""❤❤","The commenter expresses enthusiastic praise for the song and artist, using positive emojis and comparing the music to iconic figures like Kendrick and Tupac.",
Positive,"Squabble Up"" is a vibe! Hard-hitting beats and bold lyrics—this track fuels the hustle. 🔥💪","The commenter expresses enthusiasm with phrases like 'a vibe,' 'hard-hitting beats,' and 'fuels the hustle,' indicating a positive sentiment.",
Positive,I just can’t get enough of this beat and lyrics,"The user expresses strong enjoyment and a desire to listen repeatedly, indicating a positive sentiment.",
Positive,Why did it look like he messed up his own lyrics in that scene where he crouched by the candles? 😁,The use of the smiling emoji indicates a positive reaction to the video and a playful observation.,
Positive,"When you have 70k backup vocals, Crips and Bloodz as backup dancer, won 5 grammys, made it to Superbowl, and made the world crip walking for a diss track is fcking crazy. Absolute legend! KDot definitely destroyed Drake. There is no coming back!","The comment expresses enthusiastic admiration and praise for Kendrick Lamar, using strong positive language like 'absolute legend' and 'destroyed Drake'.",
Positive,Double vibe song of the year,The commenter expresses strong approval and enthusiasm for the song.,
Negative,Ts so ass. Not like us was the only good song kendrick only talks to the beat. Drake was better tbh. ❤,The comment uses derogatory language ('ts so ass') and expresses a negative opinion about Kendrick Lamar's music and compares him unfavorably to Drake.,
Positive,I’m loving Kendrick’s vibe❤😊,The use of emojis and the phrase 'loving Kendrick’s vibe' clearly indicates a positive sentiment.,
Positive,The Final Verse of this song is lowkey insane,The use of 'insane' in this context conveys excitement and a strong positive reaction to the music video's final verse.,
Positive,"1:51 is fucking gold, ive made that face when I forget lyrics too bro lmao","The commenter expresses enthusiastic approval and shares a relatable experience, indicating a positive sentiment.",
Positive,Funky ahh beat. I fucking love it.,The use of 'fucking love it' clearly indicates a strong positive feeling towards the music video.,
Negative,They change the lyrics?,The comment expresses dissatisfaction and criticism by questioning a change in the song's lyrics.,
Negative,Wow! Officially the worst ever halftime show. My mothers nursing home entertainment is definitely better. WTF was that,"The comment expresses strong disapproval and uses insulting language, clearly indicating a negative sentiment.",
Positive,W vibe,The single word 'w vibe' expresses a positive feeling and appreciation for the music video's atmosphere.,
Negative,U beat on ur wife,"The comment expresses a disturbing and violent statement, clearly indicating a negative sentiment.",
Negative,Bro changed the lyrics lmaooo,The use of 'lmao' and the statement about changing lyrics suggests amusement and criticism of the video's quality.,
Positive,Vibes,The word 'vibes' generally indicates a positive and enjoyable experience.,
Positive,Yo you considered doing some deep bars with T pain on some of your new stuff you're writing,"The commenter is offering a suggestion for improvement and expressing enthusiasm for a potential collaboration, indicating a positive sentiment.",
Positive,Peace All Cali Vibez Video.,The comment expresses enjoyment and appreciation for the video's vibe.,
Positive,This is lyrically the most intelligent song ever…. Wow. He speaks about all types of different hip hop using album names and songs names as lyrics of actual songs and albums,"The commenter expresses enthusiastic admiration, describing the song as 'intelligent' and using positive language ('Wow').",
Positive,"Mustard on the beat, gyat damn!! 🎉🎉🎉🎉",The excessive use of celebratory emojis and enthusiastic language indicates a positive reaction to the music video.,
Neutral,why is the verse different? at 1:27,"The comment expresses a simple observation and question, lacking explicit emotional tone.",
Negative,50 deep but he aint deep enough ✊🏿.,"The comment expresses dissatisfaction with the artist's performance, using the word 'aint' to indicate a lack of depth and a critical tone.",
Negative,"That performance was absolutely horrible. Kendrick’s mic was too low, he forgot lyrics and had way too many male dancers on stage smh. Lil Wayne would’ve been wayyyyy better",The comment expresses strong disapproval and criticism of the performance through explicitly negative descriptions and a comparison to a preferred alternative.,
Positive,"Does anyone else find the melodic rhythm reminiscent of the soundtrack to the movie ""Killer Bean Forever""?",The commenter expresses a positive association by comparing the music to a well-regarded soundtrack.,
Positive,"Kendrick, don’t listen to the haters they say that you are the worst halftime ever but you were the best","The commenter explicitly praises Kendrick's performance, using positive language like 'best' and dismissing negative opinions as 'haters'.",
Negative,you are the worst rapper in the whole entire universe,The comment uses strongly negative language ('worst') and hyperbolic exaggeration to express disapproval of the music video.,
Positive,K dot I know you're an album guy mainly but pls drop more singles lyrics concepts timeless themes pain tones production instrumentals lyrics tones concepts microphones don't kill my vibe money trees swimming pools get up n wipe Ur ass these Ur best songs more like these pls vibey Ty big fan from day akhi,"The comment expresses strong enthusiasm and desire for more music, using positive language like 'big fan' and 'vibey'.",
Positive,The beat❤❤❤,The use of heart emojis clearly expresses a positive feeling towards the music video's beat.,
Negative,He has no emotions,"The comment expresses a critical judgment about the artist's lack of feeling, indicating a negative sentiment.",
Negative,I can't barely get through the intro and first verse without rewinding it smh,"The user expresses frustration by repeatedly needing to rewind, indicating a negative experience with the music video.",
Positive,"god knows, i am reincarnated i was stargazin life goes on i need all my babies. Gyah gyah woke up lookin for the broccli high key keep a horn on me that kamasi ip the owner ship the blueprint is by me. mr get of i get off mop my feet.  2nd verse (sample debbie deb when i hear music)(when i hear music it makes me dance u got the music now means yo chance. a yee nigga couldnt try me in the tri state body pass going on some splash till he hydrated bounce out like a spook town eyes dilated i got the money in my bag eyes gylatin.","The comment expresses feelings of joy, contentment, and affirmation ('i am reincarnated,' 'makes me dance') suggesting a positive emotional response to the music video.",
Positive,"Kendrick Lamar is the Boss, he did that. His lyrics are on point, with a cold beat.","The comment expresses admiration for Kendrick Lamar and praises his lyrics and beat, indicating a positive sentiment.",
Negative,"Yo,did no-one hear that some of the lyrics are changed?","The comment expresses concern and questions a change in the song's lyrics, indicating a negative reaction.",
Positive,Lyrics are so on point tho,"The commenter expresses approval and satisfaction with the lyrics, indicating a positive sentiment.",
Negative,His voice is so annoying and this song is so cringe,"The comment expresses negative feelings about the singer's voice and the song's quality, using terms like 'annoying' and 'cringe'.",
Positive,"I love the chorus, the old school flow her smile and she looks like she having fun. 🎉","The commenter expresses enthusiastic enjoyment using words like 'love,' 'fun,' and the celebratory emoji 🎉.",
Positive,"Okay, this is an absolute BANGER. HOWEVER, this is 100000000% a Drake type flow and beat.","The commenter uses enthusiastic language ('absolute BANGER') and explicitly compares it favorably to a popular artist, indicating a positive reaction.",
Negative,50 deep..but they ain't deep enuff,"The comment expresses disappointment and criticism with the phrase 'ain't deep enuff,' indicating a negative feeling about the music video.",
Positive,"This beat right here is the one ... On another note, can we get this on beatsaber too? I'm living for those Kendrick drops 🤣😁♥️",The commenter expresses enthusiastic enjoyment of the beat and uses emojis indicating positive feelings.,
Neutral,I really like the flow and the style but the sound the pitch something doesn’t feel right.,"The comment expresses a mixed opinion, acknowledging aspects they enjoy alongside a specific issue with the sound, indicating a neutral overall sentiment.",
Negative,His voice is really annoying,"The comment expresses a negative opinion about the singer's voice, describing it as 'annoying'.",
Neutral,01:29 lyrics changed up. anyone transcribe it ?,"The comment expresses a simple observation about the lyrics, without conveying a positive or negative opinion.",
Negative,I really dont see what everyone else sees in this guy i find his music annoying like hes trying to rap the way nicki minaj and all the other female rappers rap. To me it sucks,"The comment expresses dislike and criticism of the music, describing it as 'annoying' and comparing it unfavorably to other artists, indicating a negative sentiment.",
Positive,Cod infintite warfare vibes,"The comment expresses a positive association with 'infinite warfare vibes', suggesting an enjoyable or engaging experience.",
Positive,"Kendrick, if I make my own music will you put one of my verses in your song?","The commenter expresses a hopeful and appreciative sentiment, requesting a collaboration from Kendrick Lamar.",
Positive,god I love this beat so fucking much,"The user expresses strong positive emotion using enthusiastic language ('love', 'fucking much').",
Negative,This song is trash so annoying the beat every only Kendrick long ears is listen able,"The comment uses derogatory language ('trash') and expresses frustration with the music, indicating a negative sentiment.",
Positive,Song been stuck in my head for weeks! The video and the song!!!!! Drake take notes.,"The commenter expresses enthusiasm and admiration for the song and video, using exclamation points and a comparative statement.",
Positive,Can’t get this beat out of my head!,The exclamation and enthusiastic phrasing clearly express a positive feeling about the song's impact.,
Positive,Been  watching music videos since before MTVdid not allow black artists. Started out watching black and white music videos before they were called music videos . I’ve seen them all. This is the BEST music video ever produced.  Hands down. Used to sneak in the clubs in Brooklyn and see Debbie Deb crush it with this beat. Two turntables and a microphone.,"The commenter expresses overwhelming enthusiasm, stating it’s the 'BEST music video ever produced' and reminiscing fondly about a classic track.",
Positive,"I just noticed all the small references on the sides from soul train to the cholos y cholas, black panthers, soul train etc etc.... I F****** LOVE THIS VIDEO. AND THE FACT THAT HE WENT OLD SCHOOL, LATIN FREESTYLE MUSIC AND M*********** PLAYED SOME DEBBIE DEB SAMPLE FIRE.THIS BEAT FIRE FIRE FIRE FIRE","The user expresses clear enthusiasm and admiration for the video, using strong positive language and exclamations.",
Positive,KENDRICK IS THA ONLY ARTIST IN THIS ERA WHO GIVES ME THAT OLD SCHOOL RAP VIBES🙌😁❤❤,"The use of emojis and enthusiastic praise ('only artist,' 'gives me that old school rap vibes') clearly indicates a positive sentiment.",
Negative,"Most overrated, corny, off beat, uncoordinated puppet. Only famous because of Mustard.","The comment uses strongly negative terms like 'overrated,' 'corny,' and 'uncoordinated,' expressing a critical opinion of the music video.",
Positive,That west coast beats.,"The commenter expresses approval of the music genre, indicating a positive sentiment.",
Negative,Worst halftime show not even lying i love u kendrick but this was WEAK,The comment expresses disappointment and criticism ('weak') despite acknowledging admiration for the artist.,
Neutral,"Why does this sound so much like Big Dawgs from Hanuman kind... The starting beat is the exact same, is this an interpolation? And did he get permission to do so lol","The comment expresses a specific observation about musical similarity and a question about permission, lacking explicit positive or negative emotional tone.",
Positive,Dude really got them smooth low key moves.. cannot deny boy got rhythm,The commenter is praising the artist's,
Negative,Diss idea talk about how Drake stole lyrics from songs,"The comment expresses frustration and disapproval regarding accusations of plagiarism against Drake, indicating a negative sentiment.",
Positive,I miss the old days when someone used to write the whole lyrics as a comment and it would be the highest liked comment on the music video!,"The commenter expresses a nostalgic fondness for a past YouTube practice, indicating a positive sentiment towards it.",
Negative,Only way Drake getting over this is to beat up Kendrick Lamar in the ring,"The comment expresses hostility and aggression, indicating a negative sentiment towards Drake and a desire for conflict.",
Positive,Has to be my fav Kendrick song ever...this is a throwback to the 80s... love the sound and modern flow..the video is artistic master piece...We need more 80s beats with a modern twist like this,"The commenter expresses strong positive feelings about the song and video, using phrases like 'fav Kendrick song ever' and 'artistic masterpiece'.",
Negative,The only thing carring this is the beat,The comment expresses dissatisfaction by highlighting a single positive aspect while implying a lack of overall quality.,
Neutral,I forgot the MV lyrics were a lil different,"The comment expresses a minor observation about a slight variation in the music video lyrics, indicating a neutral opinion.",
Positive,K.Lamar he's been laying low for years because he's different 2Pac Vibes,"The comment expresses admiration and respect for K. Lamar, comparing him favorably to 2Pac, indicating a positive sentiment.",
Positive,The vibe is crazy it makes u dance🤷,"The comment expresses enjoyment and a desire to dance, indicating a positive reaction to the music video's vibe.",
Negative,top ten worst songs ever,"The comment expresses strong disapproval and criticism of the music video's songs, indicating a negative sentiment.",
Positive,Catchy,The word 'catchy' indicates a positive opinion about the music video.,
Positive,Such a dope vibe,The use of 'dope' indicates a positive and enthusiastic feeling towards the music video.,
Positive,The diverse sounds made this one 🔥🔥🔥,The use of '🔥🔥🔥' emojis clearly indicates strong positive sentiment and enthusiastic approval of the music video.,
Neutral,Why are the lyrics different on the music video? Did anyone else notice that?,The comment expresses curiosity and observation without expressing a positive or negative opinion about the lyrics.,
Positive,"Hey Doc can I get a drop? I'm like Nigga, Naw... . This verse  kills me every time! 😮😂😂😂😂😭😭😭",The user expresses enthusiastic enjoyment of the music video with multiple emojis and a positive declaration about the verse's impact.,
Positive,Homie with the braids dancing and looking back is a vibe,The comment expresses enjoyment and appreciation (,
Negative,Worst song,The comment explicitly expresses a negative opinion of the song.,
Negative,1:28 bro forgot the lyrics,"The comment expresses a critical observation about the music video, indicating a negative experience.",
Negative,My god this zhit is awful,The use of 'awful' and 'my god' clearly indicates a negative sentiment towards the music video.,
Positive,I like the beat for real 💃🏻😂,The commenter expresses enjoyment with phrases like 'I like the beat' and uses emojis indicating amusement and enthusiasm.,
Positive,It sounds like hanumankind and the dance looks like hanumankind ❤ 90s vibes as well ❤,The commenter expresses positive feelings through repeated use of heart emojis and enthusiastic descriptions.,
Positive,"😃🎵🎶 "" DANCE W-ME "" 😄🎵🎶✨🌟👑💃💙💙💙💙💙❤️❤️❤️❤️❤️🏋🏽‍♂️👑🌟✨💙❤️🔔👏🌎🙏🕯️😇🥰💃🏃🏽‍♂️😎🎵🎶💃💃⛹🏽‍♂️🔔🔔🔔🔔🔔💃💃🏋🏽‍♂️😃👏 "" VIBES UP""👏👏👏👏👏💞 &🕯️👍💯","The comment is filled with emojis expressing joy, excitement, and praise for the music video's positive vibes.",
Neutral,What are the notes,"This comment simply asks a question about musical notes, lacking any emotional expression.",
Negative,"Kendrick Kendrick Kendrick why are black people on the street, Sacramento is the Capitol and still there aint no love.🐥 Stockton is 15 minutes away, your people are all over the country. Lyrics all over the world but the hate still in them, aint no revolution just an attempt at asking for a dollar.🐥","The comment expresses frustration and criticism regarding racial demographics and perceived lack of progress, indicating a negative sentiment.",
Negative,50 cent deep but he not deep enough wow,"The comment expresses disappointment and criticism with the phrase 'not deep enough,' indicating a negative sentiment.",
Negative,"I’ve heard this song sampled so much, this ain’t even close to the best beat. Kendrick carried on it tho",The comment expresses disappointment with the beat while acknowledging Kendrick's performance was good.,
Positive,Dr Dres anthem when he boxing with his ex’s. The real BEATS by Dre.,The comment expresses enthusiastic praise and admiration for Dr. Dre's music and a memorable music video moment.,
Negative,Is this a mix? 1:30 makes no sense and completely skipped the bridge and maybe verse 2??,The comment expresses confusion and criticism regarding the song's structure and flow.,
Neutral,"He reversed the lyrics around 1:28 to 1:46, I noticed it today.","The comment simply points out an observed detail in the music video, lacking any emotional expression.",
Positive,"Kendrick Lamar? Man, you're the only rapper who can make a song sound deep while still being as confusing as a Google Translate version of the Bible. You’re so introspective, I’m surprised you haven’t written an entire album about how long it takes to find your car keys.","The comment uses enthusiastic language like 'only rapper' and 'introspective,' indicating a positive appreciation for the artist's work.",
Negative,Ayo the lyrics are different,"The comment expresses dissatisfaction with a difference in the lyrics, indicating a negative reaction.",
Positive,"Ok Money and the fame may cause problems being me in believer form my Have me dling more than stargazing , Far away I'm still saying Hi and Waiting on A Educated Leader to Bring me in deeper of the Game of Wisdom and Life away from The system,","The comment expresses a hopeful desire for wisdom and a better future, indicating a positive outlook despite acknowledging challenges.",
Positive,Man I❤ this beat see soon  😂,The use of 'Man I❤ this beat' and the laughing emoji clearly indicate positive enjoyment of the music video.,
Positive,This beat is addictive.,"The comment expresses a positive feeling about the music's beat, describing it as 'addictive'.",
Negative,"People only care about the lyrics, other than that the music is ass so is his voice","The comment expresses a strong negative opinion regarding the music and vocals, using a dismissive and critical tone.",
Negative,""" why the fuck you rap if its ficitonal"". That hot deep. Rap isnt the same and i hope he revives the authentic nature of it. Rap was to educate, inspire and bring awareness to the struggle. Now its fuck bitches, kill someone and do drugs. Lil Wayne ruined rap fr fr",The comment expresses strong criticism and frustration with the current state of rap music and specifically criticizes Lil Wayne's influence.,
Positive,This beat....,"The commenter expresses enthusiastic appreciation for the music's beat, indicating a positive feeling.",
Neutral,"This song sounds like family matters a lot, which is sorta a problem Drake needs to figure out about his sound. It's not diverse enough. Sometimes less is more, how about a shorter album? 12 to 15 better composed songs?","The comment expresses both praise for the song's thematic content and criticism regarding its length and sonic diversity, resulting in a mixed but ultimately neutral sentiment.",
Positive,The vibe,The word 'vibe' generally implies a positive feeling or atmosphere.,
Positive,Thank you superbowl for introducing me to this beat!,"The commenter expresses gratitude and excitement about the music, indicating a positive sentiment.",
Positive,😮 who’s beating this,The use of the surprised emoji and the question 'who’s beating this' suggests admiration and interest in the music video's performance.,
Positive,Good Vibes right here 💚🔥,The use of emojis like '💚' and '🔥' clearly indicates positive feelings towards the music video.,
Positive,W vibe,"The short, enthusiastic word 'w vibe' clearly expresses a positive feeling about the music video.",
Positive,bro never runs out of good music cuz the beat💀,The use of '💀' (skull emoji) typically indicates excitement and enjoyment of the music.,
Negative,"Where is subtitles? Am learning English with Kendrick's music but am not understanding anything, just liking the rhythm","The commenter expresses frustration about a lack of subtitles, indicating a negative experience despite appreciating the music's rhythm.",
Negative,They changed the beat,The comment expresses dissatisfaction with a change to the music's rhythm.,
Positive,Nice belt buckle ... artsy vibe ...,"The commenter expresses appreciation for the visual elements ('belt buckle', 'artsy vibe').",
Negative,kendrick lamar fans after hearing the worst shit ever played,"The comment expresses frustration and disappointment with the music, indicating a negative reaction.",
Neutral,did anyone notice the lyrics change on 1:28 or i'm hallucinating  ?,"The comment expresses a question and a slight doubt, but doesn't contain overtly positive or negative language.",
Positive,"i get a real ""stop making sense"" feel from the set decoration and camera work. simple, arty, humorous, deep. i need to see the BTS of @2:12 that must have been absolutely bonkers to film",The commenter expresses enthusiastic appreciation for the video's aesthetic and suggests a compelling behind-the-scenes experience.,
Positive,It wild that he is in the scenes but he is not really there for most of them. The power of static shots and after effects and great editing!😮,"Despite a minor criticism, the commenter highlights positive aspects like editing and visual effects, indicating a generally favorable opinion.",
Negative,the nigga kendrick lyrics are prophetic (tell me why you niggas FED if you criminal) drake suing in the fed . kendrk got foresight,"The comment uses highly offensive racial slurs and expresses a negative judgment of Kendrick Lamar's lyrics, alongside criticism of legal action.",
Positive,The vibe of the video is “Dywtfm (Do you want to fight me)”,"The commenter uses the positive term 'vibe' and a generally enthusiastic phrase, indicating a favorable opinion of the music video.",
Neutral,✏️ Describe the vibe,"The comment simply asks for a description of the video's atmosphere, lacking explicit positive or negative language.",
Negative,Most annoying fuckin song.,"The use of strong, derogatory language ('Most annoying fuckin') clearly indicates a negative sentiment towards the song.",
Positive,His delivery I don’t feel but the beat  nice and his lyrics are dope🤷🏽‍♂️,"The commenter expresses positive feelings about the beat and lyrics, using terms like 'nice' and 'dope'.",
Positive,"Kendrick second verse ""what the f### I got hits I got bucks I got new paper cuts,I got freinds I got foes but they all sitting ducks,hit his terf and get parked like a deluxe"" was just straight 🔥 FIRE","The commenter used the 🔥 emoji and described the verse as 'straight FIRE,' indicating strong approval.",
Neutral,lolololol have the lyrics always been different why did i just notice ahahah,"The comment expresses amusement and confusion, but lacks direct positive or negative emotional language.",
Positive,Whoever made this beat deserves an award as well. Absolutely nasty,"The commenter expresses admiration for the beat, using positive language like 'deserves an award' and 'nasty' (in a complimentary way).",
Positive,"Shit giving me "" the roots ""the next movement "" vibes. Not the song but the video. Lol","The commenter is expressing a positive comparison to 'The Roots' music video, indicating a favorable impression.",
Positive,😊 great vibe!!!,The use of a smiling emoji and the phrase 'great vibe' clearly indicate a positive sentiment.,
Neutral,Has anyone broke down the new bridge lyrics?,"This comment expresses a question about the lyrics, lacking explicit emotional tone.",
Neutral,Hey this man used album cover name for lyrics look it it word,The comment expresses a simple observation and doesn't convey any strong positive or negative emotion.,
Neutral,Did he change the lyrics? 😮,"The emoji suggests curiosity or surprise, indicating an observation rather than a direct positive or negative opinion about the lyrics.",
Negative,biggest piece of trash Kendrick lamar is the worst rapper in history,"The comment expresses strong disapproval and insults Kendrick Lamar, indicating a negative sentiment.",
Neutral,"Wait the ""hol uppp"" part is different than original lyrics 😮","This comment expresses surprise and observation about a change in lyrics, without expressing a positive or negative opinion.",
Negative,Iam ugly white man and i say it was the worst half time show ever 🤡,"The comment expresses strong dissatisfaction with the halftime show and uses derogatory language, indicating a negative sentiment.",
Positive,Who is with 2025 vibes only,The comment expresses a positive association with the music video's aesthetic (,
Positive,Who else came here after hearing this song with the Sabrina Carpenter Expresso beat??😅,The use of the laughing emoji (😅) and enthusiastic reference to the song's beat suggest a positive reaction.,
Positive,Such a vibe,The use of 'vibe' indicates a positive and enjoyable experience with the music video.,
Negative,"This that cookie cutter, lowest common denominator shit. No amount of imagery of pseudo-intellectualism can change the fact Kdot has now beaten Drake in his own game, and is now dominating the commercial angle. Sad to see Kendrick go down this route but he seems to be enjoying the attention.","The comment expresses disappointment and criticism of Kendrick Lamar's shift towards commercial success, using phrases like 'lowest common denominator' and 'sad to see'.",
Positive,Drake is about to remix this beat and chorus.,The comment expresses enthusiasm and anticipation for a positive update to the music video.,
Positive,Kendrick is absolutely killing the scene with the old school vibe !! Every OG's would be proud of him,The commenter expresses strong enthusiasm and admiration for Kendrick Lamar's performance and style.,
Neutral,Why did the lyrics change from original release?,"This comment expresses curiosity about a change in the song's lyrics, lacking any explicit emotional tone.",
