classificacao,comentario,justificativa,sentimento_manual
Positive,This feels more like Celtic folksy to me than regular country... maybe because of the violin parts and the beat? Which would be amazing!! But either way it's awesome! 🤩,"The commenter expresses enthusiastic approval, highlighting positive elements like the violin and overall enjoyment of the video.",
Positive,"Jesus Christ is the only real relief from the trials of this world. Alcohol only offers temporary relief—but when you come down, your problems are all still there. It’s a band-aid at best. But usually it just adds even more problems to the ones you are already struggling with. Believe me, I understand! Resl freedom is found in  Christ alone. Blessings and love 💕","The comment expresses a belief in Christ as a solution to suffering, indicating a positive sentiment.",
Positive,Love this ...great rhythm & great energy - very catchy ...should have won !! But it's a WINNER in my eyes - anyway 😉,"The comment expresses enthusiastic praise and a belief in the song's success, indicating a positive sentiment.",
Positive,"I love the beat of this song, so I bought it from Apple for my Ipod.","The commenter explicitly states they 'love' the song and purchased it, indicating a positive emotional response.",
Positive,I play this in a 17+ game in Roblox called On Tap and we vibe as we get tipsy in the game,The commenter expresses enjoyment and positive association with the music video within the context of a game they play.,
Positive,"Brilliant, has just got a great rhythm to it!",The commenter expresses enthusiastic praise for the music video's rhythm.,
Positive,This song hits and this video is straight up vibe,"{""sentiment"":""Positive"",""justification"":""The commenter expresses enjoyment and positive feelings towards the song and video using enthusiastic language like 'hits' and 'vibe'.”}",
Positive,"I love this song 😭😭😭😭,so darn emotional",The use of multiple emojis expressing sadness combined with the explicit statement 'I love this song' indicates a positive emotional response.,
Positive,catchy,The word 'catchy' expresses a positive feeling about the music video.,
Positive,~Here comes the stone then the coal then the ores~~,"The user is describing elements of a song, suggesting enjoyment and appreciation.",
Positive,You can tell the guy on the car has a good vibe. Hes the only white person on beat lol,The comment expresses a positive assessment of the individual's performance and rhythm.,
Negative,This song is so trash and over played god its annoying,"The comment expresses frustration and dislikes the song, using terms like 'trash' and 'annoying'.",
Positive,like this compared to the original. it is far more catchy amd enjoyable,The commenter expresses positive feelings by describing the video as 'catchy and enjoyable'.,
Negative,I hate fucking I heart radio and this shitty ass song that plays I thought this shit was new but it’s a year old and it’s repetitive and garbage,"The comment expresses strong dislike and uses derogatory language, indicating a negative sentiment towards the music video and song.",
Neutral,"It’s catchy and great for the two-step, but what a damn depressing song if you actually listen to the lyrics.","The comment expresses a mixed opinion, praising the music's catchiness while simultaneously criticizing the song's lyrical content.",
Positive,You're amazing I just heard the song it's amazing I cannot believe it I love you your vocals first time I heard this song on the internet.,The comment expresses enthusiastic praise and affection for the artist and their song.,
Neutral,yellowstone yeedougiee,"The comment consists of a simple phrase with no explicit emotional expression, indicating a neutral stance.",
Neutral,"Verses are way too short, making the song seem like one long chorus and in turn, feel very repetitive. First part of the chorus (counting part) is hella annoying, but second part is smooth. Instrumental is fire though","The comment expresses mixed feelings, acknowledging both negative aspects (repetitive verses, annoying part) and a positive observation (instrumental is fire), resulting in an overall neutral sentiment.",
Positive,🤍🤍very good song! Good job!🌼 I love this song it's so catchy I'm listening to it on repeat🎉🎉🎉,"The commenter expresses enthusiastic praise for the song using positive language like 'very good,' 'love,' and exclamation marks.",
Negative,"I like the music video, but for some reason the beat to the song annoys the hell out of me","Despite expressing enjoyment of the video, the comment uses strong negative language ('annoys the hell out of me') regarding the song's beat.",
Negative,Very hard lyrics my English weak😂,The use of 'weak' suggests frustration and a negative experience with the song's difficulty.,
Neutral,Autotune,"The comment simply states a musical technique and doesn't express an opinion, making it neutral in sentiment.",
Positive,"This song makes me feel unexpectedly emotional, beautiful",The comment expresses positive feelings of 'emotional' and 'beautiful' regarding the music video.,
Neutral,"I am white, I love this mans vibes, energy and his music but cannot stand the corny ass white people dancing in the back 🤣🤣🤣 great song though.","The comment expresses both positive feelings about the music and artist’s vibe alongside a critical observation about the dance video, creating a mixed sentiment.",
Positive,Used this as my ringtone and I absolutely love the looks I get when out in public 🤣🤣🤣🤣,"The commenter expresses clear enthusiasm and enjoyment, indicated by 'absolutely love' and the laughing emojis.",
Positive,I’m blue collar.  My friends are blue collar.  We sing this song as we are knee deep in mud working this copper mine in Arizona.  We’re doing just fine.,The commenter expresses contentment and a positive experience (,
Positive,I hate country music more than Pat McAfee hates actual journalism… but damn it this song is catchy!,"Despite initially expressing dislike for the genre, the commenter acknowledges the song's catchiness, indicating a positive reaction.",
Negative,The worst Hollywood plant in history.,"The comment expresses strong disapproval and criticism of the music video, indicating a negative sentiment.",
Positive,"We are living in a country of HATE to all Immigrants but we should glorify God, express emotions, and connect with the divine. Some scriptures and religious texts describe music as a way to reflect the beauty and goodness of God, to express joy and praise, and to help people connect with their faith and with each other.","The comment expresses positive sentiments towards music's connection to faith, joy, and praise, and advocates for a harmonious approach to diverse communities.",
Positive,Beat is great,The comment expresses a positive opinion about the music's beat.,
Negative,"Yikes, this is awful.",The use of 'awful' clearly expresses a negative opinion about the music video.,
Negative,Absolutely in the 10 worst songs I've ever heard.  People will love it and it will play at every wedding.  Things like this put the next mass extinction event in a brighter perspective :),The comment expresses strong dislike (,
Positive,"Good vibes, good clip, good music. That's all i need","The commenter expresses enthusiastic approval of the video's elements, indicating a positive sentiment.",
Positive,Reverse Bobby Caldwell lol,"The comment expresses amusement and appreciation, indicating a positive sentiment towards the video and the song reference.",
Positive,This song is so catchy!!! ❤,The use of 'so catchy' and the heart emoji clearly indicates a positive emotional response to the music video.,
Negative,"As a 62 year old pastor who adamantly opposes recreational drinking, I disapprove of all the very subtle references to alcohol consumption in this catchy bop","The commenter expresses disapproval and uses negative language ('disapprove,' 'very subtle references') indicating a negative sentiment towards the music video's content.",
Positive,"Start with the lyrics that do not convey values ​​or exhaust what is good in the field, add a melody and an empty chorus that sticks in your mind. Congratulations my friends from the North, you are moving towards cultural Gramscism applied in South America.","The commenter expresses admiration and congratulations, indicating a positive reception to the music video and its message.",
Positive,"Great song, one of those feel good summer songs you want to look back on and remember a good time or memorable moment you were having when you hear it. The people in the video just dancing in the parking lot give off good vibes. Would love to dance with the beautiful sexy red head.","The comment expresses enthusiastic enjoyment of the song and video, highlighting positive feelings and desires to emulate the joyful atmosphere.",
Negative,Annoying as shit.,The comment uses strong negative language ('annoying as shit') expressing dissatisfaction with the music video.,
Positive,"Love it, great song with a great beat!",The commenter expresses enthusiastic enjoyment of the song and its rhythm.,
Positive,Im sorry but homegirl in the back is a vibe she was killing it 😂,The commenter expresses enthusiasm and approval using the phrase 'killing it' and the emoji 😂.,
Positive,a vibe.,The comment expresses a positive feeling about the video's atmosphere and overall impression.,
Positive,Que vibe 😍😍😍😍😍,The use of heart-eyed emojis and the word 'vibe' indicates a strong positive feeling about the music video.,
Positive,This a vibe,The comment expresses a feeling of enjoyment and appreciation for the music video's atmosphere.,
Negative,You are the worst singer ever,"The comment expresses direct criticism and disparagement of the singer's performance, indicating a negative sentiment.",
Positive,I love this song so much it is my pop song on the way to school of if any emotion ❤😂😢😅😮,The user expresses clear affection for the song and utilizes emojis indicating positive emotions.,
Negative,Yeah no creativity whatsoever. Let me take a song that was a hit 15yrs ago and change the melody but keep the same lyrics. Gtfoh,The comment expresses strong disapproval and frustration with the music video's lack of creativity and perceived poor quality.,
Positive,The people dancing in the background ❤ love the vibes when it comes to this song,The use of hearts and the phrase 'love the vibes' clearly expresses a positive feeling towards the video and song.,
Positive,Que vibe gostosa,"'Que vibe gostosa' translates to 'What a tasty vibe,' indicating a positive feeling about the music video.",
Positive,"What a great song, lyrics. Should of won a lot more awards then it did. All good,guys talented.","The comment expresses enthusiastic praise for the song and its artist, indicating a positive sentiment.",
Positive,I don't know why but this song gives me Far Cry 5 vibes especially this part 1:07,"The commenter is expressing a positive association with the song, comparing it favorably to the 'Far Cry 5' game.",
Positive,"Amo essa música, uma vibe muito boa ❤","The commenter expresses affection for the music with 'amo' and a heart emoji, indicating a positive sentiment.",
Positive,I love good vibes,"The commenter expresses a clear liking and enjoyment of the music video, indicating a positive sentiment.",
Negative,This song is annoying,The use of the word 'annoying' clearly expresses a negative opinion about the song.,
Negative,"The fact that you guys blew a song up like this guy’s got no talent the lyrics suck, I cannot stand this world anymore",The comment expresses strong disapproval and criticism of the artist and their music.,
Positive,dam catchy song,The comment expresses enjoyment with the phrase 'dam catchy song' indicating a positive feeling.,
Negative,I thought the lyrics were my baby going to Berkley... Guess not.,The comment expresses disappointment and a negative reaction to the song's lyrics.,
Positive,I Wish to Reprogram my subconscious mind to always be Queen Moondancer The Most Powerful Witch Woman of the Multiverse Permanently for all eternity So Mote It Be!!!👑🌙⚔️🌠⚡️🔱🌌🔮🪄🏴‍☠️🪖,The enthusiastic and fervent declaration of wanting to embody a powerful magical figure indicates a positive and admiring sentiment.,
Positive,"Dam! I've been listening to that song over a year, though never have seen the video, and I was deeply convinced the song was performed by a white dude from the mid-west. And the interesting part is that when I watch the video I still think it's an overlap: a voice of a white dude over a black performer :-)","The commenter expresses a positive surprise and amusement at their initial misperception, indicating a favorable reaction to the video.",
Negative,Chung has the worst record of the season,"The comment expresses disapproval and criticism of Chung's performance, indicating a negative sentiment.",
