classificacao,comentario,justificativa,sentimento_manual
Negative,This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,"The comment expresses strong disapproval and criticism of the music video, using negative language like 'WORST' and 'Stay in your lane'.",
Positive,Beyonce is absolutely stunning here. The songs a great catchy pop choon.,"The comment expresses admiration for Beyonce and describes the music as 'great' and 'catchy,' indicating a positive sentiment.",
Positive,"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.","The commenter expresses admiration for Beyoncé's voice and welcomes her experimentation with country music, indicating a generally positive opinion.",
Negative,Worst music video in history,"The comment expresses strong disapproval and criticism of the music video, indicating a negative sentiment.",
Negative,Worst music video goes to Beyonce,The comment expresses a strong negative opinion about the music video using the phrase 'Worst music video'.,
Neutral,Hi I'm one of Riley's new emotions.,This comment expresses a simple introduction and doesn't convey any specific positive or negative feelings.,
Positive,"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...","The comment expresses enthusiastic praise for the song and its artist, indicating a positive sentiment.",
Neutral,"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.","The comment expresses a subjective opinion about the genre, but doesn't convey strong positive or negative emotion.",
Positive,"I like this song, very catchy.....","The commenter explicitly states they 'like' the song, indicating a positive feeling.",
Negative,Is this a joke song making fun of country music or something? This might be the worst song ever recorded,"{""sentiment"":""Negative"",""justification"":""The comment expresses strong disapproval and uses negative language ('worst song ever recorded')}",
Positive,Lol. Shes deep into DIDDYS parties,The use of 'LOL' and enthusiastic language ('DIDDYS') indicates a positive reaction to the music video.,
Negative,"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬","The comment expresses disappointment and criticism of the music video, using terms like 'cringe' and 'boring'.",
Negative,She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,"The comment expresses frustration and disappointment regarding the Grammy win, using phrases like 'she didnt deserve' and 'upset me' indicating a negative sentiment.",
Negative,This song sucks. Its so boring and generic,The comment expresses strong dissatisfaction with the song using words like 'sucks' and 'boring' indicating a negative sentiment.,
Positive,"I truly enjoyed the album and the philosophy behind it. I know every word because it's been on repeat since its release. I would love to see AMERIICAN REQUIEM used as a soundtrack in a film. I have a hot dance routine for Bodyguard. I loved being on an emotional roller coaster while listening to this masterpiece. Some of my favorite songs include Levi jeans, Protector, Riverdance, Yaya, Tyrant II Most Wanted, Bodyguard, Blackbird, 16 carriages, and Texas Hold 'Em, not to mention spaghetti. The engineer's sound and her excellent vocals just made everything come together seamlessly.","The user expresses strong positive feelings about the album, its themes, and the music itself, indicating a delighted response.",
Negative,"The most monotonous and repetitive eye candy ever 😂 completely out of sync with the song. I'd expect more dancing and more DANCERS. Such a disappointment, that's not what one imagines while listening to this very well conceived song","The commenter expresses disappointment and criticism regarding the video's lack of engagement and synchronization, indicating a negative sentiment.",
Negative,Just awful and this is coming from a native Texan.,The comment uses strong negative language ('just awful') and expresses a critical opinion.,
Negative,Probably one of the worst songs I have ever heard in my whole life,The comment explicitly expresses a strongly negative opinion about the song using the phrase 'one of the worst songs',
Negative,Awful,The word 'awful' expresses a strong negative opinion about the music video.,
Negative,Awful... 😢,The use of 'Awful...' and the crying emoji clearly indicate a negative sentiment towards the music video.,
Negative,"So bad... (Not being sarcastic, or saying she's ""Bad"". It's just awful.)","The comment expresses outright disapproval and describes the music video as 'awful,' indicating a negative sentiment.",
Positive,The vibe is immaculate ✨️,The use of 'immaculate' and the sparkle emoji clearly indicate a positive feeling about the music video's atmosphere.,
Negative,"Gotta be the very worst song I’ve ever heard, right behind WAP.","The comment expresses strong dissatisfaction with the song, using the phrase 'very worst' and comparing it unfavorably to another popular song.",
Negative,Just an awful song lol,The use of 'awful' and 'lol' indicates a negative opinion of the song.,
Negative,I don't care how much backlash I get but you can't make a country song with cuss words in it. Sorry Beyonce but that's not how country rolls. Also this in my opinion is worst song I ever heard from her. No hate just stay in your lane (btw the way before you say this is racist im black)  I like country the way is no cussing. You can't call it a country song if there's cussing in it. If you look at all the country songs there's not one cuss word in them. Stay with the hip hop genre.,"The commenter expresses strong disapproval of the song's content and genre deviation, using phrases like 'worst song' and 'stay in your lane' indicating a negative sentiment.",
Negative,This is by far the worst video I have ever seen. And the song isn't far behind it.,The comment expresses strong disapproval and uses negative language (,
Negative,Beyonce you are the worst singer 😂,The use of 'worst' and the laughing emoji clearly indicate a negative sentiment towards Beyonce's singing ability.,
Negative,Beyonce knows nothing of Texas or country she's just a good vocalist from the Streets,"The comment expresses a critical opinion about Beyoncé's understanding of Texas and country music, indicating a negative sentiment.",
Negative,God awful,The use of 'God awful' expresses strong disapproval and negative feelings towards the music video.,
Negative,This is disgusting. Her video is vile. Her voice is awful combined with country style. It sounds like a joke and she actually won? What an absolute disgrace and an insult to real country artists. And on top of all that she is walking around with a stupid blonde wig.,"The comment expresses strong disapproval and insults, using words like 'disgusting,' 'vile,' and 'disgrace,' indicating a predominantly negative sentiment.",
Negative,This is such a rubbish track. Awful.,"The comment uses strongly negative language ('rubbish', 'awful') expressing clear dissatisfaction with the music video.",
Negative,Holy hell this is worst thing since her last album🤮🤮🤮🤮,The use of excessive negative emojis and the phrase 'worst thing since her last album' clearly express a strongly negative opinion.,
Positive,"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤",The emoji usage (😂😂😂❤❤❤) and the playful questioning of the lyrics indicate a lighthearted and appreciative sentiment.,
Negative,"Worst album, can’t believe this got chosen over billie, WILD","The comment expresses disappointment and disparagement of the album, using phrases like 'Worst album' and comparing unfavorably to Billie Eilish.",
Positive,I think this song is great! It's definitely catchy.😊,"The commenter expresses enthusiasm and describes the song as 'great' and 'catchy', indicating a positive sentiment.",
Negative,I came here thinking I was going to hear country music. I was awfully wrong,The use of 'awfully wrong' indicates a strongly negative reaction to the music genre.,
Neutral,This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,"The comment acknowledges the song isn’t bad but expresses a preference for a different genre, indicating a mixed, rather than strongly positive or negative, reaction.",
Negative,This is the worst country song by a non-country artist EVER.,The comment expresses strong dissatisfaction and criticism of the music video.,
Negative,Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,"The comment expresses strong dissatisfaction with the music video and uses disparaging language (e.g., 'Worst crap'), indicating a negative sentiment.",
Negative,How TF did this shit song beat the masterpiece that Chris Stapleton played with Cold,"The comment expresses frustration and disparagement towards the music video, using strong negative language like 'shit song' and comparing it unfavorably to a highly-regarded artist.",
Negative,"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad","The comment expresses criticism of the artist's style and performance, using terms like 'bad' and 'imitate,' indicating a negative sentiment.",
Positive,Catchy. It Grew on me lol,The use of 'Catchy' and 'lol' indicates a positive reaction and enjoyment of the music video.,
Negative,One of the worst mv i have ever watched lol,The use of 'worst' and the laughing emoji ('lol') clearly indicate a negative sentiment towards the music video.,
Negative,This song is the worst country song I've ever heard,The comment expresses strong disapproval and uses negative language ('worst') indicating a negative sentiment.,
Negative,this isn’t country & how she won the country music award is mind boggling.. oh wait it’s hush money type of vibe lol she part of the diddy shiit,"The comment expresses frustration and disbelief regarding the award, using dismissive and potentially offensive language, indicating a negative sentiment.",
Negative,How bad were the other country songs that this garbage beat?,The comment uses strong negative language ('garbage beat') expressing a critical opinion about the music video.,
Negative,Worst song in history.  I am happy the hype died down fast cause it was so annoying to constantly hear it at the radio.,"The comment expresses frustration and dislike of the song, explicitly labeling it 'worst' and describing it as 'annoying'.",
Positive,I am loving the inclusent of diverse genre,The commenter expresses enjoyment and approval of the video's diverse musical genres.,
Negative,"monotonous, boring","The comment uses words like 'monotonous' and 'boring,' indicating a negative opinion of the music video.",
Positive,This is soo different 😮❤🎉maintaining her soulfulness too still😢,The use of emojis (😮❤🎉) and the phrase 'maintaining her soulfulness too' indicates a positive emotional reaction to the music video.,
Negative,Adding an acoustic guitar doesnt make it country. This is trash for sure,"The comment expresses a strong negative opinion, stating the video is 'trash'.",
Negative,"This ain't Texas is nothing like that Franklin theme song, so you people who are claiming that must be tone deaf...see a doctor!","The comment expresses a critical and dismissive opinion about the music video's similarity to another song, using language that suggests a negative judgment of the artist's work.",
Negative,No melody....nothing,"The comment expresses dissatisfaction with the music video, stating it lacks a melody, indicating a negative experience.",
Negative,Oh my gawd your who made this song beoncay made this song no wonder why I hate her I hated this song it’s like the worst song on the radio,"The comment expresses strong dislike for the song and the artist, using phrases like 'hate her' and 'worst song on the radio'.",
Positive,"Great beat, singing & lyrics.",The commenter expresses enthusiastic approval of the music video's elements.,
Negative,Literally the worst video and worst song ever from Beyoncé. She should’ve never won the award for best country music😅 the award should’ve gone to chris stapleton🎉,"The comment expresses strong disapproval of the video and song, along with an insult directed at Beyoncé and a declaration that another artist deserved the award.",
Negative,Hahaha  That's awful.,The use of 'awful' indicates a negative opinion of the music video.,
Negative,so annoying song,The word 'annoying' expresses a clear negative emotion about the song.,
Positive,"Listen guys there are real country singers who shoulda won not her. But don’t go lying saying this shit ISNT a bop lmao it’s a good song has a good vibe and IS a country song in reality, and honestly? This is one of her best songs… unlike her old music really","The commenter expresses clear praise for the song, calling it 'a good song' and stating it's one of her 'best songs'.",
Negative,Worst album ever wtf,"The comment expresses strong dissatisfaction and criticism of the album, indicating a negative sentiment.",
Negative,Seriously worst video ever.,The comment expresses a strong negative opinion using phrases like 'worst video ever'.,
Negative,this is one of the worst and cringiest songs ever,"The comment uses strongly negative words like 'worst' and 'cringiest,' indicating a negative sentiment towards the song.",
Negative,"Could possibly be the worst song ever written. Seriously, all hype and zero substance",The comment expresses strong disapproval and criticism of the song using words like 'worst' and 'zero substance'.,
Negative,Worst album,"The comment expresses a strong disapproval of the album, indicating a negative sentiment.",
Neutral,"I'm just listening to this song for the first time and I honestly don't see the fuss. I place it in the Country Pop category right along with Shania Twain music.  It's not that deep for the controversy.  Did she deserve a Grammys?  That's always debatable and possibly not but hey, we don't get a vote in it - I never pay attention to it anyway.  The video and outfit could have been better though.","The comment expresses a lukewarm opinion, highlighting both positive aspects (similarity to Shania Twain) and a critical observation about the video quality, indicating a balanced and non-strongly felt sentiment.",
Negative,One of the worst songs I've ever listened in my whole life,The comment expresses strong dissatisfaction and uses negative language ('worst') indicating a negative sentiment.,
Negative,I haven’t liked country music since the early 2000’s and this video gives me all the more reason to continue my dislike. This is the worst video I’ve ever seen.  Disrespectful and disgusting!,"The comment expresses strong dislike and condemnation of the video and genre, using words like 'dislike,' 'worst,' 'disrespectful,' and 'disgusting'.",
Negative,Sounds awful. No dynamic range at all. Loudness war has hit another peak.,"The comment uses negative language like 'awful' and criticizes the audio quality with terms like 'loudness war', indicating a negative sentiment.",
Negative,THIS won a Grammy? Awful.,The comment expresses strong disapproval and uses the word 'awful' to indicate a negative sentiment.,
Negative,This is the worst shit I’ve ever heard Beyoncé’s a muppet,"The comment expresses strong disapproval and insults, indicating a clearly negative sentiment.",
Negative,Worst song ever ever ever,"The comment expresses strong disapproval and uses repetitive negative phrasing, indicating a negative sentiment.",
Negative,This is by far one of the worst songs ever created….,The comment expresses strong disapproval and criticism of the song's quality.,
Negative,Listen to lyrics carefully. Tornado in the basement. Whose basement? Diddy's?,"The comment expresses confusion and potentially a negative association with 'Diddy's' basement, indicating dissatisfaction.",
Negative,One of the worst songs i have ever heard,"The comment expresses strong dissatisfaction with the song, clearly indicating a negative sentiment.",
Negative,This so called song has no chorus. It feels like an unfinished demo.,"The comment expresses dissatisfaction with the song's structure and quality, using negative language like 'no chorus' and 'unfinished demo'.",
Negative,Those lyrics are not country at all. Its just the twangy stringed instruments.,"The commenter expresses dissatisfaction with the music video's genre and instrumentation, indicating a negative reaction.",
Negative,"The song is okay (C-) but I would not  play it again, or pay for it.. This song and video feels trashy and angry, not vibrant and powerful. Her music used to be a lot better.","The commenter expresses disappointment and criticism, using terms like 'trashy' and 'not vibrant,' indicating a negative sentiment.",
Negative,"nunca vi ni escuché alguien justificando a la compra premios beyonce vocalisima me decepcionas, sobre todo habiendo tantas artistas realmente buenas para apoyar",The comment expresses disappointment and criticism regarding the artist's vocal performance and a perceived lack of support for other artists.,
Negative,This is the worst song I have ever heard,"The comment explicitly expresses a negative opinion, stating the song is 'the worst'",
Negative,This is pretty much the worst song ever,The comment explicitly expresses a negative opinion of the song using the phrase 'the worst song ever'.,
Positive,Backyardigans vibes,The comment expresses a nostalgic and pleasant association with the Backyardigans music videos.,
Neutral,Great.   This is all we need.   Country with pop stars singing vibrato horse shit with 47 notes per second garbage music.   Perfect.  😂,"Despite the initial negative phrasing, the use of '😂' indicates amusement and a generally positive, albeit sarcastic, reaction to the music video.",
Neutral,The tune is catchy. Her costume is trashy.,"The comment expresses a positive sentiment about the 'tune' but a negative sentiment about the 'costume', creating a mixed and therefore neutral overall assessment.",
Negative,Worst song I've ever heard!!!!!!,The comment expresses strong dissatisfaction with the song using highly negative language ('worst').,
Positive,Really inventive video      Not repetitive,The comment expresses positive opinions about the video's inventiveness and lack of repetition.,
Positive,the queen of universe,This comment expresses strong admiration and praise for the artist.,
Positive,Didn't like Cowboy Carter but this one is a catchy song. I dig it.,The commenter expresses enjoyment and uses the positive phrase 'I dig it'.,
Negative,Did an AI write these lyrics? They play this song all the time at my workpalce and everyone hates it. Many of them are fans of her too,"The comment expresses dislike of the song and its repeated use at work, indicating a negative sentiment.",
Positive,"I'm trying to come up with words. A decade ago I had a weed induced panic attack to ""get me bodied"" I have always liked that song because it has a good beat and I was high as balls. Every other song of hers makes me wish I were deaf. I keep hearing about this song and her country thing. I had to watch the video and listen to this song. They definitely put a lot of effort into the video and the song is so good.im scared for what generations ahead call music.","Despite initial negative reflections, the commenter ultimately expresses enjoyment of the song and video, highlighting positive aspects like the beat and effort involved.",
Positive,It is a very catchy song and her stocking and black undies remind me of dancer Caldina from Magic Knight Rayearth.,The commenter expresses a positive reaction to the song and makes a comparison that implies enjoyment and appreciation.,
Negative,"How did this win a Grammy?🤣🤣this is terrible worst song I’ve heard in my life, no wonder she fell off so hard,she’s just rich that’s the only reason she’s still making songs and buying her listeners🤣no one actually even listens to her no more though,judging by this song I can see why that is","The comment expresses strong disapproval and criticism of the music video and artist, using phrases like 'terrible' and 'fell off so hard'.",
Negative,"I got to say this is crap. Just cookie cutter stuff. I guess when you serve the devil you'll get a temporary payday on planet Earth, but you end up losing your soul","The comment expresses strong dissatisfaction and uses derogatory language ('crap,' 'devil,' 'losing your soul') indicating a negative sentiment.",
Negative,This is going down as one of the worst songs in human history,The comment expresses strong disapproval and uses negative language (,
Negative,This is the worst music that's been released in 10 years.,The comment expresses strong dissatisfaction and criticism of the music video.,
Negative,Another tricking annoying song first was that stupid I.m Single Lady This one is even worse what next for her maybe opera next haha,The comment expresses frustration and criticism of the song's quality and suggests it's inferior to a previous track.,
Negative,"I don't think country people like the video.  They might find it insulting.  I am brutally honest,  sorry. That shit ain't pretty.  😮 😅 But if this video was well known when ""Yellowstone""  was still on it would have been better.","The comment expresses critical opinions about the video's reception and quality, using phrases like 'insulting' and 'ain't pretty'.",
Negative,This has to be one of the worst songs of 2024,"The comment expresses a strong negative opinion, explicitly stating the song is 'one of the worst' of the year.",
Positive,At 1:45 how come I can hear the lyrics being edited from Sugar to liquor? Listen closely. I know Beyonce says both during the song.,"The commenter is pointing out a detail they appreciate, suggesting a positive reaction to the music video's production.",
Negative,Beyoncé fell off. Worst singer ever. Went from singing about her ass to singing country to stay relevant,"The comment expresses strong criticism and disparagement of Beyoncé's music and performance, indicating a negative sentiment.",
Negative,This is literally the worst fucking song ever created. Yikes,The comment uses strongly negative language ('worst fucking song') expressing clear dissatisfaction with the music video.,
Neutral,This is really annoying but also really catchy please help like I hate it but I keep on listening to it- 😭💀,The comment expresses contradictory feelings – annoyance and enjoyment – suggesting a complex and ultimately inconclusive sentiment.,
Negative,"Catchy, but the Grammy's is CRAZY for this garbage album being named best Country Album!?! Although not wholly unexpected in Hollyweird were a man gets nominated for Best Actress",The comment expresses strong disapproval of the album's award and uses terms like 'garbage' and 'Hollyweird' to indicate a negative opinion.,
Negative,"Sorry, but way way too overproduced....  and it really doesn't blend the pop/country vibes... shaboozey is doing it right and sounds hungry...Beyonce just seems bored. I'm just not digging it...","The commenter expresses disappointment and criticism of the music video, using terms like 'shaboozey' and 'bored,' indicating a negative sentiment.",
Negative,"I never judge without hearing. And this ain't country. This is a bunch of country clichés put into one musical effort. And for those out there that wanna play the race card, it doesn't have anything to do with the color of skin. Shania Twain used to be country and after a few years, her music wasn't worthy of being called country. Nothing wrong with you if you like this composition, but it isn't country music.",The commenter expresses disappointment and criticism of the music video as not being authentic country music.,
Negative,Annoying AF,"The use of 'Annoying AF' expresses a strong, negative feeling about the music video.",
Negative,"This video is not creative, repetitive, nude scenes, no awards, forgettable. Beyonce all the time","The comment expresses several critical opinions about the video's lack of creativity and quality, indicating a negative sentiment.",
Negative,"Sad to say this Is in a country album and she won against Chris Stapleton, it’s not a country song, says the same two lines the whole song, shit stupid and if u listen to the lyrics she just throwing shit together nothing about this song makes sense","The comment expresses frustration and criticism of the song's content and quality, using negative language like 'shit stupid' and 'throwing shit together'.",
Negative,Boring song. Please don't change country music to this monotonous stuff too. 😢,"The comment expresses dissatisfaction with the song's style and quality, using negative language like 'boring' and 'monotonous'.",
Positive,Beyois still fire and I love the old school vibe.,The commenter expresses admiration (,
Positive,Not a country fan music but this is a vibe,The commenter expresses enjoyment and finds the music video,
Negative,"That’s not a f country music, lyrics are so dumb","The comment expresses dislike through negative language ('not a f country music', 'lyrics are so dumb').",
Positive,what a shit garbage of music😢😢trash+trash+trash😢60s 70s 80s best music of all time😊abba😊queen😊led zeppelin😊deep purple😊beatles😊elvis😊eagles😊blondie😊u2😊police😊gun roses😊bon jobi😊nirvana😊and so on...,"Despite initial negative terms, the comment overwhelmingly expresses appreciation for a wide range of classic music artists, signified by multiple smiling emojis.",
Negative,This is awful 😂,"The use of the laughing emoji (😂) typically indicates amusement, but in this context, it suggests the commenter finds the video terrible.",
Negative,Anyone who calls this country is tone deaf,"The comment expresses criticism and disapproval of the music and potentially the artist's message, indicating a negative sentiment.",
Negative,Unbelievable 😂 this is awful chris Stapleton carrie underwood,"The comment expresses a strong negative opinion using 'awful' and a laughing emoji, indicating displeasure.",
Positive,A pop song with some lyrics about Texas and banjo in the background. Is that what makes it a country music song?,The comment expresses a positive reaction to the music video's genre and elements.,
Negative,"It's a catchy song, but why has the video got to be so over sexualized!",The comment expresses disapproval and criticism regarding the video's sexualized content.,
Negative,This is your worst album,"The comment directly criticizes the album, expressing a negative opinion.",
Negative,"Theres nothing country about this...real country is raw, authentic, imperfect, rooted in values and a lifestyle, her vocals are WAY too polished and produced to be remotely country...its an OK song but has no place in the country genre except as a lame attempt at a cheap imitation.....to put this song in the same category as Toby Keith, Alan Jackson, Miranda Lambert, Reba McEntire is insulting to what makes country unique","The comment expresses strong disapproval of the music video's style and compares it unfavorably to established country artists, indicating a negative sentiment.",
Positive,I wonder why shes been called the queen? Like wheres the queen vibes,"The comment expresses admiration and praise for the artist, suggesting a positive sentiment.",
Negative,Truly one of the worst songs of all time.,"The comment expresses strong disapproval and criticism of the song, indicating a negative sentiment.",
Negative,She a perv. Worst song and worst video EVER ! Yuk!,"The comment expresses strong disapproval using words like 'perv,' 'worst,' and 'Yuk!' indicating a negative sentiment.",
Positive,"Beyoncé the only one Star listed VOCALIST OF 21 century by VOCALS Experts, great performer, the singer in history Who sing more diferent rithmys, A living Legend ❤",The comment expresses enthusiastic admiration and praise for Beyoncé's vocal abilities and performance.,
Negative,Yall are slow she stole the melody from a children’s tv show and put different words in it.,"The comment expresses disapproval and accuses the artist of plagiarism, indicating a negative sentiment.",
Negative,this is awful wth,The comment expresses strong disapproval with the use of 'awful' and 'wth' suggests frustration.,
Positive,"Love this, very catchy 🙂",The use of 'Love this' and the smiley face emoji clearly indicate positive sentiment.,
Negative,"Worst video EVER, never get any awards for this thats for sure, lol.  Wow the ending of the song  sucked big time..","The comment expresses strong dissatisfaction with the video and its ending, using negative language like 'worst video' and 'sucked big time'.",
Negative,"If country is crap this is a whole other level, it's like the turd lay a turd over another turd and water it down with the most vanilla guitar chords","The comment uses highly critical and derogatory language, comparing the music to a series of unpleasant things and expressing dissatisfaction.",
Negative,"they were right, country fans have to be the most conservative, retrogade, annoying, insufferable people to ever exist","The comment uses strongly negative terms like 'conservative,' 'annoying,' and 'insufferable,' indicating a negative sentiment towards country fans.",
Negative,OMG that's awful,The use of 'awful' clearly expresses a negative opinion about the music video.,
Negative,"Awful, terrible song. @Shaunjohnson885 don't reply.",The comment uses overtly negative terms like 'awful' and 'terrible' expressing a clear dislike of the song.,
Negative,"Worst video ever. It would be great if there was a video around a countryside, travelling around with a kids and a dog in the car.",The comment expresses a strongly negative opinion with phrases like 'worst video ever' and a critique of the content itself.,
Positive,"So I've listened to this song now forcefully. I will say it is a catchy song. It's like the chicken dance song , a fun song. You could put it in your play list with those fun dance songs like the zorba, nutbush, the hustle, line dance. I bet people secretly dance to it at home hahaha","The commenter expresses enjoyment and describes the song as 'catchy' and 'fun,' indicating a positive sentiment.",
Negative,Ask yourself is her lyrics country be truthful and if it's not country please give me a example of what country is The first you have to put your hate and your evil spirit aside now let's get your honest opinion,"The comment expresses frustration and criticism, using terms like 'hate' and 'evil spirit,' indicating a negative sentiment.",
Negative,Absolutely fucking God awful.  She's a decent singer but this is fucking stupid,"The comment uses highly negative language ('God awful,' 'fucking stupid') expressing strong disapproval of the music video.",
Positive,Amo você des do tempo da Distney Child ❤❤❤❤😂😂🎉😂🎉😂😂😂😂 1998,The commenter expresses adoration and enthusiasm for the music video with multiple heart emojis.,
Negative,This shit is so ass. How does someone who made this trash song beat any country singer this is just dissapointing,"The comment expresses strong disapproval and uses derogatory language ('trash'), indicating a negative sentiment.",
Positive,At first I thought it was 'Prodigal Son' by the Rolling Stones.  🤷,The commenter's initial comparison to a well-regarded song indicates a positive impression of the music video.,
Negative,"As a proud Texan this is the one of the worst happen to us apart Apart From Waco, TX And Uvalde","The comment expresses disapproval and distress, using phrases like 'worst happen to us' and implying a tragic event.",
Negative,This song is crap the worst song ever,"The comment uses explicitly negative language ('crap,' 'worst song ever') expressing strong dislike for the music video.",
Negative,This is the worst song in history ..... .. i would die before hearing this ever again,The comment expresses strong negative feelings using phrases like 'worst song in history' and 'would die before hearing it again'.,
Negative,This is awful,The use of the word 'awful' clearly expresses a negative opinion about the music video.,
Negative,Gotta be the worst song ever in the past 10/20 years what an absolute piece of trash 🗑️ 🤢🤢🤢,The comment uses highly negative language such as 'worst song ever' and describes the music as 'trash'.,
Negative,This may be the worst video I've ever seen. WTF!,"The comment expresses strong disapproval and frustration, clearly indicating a negative sentiment.",
Negative,My God what a POS song on every level except the decent vocal performance.,The use of 'POS' (a derogatory term) and the overall criticism indicate a negative sentiment towards the song.,
Negative,Worst country song ever wtf is this,"The comment expresses strong disapproval and frustration with the music video, using negative language ('worst,' 'wtf').",
Positive,Early 2024 vibes,The phrase 'Early 2024 vibes' suggests a positive feeling and association with a desirable trend.,
Negative,"Gosh this has to be the worse song I’ve heard, like it’s just a regular trash Beyoncé song with a generic country beat and lyric so it’s so called “country” da freak this crap ain’t country it’s wanna be, dress up country, no wonder why I’ve been seeing this all over on TikTok about how bad this country song is 😹 I only made it to 36 seconds of listing to this horrible video and I couldn’t go any longer. And the way she dress is just ₩h0-.r1,$.-H, demonic and inappropriate especially for YouTube, this is why I only listen to Christian music straight for 7 years L0L ✝️","The comment expresses strong disapproval and criticism of the song and music video, using words like 'worse,' 'trash,' 'crap,' and 'horrible.'",
Negative,"This is the worst song I have ever heard. It does something to my brain. You could torture me for days, pull my nails, cut of my limbs. Put this song on and I would fold before the intro was done playing.","The comment expresses extreme dislike and distress regarding the song, using hyperbolic language to indicate a very negative emotional response.",
Negative,"An catchy song could very well be worthy of a cool vid, what you being naked got to do with it? women exposing themselves to men is not ""empowering"" throw liberal misogyny in the dumpster.","The comment expresses strong disapproval and criticism of the video's content, using derogatory terms and dismissing it as misogynistic.",
Negative,THIS IS EFFING TERRIBLE HORRIBLE AWFUL STUFF!,"The comment uses strongly negative language ('terrible', 'awful') expressing a clearly unfavorable opinion of the music video.",
Negative,Awful… complete garbage …,The use of words like 'awful' and 'garbage' clearly indicates a negative sentiment towards the music video.,
Negative,Probably the worst video and song ever. Real trash.,"The comment uses strongly negative language ('worst', 'trash') indicating a negative sentiment towards the video and song.",
Negative,"Sounds generic and bland , the Grammy show is fake",The comment expresses dissatisfaction with the song's quality and criticizes the perceived artificiality of the Grammy Awards.,
Neutral,Chris brown lyrics residuals,"The comment simply asks about Chris Brown's song royalties, expressing a query rather than an opinion.",
