classificacao,comentario,justificativa,sentimento_manual
Positive,"I love the rhythm of it and the vibe honestly chill yet upbeat, the lyrics I could even do without honestly just this beat and rhythm alone is fire 🔥","The commenter expresses enthusiastic enjoyment of the music's rhythm and beat, indicating a positive sentiment.",
Positive,Such a vibeee🔥,The use of 'vibeee' and the fire emoji indicate enthusiastic enjoyment of the music video.,
Negative,Very catchy song but the lyrics are from the perspective of such an asshole,The comment uses a strongly negative descriptor ('asshole') to express disapproval of the song's lyrics.,
Positive,I want to find more songs that have the same vibe as this guys🥰🥰🥰,The use of heart emojis and the statement about wanting similar music indicate a positive response to the video.,
Neutral,I hate this song but i listen to it because it's catchy.,"The comment expresses a dislike ('hate') but acknowledges a positive aspect ('catchy'), resulting in a mixed sentiment.",
Positive,This song is insane the vibes are unreal,The commenter uses enthusiastic language like 'insane' and 'unreal' to express a positive reaction to the song.,
Positive,"Even though this song just came out, it feels nostalgic. Something I'd listen to about 20 years ago",The commenter expresses a positive feeling of nostalgia and enjoyment of the song.,
Positive,This Song Has Sad And The Jam Vibes Together,The comment uses positive language ('sad and the jam vibes') to describe the song's feeling.,
Positive,Such a Techno vibes,The comment expresses a positive feeling about the music video's,
Positive,"She gives me a lot of Mr. Kitty vibes for sure! This song is similar to his songs Home and 0% Angel, for example",The commenter expresses a positive association with the artist Mr. Kitty and compares the song favorably to his popular tracks.,
Positive,the beats sounds like from grimes,"The comment expresses a positive comparison to Grimes' music, indicating appreciation for the sound.",
Neutral,"With AI, vocal mixing, autotune it's so hard to tell if it's one singer or many so is it just Artemas or others in the vocals?","The comment expresses curiosity about the vocal production, presenting a factual observation without overtly positive or negative emotion.",
Positive,This song a whole vibe.📶,The use of 'vibe' indicates a positive and enjoyable feeling about the song.,
Positive,Already getting summer vibes and this song is like a cherry on top 🌅👌🏼,The commenter expresses a positive feeling about the song and its association with summer.,
Positive,This track evokes only positive emotions wherever I hear it. And there was no one who would deny it,The commenter explicitly states the track evokes 'positive emotions' and suggests universal approval.,
Positive,"Love the beat, love the chorus, too bad about the rest of the lyrics.","The commenter expresses overall appreciation for the music elements while acknowledging a minor criticism of the lyrics, indicating a positive overall experience.",
Neutral,Synths are definitely from the 80/90's but the vibe is a lot like Crystal Castles,"The comment expresses a comparison to another artist, highlighting similarities and influences without explicitly conveying a positive or negative emotion.",
Negative,"It's a catchy track but the lyrics really bug me - he says ""not tryna to be romantic, I'll hit it from the back just so you don't get attached"", yet he also claims just before that ""I like the way you kiss me, I can tell you miss me""; the two statements are clearly contradictory. He doesn't want for her to get attached, yet he likes that he kisses her in a way which indicates she misses him i.e. actually is attached. The sum effect is to make the song sound insincere and confused.","The comment expresses frustration and criticism regarding the song's lyrics, deeming them contradictory and insincere.",
Positive,the beat is SOOOO reminiscent of frankenstein by rina sawayama omg,"The commenter expresses enthusiastic appreciation and comparison to a well-regarded song, indicating a positive sentiment.",
Positive,The Perfect Girl vibes fr,The comment expresses a positive association with the video's aesthetic and perceived beauty.,
Positive,I don't know.... but I'm getting some juice wrld vibes 🤔,"The comment expresses a positive association with the artist Juice WRLD, indicating enjoyment.",
Positive,💓vibes🎧,The use of heart emojis and headphone emojis strongly indicates a positive feeling about the music video.,
Positive,This beat hits!!!,The exclamation point and the phrase 'hits!!!' clearly express enthusiastic enjoyment of the music video's beat.,
Positive,"Esta canción me da vibes de ""The perfect girl"" de Mareux.","The comment expresses a positive association with the song, comparing it favorably to a well-regarded track.",
Positive,Vampire vibes,The comment expresses a positive association with 'vampire vibes',
Neutral,"Love it because of the tone, hate it because of the lyrics.",The comment expresses both positive and negative sentiments regarding different aspects of the music video.,
Positive,this song has a same vibes to the «strangers» and I really like it > <,The commenter expresses a positive feeling by comparing the song favorably to 'strangers'.,
Positive,Crazy emotions going through me when listening,"The comment expresses a strong, positive emotional response to the music video.",
Positive,I hope i remember the name of the song in 10 years when its melody keeps repeating on my mind!,The comment expresses a positive desire to remember and appreciate the song's lasting impact.,
Neutral,"i wouldnt say this has 80s vibes, more like 2000-2010s with the effects and general sound",The comment expresses a subjective observation about the music video's stylistic influences without overtly positive or negative emotion.,
Negative,She has an annoying voice,The comment expresses a clear dislike and criticism of the singer's voice.,
Negative,"Dang, the lyrics..It just sounds so sad. I genuinely feel bad for the girl. He doesn't actually love her. Just what she can give to him. I know this is in music all the time, these subjects. But this hit a little hard. It's just so heartless and reflects a lot of emotionally abusive//unavailable relationships of today. Hope others like the girl character (idk if she's real or not) find connections they deserve, who cherish them as much as she cherishes her friends/lovers/partners, whatever it may be. Equally in love and/ or connected.","The comment expresses sadness and identifies a painful, emotionally abusive relationship, indicating a negative sentiment.",
Positive,Catchy as hell,"The phrase 'catchy as hell' is a strong, enthusiastic expression of enjoyment.",
Positive,This a vibe,"The comment expresses a feeling of enjoyment and appreciation, indicating a positive sentiment.",
Positive,Why this song gives the vibes of crystal castles or goth by sidewalks?,"The comment expresses a positive association with the song, comparing it favorably to well-regarded gothic rock tracks.",
Positive,"goddamn perfect,this songs has spicial vibe,i love it",The user expresses strong positive feelings using words like 'perfect' and 'love it'.,
Negative,"this and ""hate me"" are really giving the same vibes","The comment expresses a critical comparison, suggesting a negative association between the two songs.",
Neutral,Uhhh romanticising toxic relationships not good butttt the beat is a banger,"The comment expresses mixed feelings, acknowledging a negative theme while simultaneously praising the music's quality.",
Positive,Siiiiiiiiiiiiiiiick beat yo 💪🖤 🎶🎼🎵,The use of enthusiastic interjections ('Siiiiiiiiiiiiiiiick') and positive emojis indicates a strong positive sentiment towards the music video.,
Positive,80s vibes. Gonna be hooked on this for a while,The comment expresses enjoyment and a strong positive feeling about the music video.,
Positive,"Me indiquem aqui por favor, músicas com essa mesma VIBE ❤❤❤❤",The use of hearts and the phrase 'mesma vibe' indicates a positive appreciation of the music video's feel.,
Positive,"strong ""Drive"" vibes",The comment expresses a positive association with the song,
Neutral,Why does this song's beginning vocals remind me of another song but I can't remember,"The comment expresses a curious observation about the song's similarity to another, without indicating a positive or negative feeling.",
Positive,Dude this song mam it talks about a toxic gaslighting relationship but yet something about the beat is so addictive and nostalgic like those 90s and 2000s romance thriller movies,The comment expresses a positive reaction to the song's themes and evokes nostalgic feelings about a beloved genre of film.,
Negative,Im pretty sure this video was filmed in reverse,The comment expresses a critical observation – that the video was filmed in reverse – suggesting a negative perception of the video's production quality.,
Positive,Has that electronic vibe to it I love it,The commenter expresses clear enjoyment of the music video's electronic style.,
Positive,its giving perfect girl vibes,The comment expresses a positive feeling and association with a desirable aesthetic (,
Positive,this VIBE is just something else ♥,The use of 'VIBE' and the heart emoji clearly indicate a positive feeling about the music video.,
Positive,this song makes me nostalgic for some reason haha,The use of 'makes me nostalgic' and 'haha' indicates a positive emotional response to the music video.,
Positive,This gives me After dark vibes,"The comment expresses a positive association with the music video, referencing a desirable and enjoyable feeling (After Dark).",
Positive,Cool Song and nice Vibes. I like it 👌,"The commenter expresses enjoyment with phrases like 'Cool Song' and 'I like it', indicating a positive feeling.",
Negative,What are the lyrics?? Complete BS,"The comment expresses frustration and criticism with the phrase 'Complete BS,' indicating a negative sentiment towards the video's content.",
Negative,"Total banger, too fkn bad everyone is using it for everything it's become annoying, I mean i Iove it as long as I search it myself but hearing it every where Jesus Christ","The comment expresses frustration and annoyance at the song's popularity, using strong language and indicating a desire to avoid hearing it.",
Positive,"This is one of these songs when you hear it and think ""nice"" and hear it over and over, and in some years you listen to it again and HEAR (!) what the lyrics are and then it is an WTF song :D","The commenter expresses a nostalgic and appreciative feeling towards the song, using positive language and an enthusiastic emoticon.",
Positive,"Dude, it's 12 am Im going to work in 4 hours but I just can't stop listening to this song for the last 2 days, It's the best song I've heard in a really long time, gives me Crystal Castles vibe, the guitar in the song is fucking dope, I just cant describe the feeling of the song, something misterious…","The commenter expresses strong positive feelings about the song, describing it as 'the best song' and praising its musical elements.",
Positive,"This is a banger, intemporel, magnifique ❤","The use of words like 'banger,' 'intemporel,' and 'magnifique' clearly expresses positive enthusiasm for the music video.",
Positive,gives me vibes of Strange Girl,"The comment expresses a positive association with the music video, referencing a desired feeling and comparison.",
Positive,"Love this song, definitely  adding to my favorites songs. It has some vibe same as  Molchat Doma .",The commenter expresses clear positive feelings by stating they love the song and adding it to their favorites.,
Positive,"This song is so catchy with the girls part, I added it to my playlist then turned to my piano and learnt the right hand part of the song in like 10 minutes I’m so addicted to the beat, now to learn the left hand and put it all together (left is hard for me 😭)","The commenter expresses enthusiastic enjoyment of the song and its catchy elements, indicating a positive sentiment despite a slight frustration with learning the full piece.",
Positive,A vibe,The word 'vibe' generally indicates a positive feeling or atmosphere.,
Positive,"this song, is have vibe 😍",The use of 'vibe' and the heart-eyes emoji clearly indicate a positive feeling about the song.,
Negative,these lyrics are soooooo ass 😂😂😂,The use of the word 'ass' and the laughing emojis clearly indicate a negative reaction to the lyrics.,
Positive,Crystal castles vibes,The comment expresses a positive association with the music video using the evocative phrase 'crystal castles'.,
Positive,"this guy will have hard time beating this . Its his best shot ever. This type of song you create once and then its really hard to even get close to it. This should be legendary, cuz it is really an art",The commenter expresses admiration and believes the song is exceptional and potentially legendary.,
Negative,Worst song ever😂😂😂,The use of 'worst song ever' and the multiple laughing emojis clearly express negative sentiment.,
Negative,"Only the beginning is okay. The rest of it is garbage, lyrics and all . Cabaret Nocturne far superior. Man Trevor something is far superior. If this is gonna be “new wave” proof that music now is awful.","The comment expresses disappointment and criticism of the music video, using terms like 'garbage' and 'awful'.",
Positive,80s vibes with Synthpop mix darkwave,"The comment expresses enthusiasm for the music style (80s vibes, Synthpop mix darkwave), indicating a positive reaction.",
Positive,It has some 80s vibe but this is just my opinion 😊,The use of '😊' emoji and expressing it as 'just my opinion' indicates a generally favorable sentiment towards the music video.,
Positive,song feels like it would be on radio in gta 6 indie station. going right in the vice city vibes playlist,"The comment expresses a positive association with the song’s sound and its fit within a specific, desirable context (GTA 6).",
Positive,It’s been so long from living tombstone is very good song with similar patterns to this one,"The commenter expresses a positive opinion, stating it's a 'very good song' and noting similarities they enjoy.",
Positive,Bass synth rocking,The enthusiastic use of 'rocking' indicates a positive reaction to the bass synth.,
Negative,Bro the lyrics are cold dang 😅😅I don’t like the song anymore lol,"The commenter expresses dislike for the song and uses phrases like 'don’t like' and 'cold,' indicating a negative sentiment.",
Positive,Nostalgic 80s vibe futuristic anime vibe,The comment expresses a positive appreciation for the video's combination of 80s and futuristic anime aesthetics.,
Positive,This song has a Gothic vibe 😅 😂❤.,The use of emojis like 😂 and ❤ clearly indicates a positive reaction to the song's aesthetic and mood.,
Positive,MY FAVORITE SONG OF ALL TIME!!!  👉SUPER CATCHY!!!!👈,The exclamation points and enthusiastic language clearly indicate a highly positive sentiment towards the song.,
Positive,This gives me major sadsvit-cassette vibes. Really like this sound,"The commenter expresses a positive association with the music video's sound, using the term 'really like'.",
Positive,I AM DEEPLY IN LOOOVVEEEE,The use of 'LOOOVVEEEE' with excessive capitalization and repetition clearly indicates a positive emotion.,
Positive,I know the beat from another song. Just can’t remember the name of song. They sound good 😮❤,"The commenter expresses enjoyment of the music and uses positive emojis, indicating a favorable sentiment.",
Positive,"I found this accidentally super sped up on one of those Snapchat content farm stories, i had to FIGHT to actually hear any of the lyrics 💀 but also im glad i did bc this is a banger","The commenter expresses enjoyment ('banger') despite the frustrating initial experience, indicating a positive overall feeling.",
Positive,More lyrics would be nice😃,The use of the smiley face emoji and phrase 'would be nice' indicate a positive sentiment towards the video's content.,
Positive,I can feel this vibe,The comment expresses a positive emotional connection to the music and its atmosphere.,
Negative,This shits way too catchy,The use of the word 'shits' indicates a strongly negative and dismissive sentiment towards the music video.,
Positive,University of Georgia water baptisms amazing grace share unity repentance matthew 18 verse 18-20,The comment expresses excitement and positive sentiment regarding the 'amazing grace' and themes of unity and repentance within the water baptisms video.,
Positive,"This 80s inspired synth pop masterpiece is already in the top 10 charts in Switzerland new @#4, Germany new @#7, Ireland new @#11 in the UK new @#13 Canada new @#37 and amazingly debuts @#70 on Billboard hot 100. Please God make the a top 10 in the USA we need real pop music in 2024 enough with all the dreadful rap crap.","The commenter expresses excitement about the song's success and a desire for 'real pop music,' indicating a positive reception.",
Neutral,Is the lyrics from other song? Because it sounds familiar,The comment expresses curiosity about a familiar sound without explicitly stating a positive or negative opinion.,
Positive,"Hello I am an abstract artist and I would love to use a part of this somg in my youtube video, how I paint and create. Explosion of the emotions ❤ you will love it. Can i use it if I give you a credit 🙏🙏🙏 Please! 😊","The commenter expresses enthusiasm and a request for permission, indicating a positive reception of the music video.",
Positive,2013 vibe,The phrase '2013 vibe' suggests a nostalgic and enjoyable feeling associated with the music video's style.,
Positive,Amazing song🔥love the vibes specially driving at night😩,The commenter expresses enthusiastic approval with emojis and descriptive language indicating a positive experience.,
Positive,Perfect vocals.,The comment expresses a positive opinion about the vocals.,
Positive,This song is def goth adjacent. Even tho the singer has a mainstream vocal sound.,"The commenter is using 'goth adjacent' which suggests they find the music appealing and engaging, despite a mainstream vocal style.",
Negative,The most annoying song ever made,The comment expresses strong dislike and frustration with the song's quality.,
Positive,This shit is a vibe I hope when my ex hears this song she misses me and try’s to call and I don’t answer 😂 ahahhhhhh,"The comment expresses a hopeful and joyful feeling about the music video and a desire for a positive outcome, indicated by phrases like 'vibe' and 'misses me'.",
Positive,summer vibe 24 check ✨,The comment expresses a positive feeling associated with the music video's atmosphere (,
Positive,There is something hauntingly nostalgic about this..,The use of 'hauntingly nostalgic' indicates a strong positive emotional response to the music video.,
Positive,I like sound effects,The commenter expresses a positive opinion by stating they 'like' the sound effects.,
Positive,Does hit heavy . Unfortunately the nostalgia sad EX / the ex that never was vibe and for that …….. I can’t love this tune .. sad …… I love it tho raaaaahh heavy this tune,"Despite expressing sadness about the nostalgic feeling, the user ultimately concludes by saying 'I love it tho' indicating a positive sentiment.",
Neutral,Does he have a chorus or does he have gender bending vocals & can sing as both?,The comment poses questions about the music video's elements without expressing a clear positive or negative opinion.,
Positive,"OOO, plus vibe 💫",The use of 'plus vibe' and the sparkle emoji indicate a positive emotional response to the music video.,
Positive,"Mannnn, İ feel f*king FİFA and PES vibes🧘🏻‍♂️","The comment expresses enjoyment and a feeling of excitement, indicated by 'Mannnn' and the 'FİFA and PES vibes' reference.",
Positive,Huuuuuh good vibes,The exclamation 'Huuuuuh' combined with 'good vibes' expresses a positive emotional response.,
Positive,Face!! This Music is Amazing!! Indescribable vibe!!☠️💨⛈️,The user expresses enthusiasm with positive words like 'Amazing' and uses emojis suggesting enjoyment.,
Positive,I’m loving this uts uts uts vibe😎,The repeated use of 'uts' and the accompanying emoji indicate enthusiastic enjoyment of the music video.,
Positive,Really impressive vocal !!,The use of 'really impressive' clearly indicates a positive sentiment towards the vocals.,
Positive,Nice.Whos singing the chorus??,The use of 'Nice' indicates a positive reaction to the music video.,
Positive,I waited for this since saturday and it was 110% worth it. Such a vibe. Love the song!!!,"The commenter expresses enthusiastic praise and excitement about the music video, indicating a positive sentiment.",
Positive,SO BEATIFULLLXD,The excessive use of 'LXD' likely indicates enthusiastic excitement and approval of the music video.,
Neutral,"Someone tell me? Was this video made with AI? Is the female vocalist in the song this girl? There are many vocal voices in the song, and their names are unknown. I thought Artemisa was a woman. The female voice in the song is not mentioned anywhere. Can someone tell me?","The comment expresses confusion and questions, but doesn't contain explicit expressions of positive or negative emotion.",
Neutral,"I’m sorry artemas, first time I heard this song I was like “this is a really good song”, but within 15 mins I’ve overheard this song from all the wanna be “bodybuilders” and the wanna be “influencers” videos using this song. Then I heard the song more and was like “ the beat sounds like mareux - perfect girl” . It’s a good song, but idk if I’ll hear it within the next 5 months","The comment expresses a mixed opinion, initially positive but then introduces concerns about over-use, ultimately concluding with uncertainty about continued enjoyment.",
Negative,"After months now, its the most annoying hipster song. congratulations","The comment expresses frustration and disapproval of the song, using the word 'annoying' and a critical judgment.",
Negative,THE WORST AUDIO EVER. YOU ALL ARE BOTS,"The comment expresses strong dissatisfaction with the audio quality and accuses others of being bots, indicating a negative sentiment.",
Positive,1:48 goes rlly hard and the song HAS SUCH A BIGG VIBE,"The commenter uses enthusiastic language ('really hard,' 'big vibe') expressing positive enjoyment of the video.",
Negative,Horrible lyrics,The use of the word 'horrible' expresses a strongly negative opinion about the song's lyrics.,
Positive,"lets go, another song with weird lyrics that sounds insanely good",The comment expresses enthusiasm with phrases like 'lets go' and 'sounds insanely good' indicating a positive reaction.,
Negative,"This somehow gives me the vibes of old, russian buildings and poverty","The comment evokes imagery associated with negative connotations like 'poverty' and 'old, russian buildings'.",
Negative,it’s sad it’s a repeat and has no real lyrics,The comment expresses dissatisfaction with the video's repetitive nature and lack of meaningful lyrics.,
Positive,I love the rhythm artemas 💗,The use of 'love' and the heart emoji clearly indicate a positive sentiment towards the music video.,
Positive,This summer's vibe will be like this:,The comment expresses a positive feeling about the song's atmosphere and its suitability for summer.,
Positive,Its the chorus for me,"The comment expresses a preference for a specific part of the song, indicating enjoyment.",
Positive,Heard this song in VR chat on repeat at a bar. Damn it’s a vibe,"The commenter expresses enthusiasm with phrases like 'damn it’s a vibe,' indicating a positive experience.",
Negative,"I might be the odd one out, but this song is ass. The lyrics are unoriginal and kinda degenerate, uninteresting and stale, the beat is stale too and I would've given points for the music video but it's ass too.",The comment expresses strong disapproval of the song's quality and uses overtly negative language like 'ass' and 'degenerate'.,
Positive,"I'm loving this right now, up beat and positive... Perfect! 😊❤❤",The user expresses clear enjoyment and approval of the music video with positive emojis.,
Positive,This gives me high fashion vibes,The comment expresses a positive association with the music video's style and aesthetic.,
Positive,Man I like this 90s vibe it’s perfect,The commenter expresses clear enjoyment and appreciation for the music video's style.,
Negative,I hate autoplay for sending me here. There is not a single song that has more infuriating lyrics than this. It makes me want to scratch my eyes out. Doesn’t help that the guy who wrote this is actually a certified asshole,"The comment expresses strong dislike and frustration with the music and its creator, utilizing highly negative language like 'hate,' 'infuriating,' and 'certified asshole'.",
Positive,"Maybe in another universe I will like the way the guy I secretly have a crush on kiss me. This song reminds me so much of his presence, every night dreaming of us being together; someday my dear Antonio, I can tell I miss you, not trynna being romantic, I just love how you treat me.","The comment expresses longing and affection, indicating a positive emotional response to the music and the subject of the song.",
Positive,Just the vibe.,The comment expresses approval and enjoyment of the music video's atmosphere.,
Neutral,Is the girl on the cover part of the vocalists on the song? Is she just part of the cover and nothing more? Does anyone know her name please?,"This comment expresses curiosity and questions about the video's content, lacking any clear emotional tone.",
Negative,It gives me sad russian vibes and I love it,"While 'love' is present, the descriptor 'sad russian vibes' generally indicates a negative emotional response linked to the music video's themes.",
Positive,Night ride vibes,The phrase 'night ride vibes' expresses a feeling of enjoyment and positive atmosphere associated with the music video.,
Positive,Mr. Kitty- After Dark vibes 🎶,The comment expresses enjoyment and aligns with the video's aesthetic (,
Positive,Like the vibe,The comment expresses approval and enjoyment of the music video's atmosphere.,
Positive,Am I the only one getting pinkpatheress vibes from this? 😂❤,"The use of emojis (😂, ❤) and the phrasing 'getting vibes' suggests a positive and appreciative reaction to the music video.",
Positive,Proud of how deep it hit hit hits the back of your cervix. Then I hit it from the back and it goes splat so we don't get attached. Splat splat splash.,The commenter uses enthusiastic repetition and describes a satisfying outcome (,
Positive,Gravity falls vibes,The comment expresses a positive association with the TV show *Gravity Falls*.,
Positive,This song has strong Maureux vibes ❤ love it,"The user expresses love for the song and associates it with a positive influence (Maureux), indicating a favorable sentiment.",
Positive,I feel the 1980s and punk  1990s vibes in this,The commenter expresses a positive connection to the music video's style and era.,
Positive,"If you love vibe,🎉",The use of an emoji and the phrase 'If you love vibe' indicates enthusiasm and a positive feeling about the music video.,
Positive,ayo the lyrics and the tempo clearly got the rizz fr. love the tune,"The commenter uses positive language like 'love' and 'get the rizz,' indicating a favorable opinion of the music video.",
Positive,Gallowdance vibes,"The comment expresses enjoyment and admiration for the music video's style, indicating a positive sentiment.",
Positive,Summer Vibes coming!!!!!!!!,The exclamation points and phrase 'Summer Vibes' strongly indicate excitement and a positive feeling about the music video.,
Positive,"80s vibes, they dont make it like this anymore 😢. I wonder why we all so attracted to it ...","The commenter expresses fondness and nostalgia, indicating a positive feeling towards the music video's style.",
Negative,"love the feminine voice part, the guys singing & lyrics are utter garbage though",The comment expresses a strong negative opinion about the lyrics while acknowledging a positive aspect of the vocal performance.,
Neutral,does anyone have the lyrics typed out ?,"This comment simply requests information about the lyrics, expressing a need without indicating any emotional tone.",
Positive,Why is this song so freakin catchy,The exclamation and use of 'freakin' suggests a positive and enthusiastic reaction to the song's catchiness.,
Positive,Gives me the neighborhood vibes,"The comment expresses a feeling of enjoyment and connection, indicating a positive sentiment.",
Neutral,Anyone know of similar beat/sounds/style songs?,"The comment expresses a request for recommendations, indicating an open-minded interest rather than a direct positive or negative opinion about the video itself.",
Positive,"I thought Mareux made this, it gives perfect girl vibes","The commenter expresses a positive feeling about the video, describing it as having 'perfect girl vibes'.",
Positive,Did you put crack in this song? It’s so catchy. ✨,"The commenter uses a positive descriptor ('catchy') despite initially expressing surprise with 'crack', indicating enjoyment.",
Positive,Vibes of mareux the perfect girl oh who is she ...❤❤❤❤,The use of hearts and enthusiastic language indicates a positive sentiment towards the music video and potentially the artist.,
Positive,Idk why but this song gives me andrew graves vibez,The comment uses a positive association (Andrew Graves) to describe the music video's vibe.,
Positive,Unexpectably catchy,The word 'catchy' indicates a positive and enjoyable experience with the music video.,
Positive,Crazy short but good lyrics,The comment expresses approval with the phrase 'good lyrics' indicating a positive sentiment.,
Positive,This gives me midnight vibes ❤,The use of the heart emoji and the phrase 'midnight vibes' indicates a positive emotional response.,
Neutral,É synthpop ou wave?,"The comment simply asks for clarification about the music genre, expressing neither positive nor negative feelings.",
Positive,"this smacks on it's own, but i'm getting trouble andrew vibes. love it. (listen to his older stuff- see no good and chase money. but his recent stuff's fire too)","The commenter expresses love for the music video and positive comparisons to other artist's work, indicating a favorable opinion.",
Negative,"Suck a terrible song. Bad singing, poor lyrics. Sounds like Missing Persons from the 80’s.","The comment expresses strong disapproval using words like 'terrible,' 'bad,' and 'poor,' indicating a negative sentiment.",
Positive,Que vibe maravilhosa 🥰❤️,The use of emojis (🥰❤️) and the phrase 'vibe maravilhosa' strongly indicate a positive feeling about the music video.,
Positive,this is like if u wanted after dark to be fast and upbeat,"The comment expresses a positive comparison, highlighting a desirable quality (upbeat) of the music video's style.",
Positive,"The lyrics are so real cold 🥶 shit for a person to say to another person in life,  no the less very catching song.","The comment expresses admiration for the lyrics and the song's catchiness, indicating a positive sentiment.",
Negative,the song is super catchy but I am amazed how the girls like these lyrics :s or most of them just dont get what he is sayin,"The comment expresses criticism of the lyrics and suggests a lack of understanding, indicating a negative sentiment.",
Positive,Shit blew up. Catchy song,The use of 'blew up' and 'catchy' indicates excitement and enjoyment of the music video.,
