classificacao,comentario,justificativa,sentimento_manual
Positive,Clearly it should hit billions of views because of the vocal of those two legendary Singers in one frame. Both's vocal are majestic❤🎉😊,The comment expresses enthusiastic praise and excitement about the video's content and its potential success.,Positive
Positive,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","The comment uses overwhelmingly positive language, describing the artists as ‘phenomena’ and evoking strong feelings of awe and appreciation.",Positive
Negative,"My wife recently passed it and sums up my raw emotions. My best friend, my soul mate ❤️","The comment expresses profound sadness and loss, indicating a negative emotional response.",Negative
Positive,Emotions of A.O.T fans😭😭,The use of emojis expressing sadness likely indicates shared emotional connection and enthusiasm among A.O.T fans.,Negative
Positive,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯","The comment expresses strong admiration and positive feelings towards Lady Gaga and the music video, using enthusiastic language and emojis.",Positive
Positive,This song really brings back the 2010 Bruno Mars vibe.,"The commenter expresses a nostalgic and positive association with the song's style, indicating enjoyment.",Positive
Positive,I'm sure this song will become a legend and in a few years we will feel nostalgic for that time,The commenter expresses a hopeful and nostalgic sentiment about the song's enduring impact.,Positive
Positive,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,The commenter expresses a feeling of nostalgia and positive emotion associated with the song.,Positive
Positive,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,"The comment expresses admiration and describes the song as ‘healing,’ indicating a positive emotional response.",Positive
Positive,"This song is not a song, it is a masterpiece both with its lyrics and melody😍 I can't stop listening to it.","The commenter expresses enthusiastic admiration and a strong desire to listen repeatedly, indicating a positive sentiment.",Positive
Positive,This song hit the deepest part of my heart.🖤,The phrase 'hit the deepest part of my heart' expresses a strong feeling of positive emotion and connection to the music.,Positive
Positive,"My 10 year old Grandson was always singing this song , always ... I was like play that song you always singing for me . He went to youtube and played it for me and I've literally been having this beautiful song on repeat every since 😊 ... True story !!!","The comment expresses joy and fondness for the song, indicating a positive emotional response.",Positive
Positive,Lady Gaga's lyrics and Bruno Mars' vocals are so beautiful... that their voices fit together so well.,The comment expresses admiration and appreciation for the artists' voices and their harmonious combination.,Positive
Positive,"Magical lyrics,bruno mars and lady gaga combo hit my heart",The commenter expresses a positive emotional response with phrases like 'hit my heart' and describes the combination as 'magical'.,Positive
Positive,OMG  The song and the lyrics are off the charts !,The exclamation and enthusiastic praise of the song and lyrics indicate a strong positive sentiment.,Positive
Positive,If you truly realised how deep this song goes in your soul It truly sets me free😊,The use of 'truly sets me free' and the smiling emoji clearly indicate a positive emotional response.,Positive
Positive,It brought me to  tears its so powerful  it reaches you heart,"The commenter expresses strong positive emotion, describing the video as ‘powerful’ and evoking tears, indicating a deeply moving experience.",Positive
Positive,This is how I feel about my man if the world was ending I want to be next to him only my heart beats for him only ❤❤❤,"The comment expresses deep affection and love, indicating a highly positive sentiment.",Positive
Positive,This song makes me feel deep about my trip to Australia just ended yesterday,"The comment expresses a positive feeling about the song and a recently completed, presumably enjoyable, experience.",Positive
Positive,People don't realise that whoever came up with the rhythm is the true genius.,The comment expresses admiration and highlights a positive quality – 'genius' – regarding the music's rhythm.,Neutral
Positive,This song is one of the best songs in history we are proud of Lady Gaga and Bruno Mars .And they are also Legends 🎉🎉.,"The comment expresses strong admiration and excitement for the artists and the song, indicating a positive sentiment.",Positive
Positive,Emotional song😢😢,The use of ‘😢’ emojis clearly indicates a positive emotional response to the music video.,Neutral
Positive,Unreal vocal ❤❤❤,The use of multiple heart emojis clearly expresses a positive feeling about the music video's vocals.,Positive
Positive,Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,"The commenter expresses admiration and appreciation for the video's beauty and declares it 'timeless art,' indicating a positive sentiment.",Positive
Positive,One of the greatest collab songs in history 🙌 👏,The use of emojis like ‘🙌’ and ‘👏’ clearly expresses enthusiastic approval and positive sentiment.,Positive
Positive,Um ano do maior hit atemporal ❤,The use of 'maior hit atemporal' (greatest timeless hit) expresses strong positive sentiment.,Positive
Positive,I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,"The commenter expresses strong positive emotions, describing tearful enjoyment of the song and celebrating a significant relationship milestone.",Positive
Positive,"A real heartfelt song in my opinion, amazing chemistry and harmony",The commenter expresses strong positive feelings about the song's emotional depth and the musicians' performance.,Positive
Positive,I listen this everyday... It's gives a Good Vibes on their High Notes ♥️❤️♥️❤️ damnnnnn 🌸,The commenter expresses positive feelings about the music and uses emojis indicating enjoyment and enthusiasm.,Positive
Negative,Worst song,The comment explicitly expresses a negative opinion about the song's quality.,Negative
Positive,"Eae du do futuro, tá com sdds desse tempo né...",The comment expresses nostalgia ('sdds') which typically indicates a fond and positive feeling.,Neutral
Positive,Wow! Strong message!,The exclamation and positive descriptor 'strong message' indicate a favorable opinion.,Positive
Positive,Story of my heart and life 💘,The use of the heart emoji suggests a positive emotional connection to the music video.,Positive
Negative,This song is the most annoying song of all time ngl,The use of 'annoying' and 'ngl' (no getting left out) indicates a strongly negative opinion of the music video.,Negative
Positive,😢❤❤❤😢😢😢I get emotional every time I listen to it!!,The use of emojis (crying faces and hearts) and the statement 'I get emotional' clearly indicate a positive emotional response to the music video.,Positive
Positive,"A month ago, I was almost dead and I heard this song that made me cling to life, now I'm recovering properly, but every time I hear this song I feel life very deeply.",The commenter expresses a profound and positive feeling of renewed life and connection to the music after a difficult experience.,Positive
Positive,"Blessings to you, you are the best in these songs that make us remember beautiful moments. The lyrics of the music are beautiful. Do not stop doing what you are passionate about. I hope to hear more music from both of you. What a beautiful voice you have. Take care of your successes. 🎥🎙🎸🎹🎶💞😎","The comment expresses admiration for the artist's music and voice, using positive language and wishing them continued success.",Positive
Positive,The lyrics is everything to me,"The user expresses a strong positive feeling about the lyrics, indicating enjoyment and connection.",Positive
Positive,Catchy song!!! I love it ❤❤❤adore,The user expresses strong positive feelings through enthusiastic language and emojis.,Positive
Positive,Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,The commenter expresses enthusiastic agreement and appreciation for the song's emotional depth and love theme.,Positive
Positive,This song is really heart touching❤It's Not just a song It's emotion🥰,The comment expresses a positive feeling about the song using terms like 'heart touching' and 'emotion' with emojis.,Positive
Neutral,This song suits on gi hun player 456 slowed reverb in shorts,"The comment describes a specific audio alteration and format, expressing a preference without explicitly stating an opinion about the song itself.",Neutral
Positive,Great job on the collaboration. There voices match. Nice song to listen to with lots of deep meaning for couples.,"The comment expresses positive opinions about the collaboration, vocal matching, and the song's suitability for couples.",Positive
Positive,"1 year and this song is still making story,congratulations Mars and Gaga:]",The commenter expresses congratulations and positive sentiment regarding the song's continued impact and success.,Positive
Positive,Always thought Bruno just an average singer with some catchy toons . This song displays his  incredible power and range I'm impressed.,"The commenter expresses admiration and excitement about Bruno's vocal abilities and performance, indicating a positive sentiment.",Positive
Positive,"Currently sitting at #6 on the world list, and it's unequivocally poised for a meteoric rise up the charts. My goodness, what a truly transcendent piece of music! I adore it!","The comment expresses strong positive feelings, using phrases like 'metoric rise,' 'transcendent,' and 'I adore it.'",Positive
Positive,I love this beautiful song and the nostalgic throwback . What doesn't work for me is Lady Gaga does Beth Dutton. I love her brilliant talent and she could have made the cigarette work. BUT who cares?? The song and both their voices supercede the bad acting.,"The commenter expresses overall love for the song and Gaga's talent, outweighing criticisms about the acting.",Neutral
Negative,Gaga smoking and dancing represent me in appearance and Bruno does it in feelings every time I hear this song. And it hurts more when you have to let go and let go of that person you fell deeply in love with.,"The comment expresses a painful feeling of loss and regret associated with a past love, indicating negative sentiment.",Neutral
Positive,Still the same vibe 14/8/2025❤️✨,The use of heart emojis and the phrase 'same vibe' indicates a positive and appreciative reaction to the music video.,Positive
Positive,"I broke up with my girlfriend with BPD, it was a fairy tale love with lots of good memories and moments, but the downs were so hard and it was an emotional rollercoaster……but I don’t know I took the right decision…..she gave the most beautiful love I ever experienced in my life……I still miss her…..I love you Bubu❤ Maybe the best love stories aren’t meant to be with each other ❤","Despite acknowledging pain and sadness, the commenter expresses fondness and positive memories associated with the relationship, ultimately leaning towards a hopeful and appreciative sentiment.",Neutral
Positive,"if you love this song, we invite you to check out our acoustic cover version, of this song at this link on our channel https://youtu.be/qJ9Roo6qWD8?si=sL0yM1LXGDmiRGmH","The comment expresses an invitation based on assumed enjoyment of the original song, indicating a positive sentiment.",Neutral
Positive,"I was scrolling reels randomly, and just heard the live version, it forced me to search it. Its really amazing. I have also heard this previously but never noticed thoroughly, but now it just hit my heart. Lyrics are so emotionful and the music is top notch❤🎉","The commenter expresses strong positive feelings, describing the music as 'amazing' and 'emotionful', and using enthusiastic emojis.",Positive
Positive,This should be in history books.,"The comment expresses enthusiastic approval and suggests the video's lasting importance, indicating a positive sentiment.",Positive
Positive,"Este par de estrellas han enseñado a los jóvenes de este tiempo, nos han recordado a los de mas edad,  como la belleza de lo melódico, el buen canto, la buena vocalización,  las letras con sentido y respeto por el amor, por las relaciones profundas,  la trascendencia de la unión verdadera por encima del tiempo y las circunstancias...son un verdadero éxito,  como todo eso se puede transformar en una gran canción....esta canción es un clásico....desde que nació...y ellos...pasaron a la historia con este tema. Gracias Lady Gaga....Gracias Bruno Mars!!!","The comment expresses overwhelmingly positive admiration for the artists and their music, highlighting its artistic merit and lasting impact.",Positive
Positive,searching for a male vocalist to perform this piece live. Beautiful duet. :),The commenter expresses admiration (,Neutral
Negative,Worst song lol,The use of 'Worst' and 'lol' indicates a clearly negative sentiment towards the song.,Negative
Negative,"This is such a boring song,",The use of 'boring' indicates a negative opinion about the song.,Negative
Positive,I listen this song after watching attack on Titan and it's made me cry. The incomplete love story of earn and Mikasa 💔,The commenter expresses a strong emotional response ('made me cry') indicating a positive connection with the song and the video's content.,Negative
Positive,Gaga channeling Amy Winehouse vibes,"The comment expresses a positive comparison, indicating appreciation for the video's stylistic resemblance to a well-regarded artist.",Neutral
Positive,I actually sung this at my chorus concert😂,The use of 'actually sung' and the laughing emoji indicate a positive and enjoyable experience.,Positive
Positive,Love the intro beats from Crazy cee lo green ;),The commenter expresses positive enjoyment of the music video's intro by referencing a specific song and using a positive emoji.,Positive
Positive,Who’s memorised the lyrics without even trying to learn the song😂,"The comment expresses amusement and admiration for people's familiarity with the song's lyrics, indicating a positive sentiment.",Positive
Negative,How is she smoking?!? Isn't that bad for her vocals? I mean aside from her health....😒🙄😊,"The comment expresses concern about the artist's health and vocal well-being, using negative emojis and questioning a potentially harmful behavior.",Negative
Negative,Worst song on the album,"The comment expresses a critical opinion, explicitly stating the song is 'worst' which indicates a negative sentiment.",Negative
Positive,00:45 nice vibe ❤️‍🔥❤️‍🔥,The use of heart emojis indicates a positive feeling towards the music video.,Positive
Positive,gr7 was my peak year😭😭 this song was always playing when gr7 started its so nostalgic to me😔😔,"The commenter expresses fondness and nostalgia, indicating a positive emotional response to the music video and artist.",Neutral
Positive,This is one of the most beautiful song I ever heard. The lyrics are ❤❤❤❤❤❤,The comment expresses strong positive emotion through enthusiastic praise and use of heart emojis.,Positive
Negative,awful song,The word 'awful' expresses a strong negative opinion about the song.,Negative
Positive,Heart beat 💗❤️💜💓,The use of heart emojis clearly indicates a positive emotional response to the music video.,Positive
Positive,A message to the future generations. Don't let this song die.,"The comment expresses a desire for the song to continue being heard, indicating a positive feeling towards it.",Positive
Positive,Masterpiece and amazing truck that takes the deepest part of you.,"The comment expresses strong admiration and appreciation for the music video and truck, using positive terms like 'masterpiece' and 'amazing'.",Positive
Negative,"THE LYRICS EXPRESS THAT THE RELATIONSHIP, DESPITE IT'S POSITIVE ASPECTS, IS ULTIMATELY DESTINED  FOR FAILLURE❤❤","The comment expresses a pessimistic outlook on the relationship's future, using words like 'failure' and a negative emoji.",Neutral
Negative,"All of Fujii Kaze's songs have been produced through secret filming, wiretapping, stalking and monitoring. Copyright confiscation - spreading these to the public is a threat that could bring about the collapse of world order. This is a representative song of musical terrorists. Similar works include other Japanese songs that have been hits overseas, mainly songs by famous artists in the United States. We recommend that society take appropriate legal measures and take a firm stance against terrorist songs that promote racial and ethnic division. SHISHI","The comment expresses extreme condemnation and fear, using terms like 'terrorist songs' and 'threat that could bring about the collapse of world order'.",Negative
Positive,The weeknd better watch out Bruno Mars is coming  for the highest pitched male singer role lol.,"The comment expresses a playful, enthusiastic desire for Bruno Mars to take a prominent role, indicating a positive opinion about his potential.",Neutral
Neutral,Get emotional ❤😮😒😔,"The comment expresses a mix of emotions (positive, negative, and uncertain) without a clear dominant sentiment.",Neutral
Positive,1 ano... o tempo voou,The comment expresses a nostalgic feeling ('tempo voou' - time flew) which is generally positive.,Neutral
Positive,This song goes hard and align with any situation whether good or bad any vibe any mood,The comment expresses enthusiasm and a positive association with the song's versatility and impact.,Positive
Positive,Really this song...... unbeatable value ❤,The use of the heart emoji and the word 'unbeatable' indicates a strong positive sentiment towards the song.,Positive
Positive,"Song gave me chills, since God showed me how I would pass, where I would have 1 day to say goodbye after a specific dream.",The commenter expresses a feeling of being deeply moved and inspired by the song's impact.,Neutral
Positive,This is the most powerful music/video I’ve seen in decades. Can’t even explain what it does to me,The comment expresses strong positive feelings using phrases like 'most powerful' and 'what it does to me',Positive
Positive,Cool Nostalgic Video,The comment expresses enjoyment and a positive feeling about the video's nostalgic quality.,Positive
Neutral,Lyrics 🗿Vocal 🗿Music🗿,The comment uses emojis without expressing a clear positive or negative opinion about the music video.,Neutral
Positive,Astronaut Reversed Backwards Tua Ngược Lại Được Chứ2️⃣0️⃣0️⃣8️⃣👪👨‍👩‍👦👨‍🚀👩‍🚀🌏🌎🌍🌌🆗👍,The comment uses positive emojis and seems to express enthusiastic support for the music video.,Neutral
Positive,HD dưới is the best one ever is to have it done by the same time and the time you get off the screen and you can send the message button on a different way you could get opponent🥹😭❤️‍🩹😚😭😭😭😳😭😳😭😚😳😚😚😎😚😳😚😎😚😚😎😚😎😚😎😚😎😚😚😎😚😎😚😚😎😚😚😎😚😚😎😚😚😚😚😚😚😎😚😚😎😚😚😚😚😚😚😎😚😚😚😎😚😎😚😚😚😚😎,The comment expresses overwhelming positive sentiment using emojis and repeated phrases of admiration.,Neutral
Positive,The song is deeply meaning among attack on Titan 😢😢😢,The use of 'deeply meaning' and the crying emojis strongly indicate a positive emotional response to the music video.,Negative
Positive,1:25❤😊 vocal is awesome😇,The use of emojis (❤😊) and positive language ('awesome') clearly indicates a positive sentiment.,Positive
Negative,"I don't get it, one kpop girl suddenly writes her own song and somehow manages to get Bruno Mars on it and suddenly she blows up. I mean wtf? There are thousands of artists who can write better songs with actual meaning instead of a sugarcoated song only replayed by 10 year old girls. Like almost 2b views and 2b streams in less than 9 months? I'm betting you no one is gonna be calling ts nostalgic. Like seriously, something has got to change. #aptisoverrated","The comment expresses frustration and criticism of the music video's success and perceived lack of quality, using phrases like 'wtf' and 'overrated'.",Negative
Positive,Disfrutando de esta Hermosa Canción Atemporal a un año que se estreno 15/Agosto/2025 México,"The user expresses enjoyment of a beautiful and timeless song, indicating a positive sentiment.",Positive
Negative,Because of his poor form in training he is not a ri man and his team has not played in the same way in the past two years so it is a bit odd the most common form of a person is a person’s body language or body language that they use in the way they speak to them and they use that to express their own emotions and actions and emotions and to express themselves in ways that make sense and ❤to express them to them to make their own thoughts and emotions that make their feelings more 😢unfortunately the only thing we do not want in our lives to be the way they should feel and the way we feel is our own feelings and emotions,"The comment expresses frustration and criticism regarding the artist's performance and team, indicating a negative sentiment.",Negative
Negative,"Now why I think that this my fav song is already annoying, time so fast",The comment expresses annoyance and implies a dislike of the song despite initially stating it's their favorite.,Neutral
Positive,So beautiful soul song lyrics about love,"The comment expresses admiration for the song's beauty and theme of love, indicating a positive emotional response.",Positive
Positive,Beatiful 😢❤,The use of emojis like '😢' and '❤' clearly indicates positive emotion towards the music video.,Positive
Negative,"3 of her shows in Seattle this week, lowest seat $300, one must have a lot of money to burn. Can you name 3 hit songs of gaga, what a boring waste","The comment expresses disdain and criticism of the concert prices and questions the video's content, indicating a negative sentiment.",Negative
Positive,Still listening in 2029? So glad that President Newsome has reversed all of Trump's policies. I wonder how long Trump will last now that he's incarcerated at Alligator Alcatraz?,"The commenter expresses gladness about policy changes and a hopeful outlook, indicating a positive sentiment.",Negative
Positive,Emotional 😢,"The use of the emoji '😢' clearly indicates a feeling of sadness or emotion, which is generally considered a positive sentiment in the context of a music video comment.",Neutral
Positive,Looks like this filmed over a 1.25x speed then slowed to tempo of song. Nice effect.,"The commenter praises the video's effect, indicating a positive reaction.",Positive
Positive,"Any lover of Jesus Christ? Even though this song comes from a very unlikely source, I feel the rhythm for my late mom and Jesus Christ...","The commenter expresses a positive connection to the song and references Jesus Christ, indicating a favorable sentiment.",Positive
Positive,Camilo Sesto y Ángela Carrasco Vibes!!!,The exclamation points and enthusiastic expression of appreciation for the artists' pairing indicate a positive sentiment.,Positive
Positive,"07/08/2025 listening to this perfection, my favorite song, I never get tired of listening to it, I'm completely swep away by the lyrics of this song😍😍","The commenter expresses strong positive feelings about the song, using words like 'perfection,' 'favorite,' and 'swep away,' indicating a delighted reaction.",Positive
Negative,This song always deepens the sorrow of ATTACK ON TITAN 😟,The use of '😟' (a worried face emoji) and the phrase 'deepens the sorrow' clearly indicates a negative emotional response to the music video.,Negative
Neutral,Astronaut Galaxy Reversed,The comment is a simple title and lacks any explicit emotional language or opinion.,Neutral
Negative,This song hurts deeply when people gone threw hell in life when the person you love can't feel the same,"The comment expresses sadness and pain, indicating a negative emotional response to the song's theme.",Negative
Positive,Lady Gaga kind of gives Amy winehouse vibe!!🎉,The use of 'kind of gives' and the celebratory 🎉 emoji indicate a positive comparison and appreciation of Lady Gaga's style.,Positive
Positive,Such beautiful lyrics ❤,The use of 'beautiful' and the heart emoji clearly indicate a positive emotional response to the music video.,Positive
Neutral,Aot lyrics,"This comment simply references the lyrics of a song, lacking any explicit emotional expression.",Neutral
Positive,I love how this song takes me on a journey. It starts off slow and builds up to this epic climax that gives me chills every time.,The commenter expresses clear enthusiasm and excitement about the song's impact and emotional effect.,Positive
Positive,I remember that time when I was suffering too much to my problems this song was so nostalgic it gives me a sense,The commenter expresses positive feelings about the song's nostalgic effect and ability to evoke a sense of remembering a difficult time.,Positive
Positive,❤Perfect love story ❤️,The use of heart emojis clearly indicates a positive sentiment towards the music video.,Positive
Positive,This collab hits different when you're building the perfect playlist! 🎵 There's something magical about finding songs that flow together seamlessly - like discovering hidden gems that tell a story. Anyone else obsessed with curating the perfect vibe? ✨https://www.youtube.com/playlist?list=PLFXDS5rzUZjatHetsCpObKyEHdsL3pMiY,"The commenter expresses enthusiasm and appreciation for the collaborative music video and playlist curation, indicating a positive sentiment.",Positive
Positive,I shared a song with my grandchildren that i heard lady Gaga sing at SF Chase Center the room was filled with tears and emotions and so much love and it’s my heart. I never heard the song before. I thought I go to YouTube I find this special song for grandchildren wow they already knew the song and they’re only seven years old. I was amazed I played every day for the,"The commenter expresses overwhelming positive emotions – tears, love, amazement, and repeated enjoyment – regarding sharing the song with their grandchildren.",Positive
Positive,The song it has vibe,The comment expresses a positive feeling by stating the song has a 'vibe' which is generally considered a good thing.,Neutral
Positive,"This masterpiece was randomly released exactly one year ago today. And now, one year after, this is music history! ❤💙",The commenter expresses enthusiastic admiration and considers the music video a 'masterpiece' and 'music history'.,Positive
Positive,This song is my favourite this lyrics this talk this song emotional ❤❤❤❤❤❤❤,"The user expresses enthusiasm and fondness for the song and its emotional impact, indicating a positive sentiment.",Positive
Positive,"Die With A Smile’ suits both so perfectly—such a beautiful song for a truly stunning image. It captures a vibe that fits Lady Gaga herself: bold, emotional, and iconic.","The comment expresses strong admiration and appreciation for the song and video, using positive descriptors like 'beautiful,' 'stunning,' and 'iconic'.",Positive
Negative,Why tf they have her smoking? Kinda ruined the whole vibe of the song for me,"The commenter expresses frustration and disapproval, stating that the smoking detracts from the song's atmosphere.",Negative
Positive,Aquí un like por los que vinieron por la serie del juego del calamar temporada 1,"The comment expresses support for the video ('un like') and specifically links it to a popular series, indicating positive sentiment.",Neutral
Positive,Best emotional song moment is 1:24,"The commenter explicitly states it's a 'best emotional song moment,' indicating a positive feeling.",Positive
Neutral,Why does Lady Gaga have vibes of Barbra Streisand? 😅,"The comment expresses a subjective observation and a lighthearted emoji, indicating a neutral sentiment rather than a strong positive or negative feeling.",Neutral
Positive,"My little not so little long nosed sweetheart- we loved Gaga in general- we used to vibe big time! Die with a smile! When you have a greyhound, that's what you do ❤",The comment expresses enthusiastic enjoyment and affection for the music video and the artist.,Positive
Positive,This gave me chills… in the best way,The exclamation 'in the best way' indicates a highly favorable and enthusiastic reaction to the music video.,Positive
Positive,😊 a beautiful melody inspirations In me day,"The use of emojis and positive language ('beautiful melody,' 'inspirations') indicates a positive sentiment.",Positive
Positive,My girl told me to listen when this came out and the rest is history 🫢,The commenter expresses a positive experience and enjoyment of the song due to a personal recommendation.,Positive
Neutral,"As much as I hate Lady Gaga smoking a cigarette. I don't why , but it works.  It's a vibe thing  maybe, but please don't smoke.","The comment expresses mixed feelings, acknowledging an appreciation for the video's 'vibe' while simultaneously criticizing the smoking imagery.",Neutral
Positive,"comecei a ouvir música bem no tempo em que esses dois surgiram, essa colaboração é algo incrivelmente nostálgico, marcaram a minha geração. Com tamanho que este single tomou marcou toda a atual geração e além, eles conseguiram algo que os cantores atuais que só produzem para viralizar não conseguem mais, criaram uma música que entrou para história e eu estava morrendo de saudade de ouvir um som nesse nível, agora eu posso morrer com um sorriso ❤","The commenter expresses strong positive feelings about the collaboration, describing it as nostalgic and highlighting its historical significance and quality.",Positive
Positive,They are giving Bonnie and Clyde vibe,Comparing the music video to the classic film 'Bonnie and Clyde' suggests a positive association and appreciation.,Neutral
Positive,"They are recording it in an open space, or has that effect, making it even sound more nostalgic like retro music.","The comment expresses a positive reaction to the video's aesthetic and nostalgic sound, describing it as 'even sound more nostalgic'.",Positive
Positive,"Die With A Smile: A Legacy of Joy This phrase, ""Die With A Smile,"" speaks volumes about approaching life's end with peace and acceptance. It's not about denying pain or hardship, but rather about cultivating a life where the positive memories and relationships outweigh the negativity. It encourages us to find joy in the present moment, cherish loved ones, and live a life aligned with our values, so that when the time comes, we can depart with a sense of contentment and a smile on our face. It's a reminder to live fully, love deeply, and leave a legacy of joy.",The comment expresses a profoundly optimistic and hopeful sentiment about living a life filled with joy and positive memories.,Positive
Negative,Missing story of Mikasa 😭😭😭😭,The excessive use of crying emojis and the reference to 'Missing story of Mikasa' clearly indicate disappointment and sadness about the video's content.,Negative
Positive,I would never have been able to identify Lady Gaga with such a sensual voice in a retro style.  This melody is a true masterpiece  1:24,The commenter expresses admiration for Lady Gaga's voice and describes the music as a 'true masterpiece'.,Positive
Negative,Slowed reverb make cried and seeing homeless people in the street make me so 😭,The use of 'cried' and the mention of 'homeless people' indicate a feeling of sadness and distress.,Negative
Positive,"This music makes me nostalgic, it will always be my favorite song .🥲","The commenter expresses fondness and designates the song as their 'favorite,' indicating a positive emotional response.",Positive
Positive,This song is so powerful that it has been listened to by 1.2 billion people in eleven months....,"The comment expresses admiration and highlights the song's immense popularity, indicating a positive feeling.",Positive
Neutral,The guitar is oddly similar to let go(acoustic )by ark patrol,"The comment expresses a neutral observation about a similarity in a guitar sound, without indicating a positive or negative emotion.",Neutral
Positive,Excellent song.  Lyrics monumental.  Glad to see Bruno agaiin.  Video is a bit strange but that tends to be the rule with Lad y Gaga.,"The comment expresses strong positive opinions about the song and artist, outweighing the minor criticism about the video's strangeness.",Positive
Positive,😢powerful song felt my ancestors spirit and it made me shed a tear beautiful song Queen.❤,"The commenter expresses positive emotions like 'powerful,' 'beautiful,' and uses emojis indicating emotional impact.",Positive
Positive,They probably Shot the song at high speed and the editor made it slow that's why this song has a vibe of dreamy effect (slowly and smooth still perfect),"The commenter expresses a positive opinion, describing the song's effect as 'perfect' despite the editing techniques used.",Positive
Positive,"This track really hits the spot! The beat is so infectious, and the lyrics speak to my soul. Definitely adding this to my playlist!","The commenter expresses enthusiastic appreciation for the music video, using strong positive language like 'hits the spot' and 'speaks to my soul'.",Positive
Positive,Bruno mars is amazing vocalist singer,The comment expresses admiration and praise for Bruno Mars's vocal abilities.,Positive
Negative,"25/07/2025 This 57 old years ,my Hart os complete explode The emotion i cry of de. Brazil","The comment expresses intense, overwhelming emotion ('explode', 'cry') suggesting distress and negativity.",Positive
Negative,"This morbid song really sucks , one of the top 5 worst songs of all time","The comment uses strongly negative language ('sucks,' 'worst songs') expressing a clearly unfavorable opinion of the music video.",Negative
Positive,Movie vibes 🎬 ✨️,"The comment uses positive emojis and expresses a feeling of enjoyment associated with a movie, indicating a positive sentiment.",Positive
Positive,"The song, the music, the lyrics, the ambiance, everything is beyond perfect. 👌👏👏👏",The commenter uses overwhelmingly positive language expressing a high degree of satisfaction with the music video's elements.,Positive
Positive,"Year 2010's likes 1980's Vibes Many great singers and they are really competitives hit after hit Like Bruno Mars, Lady Gaga, Taylor Swift, Justin Bieber, Katy Perry and Adele","The comment expresses enthusiasm for the featured artists and the music's nostalgic appeal, indicating a positive reaction.",Positive
Neutral,"If anyone needs any documents like SSN, bank statement, doctor's note, PDF file etc edited, please message me directly.",This comment simply offers a service without expressing any particular emotion or opinion about the music video itself.,Neutral
Positive,Anyone in 10/08/2025 😢 Powerful Song 🇦🇷,The use of 'Powerful Song' and the emoji convey a positive emotional response.,Positive
