classificacao,comentario,justificativa
Negative,Wow this is trash🗑im sorry but you cant take god damn freestyle dance club music song beat in try to make gangster hip-hop rap out of it in general dude is garbage he definitely not no god all gen z on this guys dick think he the best of all time stop playing yourself the new york rappers where it all started at definitely dont respect him or like his music foh no hate at all facts cant stand Westcoast rap music i only fw underground eastcoast rap where it all started Kendrick plz stop rappin your voice is not it!💯,Expresses strong disapproval and insults the artist and his music.
Positive,That beat and base 🔥🔥🔥,Expresses strong enthusiasm for the song's rhythm and bass.
Positive,This beat slaps,Expresses enthusiastic enjoyment of the song's rhythm.
Negative,50 deep but it ain't deep enough.,Expresses dissatisfaction with the song's lack of depth.
Positive,Am I the only one that’s extremely impressed at how he cleans up the lyrics so flawlessly. I know I would’ve let some curses go 😂,Expresses admiration for the artist's skillful lyric editing.
Positive,This beat sick af,Expresses enthusiastic approval of the music's rhythm.
Positive,The girl with the white skirt is a whole vibe❤,Expresses enthusiastic appreciation for a specific element.
Neutral,"He changed some lyrics in the HOLD UP... part, what's that",Expresses a simple observation about a change in the song lyrics.
Negative,"This dude really convinced an entire generation of black people and gullible white liberals that he creates deep ""music.""",Expresses skepticism and dismisses the artist's perceived influence and artistic merit.
Negative,Probably one of the worst songs ive ever heard.,Expresses strong disapproval and claims it's a terrible song.
Neutral,Tobe Nwigwe would be fire on this beat with Kendrick on a remix,Expresses a suggestion for a remix without stating a definitive opinion on the original song.
Positive,Beat crazyy,Expresses enthusiastic appreciation for the song's rhythm.
Negative,WORST HALFTIME SHOW IN HISTORTY!,Expresses extreme dissatisfaction and condemnation of the halftime show.
Neutral,I wish Kendrick would spit over “The Mesaage” beat.,"Expresses a desire for a different track, without strong positive or negative emotion."
Negative,This shit is trash. Tone deaf generation fr.,Strongly criticizes the music as 'trash' and attributes it to a 'tone-deaf generation'.
Positive,This BEAT SO SICK,Expresses enthusiastic enjoyment of the song's beat.
Negative,This gotta be the worst shit I’ve heard in my life,Expresses extreme dissatisfaction and disgust with the music.
Neutral,#WORSTHALFTIMESHOWEVERRR!,"Expresses a conflicted, slightly sarcastic reaction - neither strongly positive nor negative."
Neutral,idk if peekaboo or this is more annoying,Expresses mild frustration and confusion without clear positive or negative sentiment.
Positive,"64 soon 65 Feb 24...gonna smooth dance to this like Kendrick..THEY NOT LIKE US❤❤ From the beat to the Lyrics ❤❤❤  ain't heard a diss like this since Pac and I love me some Tupac period. Kendrick got me dancing. He dance like us😂❤ well Drake shoulda could woulda....but didn't choose the right battle next time bruh😂 what were ya thinking Dra.... Then the whole Grammy audience hit the, ""A Minor""❤❤",Expresses enthusiastic enjoyment of the music and references iconic artists.
Positive,"Squabble Up"" is a vibe! Hard-hitting beats and bold lyrics—this track fuels the hustle. 🔥💪",Expresses enthusiastic enjoyment and positive associations with the song.
Positive,I just can’t get enough of this beat and lyrics,Expresses enthusiastic enjoyment of the song's beat and lyrics.
Negative,Why did it look like he messed up his own lyrics in that scene where he crouched by the candles? 😁,Expresses concern and critique regarding a perceived mistake in the music video.
Positive,"When you have 70k backup vocals, Crips and Bloodz as backup dancer, won 5 grammys, made it to Superbowl, and made the world crip walking for a diss track is fcking crazy. Absolute legend! KDot definitely destroyed Drake. There is no coming back!",Expresses enthusiastic admiration and praise for the artist's achievements and impact.
Positive,Double vibe song of the year,Expresses enthusiastic enjoyment and a superlative assessment.
Negative,Ts so ass. Not like us was the only good song kendrick only talks to the beat. Drake was better tbh. ❤,Uses offensive language and expresses negative opinions about the artist and compares unfavorably to Drake.
Positive,I’m loving Kendrick’s vibe❤😊,Expresses fondness and positive emotion towards the artist.
Positive,The Final Verse of this song is lowkey insane,"'Lowkey insane' suggests a strong, positive reaction to the verse."
Positive,"1:51 is fucking gold, ive made that face when I forget lyrics too bro lmao",Expresses enjoyment and shares a relatable experience.
Positive,Funky ahh beat. I fucking love it.,Expresses strong enthusiasm and enjoyment of the song's beat.
Negative,They change the lyrics?,Expresses disapproval and frustration about lyrical alterations.
Negative,Wow! Officially the worst ever halftime show. My mothers nursing home entertainment is definitely better. WTF was that,Expresses strong disapproval and ridicule of the halftime show.
Positive,W vibe,‘W vibe’ is a common and positive slang expression.
Negative,U beat on ur wife,Contains a violent and abusive statement.
Negative,Bro changed the lyrics lmaooo,Expresses disbelief and criticism regarding a lyrical alteration.
Neutral,Vibes,Simple expression of feeling without specific positive or negative connotation.
Neutral,Yo you considered doing some deep bars with T pain on some of your new stuff you're writing,A suggestion is offered without expressing a clear positive or negative opinion.
Positive,Peace All Cali Vibez Video.,Expresses enjoyment of the video.
Positive,This is lyrically the most intelligent song ever…. Wow. He speaks about all types of different hip hop using album names and songs names as lyrics of actual songs and albums,Expresses strong admiration for the song's lyrical intelligence.
Positive,"Mustard on the beat, gyat damn!! 🎉🎉🎉🎉",Expresses enthusiastic approval and excitement.
Neutral,why is the verse different? at 1:27,Asks a question about a specific detail of the song.
Negative,50 deep but he aint deep enough ✊🏿.,Expresses dissatisfaction and criticism of the artist's depth.
Negative,"That performance was absolutely horrible. Kendrick’s mic was too low, he forgot lyrics and had way too many male dancers on stage smh. Lil Wayne would’ve been wayyyyy better",Strongly criticizes the performance with multiple negative observations.
Neutral,"Does anyone else find the melodic rhythm reminiscent of the soundtrack to the movie ""Killer Bean Forever""?","Comparison to another song, without explicit positive or negative judgment."
Positive,"Kendrick, don’t listen to the haters they say that you are the worst halftime ever but you were the best",Expresses strong support for Kendrick and refutes negative opinions.
Negative,you are the worst rapper in the whole entire universe,Strongly insulting and derogatory language.
Positive,K dot I know you're an album guy mainly but pls drop more singles lyrics concepts timeless themes pain tones production instrumentals lyrics tones concepts microphones don't kill my vibe money trees swimming pools get up n wipe Ur ass these Ur best songs more like these pls vibey Ty big fan from day akhi,Expresses strong enthusiasm and desire for more music from the artist.
Positive,The beat❤❤❤,Expresses enthusiastic positive feelings about the music.
Negative,He has no emotions,Expresses a negative judgment about the artist's lack of feeling.
Negative,I can't barely get through the intro and first verse without rewinding it smh,Expresses frustration and dissatisfaction with the song's initial sections.
Neutral,"god knows, i am reincarnated i was stargazin life goes on i need all my babies. Gyah gyah woke up lookin for the broccli high key keep a horn on me that kamasi ip the owner ship the blueprint is by me. mr get of i get off mop my feet.  2nd verse (sample debbie deb when i hear music)(when i hear music it makes me dance u got the music now means yo chance. a yee nigga couldnt try me in the tri state body pass going on some splash till he hydrated bounce out like a spook town eyes dilated i got the money in my bag eyes gylatin.","Contains a mix of nonsensical phrases and seemingly random comments, lacking clear sentiment."
Positive,"Kendrick Lamar is the Boss, he did that. His lyrics are on point, with a cold beat.",Expresses admiration for Kendrick Lamar's lyrics and music.
Neutral,"Yo,did no-one hear that some of the lyrics are changed?",Expresses a question about potential lyrical alterations without strong emotion.
Positive,Lyrics are so on point tho,Expresses approval of the lyrics.
Negative,His voice is so annoying and this song is so cringe,Expresses strong dislike for the singer's voice and the song itself.
Positive,"I love the chorus, the old school flow her smile and she looks like she having fun. 🎉",Expresses enjoyment of various aspects of the music video.
Neutral,"Okay, this is an absolute BANGER. HOWEVER, this is 100000000% a Drake type flow and beat.",Acknowledges a positive aspect but identifies a similarity to another artist.
Negative,50 deep..but they ain't deep enuff,Expresses dissatisfaction and a lack of depth.
Positive,"This beat right here is the one ... On another note, can we get this on beatsaber too? I'm living for those Kendrick drops 🤣😁♥️","Expresses strong enjoyment and excitement about the beat, with a hopeful request and emojis."
Neutral,I really like the flow and the style but the sound the pitch something doesn’t feel right.,Expresses some positive aspects alongside a critical observation about the sound.
Negative,His voice is really annoying,Expresses a negative opinion about the singer's voice.
Neutral,01:29 lyrics changed up. anyone transcribe it ?,Asks a question about lyrics without expressing a positive or negative opinion.
Negative,I really dont see what everyone else sees in this guy i find his music annoying like hes trying to rap the way nicki minaj and all the other female rappers rap. To me it sucks,Expresses strong dislike and comparison to other artists negatively.
Negative,Cod infintite warfare vibes,The phrase 'infinite warfare' suggests a bleak and unsettling theme.
Neutral,"Kendrick, if I make my own music will you put one of my verses in your song?",A hopeful question with no inherent positive or negative sentiment.
Positive,god I love this beat so fucking much,Expresses intense enjoyment of the music's beat.
Negative,This song is trash so annoying the beat every only Kendrick long ears is listen able,Expresses strong dislike and finds the song irritating.
Positive,Song been stuck in my head for weeks! The video and the song!!!!! Drake take notes.,Expresses repeated enjoyment and admiration for the song and video.
Positive,Can’t get this beat out of my head!,Expresses strong positive feelings about the song's repetitive and memorable nature.
Positive,Been  watching music videos since before MTVdid not allow black artists. Started out watching black and white music videos before they were called music videos . I’ve seen them all. This is the BEST music video ever produced.  Hands down. Used to sneak in the clubs in Brooklyn and see Debbie Deb crush it with this beat. Two turntables and a microphone.,Expresses enthusiastic praise for the music video and references a positive historical connection.
Positive,"I just noticed all the small references on the sides from soul train to the cholos y cholas, black panthers, soul train etc etc.... I F****** LOVE THIS VIDEO. AND THE FACT THAT HE WENT OLD SCHOOL, LATIN FREESTYLE MUSIC AND M*********** PLAYED SOME DEBBIE DEB SAMPLE FIRE.THIS BEAT FIRE FIRE FIRE FIRE",Expresses enthusiastic enjoyment and appreciation for the video's elements.
Positive,KENDRICK IS THA ONLY ARTIST IN THIS ERA WHO GIVES ME THAT OLD SCHOOL RAP VIBES🙌😁❤❤,Expresses strong admiration and positive feelings towards Kendrick Lamar.
Negative,"Most overrated, corny, off beat, uncoordinated puppet. Only famous because of Mustard.",Strongly criticizes the artist as unskilled and reliant on a producer.
Neutral,That west coast beats.,A simple observation about the musical style without expressing positive or negative feelings.
Negative,Worst halftime show not even lying i love u kendrick but this was WEAK,Expresses strong disapproval and criticism of the halftime show.
Negative,"Why does this sound so much like Big Dawgs from Hanuman kind... The starting beat is the exact same, is this an interpolation? And did he get permission to do so lol",Expresses concern about copyright infringement and similarity to another song.
Positive,Dude really got them smooth low key moves.. cannot deny boy got rhythm,Expresses admiration for the artist's movement and rhythm.
Negative,Diss idea talk about how Drake stole lyrics from songs,Expresses strong disapproval and accuses Drake of plagiarism.
Neutral,I miss the old days when someone used to write the whole lyrics as a comment and it would be the highest liked comment on the music video!,Expresses nostalgia without strong positive or negative emotion.
Negative,Only way Drake getting over this is to beat up Kendrick Lamar in the ring,Expresses a violent and aggressive desire for Drake to defeat Kendrick Lamar.
Positive,Has to be my fav Kendrick song ever...this is a throwback to the 80s... love the sound and modern flow..the video is artistic master piece...We need more 80s beats with a modern twist like this,Expresses strong enjoyment and appreciation for the song's style and video.
Negative,The only thing carring this is the beat,"Expresses disappointment with the song, focusing on a single positive aspect."
Neutral,I forgot the MV lyrics were a lil different,States a factual observation without expressing a positive or negative opinion.
Positive,K.Lamar he's been laying low for years because he's different 2Pac Vibes,"Compares the artist to the revered 2Pac, expressing admiration."
Positive,The vibe is crazy it makes u dance🤷,Expresses enjoyment and a desire to dance.
Negative,top ten worst songs ever,Expresses strong disapproval and ranks the song negatively.
Positive,Catchy,The word 'catchy' indicates a positive and enjoyable quality of the music.
Positive,Such a dope vibe,Expresses enthusiasm and appreciation for the song's atmosphere.
Positive,The diverse sounds made this one 🔥🔥🔥,Expresses enthusiastic approval with fire emojis.
Neutral,Why are the lyrics different on the music video? Did anyone else notice that?,Expresses a simple observation and question without strong positive or negative feelings.
Negative,"Hey Doc can I get a drop? I'm like Nigga, Naw... . This verse  kills me every time! 😮😂😂😂😂😭😭😭",Contains offensive language and expresses negative emotion.
Positive,Homie with the braids dancing and looking back is a vibe,Expresses appreciation for a particular aesthetic and movement.
Negative,Worst song,Expresses a strong negative opinion about the song.
Neutral,1:28 bro forgot the lyrics,"A simple observation about forgetting the lyrics, lacking any strong sentiment."
Negative,My god this zhit is awful,Expresses strong disapproval and uses a derogatory term.
Positive,I like the beat for real 💃🏻😂,Expresses enjoyment of the song's beat.
Positive,It sounds like hanumankind and the dance looks like hanumankind ❤ 90s vibes as well ❤,Expresses fondness for the song and its aesthetic.
Positive,"😃🎵🎶 "" DANCE W-ME "" 😄🎵🎶✨🌟👑💃💙💙💙💙💙❤️❤️❤️❤️❤️🏋🏽‍♂️👑🌟✨💙❤️🔔👏🌎🙏🕯️😇🥰💃🏃🏽‍♂️😎🎵🎶💃💃⛹🏽‍♂️🔔🔔🔔🔔🔔💃💃🏋🏽‍♂️😃👏 "" VIBES UP""👏👏👏👏👏💞 &🕯️👍💯",Expresses enthusiastic enjoyment and positive sentiment through emojis and repeated positive phrases.
Neutral,What are the notes,A simple question with no expressed opinion.
Negative,"Kendrick Kendrick Kendrick why are black people on the street, Sacramento is the Capitol and still there aint no love.🐥 Stockton is 15 minutes away, your people are all over the country. Lyrics all over the world but the hate still in them, aint no revolution just an attempt at asking for a dollar.🐥",Expresses frustration and cynicism about societal issues and lack of change.
Negative,50 cent deep but he not deep enough wow,Expresses disbelief and criticism of 50 Cent's perceived lack of depth.
Negative,"I’ve heard this song sampled so much, this ain’t even close to the best beat. Kendrick carried on it tho",Criticizes the song’s beat and suggests it’s not impressive.
Positive,Dr Dres anthem when he boxing with his ex’s. The real BEATS by Dre.,Expresses enthusiastic appreciation for Dr. Dre's music.
Negative,Is this a mix? 1:30 makes no sense and completely skipped the bridge and maybe verse 2??,Expresses confusion and criticism regarding the song's structure.
Neutral,"He reversed the lyrics around 1:28 to 1:46, I noticed it today.",Points out a specific detail without expressing a strong opinion.
Negative,"Kendrick Lamar? Man, you're the only rapper who can make a song sound deep while still being as confusing as a Google Translate version of the Bible. You’re so introspective, I’m surprised you haven’t written an entire album about how long it takes to find your car keys.",Uses sarcasm and criticism to suggest Kendrick Lamar's music is overly complex and lacking clarity.
Neutral,Ayo the lyrics are different,Expresses a simple observation about the lyrics without positive or negative judgment.
Neutral,"Ok Money and the fame may cause problems being me in believer form my Have me dling more than stargazing , Far away I'm still saying Hi and Waiting on A Educated Leader to Bring me in deeper of the Game of Wisdom and Life away from The system,",Expresses mixed thoughts about fame and leadership without strong positive or negative emotion.
Positive,Man I❤ this beat see soon  😂,Expresses strong positive feelings with an emoji.
Positive,This beat is addictive.,Expresses strong enjoyment and describes the beat as 'addictive'.
Negative,"People only care about the lyrics, other than that the music is ass so is his voice",Expresses strong dissatisfaction with both the lyrics and the vocalist's performance.
Negative,""" why the fuck you rap if its ficitonal"". That hot deep. Rap isnt the same and i hope he revives the authentic nature of it. Rap was to educate, inspire and bring awareness to the struggle. Now its fuck bitches, kill someone and do drugs. Lil Wayne ruined rap fr fr",Strongly criticizes modern rap and Lil Wayne's influence.
Positive,This beat....,Expresses enjoyment of the music's rhythm.
Negative,"This song sounds like family matters a lot, which is sorta a problem Drake needs to figure out about his sound. It's not diverse enough. Sometimes less is more, how about a shorter album? 12 to 15 better composed songs?",Criticizes Drake's music for lacking diversity and suggesting an overly long album.
Neutral,The vibe,"Short, open-ended comment lacking specific sentiment."
Positive,Thank you superbowl for introducing me to this beat!,Expresses gratitude and positive reaction to discovering the music.
Neutral,😮 who’s beating this,Expresses surprise and a simple question without clear sentiment.
Positive,Good Vibes right here 💚🔥,Expresses enthusiasm and excitement using emojis.
Positive,W vibe,'W vibe' expresses a positive and energetic feeling.
Positive,bro never runs out of good music cuz the beat💀,Expresses enthusiastic enjoyment of the music's quality.
Neutral,"Where is subtitles? Am learning English with Kendrick's music but am not understanding anything, just liking the rhythm",Expresses frustration about lack of subtitles and focuses on musical rhythm.
Neutral,They changed the beat,Expresses a simple observation about a change in the music.
Neutral,Nice belt buckle ... artsy vibe ...,A simple observation with no expressed opinion.
Negative,kendrick lamar fans after hearing the worst shit ever played,Expresses disbelief and criticism of Kendrick Lamar fans' reaction.
Neutral,did anyone notice the lyrics change on 1:28 or i'm hallucinating  ?,Expresses a specific observation about a lyric change without strong positive or negative judgment.
Positive,"i get a real ""stop making sense"" feel from the set decoration and camera work. simple, arty, humorous, deep. i need to see the BTS of @2:12 that must have been absolutely bonkers to film",Expresses appreciation for the artistic and creative elements of the video.
Neutral,It wild that he is in the scenes but he is not really there for most of them. The power of static shots and after effects and great editing!😮,Observes technical aspects of the video with a neutral tone.
Negative,the nigga kendrick lyrics are prophetic (tell me why you niggas FED if you criminal) drake suing in the fed . kendrk got foresight,Contains derogatory language and expresses negative opinions about Kendrick Lamar and his music.
Neutral,The vibe of the video is “Dywtfm (Do you want to fight me)”,"References a meme, indicating a playful and potentially ironic observation."
Neutral,✏️ Describe the vibe,"A simple request for description, lacking sentiment."
Negative,Most annoying fuckin song.,Expresses extreme annoyance and negativity towards the song.
Positive,His delivery I don’t feel but the beat  nice and his lyrics are dope🤷🏽‍♂️,Expresses enjoyment of the beat and lyrics.
Positive,"Kendrick second verse ""what the f### I got hits I got bucks I got new paper cuts,I got freinds I got foes but they all sitting ducks,hit his terf and get parked like a deluxe"" was just straight 🔥 FIRE",Expresses strong enthusiasm and approval.
Neutral,lolololol have the lyrics always been different why did i just notice ahahah,Expresses amused confusion and observation without strong emotional judgment.
Positive,Whoever made this beat deserves an award as well. Absolutely nasty,Expresses high praise for the beatmaker's work.
Negative,"Shit giving me "" the roots ""the next movement "" vibes. Not the song but the video. Lol",Compares the video negatively to the song
Positive,😊 great vibe!!!,Expresses positive feelings with an emoji.
Neutral,Has anyone broke down the new bridge lyrics?,"Asks a question about the lyrics, expressing curiosity without a clear positive or negative opinion."
Neutral,Hey this man used album cover name for lyrics look it it word,A simple observation with no clear positive or negative sentiment.
Neutral,Did he change the lyrics? 😮,Expresses surprise and questions a potential change.
Negative,biggest piece of trash Kendrick lamar is the worst rapper in history,Strongly denigrates Kendrick Lamar as the worst rapper.
Neutral,"Wait the ""hol uppp"" part is different than original lyrics 😮",Expresses surprise and observation about a lyrical difference.
Negative,Iam ugly white man and i say it was the worst half time show ever 🤡,Expresses strong disapproval of the halftime show with a derogatory emoji.
Neutral,Who is with 2025 vibes only,Expresses a preference for a specific aesthetic without strong emotional content.
Positive,Who else came here after hearing this song with the Sabrina Carpenter Expresso beat??😅,Expresses shared enjoyment and connection related to the song.
Positive,Such a vibe,Expresses a positive feeling about the music's atmosphere.
Negative,"This that cookie cutter, lowest common denominator shit. No amount of imagery of pseudo-intellectualism can change the fact Kdot has now beaten Drake in his own game, and is now dominating the commercial angle. Sad to see Kendrick go down this route but he seems to be enjoying the attention.",Criticizes Kendrick Lamar's music as lacking depth and prioritizing commercial success.
Positive,Drake is about to remix this beat and chorus.,Expresses anticipation and positive expectation for a Drake remix.
Positive,Kendrick is absolutely killing the scene with the old school vibe !! Every OG's would be proud of him,Expresses strong praise for Kendrick’s style and evokes a positive association with established artists.
Neutral,Why did the lyrics change from original release?,"Asks a question about a change, lacking explicit positive or negative sentiment."
Positive,I love the beat,Expresses clear enjoyment of the music's rhythm.
Negative,Had to ruin the beat with his rap,Expresses annoyance and disapproval of the rap section.
Negative,This new stuff is just awful. I can’t… like what?,Expresses strong dislike and confusion about the new music.
Neutral,All these lyrics are song titles! Crazy,Observes a stylistic element without expressing a positive or negative opinion.
Neutral,Vibe,"Short, ambiguous word with no clear positive or negative connotation."
Neutral,I don’t think anyone notices but when he steps it usually on beat,A simple observation without strong positive or negative sentiment.
Positive,I love how no one is talking about the where the beat came from (When I Hear Music - - Debbie Deb),Expresses appreciation for a specific song.
Neutral,his voice sounds dumb ash but its so damn catchy lmao,Mixed feelings – acknowledges a negative voice quality but praises catchiness.
Neutral,The nonficticous lyrics tho!,Expresses a simple observation without strong positive or negative sentiment.
Neutral,I’m I tripping or he change the lyrics?,Expresses confusion and asks a question about a potential lyric change.
Negative,Shout out all the street venders the drug the tortillas on basketball court beating old street venders..im scared thanks to tekashi 😮,Expresses fear and negativity related to street vendors and criminal activity.
Neutral,No tombstones,The comment is a simple statement with no expressed emotion.
Neutral,On one hand..... I love the video. Looks like they had fun making it. But I bet if I look up the lyrics I'll find something upsetting.,Expresses a mix of enjoyment and apprehension.
Positive,This music video is honestly insane I don't even understand it on a full level but it's amazing layered with intelligence and deep meaning fucking crazy,Expresses enthusiastic admiration and appreciation for the video's complexity and artistry.
Negative,I need my Dre beats for this noise cancellation,Expresses dissatisfaction with the music as 'noise'.
Neutral,01:30 CHANGED THE LYRICS,"A simple statement of a change, lacking emotional tone."
Negative,Ngl this songs beat is horrible,Expresses negative opinion about the song’s beat.
Negative,Trashing a good band and song by sampling them 😢. #worstrapper along with DRAKE 😂,Expresses strong disapproval and insults the artist and their music.
Neutral,Why they change the lyrics,Expresses confusion and questioning about a change.
Positive,Gotta love the flow on this one and the lyrics are primo as always,Expresses strong approval of the song's flow and lyrics.
Positive,Hope Pretty Tony butler made  some money off this tune  .   Miami all day on that beat !!!,Expresses enthusiasm and enjoyment of the music.
Negative,This guy sucks.he can't even come up with his own original beats,Directly insults the artist's musical ability.
Positive,He trash this beat and I'm not even a fan but that was bars at their best,Expresses high praise for the song's quality (
Positive,He flow immaculate on any beat,Expresses high praise for the artist's flow.
Positive,Kendrick cold this track killed Drake alone … this was deep reaching in the soul psychological sh!t,Expresses strong admiration and appreciation for the song.
Negative,"Sounds like a black nursery rhyme 😂.    I get the woke people like his activism, but nobody can argue the music is good..  nasally voice and klunky beats..   if his message was different you would see how gooofy this is..",Expresses disdain for the music and criticizes the artist's voice and style.
Negative,"Even after reading the lyrics; why do I only hear ""get the fuck out my thighs, look good but she don't got no ties, I walk in walked out with the sides, Mando let me know what the plies""",Contains vulgar language and expresses strong dissatisfaction with the song's content.
Positive,Bro vibes 🎉🎉🎉,Expresses enthusiastic excitement and joy.
Positive,Man nice with his lyrics! 💯 😊,Expresses enthusiastic approval with emojis.
Positive,Mad ❤ arse … Beat x voice x sound x words fire,Uses enthusiastic and positive language expressing strong approval.
Negative,So sad NotSexy red is so fucking awfull... fuckinf L choise ....,Expresses strong disapproval and frustration with the color choice.
Negative,this video is so random and his voice annoying lol,Expresses dislike for the video and the singer's voice.
Neutral,Was some of the lyrics change?,Asks a question about potential lyrical alterations.
Neutral,"Did the lyrics change on the bridge in the video? Where he says hold up, where you from? Side ways…at the 1.30 mark",Asks a specific question about the song lyrics.
Neutral,Lyrics are meh. 😆,"Expresses a mild, unimpressed opinion about the lyrics."
Neutral,Why did he change the lyrics?,Expresses a simple question without indicating positive or negative feelings.
Positive,Made this song brand new all over again by releasing the video 3 months later. Aint eem mad. This song still a big vibe. Thank you Kandlelight Kenny. You heard it here first.  (Nickname must be reserved for slow songs).,Expresses positive feelings about the song and acknowledges its continued popularity.
Negative,Had to come back here to get the awful sound of that new PND/drake album out of my ears.,Expresses strong dissatisfaction and annoyance with the album.
Negative,Old beat 😢 https://youtu.be/408dLNLWU-U?si=JeYdzF4aqJiL1DFI,Expresses disappointment and sadness due to the song's outdated rhythm.
Positive,"I just realized that I have heard this melody before in the film ""Ma"" What a genius 🔥",Expresses excitement and appreciation for the song's connection to a film.
Neutral,"Just checking out the samples they used for this…besides the Debbie Deb, the funk sounds like Bay Area type beat.","Describes the samples used, offering observational details without strong emotional assessment."
Negative,1:29 did they change the lyrics wtf? It wasn’t like this when it dropped 💀,Expresses confusion and disappointment regarding a lyrical change.
Positive,man he had way too much creativity in the first verse,Expresses admiration for the artist's creative input.
Negative,This uperbowl half time show was the worst i have ever seen,Expresses strong dissatisfaction with the halftime show.
Negative,Tempo is too slow would have been a much better song if it was sped up . Come on Kendrick how did u not see that? Oh cuz your not a great and don’t have that great EAR,Expresses disappointment and criticism regarding the song's tempo and the artist's perceived lack of musical understanding.
Negative,The beat switch upped this from manslaughter to first degree murder.,Uses violent imagery to express strong dislike of the song.
Positive,I love the music video is so diverse,Expresses appreciation for the diversity in the music video.
Neutral,"I'm not gonna bash her, she just needs to find the love for it, she got catchy song, but we all want a classic",Offers a gentle critique alongside a positive observation.
Negative,Kendrick should have invited Debbie Deb to the Super bowl for some freestyle vibes! Serena was a lame choice !,"Criticizes Serena Williams' performance and suggests a different, arguably more skilled, artist."
Negative,Everyone gonna act like wayne verse wasnt mid?,Expresses strong disapproval of a specific song verse.
Neutral,Anybody notice the lyrics changed,Raises a question about a change in the lyrics without expressing a clear positive or negative opinion.
Negative,Worst rap song I have ever heard....and that is on JJ 🧊,Expresses strong disapproval and criticism of the song.
Neutral,Can i get the lyrics man,"A simple request for lyrics, lacking any emotional content."
