classificacao,comentario,justificativa
Positive,Kim Taehyung really shared good melody song on his Instagram story,Expresses appreciation for a ‘good melody song’.
Positive,Yessss tyla!!! 🔥🔥🔥. I feel like this song allows us to hear your vocal skills way better. You're amazing ❤️❤️,Expresses enthusiastic support and admiration for the artist's vocal abilities.
Positive,Not just the lyrics but also her voice is so sweet. She really did an amazing job,Expresses strong positive feelings about the artist's vocals and overall performance.
Positive,"every song called Water or Honey is a vibe, that's a rule🤣",Expresses enthusiastic enjoyment of songs with 'Water' or 'Honey' in their titles.
Positive,Melody on another level the infusion of the beat and her voice it's magnificent 👌🙌she is blowing our minds away with this craft❤❤👑,Expresses strong admiration and enthusiasm for the song's musical elements.
Positive,Such a vibe.,Expresses a positive feeling about the song's atmosphere.
Positive,Summer memories with girlies on this one! I see it. long drives or getting ready for a night out or brunch. The vibes are vibing with this one!!!!!,Expresses enjoyment and association with positive experiences.
Positive,We need Chris Brown on the second verse!!!!! What a beautiful song :),Expresses strong positive sentiment and a desire for a specific addition.
Positive,Sweet voice love it! Sounds soulful and sensual with that catchy beat,Expresses enjoyment of the song's vocal quality and rhythmic appeal.
Positive,do you know why I wanna listen this song again and again ? because of this 1:22 this part before the chorus,Expresses a strong desire to listen to the song repeatedly due to a specific section.
Positive,This song is a whole vibe!! 🎶💖 I listen to it every single day,Expresses strong positive feelings and habitual enjoyment of the song.
Positive,"I just love the song, her voice, the lyrics - simply amazing!","Expresses strong positive feelings about the song, voice, and lyrics."
Positive,"This young lady is very talented. I'm 51 years old, and I love this song. This young lady is an excellent entertainer and gifted songwriter. She gives me #Ashanti and #Aaliyah vibes. #Ashanti is also a talented entertainer and songwriter. She wrote a lot of songs for other artists like Jennifer Lopez and many other artists. #Tyla, keep up the good work!!❤😊 💯👍🏽",Expresses strong admiration and positive comparisons to established artists.
Positive,"Wow. Damn girl. Song is on fire🔥🔥🔥🔥🔥. Love the beat, your voice, Everything just blends smoothly😍😍😍😍♥♥♥",Expresses strong enthusiasm and delight with emojis.
Positive,"Viciado nesse Hinoo, uma pegada afrobeat com R&B! ❤️🎧",Expresses enthusiastic enjoyment of the song's style.
Positive,"Absolute banger, beautiful voice great lyrics and sweet soulful beat 💯🎵",Expresses strong enthusiasm and appreciation for the song's qualities.
Positive,Let's appreciate this talent. My new ringtone ❤,Expresses affection and designates the song as a ringtone.
Positive,Tyla is everything!!!  Love the good vibes my girl,Expresses strong positive feelings and admiration for the artist.
Positive,There’s something very nostalgic about her vibe ❤️💯,Expresses fondness and appreciation for the artist's style.
Positive,"I'm a Nigerian but yo! Honestly this song is superb  chorus is giving vocals on point,  everything is giving  gosh 😢 love u tyla.",Expresses strong positive feelings and admiration for the artist.
Positive,"Que vibe praia, água salgada, suor, energia, dança, vibrações, cultura e alegria",Expresses enthusiastic enjoyment of a beach-related experience.
Positive,I loving the vibes on this song and her voice is stunning!When I get my man this for him<3!,Expresses strong positive feelings and affection.
Positive,"the chorus was so ADDiCTING like LITERALLY and GOSH, her voice is like SO pretty ❤❤❤❤❤❤❤",Expresses strong positive feelings and admiration through enthusiastic language and emojis.
Positive,Gives me happy vibes! This song was playing in my girlfriend’s dad’s car on her birthday last week and it’s definitely a moment that i will never forget!,Expresses joyful memories associated with the song.
Positive,This song makes me feel like I’m in a club in tropical forest. It’s a vibe,Expresses a positive feeling and describes a desirable experience.
Positive,"The beat and her voice is amazing, this that walking in the club smelling good looking good ready to mingle.","Expresses strong enjoyment of the music and describes a positive, confident feeling."
Positive,The future of afrobeats is in great hands,Expresses optimism about the future of the music genre.
Positive,I love the vibes ♡,Expresses fondness and appreciation for the music's atmosphere.
Positive,she gives me the African Ariana Grande vibezz.... her sog has been on replayy for a whilleee,Expresses enjoyment and comparison to a positive artist.
Positive,Im feeling the beat on this one ❤,Expresses positive emotion and enjoyment of the music.
Positive,no other song can beat this one💯,Expresses absolute confidence and superlative praise for the song.
Positive,Give me lyrics! Love this! Go Tyla! I’m breezing through my workout listening to this.,Expresses enthusiastic enjoyment and describes a positive listening experience.
Positive,that vocal slide at 0:39....🔥🔥🔥,Expresses enthusiastic appreciation for a specific vocal technique.
Positive,it has a spiritual vibe,Describes the music as having a positive and evocative 'spiritual vibe'.
Positive,"Meu Deus q música boa, a vibe maravilhosa q isso passa❤️",Expresses strong positive feelings and appreciation for the music.
Positive,Vibes all day,Expresses a positive feeling and enjoyment of the music's atmosphere.
Positive,I love songs with this vibe ❤,Expresses strong positive sentiment using a heart emoji.
Positive,The chorus sounds angelic whaaatt!!,Expresses enthusiastic delight with the use of 'whaaatt!'
Positive,Who came here after listening this song in  V's weverse live???😂,Expresses amusement and enjoyment of the song within a specific context.
Positive,"That song, melody, such a meaningful Text writing wow",Expresses admiration and appreciation for the song's elements.
Neutral,Why does the chorus remind me of that one Pokémon battle in shield and sword or scarlet and violet. I can’t remember which one.,"Makes a specific, somewhat obscure, comparison without expressing strong positive or negative emotion."
Positive,All fans of tyla please read that my favourite singer Alexandra stan who had a Hit (Mr.Saxobeat) gave a shoutout to Tyla in her new song (Ya Halmi) music video is about to come soon on her you tube channel ..Audio is already out ❤❤😍😍,"Expresses excitement and support for Tyla, referencing a positive connection with another artist."
Positive,Love the vibe. I feel like I’m on vacation,Expresses enjoyment and a feeling of relaxation.
Negative,"Lyrics ain't Godly, not of God. If it glorifies God, good. This music doesn't sadly",Expresses disappointment and criticism of the song's lyrics.
Positive,"Again, those Afrobeatz are dominating US airways.. Water is the perfect blend of;  R&B, Afrobeats, and amapiano aka a blend of everything along the diaspora. This song gives me that nostalgic experience that 'Essence"" did... Congratulation Tyla...",Expresses appreciation for the song and acknowledges its positive influence.
Neutral,Listen to the lyrics 😂,"A simple, potentially sarcastic comment with no clear positive or negative sentiment."
Positive,Incredible vibe ❤️‍🔥❤️‍🔥❤️‍🔥,Expresses strong positive emotion with heart emojis.
Positive,The chorus is the best part of this song,Expresses enthusiasm for the song's chorus.
Neutral,A maior dobradora de água de todos os tempos. Irmã da Kattara,"Comment is in Portuguese and discusses a person's relationship with another, lacking clear sentiment."
Positive,Used this to test my new headphones 10/10 vibes,Expresses high enjoyment and positive feelings.
Positive,Eu me sinto numa vibe quem ler e sentir também curti aqui por favor 😢🎉❤,Expresses enjoyment and positive feelings with emojis.
Positive,girl u have the vibe❤,Expresses positive appreciation with a heart emoji.
Positive,Your voice is so powerful,Expresses admiration for the singer's vocal ability.
Positive,VOCALS😍😍😍,Expresses strong positive sentiment through repeated emojis.
Positive,"I ❤ this  song, the lyrics have a vibe",Expresses clear fondness for the song.
Neutral,"Terrible lyrics, but I love the music!",Expresses a conflict between negative lyrics and positive musical enjoyment.
Positive,African vibes black power,Expresses support for African culture and empowerment.
Positive,How can i forget this beat?,Expresses fondness and recall of the song's rhythm.
Positive,"Bby come i give it to you😢❤😊 1:21 Of course i will make you sweat, hard, lose your breath😋 🤤🤤🤤am looking for the person who organized these lyrics 💦 #Water",Expresses enthusiastic enjoyment and attraction.
Positive,"I tried...but I can no longer resist that beautiful and haunting melody. Sing to me pretty baby mermaid! Make me swear, make me holla. Make me lose my breath, make me water! 🧜‍♂🧜‍♀🧜‍♂",Expresses intense attraction and enjoyment of the song's qualities.
Positive,Sammy Soso knocked this beat out the stadium 🥵,Expresses enthusiastic excitement and admiration for the beat.
Positive,I love this songs vibe!!❤️‍🔥❤️‍🔥🔥🔥,Expresses strong enthusiasm and love for the song using emojis.
Positive,Not me already feeling nostalgic for this song.,"Expresses a feeling of nostalgia, indicating fondness."
Positive,You are lovely and stone georgues girl I wish you all the best and  wat you wish I criyayate !.!.!.!.<3,Expresses strong affection and good wishes.
Neutral,I wouldn’t mind hearing a Drake verse on this NGL,Expresses a preference without strong positive or negative emotion.
Positive,I love this song its just that the lyrics,Expresses clear enjoyment of the song.
Positive,She sounds a Lil like rihanna when she sings the chorus❤🔥🔥🔥😍💃🏿💃🏿💃🏿💃🏿💃🏿💃🏿💃🏿💃🏿😊,Expresses fondness for the song and compares it to Rihanna.
Positive,IM SOOOOO GLAD SHES NOT LIKE SEXY RED OR GLORILLA OR LATTO OR NONE OF THEM I ABSOLUTELY LOVE THIS GIRL VIBE TECHNIQUE HER BEAUTY DANCE MOVES VOICE ALL THAT REPRESENTING SOUTH AFRICA ❤🎉,Expresses strong enthusiasm and admiration for the artist.
Positive,Afrobeat to the World ❤️🙌,Expresses enthusiastic support for the genre.
Positive,"Afinação maravilhosa, timbre sexy",Expresses admiration for the tuning and vocal timbre.
Positive,addicted to the chorus 😂🔥,Expresses enthusiastic enjoyment of the song's chorus.
Neutral,I love it I just can't vibe to this in traffic they'll think I'm gay,Expresses a personal dislike without strong emotional negativity.
Neutral,"I remixed the song with Trevor Jackson's vocals from the cover, if you wanna hear it here's the link https://youtu.be/1FtFEgUAgOQ?si=xhPCifRfGpsYOR4o",Describes a modification but doesn't express a strong positive or negative opinion.
Positive,YOOO THIS SHIT IS A FUCKING VIBE NIGGA ✊🏿✊🏿✊🏿✊🏿🥵🥵🥵🥵🥵🥵 btw I’m black so leave me alone have an amazing day y’all stay safe out there,Expresses enthusiastic enjoyment and positive feelings.
Positive,"I like the you music , you is a beatiful and perfect 💟💟💟",Expresses positive feelings and admiration for the music.
Positive,Man I can’t believe I fell in love with this beat 2 years ago 😭😭 it’s so gewddd,Expresses strong fondness and excitement for the music.
Negative,Modern day lyrics is so immoral and no class. Make the genitalia water? Really?,Condemns lyrics as immoral and classless.
Positive,Afro beat reggae and Caribbean I love it,Expresses clear enjoyment of the musical genres.
Positive,Wow! Wow! OMG!!! 😍 … Tyla Is Beatiful ❤️ ILY,Expresses enthusiastic delight and affection.
Negative,God Almighty God The Holy Spirit The God Jesus Christ and The Goddess The Lord Mimi Christ The Almighty mother successfully said from the past and from the future it is written when god Almighty first opened his eyes for the first time it is written before God Almighty created earth it is written before God Almighty created everything in the universe it is written before the creation of every Satan it is written before the war started it is written at every war from the past and from the future  I am keeping this war scripture Every Satan said The holy Bible The goddess book only keeps the heavens favorite war information all information successfully forever permanent,"The comment contains repetitive, fervent religious statements that express negativity and potentially delusion."
Positive,Gooood vibeee❤,Expresses enthusiastic enjoyment with a heart emoji.
Positive,Sounds like Rihanna on the chorus. I love how Tyla sings!!! ❤❤❤,Expresses affection for Tyla's vocals.
Positive,Beautiful and beautiful talented afro beat!!!!!!!!!!,Expresses strong positive feelings about the music genre.
Positive,The melody is out of this world,Expresses strong enthusiasm for the song's melody.
Negative,"I wanted so much to enjoy this entire song beyond short chorus clips I see on Tik Tok, but I still cannot stand Auto-Tune! The high-pitched tinny, whiny, backing overtone, and gargle sound at certain points just grates on my spine! I'll try pop music again when people are singing with human voices again.",Expresses strong dislike of Auto-Tune and its effect on the music.
Positive,"This is a Hot song, she did really good here🎉such A vibe. Makes you just want to sway your hips  🍾 🥂",Expresses strong enjoyment and positive feelings about the song.
Positive,This give me standing on the sun vibes,Evokes a feeling of exhilaration and positivity associated with the song's style.
Negative,So much autotune its unreal,Expresses strong criticism regarding excessive use of autotune.
Positive,"Omg tyla you’re so beautiful and gorgeous and the voice is amazing and ur personality is giving Moana vibes omgggg ,big love from Algeria",Expresses strong admiration and positive comparisons.
Neutral,30 BIBLE VERSES on WATER Amos 5:24 Ephesians 5:26 Exodus 17 : 6 Ezekiel 36:25 Ezekiel 47 : 9 Genesis 1 : 2 Isaiah 12 : 3 Isaiah 43 : 2 Isaiah 44 : 3 Isaiah 49:10 Isaiah 55 : 1 Isaiah 58:11 Jeremiah 2:13 Joel 3:18 John 15 : 3 W John 3 : 5 John 4:10 John 4:14 John 7:38 Matthew 10:42 Matthew 3:11 Matthew 3:16 Proverbs 18 : 4 Proverbs 5:15 Psalm 23 : 2 Psalm 63 : 1 Revelation 21 : 6 Revelation 22 : 1 Revelation 22:17 Zechariah 14 : 8 Connect Us,Contains religious references without expressing positive or negative sentiment.
Neutral,First verse sounds so much like Rihanna,Identifies a similarity to Rihanna’s music without expressing a positive or negative opinion.
Negative,"The lyrics ""Can you snatch my soul from me"" doesn't sit well for me. I'm all for supporting south African artists growing but we must not be blinded by the hidden msgs in songs, that's why these songs go viral. There's always a meaning behind everything. Jesus is Lord, let's not be brain washed by things of the world.",Expresses discomfort with the lyrics and criticizes potential hidden meanings.
Positive,My friend thinks this song is awful but tbh he thinks that bout most songs. But I love this song,Expresses personal enjoyment of the song despite a negative opinion from a friend.
Positive,😢😢😢 the vibes sooo wavy 😢thank GOD FOR REAL MUSIC 🎶 keep vibrating high family. PEACE AND LOVE FAMILY !!! Tyla YOU HAVE A BEAUTIFUL SOUL . I love you unconditionally 🙏🏼☯️♋️🕉️🌙🎶🎶🎶🎶🎶,Expresses strong positive feelings and admiration for the artist.
Positive,AmaPiano meets Deep house  and the vocalist is present and sexy AF 🔥🔥🔥🔥🔥,Expresses strong enthusiasm and attraction to the music and vocalist.
Neutral,Getting old Rihanna vibes,Compares the song to older Rihanna music without expressing strong positive or negative feelings.
Positive,this song is so catchy,Expresses enjoyment and appreciation for the song's catchiness.
Neutral,I learned the first half of the lyrics already,Expresses a simple observation without positive or negative emotion.
Neutral,Am I crazy or the chorus is quite similar to Team by Iggy Azalea?,Raises a question about similarity to another song without expressing a strong positive or negative opinion.
Positive,This song is a whole vibe 😌😌,Expresses a positive feeling and enjoyment of the song.
Positive,All fire this my type of vibe,Expresses strong approval and identifies it as a preferred style.
Positive,"Wow alot is going on in this beat, Rnb, amapiano,afrobeats  all fused in one great Song.",Expresses enthusiastic appreciation for the diverse musical fusion.
Positive,Want to be deep in her 😊,Expresses a desire for a positive emotional experience associated with the artist.
Negative,"This is awful, absolutely no skill no bars nothing how do you get a song with Skillibeng if you can’t write bars? Eek",Expresses strong disapproval and criticism of the artist's skills.
Neutral,Sound like Rihanna singing the backing vocals,Identifies a similarity to Rihanna’s vocals without expressing a strong positive or negative opinion.
Negative,I’m here after the BET Awards named her best new artists smh She is ok at bet should’ve went to sexy redd annoying ass tbh,Expresses disapproval and annoyance with the BET Awards selection.
Positive,that reggae beat never fails,Expresses enjoyment of the song's rhythmic element.
Neutral,Deep House...been around for over  30 years.  You're welcome.,A statement of fact with no expressed emotion.
Positive,"I really thought Passport Bros by Bas and J Cole has the same beat as this, and yes it has the same one. Anyway, both songs are a vibe",Expresses enjoyment of the song's vibe and comparison to another successful track.
Positive,Guys this song actually makes me want to gives her a congratulations for the positive vibe,Expresses appreciation and congratulations for a positive song.
Positive,"Tyla i said I'm not going to stop commenting until you feature chris brown on this track, yall vocals would be so good together please😢😊❤","Expresses a hopeful desire for a collaboration, accompanied by positive emojis."
Positive,Brezzy will kill this kind a beats,Expresses enthusiastic support for the artist (Taylor Swift).
Positive,If it was possible i would do a fire ass remix with her🔥🥺🤞🏾i'd eat this beat up🥴,Expresses enthusiastic desire to remix the song.
Positive,This beat is so good i or we would love for this to get an upgrade bc man this song is the bomb not gona lie,Expresses strong enthusiasm and positive opinion about the song's beat.
Positive,Afrobeats to the world,Expresses enthusiasm for the genre's global expansion.
Positive,why this song gives us the vibe like the house era around 2k15? i luv how it sounds like hailee steinfeld🌊,Expresses enjoyment and a positive association with the song's sound.
Positive,Bonne vibe,Expresses a positive feeling about the music.
Positive,A beautiful girl on a beach singing is always a vibe.,Expresses enjoyment and appreciation for the scene described.
Positive,This song is fire..yo this chorus reminds me of a better time in life in general.,Expresses enthusiastic enjoyment and nostalgic connection to the song.
Neutral,Gives me Ariana Grande vibes,Expresses similarity to another artist without strong positive or negative emotion.
Neutral,"I regret seeing the words to this song, the melody is beautiful.  Even addictive😅",Expresses a mixed feeling – acknowledging beauty while also regretting the lyrical content.
Neutral,Vocals,"The comment simply refers to the vocals, without expressing a positive or negative opinion."
Neutral,this is giving me years&years vibe,"References a specific song, indicating a similarity without strong positive or negative emotion."
Negative,"Shit that's a dirty song how old is this chick even not sure she should be singing about , getting wet, and sweat, and trying to last all night, you can stay inside......thats some graphic ass lyrics.",Expresses strong disapproval of the song's explicit and potentially vulgar lyrics.
Positive,little mermaid vibes,References a beloved and generally positive Disney film.
Positive,I love this song she gives a victoria monet type vibe,Expresses enjoyment and comparison to a positive artist.
Negative,Why does this remind me of the Thong Song by Sisqo. Same melody? Water idk 😂.,"Compares the song unfavorably to a poorly regarded song, using sarcasm."
Neutral,I fcks with da beat I think I wanna right a rap too this 🤔,Contains offensive language alongside a neutral expression of interest.
Neutral,Bro if u listening to the lyrics it’s about orgasm,States a possible interpretation of the lyrics without expressing a positive or negative opinion.
Positive,Nice song soothing good vibes,Expresses enjoyment and positive feelings about the song.
Positive,"Got all these beautiful women dancing and sweating, losing weight being happy vibes.   this is genius 😢 makes me cry ❤",Expresses admiration and joy at the video's positive impact.
Negative,",why every English song has dirty sex lyrics",Expresses frustration and disapproval of sexually explicit lyrics in English songs.
Positive,This song is a big vibe,Expresses a positive and enthusiastic feeling about the song.
Positive,It just a perfect and powerful 🎉❤😢,Expresses strong positive emotions and appreciation.
Negative,Western music sung by an African. The only thing African about this song is the Amapiano beat.,Expresses skepticism and criticism of the song's origins and artistic merit.
Negative,(Sigh) ..I came here because I read that her music had elements of Afrobeat in it... there isn't any here. It's just an African version of the typical style in songs we hear in America...so boring.,Expresses disappointment and criticism regarding the lack of Afrobeat influence and finds the music boring.
Positive,Great vibe,Expresses positive feelings about the music's atmosphere.
Negative,"i hate this song, its so goddamn annoying",Expresses strong dislike and annoyance with the song.
Neutral,This is where Drake took the vibe for his song “ rich baby daddy “,"A comparison is made, but without a clear positive or negative judgment."
Positive,"Yeahh the chorus on Thiss give me chills fr, shii justt sounds powerful asl and movin.. shii is just beautiful lol… Thiss song tough🔥🔥🎯 lol",Expresses enthusiastic enjoyment and admiration for the song's powerful chorus.
Negative,by the way idiots her voice has been filtered and sketched an synthetic. ain't saying its gutsy  but stay real,Expresses disbelief and criticism about the singer's voice being artificial.
Positive,I think there needs to be a remix with Chris Brown on it. I can just hear his vocals coming thru on this joint… ❤,Expresses a desire for a collaboration and uses positive emojis.
Positive,Okay I’m sorry BJT THIS SOMG IS SO FUCKING GOOD OH MY GOD THE CHORUS??? PLEASE ITS LIKE HEAVEN!! I feel like it’s not getting praised as much as it should be in the comments! THIS IS FUCKING AMAZING!!,Expresses intense excitement and strong praise for the song.
Positive,Essa música tem uma vibe ótima,The comment expresses a positive feeling about the music's vibe.
Negative,"Not, sounds so generic.",Expresses dissatisfaction with the song's lack of originality.
Positive,I love that lyrics,Expresses clear enjoyment of the song's lyrics.
Positive,Hot July 🔥 vibe who's going through this?,Expresses enjoyment and connection with a specific mood.
Positive,I love this song becouse my mom always puts it on I’m always vibeinv to it,Expresses enjoyment and association with a personal connection.
Negative,if it wasnt for the Chorus in the background would they listen ?,Expresses doubt about the song's overall appeal.
Positive,Favourite song ❤love it 😅❤❤love the chorus ❤❤😅😅😅,Expresses strong positive feelings and enthusiasm.
Positive,Catchy,The word 'catchy' indicates a positive impression of the song.
Positive,This song gives woman vibes by doja cat 🎉,Expresses enjoyment and appreciation for the song's style.
Neutral,bruh this is my teacher ringtone for her phone,A humorous observation without strong positive or negative sentiment.
Positive,It's the VOCAL for me thinking of putting it on a Amapiano Beat,Expresses enthusiasm and desire to use the song with a specific genre.
Positive,"just saw you on jimmy fallon, daaaamn!!!  beautiful voice, lyrics, and amazing, i mean AMAZING dancers!!","Expresses enthusiastic praise for the artist's voice, lyrics, and dancers."
Positive,Perfect for swimsuit song in Miss Universe,Expresses enthusiasm and suitability for a specific context.
Negative,These Be The First Niggas To Get Stepped On In The Worst Way 😂,Contains offensive and derogatory language.
Positive,so powerfull voice :O,Expresses strong admiration for the singer's vocal ability.
Positive,"The lyrics ,the voice,control omg  she is  incredle",Expresses strong admiration for the artist's skills.
Neutral,Why does this give me huge Black Panther 2 vibes,"Compares the song to a specific film, offering a descriptive association without strong positive or negative sentiment."
Positive,A whole vibe ✨🌊😍,Expresses enthusiastic enjoyment and positive feelings.
Positive,This is afrobeats and amapiano at it's best,Expresses high praise for the music genre.
Negative,"Ok... so yea im one of those... im completely lost..whats the hype??? I grew up with Whitney, aaliyah, jhene aiko, well damn just to name a few i can go back further! Dont get me wrong, very catchy, but i dont get it?? And yes ..  i can sing .. very well 😂","Expresses confusion and criticism, suggesting a lack of appreciation for the song."
Negative,"Good autotune, bland rubbish.",Critiques the song's autotune and overall quality as 'bland rubbish'.
Positive,🔥 hot 🔥  beautiful  lyrics  🔥,Expresses strong enthusiasm and positive comments about the lyrics.
Positive,"Ein Sound wie zu den besten Soul Zeiten, Erinnerungen an Brownstone und Aaliya werden da wach. Super Growe.  Gesang mit Seele und Rhythmus.  Love it.",Expresses nostalgic enjoyment and appreciation for the song's soulful qualities.
Positive,"Bravo, I love the sweat vibes little sister Tyla is giving me. Know I’ll be adding this singer song writers tune to my collection and come Friday night me and the wife are gonna cut the rug.",Expresses enjoyment and plans to add the song to their collection.
Positive,🔥🔥🔥 Love this song so much I wrote my own verse check it out: https://youtube.com/shorts/6LKzcWvqFvg?si=yWDMQ1HZ5hhZj4mR,Expresses strong enthusiasm and includes a link to share their own creation.
Positive,Its the AFRO BEAT AN VOICE FA ME💪🏾🔥🔥🔥🔥🔥,Expresses enthusiastic enjoyment with strong positive emojis.
Positive,Coastline Vibez 🏝🏖,Expresses enjoyment with relevant emojis.
Positive,"Lyric's R steamy! The chorus is beautifu,sexy & raunchy! Tuuunnee!🎉❤🎉",Expresses strong positive feelings and excitement about the song's lyrics and chorus.
Neutral,Is it me or does the chorus sound like Tinashe ? When I first heard this song I only heard the chorus and I thought it was Tinashe !,"Expresses a comparison to another artist, but doesn't definitively state a positive or negative opinion."
Positive,"First time when I heard this, I thought it was Dua Lipa lol. It has similar vibes",Expresses a positive association with Dua Lipa's music.
Negative,This is Amapiano not Afrobeats. Hear the Logdrum?,"Correctly identifies the music genre as incorrect, expressing a criticism."
Neutral,*IS ANYONE GONNA PROVIDE THE ACAPELLA VOCALS TO THIS SONG… GOT DJS WAITIN*,"A direct question with a slightly frustrated tone, lacking strong positive or negative sentiment."
Neutral,I thought this was  rihanna that was on the chorus cause that's the only thing I heard  on the shorts,"Expresses a specific, somewhat vague, observation about a particular part of the song."
Neutral,Its giving chris brown vibes,"Comparison to Chris Brown, indicating a stylistic resemblance without strong positive or negative judgment."
Positive,The lyrics though 🎉,Expresses enthusiastic appreciation for the lyrics.
Positive,I love this song the video gave me early 2000 vibes❤,Expresses love for the song and evokes positive nostalgic feelings.
Neutral,This has elements of Afro beat the south afrikans will obviously deny,Identifies a musical influence without expressing a clear positive or negative opinion.
Neutral,Who is the choir singing the chorus?,Asks a question about the music video production.
Neutral,"Love this. Just sounds a lil off when the hooks drop after the verses. It seems like the verses and chorus were created at different times 🤷🏽‍♂️ like, sonically it all sounds amazing obviously. ALL the vocals. It’s just when the hook drops it come in a bar after when it would traditionally drop. If the producers meant to do that then that’s an artistic choice and das cool but if the mixing engineer didn’t align everything properly idk 🤷🏽‍♂️ - this is just me being a engineer 👨🏾‍💻 don’t mind - an amazing song either way","Offers a detailed, analytical critique with both positive and slightly negative observations about the song's production."
Negative,"Anybody else only heard the chorus on social media and thought it was Rihanna? It should have been Rihanna, the whole song woulda been better",Expresses disappointment and suggests a better artist for the song.
Positive,This is Afrobeats with Amapiano🔥. I like it though!!,Expresses enthusiasm and positive enjoyment of the music.
Positive,vibes amooo,Expresses strong positive feelings about the music.
Neutral,Is #ChrisBrown doing her background vocals cause i swear i can hear him❤,Expresses a curious observation without a clear positive or negative judgment.
Positive,Make me sweat🏝 (continue the lyrics),Expresses enjoyment and desire for continued listening.
