classificacao,comentario,justificativa
Positive,"I've been listening to Kendrick since he was K. Dot. (After listening to ""Spiteful Chant"" & ""A.D.H.D"" I knew he was gonna blow up)I have no idea why Drake thought beefing with one of the best Lyricists ever and one of the few that was able to go MAINSTREAM without selling out would b a good idea. Who else would make a beef song the biggest hit of the year AND play it at the Superbowl with drakes ex serena. Even when Drake was at his best he still would have gotten completely destroyed. And props to kendrick for the last verse",Expresses strong admiration and praise for Kendrick Lamar's talent and success.
Positive,The scale of annihilation this song is systemic..and deep..and danceable! I love it!,Expresses enjoyment and appreciation for the song's scale and danceability.
Positive,"Lyrics genius on so many different levels and I don’t listen to rap, but I was ALL in! Lamar, you did this!!",Expresses enthusiastic appreciation for the song's lyrical complexity.
Neutral,We coming back to where Drake took notes,A reference to Drake's previous work without expressing a clear positive or negative opinion.
Positive,The fact that bro made a viral diss track about drake and has this many views just shows he know exactly how to make proper beats,Expresses admiration for the creator's success and skill.
Positive,Man idk how this is still such a vibe,Expresses a positive and enthusiastic feeling about the music.
Positive,"In the 3rd verse, when tommy the clown blows the first whistle , kendrick and the dancers froze in the corner. So dope 🔥🔥🔥",Expresses enthusiastic appreciation with fire emojis.
Positive,"The fact that this song is copy right free, is a bop AND a drake diss!.. No wonder everyone learnt the lyrics fast lol",Expresses enjoyment and recognition of the song's popularity and cleverness.
Positive,"The beat is insane, simple but effective, as always Mustard on the Beat never dissapoint, not to mention Kendrick Lamar. Kind regards.",Expresses enthusiasm for the beat and acknowledges Kendrick Lamar's contribution.
Negative,My ex used to talk so much crap about Kendrick lol and on days when we would drive he would sing his lyrics and I would said “I thought you hated the man” it just shows how men hate men who are successful lol😮 I died😂,Expresses a cynical and dismissive view of a successful artist.
Positive,thinking back of all the times I said Kendrick was the greatest alive without skipping a beat and I was right,Expresses strong confidence and affirmation of Kendrick's musical talent.
Negative,"Drake is dead meat ,his comeback will never be powerful like this song",Expresses strong criticism and predicts failure of Drake's comeback.
Neutral,"Too busy trying to learn the lyrics, I didn't even notice Demar Derozan, twice, smh...",Expresses a minor observation without strong positive or negative emotion.
Positive,I have dementia and i still memorized the lyrics to this song,Expresses a strong positive memory and appreciation for the song.
Neutral,"At school, I guess this song by the first beat","A brief, somewhat vague comment offering no clear positive or negative sentiment."
Negative,"This is not music, nor is it singing .The guy is just talking  against the background of the shitty annoying beat.  Why would anybody listen to this crap 😂",Strongly criticizes the recording as nonsensical and unpleasant.
Positive,The vibe is so good,Expresses a positive feeling about the song's atmosphere.
Negative,Drake took THE WORST L in hip hop hop history 😂😂,Expresses amusement and criticism towards Drake's music.
Neutral,"Does anyone wanna talk that in God’s Plan, There is a chorus with fans and there is a chorus with fans in this😮😮😮😮",Expresses amusement and observation without strong positive or negative sentiment.
Negative,"Dear Kendrick, I hope you read  this  comment. You make good  music  but your superbowl performance was terrible and what you did  was awful  i hope you  get canceled  for what you did trying to  start a revolution is just plain out  stupid that  war and revolution stuff ended years ago",Expresses strong disapproval and calls the performance 'terrible' and the actions 'stupid'.
Negative,Say OV-Hoe 😂😂 that’s an emotional damage,"Uses a derogatory and offensive term, expressing strong disapproval."
Negative,This song is trash. The cadence and voice he is using is fucking annoying.  Wack shit.,Strongly criticizes the song's cadence and vocal performance as 'trash'.
Positive,Kendrick gave a Master Class on a lyrical beatdown. He's the Lex Luther of Hip Hop!,Uses hyperbolic praise comparing Kendrick to a heroic figure.
Positive,This is such a vibe,Expresses a positive feeling about the music.
Negative,Kendrick is a Temporary club hitta Drakes music will always play at the Club 🔉🔉🔉,Makes disparaging remarks about Kendrick and praises Drake.
Negative,Kendrick is one of the worst artists i ever heard,Expresses strong disapproval and declares Kendrick a 'worst artist'.
Negative,Mustard on the beat hoe 🎉,Uses offensive and derogatory language.
Negative,"Beat that halftime show...... anywhere..... He didn't even rap my favorite of his..... But Serena, I had to stop and rewind 🥰 who won the game?",Expresses disappointment and criticism of the performance.
Positive,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper, singer, songwriter and record producer. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the award. Lamar's music, rooted in West Coast hip-hop, features conscious, introspective lyrics, with political criticism and social commentary concerning African-American culture.",Acknowledges significant achievements and positive attributes of Kendrick Lamar.
Positive,🎉❤I like this vibe 🚬☠️🔥,Expresses enjoyment of the music's atmosphere.
Neutral,Something catchy about this B 😂,A dismissive and slightly sarcastic comment lacking strong positive or negative sentiment.
Negative,Mustard on the beat hoe 😂,Uses offensive and derogatory language.
Positive,Killer lyrics!!,Expresses enthusiastic praise for the song's lyrics.
Positive,"""Sweet Chin Music"" in Kendrick Lamar's music refers to a metaphor taken from professional wrestling, specifically the finishing move of WWE Hall of Famer Shawn Michaels. In the wrestling world, Sweet Chin Music is a superkick—an iconic move that knocks out an opponent with a quick kick to the chin. -ChatGPT This shit is SOOO deep.",Expresses appreciation for the insightful explanation and connection to wrestling terminology.
Negative,One of the worst songs I have ever heard. He sounds like a hillbilly 😂😂😂 you call this trash music ? Lol,Expresses strong disapproval and uses sarcastic and mocking language.
Positive,I luv the beat I luv when he said   since 09 he had it. Jumping,Expresses strong enjoyment of the song's beat and a positive association with the artist.
Negative,"Not Like Us is not a future and you know why because it's not changing the negativity of Hip Hop Music and it's also suppoting the negativity because it mocks God,and I can prove it to by this line in the song ''Beat your a** and hide the bible if Gods watching.",Strongly criticizes the song’s themes and lyrical content as disrespectful and harmful.
Negative,Bro is rapping like he ain't breathing like not even a deep breath 🎉😂,Expresses criticism of the rapper's delivery.
Negative,Boring Beats get a guitar and learn some R'n'r,Expresses dissatisfaction with the music's lack of quality and requests a change.
Neutral,mustard on the beat,A nonsensical comment with no discernible sentiment.
Negative,"Dr6ke: ""if you can beat 'em, just copy 'em""",Expresses criticism of imitation and lack of originality.
Negative,Drake worst nightmare,Expresses strong dislike for Drake's music.
Positive,"5:06 LOVE THIS BEAT FIRE🔥 SHAKEN FATASS! THE RHYMES ARE FIRE 🔥 TOO. OMG I HAD THE PART OF THE SONG THAT SAYS ""THEY NOT LIKE US!"" (REPEATEDLY) ALL WRONG! I WAS SAYING ""THEY LIKE  EM YOUNG"" (REPEATEDLY)! I'M SORRY! I'M DEAD😆🤣",Expresses strong enjoyment and excitement about the song.
Positive,Damn the chorus is catchy,Expresses positive reaction to the song's chorus.
Negative,I’m bout to pass on this beat like John Stockton,Expresses a strong negative opinion of the music.
Positive,Yo Kendrick Lamar you a straight-up genius! This is now my ringtone this is now my new favorite song of all times! Get it Biotch you are a badass! I'll say it again FLATOUT GENIUS! EPIC SONG! HOPE IT GETS SONG OF THE YEAR Blessing's~ Pixie 🙏🏼🥰❣️🔥✌🏿🎶🎤🕺🏾☝🏿,Expresses enthusiastic praise and declares it a favorite song.
Neutral,Mustard on The Beat,"A simple, descriptive comment with no expressed emotion."
Positive,"I grew up in Compton/L.A and Tommy tha Clown used to ride through the city beating and would jump out his car, and we'd all dance with him in the street. That was back in the 90s, and he's still going strong after all these years.",Expresses nostalgic fondness and admiration for the artist's longevity.
Negative,This is boring annoying and complete garbage,"Strongly negative descriptors: 'boring,' 'annoying,' and 'garbage'."
Negative,The Vibe? Ghetto trash sreggin.,Uses derogatory language to describe the song's aesthetic.
Negative,Give it 6 months before Maga uses the beat.,Expresses concern and disapproval regarding potential political exploitation of the song's beat.
Negative,"I personally think this song is awful and you can barely understand what the so-called rapper is saying. I miss ""real"" music.",Expresses strong dislike and criticism of the song and its artist.
Neutral,"I'm not Black, but my skin tone is dark. after this song. i don't feel the difference anymore.",Expresses a feeling of equality and diminished distinction.
Negative,I don't know why they played with that man he been showed niggas can't nobody fwh when he dropped that Control verse years ago I think only wayne in his prime & eminem can give him a run for his money & possibly jcole but Cole backed out so that says alot,Contains offensive language and expresses negative opinions about a performer.
Positive,Maki from andteam post in weverse got me here😂 👍🏼🔥,Expresses enthusiasm and appreciation for Maki's post.
Positive,It never was more clear who won a battle. True definition of beating someone.,Expresses satisfaction and victory.
Negative,other vaginal option one of the worst bars in the battle,Uses offensive and vulgar language to express dislike.
Neutral,GIVES SNOOP DOG VIBE,Describes the song's style without expressing positive or negative emotion.
Negative,Mess with the wrong guy with Mustard on the beat Ho !!!!😂❤,Expresses anger and disapproval with a dismissive exclamation.
Positive,I love this vibe,Expresses strong positive feelings about the music's atmosphere.
Negative,"Never heard this song. Not a bad song, but how did this win Grammys? There is no way for the average person to understand even 20% of the song's lyrics",Expresses skepticism about the song's award win and questions lyrical comprehension.
Negative,Stupid ass song. Stupid ass beat.,Uses offensive language to express strong disapproval of the song.
Positive,❝ Mustard on the beat ho- ❞,Expresses enthusiasm for the beat.
Positive,This has a much deeper meaning than Drake and I'm here for it 😂😂😂😂 I'm dyin laughing about it,Expresses amusement and enjoyment with celebratory laughter.
Negative,"stop doin that goofy shit, go back to doing untiteld 05 ahh beats",Expresses disapproval and criticism of the artist's performance.
Neutral,2000s vibe,Expresses a nostalgic preference for a specific musical era.
Negative,I can't talk to nobody else.... Keep 💯.. I'm not trying to get life because my guns license in the law forcement illegally an my gun promit in the streets illegally to kill us an my name on the military 🪖 in USA probably the whole world 🌎🌍 for the trick like my favorite rapper told me Prodigy from Mob Deep... Illuminati wants my mine soul an my body 🕵🏻,"Expresses paranoia, conspiracy theories, and violent threats."
Negative,The tempo of this song is the same as gas stove trying to light.,Uses a negative analogy to describe the song's tempo as frustrating and difficult.
Negative,😤IM NOT INVISIBLE I see ASW PEOPLE MY DAD’s a Numerologist I’m a intergalactic SOUL Mariyam;Purity of a bright whiteness Madina;One who Judges MUHAMMAD SWS❤❤❤❤❤❤NAAILAHs 6th Daughter FORMALLY KNOWN AS AALIYAH CARTRR -LETTHEBEATBUILD …..they slept on his lyrics to DARKSIDEOFTHEMOON.Mirrors his painting I’m there THE PUBLIC EYE 👁️ KNOWS NOW 2:33pm FRIDAY,Expresses frustration and criticism directed at multiple individuals and their work.
Negative,Quanto mais o tempo passa mais dá pra ter noção do quanto foi um esculacho do caralho kkkkkkkkkkkkkk,"Expresses strong, sarcastic criticism with multiple instances of 'schulacho' (a derogatory term)."
Positive,1:10 fun fact this shot doesn't use special effects kendrick just used his powers,Expresses admiration for Kendrick's talent and skill.
Positive,Probably my favorite kendrick verse ever 😂 I spilt blood on my apron cooking this shii up…. I FEEL LIKE SOME OF YALL IS HATING,Expresses strong enjoyment and enthusiasm.
Positive,<3 love this vibe <3 so true 100%,Expresses strong affection and agreement.
Negative,"This song is thrash! No flow , nothing , no rhyming ! Wow ! This piece of shit is a hit song. Horrible voice lyrics and all !","Strongly criticizes the song's lack of flow, poor lyrics, and bad vocals."
Neutral,Mandem we can use this as the new cpr beat let’s use this sick beat to good use research online if u need,"Contains slang and a request, lacking strong positive or negative sentiment."
Negative,Why’s he beating up a fucking owl ???? What did the owl do to you Kendrick. I bet it ate your cat. Meow,Expresses anger and insults directed at the artist.
Neutral,Should I use this beat  for a song,"Asks a question seeking advice, lacking explicit sentiment."
Negative,"Whack beats, whack lyrics. I've never bumped a kl song. Been bumping Drake for almost 20 years. This dude will be forgotten in 5 years. Calling Drake a popstar, only know who this clown is because he's all over the pop station. Keep it real, Drake always has.",Strongly criticizes the music as 'whack' and predicts the artist's short-term success.
Neutral,"I know musis , lyrics was on point but the message was the end THE OWL",Mixed opinion - acknowledges good lyrics but expresses a negative feeling about the overall message.
Negative,Is Taylor your little sister gangbanger what’s the vibe I can’t keep up it’s getting too personal hahahaha someone of us LIVE IN THESE STATES fl and Georgia and Texas and Tennessee I love all colors ❤😅🖤,Sarcastic and dismissive remark mocking the artist's style and perceived depth.
Positive,"He dis'n more than drake .... Read the transcript, he talking about several. I didnt catch it until i saw lyrics, and he is pretty clever the way he weaves their names in the lyrics",Expresses admiration for the artist's cleverness and lyrical skill.
Positive,Kendrick has the smoothest vibe game......i stg.....moves so perfect......f Drake all day.....XXX Tentacion 4 lyfe,Expresses admiration for Kendrick’s style and compares him favorably to Drake.
Negative,"Maybe it's just me, but this song isn't very good.  Pronouciation is horrible, timing and rhythm is bad and the rymes are like 3/10","Expresses strong criticism of the song's poor pronunciation, timing, rhythm, and rhymes."
Negative,your over 50 your making fun of my voice your voice has deep voicecrack in it can make sissisisi,Contains insults and expresses strong disapproval of the voice.
Negative,"Bro drake is cooked, deep fried boiled, smoked, grilled, roasted, baked, sauted, steamed, broiled, seared, stir fried.","Strong, hyperbolic criticism of Drake's music."
Negative,"Bro drake music carrer is cooked, deep fried and burned","Uses strong, negative language to criticize Drake's career."
Negative,What is this shit ??? And voice is like beated by yr dad Drake 😂😂,Expresses strong disapproval and uses a disrespectful comparison.
Negative,This is what passes as art these days? The lyrics sound like  a middle school mean girl diary entry run through a ghetto/poor grammar filter,Expresses strong disapproval and insults the song's lyrics and quality.
Positive,Really cool lyrics❤,Expresses positive sentiment through the use of a heart emoji.
Negative,His style of rap sucks really can’t stay with the beat at all,Expresses strong disapproval of the rapper’s style and rhythm.
Negative,"Updated verse for 2025: We not like Trump, we not like Trump!",Expresses disapproval of Donald Trump.
Negative,Bro I’m not gunna lie this might be the worst diss of all time… how do people like this?,Expresses disbelief and criticism of the comment's quality.
Negative,0:20 if you knock at a mexicans door with that same rhythm it means go eff your mother lol i didnt realize that until I did it to my uncle 😂,Contains offensive and derogatory language.
Negative,His voice is so annoying ngl,Expresses dislike and annoyance with the singer's voice.
Neutral,Can't beat Antonio Tate I see dead people,Expresses a personal preference without strong positive or negative emotion.
Positive,happy anniversery,Expresses a joyful celebration.
Positive,Love the lyrics so real and genuine you are the goat ❤just had to give it to Kendrick ❤,Expresses strong admiration and affection for Kendrick Lamar.
Negative,"That verse ""with money coming out the anus"" starting to make scenes right about now playboi","Uses vulgar and offensive language, expressing disgust."
Neutral,"Some people be forgetting how deep this is “what is the owl, bird 🥷s and burnt bitches” real rap",Expresses a somewhat cryptic observation with a hint of criticism.
Negative,To be so deep into your feelings being hurt isn't a good look in hip hop smh that's probably what you missed,Expresses criticism and judgement about the song's content.
Positive,What good music is very catchy,Expresses enjoyment and appreciation for the song's catchiness.
Negative,1:17 Kendrick said Drake im going to beat you up like a little boy.,Expresses anger and disagreement regarding a perceived insult.
Positive,GOOFY VIBE!,Expresses enthusiastic enjoyment with the term 'goofy'.
Negative,Yo dis is da worst shit I've ever heard,Strongly expresses dislike and condemnation of the music.
Neutral,Quem aqui procurou a música por muito tempo ?,Expresses a shared experience of searching for the song.
Positive,That drake verse was funny as hell,Expresses amusement and enjoyment of Drake's verse.
Negative,This is soke of the worst hip hop I’ve ever heard,Strongly criticizes the music as exceptionally bad.
Negative,beat your a** and hide bible if god watching... tf.. 😂,"Contains offensive and vulgar language, expressing strong disapproval."
Neutral,"Can someone explain to me the chorus ""they not like us"" who is 'they'?",Expresses confusion and a request for clarification without expressing a positive or negative opinion.
Positive,This beat is sick,Expresses enthusiastic appreciation for the song's beat.
Positive,Dang nice beat and they not like us,Expresses appreciation for the song's beat.
Neutral,😂😂😂beating a yada,Emoticons express amusement without a clear positive or negative sentiment.
Neutral,"I first heard this song from the SuperBowl LIX, as he performed for the Half-time. Now I repeatedly hearing this beat on Sister Leveling (Solo Leveling Parody) 😭😭😭😭😭 Song-yi winning on Jail Route.",Expresses amusement and slight frustration related to the song's popularity and use in a parody.
Neutral,Vibe only,"Short, enthusiastic expression indicating enjoyment without specific positive or negative attributes."
Positive,Nah I fuck with Drake but Kendrick absolutely shit on him.  Kendrick Lamar is the best rapper of era and of possibly all time. He won fair and square and beat Drake at his own game,Expresses strong positive opinion about Kendrick Lamar and his victory.
Positive,"Pure nas, 90's beat, message heard and sent",Expresses strong positive sentiment towards the song's style and impact.
Neutral,Mustard on the beat ho,A nonsensical comment with no clear positive or negative sentiment.
Neutral,"Dr6ke: if you can beat 'em, just copy 'em",A simple statement of observation without clear positive or negative sentiment.
Positive,0:40 the beat drops,Expresses excitement and appreciation for a particular moment in the song.
Negative,"This ""song"" has TWO notes ONLY  Although this song is in fact awful its banality does capture the time we are living in. They have dumbed us down to the point where we are bragging about not being pedofiles to a song that has 2 notes. Doo Doo Da Doo. 1 Doo 3 times with 1 Da in between.",Expresses strong criticism and mockery of the song's simplicity and perceived societal decline.
Negative,"I feel like Kendrick would not stand a chance if Eminem was on his beat, he would probably make that shit viral",Expresses a belief that Kendrick Lamar would be overshadowed by Eminem.
Negative,"Fast forward, and now this song could be about our elected officials- THEY NOT LIKE US, striking all them A-minor chords.",Expresses anger and distrust towards politicians using musical criticism.
Negative,Do people really like this song? The beat is not good. The raps are okay. I don’t get it. I think people just wanted to side with Kendrick. And thought drake should take the L. But drake had better songs in this battle.,Expresses dislike of the song and criticizes its elements and listener motivations.
Neutral,"Dr6ke: ""if you can beat them, just copy them""",A philosophical observation without explicit positive or negative sentiment.
Negative,"It seems like im the only one who thinks song is whack as hell. Nothing like the Tupac, Nas, the lox, DMX,Jayz, Queens bridge, Rocafella, Eminem, D12, 50 cent , G-Unit diss tracks . It’s so confusing. Drake , lil Wayne era songs were so much better no ? I admit I may be missing something but why did this song get so much clout ? Seems like it was because a rapper went after another rapper and the generation never was alive to witness a rap beef. That was the regular back in the day and it ranks at the bottom as one of the worst diss tracks I ever heard in my life and I’ve heard them all. Real talk",Strongly criticizes the song as a poor diss track compared to classic rap battles.
Negative,This song blows dick. Seriously the worst rap i ever heard.,Strongly expresses dislike and calls the song terrible.
Negative,The sad thing is Kendrick Lamar doesn’t know that deep Down there’s a bunch of ten year olds of have a crush on him,Expresses a critical and somewhat dismissive opinion.
Neutral,2:55 what if pac actually wrote this verse and gave it to him to rap... 🤔( yeah I wish he was alive),"Expresses a wistful thought and a wish, without clear positive or negative sentiment."
Negative,Worst black music. Dj Mustard!🖕Why you give your gold to this boy?,Expresses strong disapproval and insults the artist.
Negative,Sounds like a generic Suga free rapper on this song,Expresses a critical opinion about the song’s lack of originality.
Positive,Bro . . . . The beat is mixed *SO* well.,Expresses enthusiastic praise for the song's well-mixed beat.
Positive,Very Vibeeeeeeeeeeeeeeeeeeee🤩,Expresses strong enthusiasm and excitement.
Negative,Dis song îs like synthetic weed 1st You dont like after You cant stop,Expresses strong dislike and comparison to a harmful substance.
Negative,so gotta get dance lessions from DA MAN Misure Ken MAn -secy deep er da berry CoCO!!!,Contains inappropriate and nonsensical language.
Positive,Lot gonna lie i get 3rd verse.yay.,Expresses approval and enjoyment of a specific part of the song.
Positive,So good the music bruh i love this song i can't stop looking this bruh is so good and Drake is so fuck up bruh no one can beat Kendrick,Expresses strong enjoyment and admiration for the song.
Negative,"i cant believe this is hip hop and everybody is eating it up. so petty to “beef” with someone. thats not creative, its just talking bad about someone over a beat…stupid",Expresses disdain for the music and perceived petty behavior.
Negative,"Dr6ke: ""If you can beat them, just copy them""",Expresses a critical and dismissive attitude.
Positive,Not the best beat but Kendrick killed it,Expresses appreciation for Kendrick's performance despite noting a minor issue with the beat.
Negative,"1:36 ""no ovhoes were harmed during the making of this videos"" he harmed one. Emotionally.",Uses sarcasm to criticize the artist's actions.
Neutral,Drake can't beat this i mean this song won grammys,Expresses a simple opinion about Drake's ability to compete with the song.
Neutral,"i just noticed, the black and white owl dropping candy after kendrick beats it basically saying drake sweet as candy, or im just delusional 😭",Offers a humorous interpretation with a touch of uncertainty.
Positive,Nostalgic 🎉🎉2025,Expresses excitement and a feeling of nostalgia.
Positive,Jay Rock's verse is soo fireer,Expresses enthusiastic praise for Jay Rock's verse.
Negative,Foarte penali off beat in mortii vostrii si vai de mortii ascultatorilor vostrii!🙄🙄🙄🙄🙄🙄,Expresses strong anger and condemnation of the music.
Positive,This song gives a dancing mood vibe😂,Expresses a feeling of joy and enthusiasm associated with the music.
Negative,"Awful music, awful culture",Expresses strong disapproval of both the music and the associated culture.
Neutral,0:43 MUSTARD ON THE BEAT YO 🗣️,"Expresses a simple, enthusiastic, and somewhat nonsensical reaction."
Negative,"I have to know what a 3:35 a 69 god is? A pervert devil/sex god worshipper?. If so you can add Celine Dion to that list. The publicity campaign for the children's clothing line she did a few years ago is disturbing. And he is just kicking back chill because he's one of fewer and fewer people with their eyes actually open. He sparked some creative energy in me. Don't just sit by and assume anyone else is going to save the world, you have to do your part and then we'll have hope. That's a call to action. I'm working on a bill to submit to congress focused on not overwhelm the system by taking 86% of children away from the family for drug addiction, then turn around and drug all of those children and put them in homes where they are raped and beaten while the kids who are suffering physical abuse are often looked over or given back. I know all too well. I was exposed to sexual explicit hand made dolls @DFS interview at the principal office at school. They looked like cloth African American cabbage patch dolls will adult parts and they isolated me and showed them to me trying to get me to say something had happened to me. There's only one black student in my entire school DISTRICT! So why not regular dolls? It's a super disturbing moment from my life. And I was kidnapped from school in Kindergarten! What school just lets a pervert pick a kid up from kindergarten?! JL Mudd in OFallon Mo.",Expresses strong condemnation and disturbing details related to abuse and exploitation.
Negative,"Who still don’t know what this is about even after all the arrests, cover ups, and sra survivor stories? They should all pay dearly for what they have been doing to those children. The elevator goes down. 50 deep. The tunnels still run underground all beneath the city.  The owl they truly revere is in bohemian grove. Freaky sickos.",Expresses strong condemnation and suspicion regarding a conspiracy.
Negative,None of that sex sacrifice get out hand fast women be worst ones after all this men evil ones will stick together did this and hurt women fast,Expresses strong condemnation and misogynistic views.
Negative,u know what? this is the WORST RAP/ SONGH ON EARTH.,Strongly declares the song as the worst ever.
Neutral,Whats funny is you wont get the lyrics when you watch it haha,Expresses amusement without strong positive or negative sentiment.
Positive,Want to hear Lil Wayne @lil_wayne on this beats,Expresses a desire to listen to Lil Wayne's music.
Neutral,Hub beat 0:20,A simple observation about a specific point in the music video.
Positive,Nice beat,Expresses a positive opinion about the song's rhythm.
Negative,yup just  repeat half the lyrics over and over again wow so  good IM LYING TS IS SO UNBELIEVABLY ASS LMAO,Expresses strong disbelief and criticism with sarcastic language.
Neutral,"Music and lyrics good, vocals, eh so so. He really aint got a singing voice 😅","Mixed opinion, praising music and lyrics but criticizing the vocals."
Negative,"I believe the lyrics are ""freaking ass ninja = he will 69 God""  ---- ""he"" the sense the individual hes referring to is disordered and seeks please for perpetuating his service. IYKYK 👁",Contains offensive and sexually suggestive language.
Positive,This beat is soooooo good bro . Eternal Damnation to Drake.,Expresses strong enthusiasm for the beat.
Neutral,At mustard on da beat ho,Contains nonsensical and informal language without expressing a clear opinion.
Negative,Mustard on the hoe mustard on beat hoe,Contains offensive and derogatory language.
Positive,Love the beat,Expresses strong positive feeling about the song's rhythm.
Negative,"F*** it, Donald Trump. Yeah, Viber.",Contains profanity and expresses negative sentiment towards Donald Trump.
Negative,"Also…having an American artist go onto the Super Bowl stage…the world stage…the BIGGEST world stage and; a. Make an unfounded accusation of a fellow artist being a C3PDOH and B. To use this world stage to so heavily promote so much gang culture/Crip/Crip walking/Pro-gang material is genuinely beyond irresponsible. It’s a rap beef & one of the best/most savage/entertaining/hard fought in hip-hop/rap history, it deserves every accolade within its particular genre that’s available, but to have this disrespectful, pro-gang culture, otherworldly disrespectful track repeat blasted into every television across the world that tuned in to watch my Birds beat KC into a bloody slurry…that’s just wrong…and on every level. Keep that shit where it belongs…and where it belongs is not on the front page-representing our entire country to the world in such a… “manner”. No one has to agree with me, but that doesn’t change the fact that what I’m saying is true. We need to stop promoting this gang worship that’s been going on, too many young kids are watching this shit, taking up a flag and dyin in the streets across the country & now the world over this fake ass culture that in & of itself manages to be hypocritical of itself in representing the culture as being the result of systemic oppression while simultaneously glorifying the life style of its OWN accord and inspiring millions of youth to emulate what they are seeing. Shits gotta stop & people need to start bein held accountable for it and stop hiding behind “taboo subjects” within our society to blame shift its perpetuation. Again, disagree all day, but I’m still right. ✌️😖",Strongly criticizes the song's promotion of gang culture and expresses deep disapproval.
Neutral,Mustard on the beat ho,A nonsensical comment with no clear positive or negative sentiment.
Negative,The fact that Drake is still alive and can visit his own headstone is crazy.,Expresses disbelief and a somewhat morbid sentiment regarding Drake's continued existence.
Negative,who wrote this?.. hektik lyrics,Expresses criticism of the lyrics as 'hektik'.
Negative,Non of his songs can beat emtee...maybe his drunk song can stand against some but 1 on 1 Wala..,"Expresses a dismissive opinion, ranking an artist lower than another."
Negative,"3:30 oh my this is still my favorite verse, basically A ""How to Guide for building a Dr6ke""",Contains a highly offensive and inappropriate reference.
Positive,One day i will be biggest rapper of the world 🌎🙏🏼 . And love song. This song vibe is awesome 💯,Expresses ambition and describes the song’s vibe as positive.
Negative,I spit out my drink when I saw them beating the owl pinata 😂,Expresses strong negative reaction to a disturbing event.
Positive,Broooooo love from panjab 🕊️⛳️⛳️ @sidhumoosewala vibes 👈🏻,Expresses fondness and admiration for Sidhu Moosewala's style.
Neutral,In the beginning i though he meant hoe instead of horn without the lyrics! 😂😂,Expresses amusement and confusion regarding a misinterpreted lyric.
Neutral,This player got me thinking you can use hopscotch to see who got rhythm.,"A playful, nonsensical observation without clear positive or negative sentiment."
Negative,He fucked him up. Buried him 6 deep. Then moved the rest to Houstalangasvegas,Uses violent and aggressive language expressing extreme dislike.
