classificacao,sentimento_manual,comentario,justificativa
Neutral,Positive,Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,Expresses appreciation for Charli while criticizing Iggy and acknowledging Iggy's positive contributions.
Negative,Neutral,1:00 the way Billie sings it’s kind of creepy lol especially with those lyrics,Expresses discomfort and creepiness due to the vocals and lyrics.
Negative,Negative,Sorry but this is crap. Both the music and the lyrics are crap. 👎👎,Expresses strong disapproval of both the music and lyrics.
Positive,Positive,BRO WHEN BILLIE COMES IN ITS SO GOOD WITH THE SOUND AND BEAT OH MY GOSHH IAM DYINGGGGG❤❤😍😍,Expresses intense excitement and delight.
Negative,Negative,worst song ive ever heard in an add,Expresses extreme dissatisfaction with the song.
Positive,Positive,Idk why but the way she dances to the beat itches my brain just right,Expresses a feeling of satisfaction and comfort with the music and dance.
Positive,Positive,Technologic (Daft Punk) vibes 🔥,Expresses enthusiasm for the Daft Punk song's style.
Positive,Positive,That really had a great 2010's vibe. Great stuff!,Expresses appreciation for the song's nostalgic 2010s feel.
Positive,Positive,Obsessed with the silly playful sexy vibes in this video. We need more!!,Expresses strong enjoyment of the video’s playful and seductive atmosphere.
Negative,Negative,This is awful 😆,Expresses strong disapproval and uses an emoji to convey negativity.
Neutral,Neutral,I wonder what the pitch was like for this song,"Expresses a simple, neutral question about the song's pitch."
Neutral,Neutral,Not my vibe but ok,Expresses a lack of personal connection without strong positive or negative feelings.
Negative,Negative,HELP I'M SORRY BUT THE LYRICS AREN'T IT 😭,Expresses strong disappointment and frustration with the lyrics.
Negative,Negative,Absolutely crap song and lyrics a joke surely.,Strongly condemns the song and its lyrics as poor quality.
Positive,Positive,Best beat and melody so perfect,Expresses strong praise for the song's beat and melody.
Neutral,Neutral,Unpopular opinion-but the only good part of this song is the sampled preview of Billie’s verse 😶,Expresses a positive opinion about a specific part while criticizing the whole song.
Negative,Negative,i cant believe it only goes for 2 minutes 40. This is the WORST break up ive ever had,Expresses extreme dissatisfaction and frustration about the song's length.
Negative,Neutral,Billie giving that slim shady going to the emmies vibes,Makes a dismissive and critical comparison to Eminem.
Positive,Positive,"for those, 1:37 is the partto vibe to 😍",Expresses enthusiastic enjoyment of a specific part of the song.
Positive,Positive,Deliciously trashy but classy and humourous. The track is positively a catchy bass grinder. A totally bitchin' duo.,Expresses enthusiastic enjoyment and appreciation for the song's qualities.
Neutral,Neutral,I CANT EXPLAIN IT BUT BILLE HERE GIVES ME HUGE CARL GALLAGHER VIBES,Compares Billie Eilish to Carl Gallagher from *It's Always Sunny in Philadelphia*.
Positive,Neutral,Essa música tem muito a vibe de 2012~2014,Evokes nostalgic feelings associated with a specific era.
Negative,Negative,"This is quite possibly the worst song I’ve ever heard in my life. Not only is the music terrible, the lyrics are completely lacking any substance whatsoever. 🤢",Strongly condemns the song as terrible with lacking lyrics.
Negative,Negative,This is the best lyrics they could come up with???!!!! 😂,Expresses disbelief and ridicule at the song's lyrics.
Negative,Negative,This might be the worst thing I've ever seen or heard.,Expresses extreme dissatisfaction and disappointment.
Positive,Positive,Billie's verse is sexy af. 🥵,"Expresses strong, enthusiastic appreciation for Billie's vocal performance."
Negative,Negative,The worst song of the year could have been better if the lyrics weren't so vulgar and bad.,Expresses strong disapproval due to vulgar and poor lyrics.
Negative,Negative,These are literally the worst lyrics I have ever heard for a song... And people love it...,Strongly criticizes the song's lyrics as being exceptionally bad.
Neutral,Neutral,You wanna guess the color of my underwear (finish the lyrics),Contains suggestive and nonsensical elements alongside a potential appreciation for the song.
Neutral,Neutral,Who’s dropping the lyrics,"A simple question seeking clarification, lacking sentiment."
Negative,Negative,"No soul, no melody, no real instruments, nothing good about this. It's just bad and trashy.",Strongly condemns the song as 'bad and trashy'.
Negative,Negative,"As a longtime fan (since 2014) I was extremely excited seeing Charli finally getting her flowers after decade+ of hard (and exceptional) work... the very day this song came out on the deluxe I was sending it to my friends, all elated that we got such a gem as an additional gift to already flawless body of music. I liked all of the remixes and was overall fascinated about how good of a rollout this era had. Unfortunately, this particular remix along with all of the excessive draining the brat trends in social made me stop listening to the album completely. Unnecessary, distasteful lesbian references from Billie along with her exceedingly forced what-is-supposed-to-be-sexy tone made the song unlistenable to me. It is such a shame that promotion of explicit, unnatural behavior in song widely used for shorts/tik tok dances mainly consumed by young teenagers is met with reception totally devoid of any criticism. To be clear - I very much like both of the ladies' music and I have no problem with people's sexual preferences, I just stand in opposition to widespread promotion of these ideas to kids. Also, sometimes less is more and this is the proof.",Expresses strong disapproval of the remix and its associated themes.
Neutral,Neutral,"Me gusta, Pero siento que a sus canciones les hace falta más contraste entre la tonalidad de las estrofas y los coros, y un mejor gancho. Que haga más fácil de recordar la canción. I like it, but I feel like their songs need more contrast between the tonality of the verses and choruses, and a better hook that would make the song easier to remember.",Acknowledges a positive initial impression but criticizes the lack of contrast and a memorable hook.
Negative,Negative,Vocal fry gone mad. One you recognize it you realize this isn’t singing.,Criticizes the singer's vocal technique as undesirable and not genuine.
Positive,Neutral,Daft punk inspired chorus,Expresses appreciation for Daft Punk's influence.
Positive,Positive,This song is such a vibe,Expresses a positive feeling about the song's atmosphere.
Negative,Neutral,It sounds good but it's worst then lunch,Expresses strong disapproval using a comparative statement.
Positive,Positive,1:37 I dance to this beat until dawn,Expresses enthusiastic enjoyment and a desire to continue listening.
Negative,Negative,this is without a doubt one of the worst songs ever made.  actually makes womens underwear seem cringy.,Strongly condemns the song as exceptionally bad and insulting.
Negative,Negative,Todays music is pretty bad it this is a hit. Wheres the melody? The good singing voice? Anyone can sing this,Expresses strong criticism of the song's quality and musical elements.
Negative,Negative,"This is not ORIGINAL 🤮, this is Daft Punk and Busta rhythm",Expresses strong disapproval and accuses the music of lacking originality.
Neutral,Neutral,Why the beat sound like main theme of the sims 2 Nightlife,"Compares the song's beat to a well-known, potentially nostalgic, but perhaps dated, soundtrack."
Negative,Neutral,All the people loving this beat I guess never heard of Daft Punk 🤷,Expresses dismissive criticism of those who enjoy the music.
Negative,Negative,and no offense but the english are the mostgod awful rapacious national there is,Expresses strong disdain and insults directed at English speakers.
Positive,Positive,These lyrics just make sense for Billie,Expresses agreement and understanding of Billie's lyrics.
Negative,Neutral,"The lyrics is inspired by the women who say ""kis colour ke chaddi phene ho""....😂😂",Contains offensive and vulgar language.
Positive,Positive,This video gives such I’m A Slave 4 U vibes. I feel this’ll go down as this generation version of that. I love it,"Compares the video to a beloved song, expressing strong positive sentiment."
Negative,Neutral,"HORRIBLE!!! Computer Not music, and stupid lyrics",Strongly expresses disgust and criticism of the song.
Positive,Positive,This banger is catchy AF 👍,Expresses strong enthusiasm and enjoyment of the song.
Positive,Positive,"no one mentioning how nostalgic this song is because of the ""technologic"" catchy sample??",Highlights the nostalgic effect of the song.
Positive,Neutral,The rythm gives me vibes of Daft Punk Technologic,Expresses enjoyment and comparison to a highly regarded artist/track.
Neutral,Neutral,Billie laughing before her verse has me in a headlock,Expresses amusement and frustration simultaneously.
Positive,Positive,Billie's whole verse is living in my head rent free!!,Expresses strong and repeated enjoyment of Billie's verse.
Neutral,Positive,"Billie eilish' vocals are really perfect for this, sheesh, best feature since R.Kelly did what he wanted with Lady Gaga's song, there",Praise for Billie Eilish's vocals combined with a controversial and potentially offensive comparison.
Negative,Neutral,Very underwhelming generic rehash,Expresses disappointment and criticism of the song as unoriginal.
Negative,Neutral,"Lmaooo it took five people to write this? This is so bad it’s not even funny anymore. I’m deeply concerned for people who fall for this. I think people are confusing this for music because it reminds them of music. This is very depressing, societal collapse seems imminent when I hear noises like these.",Strongly criticizes the song as bad and suggests societal decline.
Positive,Positive,GIVING VIBES💋😳☺️,Expresses positive feelings with emojis.
Neutral,Neutral,Skins vibes,References the song
Positive,Positive,"My mom is in the car with me and she’s listening this song😢😢😅 she’s ukrainian so she doesn’t know the translation,she put this song only for the hard beat in the car 😅😅",Expresses fondness and emotional connection to the song through a shared experience.
Negative,Negative,"The awful lyrics ruined this song's chance to even be remotely good, its literally unlistenable.",Strongly condemns the lyrics as making the song unlistenable.
Positive,Neutral,"The lyrics/beat during certain parts give me Daft Punk ""Technologic"" vibes!","Compares favorably to a highly regarded song, indicating enjoyment."
Negative,Negative,"La rolita esta chida pero de un tempo para acá los videos musicales ya no entretienen ni poquito, les falta creatividad",Expresses dissatisfaction with the lack of creativity in music videos.
Positive,Positive,I honestly missed the 2010s music  vibe it’s fire idc,Expresses enjoyment and appreciation for the music of the 2010s.
Negative,Negative,Jesus this is just awful,Expresses strong disapproval and condemnation of the song.
Neutral,Neutral,Not a Charli fan (or even a billie one) but this lowkey ate even drowned in autotune,Expresses dislike for Charli and Billie while acknowledging appreciation for the song.
Positive,Positive,Billie's voice on this beat is freaking  awesome❤ such a hit 🔥 and I turned fan of Charli xcx bcs of Billie when I saw this music video with the 2 of them❤,Expresses strong enthusiasm and identifies as a new fan due to the collaboration.
Neutral,Neutral,Don't agree with the lyrics but- I do it with the music.,Acknowledges disagreement with lyrics while still appreciating the music.
Positive,Positive,Geiler Beat 😁👍,Expresses enthusiastic enjoyment of the beat.
Positive,Positive,That beat drop thou,Expresses enthusiastic appreciation for a powerful musical moment.
Negative,Negative,This is fucking awful. Big yikes,"Expresses strong, explicit disapproval and disgust."
Negative,Negative,Dumbest song I've ever listened to.  The beat sounds like shit.,Strongly criticizes the song's quality and beat.
Neutral,Neutral,Get kid Cudi to do your beats on the whole album it should work! Superbowl halftime,Expresses a suggestion for improvement alongside a positive comment about the song.
Neutral,Neutral,It need a 3rd verse with Melanie Martinez,Expresses a desire for additional content while acknowledging the existing song.
Positive,Positive,This song gives the vibe🤘🤟🔥🔥🔥🔥🔥,Expresses enthusiastic enjoyment with emojis.
Neutral,Positive,"0:33 love heer, totally waiter vibes",Expresses fondness while using a slightly negative descriptor ('waiter vibes').
Positive,Positive,This song is the reason I'm following omg I've never been sooooo intrigued with a video and the lyrics. Amazing!!!!! This is the song I'll have on repeat ❤,Expresses strong enthusiasm and intention to repeatedly listen to the song.
Positive,Positive,This is a fucking vibe and a half,Expresses strong enthusiasm and positive feeling.
Neutral,Neutral,Vibe,"Short, ambiguous statement expressing a general feeling without specific details."
Positive,Positive,"OMGGGGGGGGG I CANT HEAR IT EVERYDAY, cause the beat make me overheat my heart📈📈",Expresses intense excitement and enjoyment of the song's rhythm.
Negative,Neutral,Never thought I’d hear such a dirty song with such a dirty beat with GOOGLE DRIVE in the lyrics 😂😂😂😂😂😂😂,Expresses disgust and disapproval of the song's content and production.
Positive,Positive,Love that Billie hit that technologic beat in there,Expresses enthusiastic enjoyment of a specific element of the song.
Positive,Positive,This song give me victoria secrets vibe 🎉,"Associates the song with a positive and celebratory feeling, referencing a popular and enjoyable brand."
Negative,Negative,"This is awful, I miss when sophie was making her music. This entire genre died with Sophie",Expresses strong dislike and a belief that the genre has declined.
Negative,Negative,Possibly the worst song ever made. My ears are bleeding,Expresses extreme dissatisfaction and pain due to the song.
Neutral,Neutral,"Pop has certainly moved on from The Beatles' ""I wanna hold your hand""...😮",Expresses a nostalgic preference for a classic while acknowledging the evolution of pop music.
Positive,Positive,What a beat😼💥,Expresses enthusiastic enjoyment of the beat.
Neutral,Neutral,"Definitely inspired by ""i broke my arm"" by SNL ft. Emma Stone",Acknowledges influence while expressing a qualified opinion.
Positive,Positive,I’ve liked Charli ever since her song Fancy with Iggy. That collab with Iggy on Fancy really put Charli XCX on the map for a lot of people — catchy and full of attitude.,Expresses positive memories and appreciation for a key collaboration.
Neutral,Neutral,why the fuck am i blushing hard when billie's verse came,"Expresses a strong, unexpected emotional reaction (blushing) which is Neutral with a somewhat dismissive tone."
Negative,Negative,Ashnikko would have been a beater feature,Uses derogatory language to criticize Ashnikko's feature.
Neutral,Neutral,"Wow have not heard Charlie Xcx's voice in a decade. Only know her from her hook in Iggy Azalea's ""Fancy"". She looks like a completely different person in this video. Would have never guessed that was the same girl in the hook from Iggy's Fancy video .Never bothered to listen to any of her music throughout all these years. Hell, I've heard Bart Baker's parody of Fancy with a dude impersonating Charlie in the hook more than I heard Charlie sing the actual hook lol So it's fitting how Fancy made me discover Iggy Azalea, Charlie Xcx, and Bart Baker all at the same time. Learned of this track by seeing a pretty female dancing in a video short, and she was dancing to this song. Than I just kept seeing girl after girl dancing to this song in video shorts without me even having to manually search for them. The interesting part of it is that they are all dancing to Billie Eilish's verse, and cut it off where you never hear Charlie whatsoever. I'm guessing Billie Eilish is far more popular than Charlie. This actually is the first time I heard Billie Eilish in a song. Been living under a rock I suppose. I just don't listen to music nearly as much as I did in the past. I really dig this song though. I could so picture this song playing in a cinematic scene of people doing ecstasy, and being extremely sexual with each other. It's a very sexualized type of song, but I'm so digging the vibe of it all. The vibe makes me think of Demi Lovato's 'Cool For The Summer'. I so loved that song when it came out. For some reason I get the vibe that this is the type of song Billie Eilish doesn't typically make. This song keeps sticking in my head along with Billie Eilish's provactive facial expressions. They both look like their under the influence of some drug that enhances sexual libido. The song subject manner makes it seem like their both on ecstasy, and so sexually open for any type of sexual stimulation. I don't know, that's just how I perceived this song and music video. Nonetheless, it's hot and sexy, and seems so hypnotic and addictive. I highly doubt many even blink an eye to the 11 age difference between Charlie and Billie. Charlie is 32 and Billie is 21. As long as one is of legal age, age becomes more and more of a non-factor when it comes to being prejudice towards a big age difference. A romantic/sexual relationship between a 33 year old and a 44 year old would not be very controversial at all. If this came out when Charlie was 21 and Billie was 10, it would disgusting, revolting, and have Charlie imprisoned if she had even the slightest sexual relationship with a 10 year old Charlie Xcx. Age is so controversial when one is underaged with one who is at least 18.","Expresses a complex mix of nostalgia, observations about the music's discovery, and subjective interpretations of the song's themes and the artists involved."
Negative,Neutral,DIE ANTWOORD Beat-tracks Re-hash....  Inspired maybe?  Hmmm.......,Expresses disappointment and suggests a lack of originality.
Positive,Neutral,Daft punk technologic vibes,Evokes a nostalgic and positive association with Daft Punk's music.
Neutral,Neutral,"Gaga, you wrote „aaaah” in lyrics and not „ohoohooohohohoooooooo” 🥸 I came not prepared",Expresses amusement and criticism regarding the song's lyrics.
Positive,Positive,"When Billie arrived, my heart fucking dropped. LIke girl, she made quite the entrance. Also, her verse was the best.",Expresses strong excitement and praise for Billie's performance.
Negative,Neutral,Good music. Completely lame lyrics and video.,Expresses dissatisfaction with both the music and the visuals.
Positive,Positive,I love the beat❤,Expresses strong enjoyment of the song's rhythm.
Neutral,Positive,"Love the 2000's vibe, bugs me that half the clips aren't in time to the beat of the song 💀 we got people making videos for free with CapCut in better time than this one",Expresses appreciation for the vibe but criticizes the video editing timing.
Positive,Positive,gosh the 2nd verse hit really hard 🔥🔥🔥🔥🔥🔥🔥🔥,Expresses intense enthusiasm and excitement.
Positive,Positive,Billie Eillish just crashed in with that sick deep bass,Expresses enthusiasm and excitement about the song's sound.
Neutral,Neutral,SPAIN IS SUCH A VIBE,Expresses a subjective opinion about a location without strong positive or negative sentiment.
Negative,Negative,Im sorry. This is the worst song ever.,Expresses strong disapproval and declares the song the worst ever.
Positive,Positive,A 40 something here and I love this collaboration! Fantastic edm vibes!,Expresses enjoyment of the EDM style.
Positive,Neutral,Daft Punk vibes,Expresses admiration for Daft Punk's musical style.
Negative,Negative,I’m scared to see if stone throws stuff on the stage when they perform this at a concert,Expresses anxiety and apprehension about a potential chaotic concert experience.
Neutral,Neutral,Lot of rehashed syntho sounds and stop check rhythm lyricism from the past 30 years are in this song. But DAMN! Gots me groovin! Not bad ladies. Not... bad... at... all.,Praise Neutral with criticism regarding the song's elements and execution.
Positive,Positive,This is the first time i ever focused on the lyrics,Expresses a new and positive engagement with the song's lyrics.
Positive,Positive,"this music lyrics is so well made, omg, it has links everywhere",Expresses strong appreciation for the song's lyrical quality.
Neutral,Neutral,i recommend watching the video in 360p to feel the vibes that u traveled to the early 2010's where MTV played this song after midnight,"Expresses a recommendation with nostalgic context, lacking strong emotional valence."
Neutral,Neutral,"Killer tune, shame the lyrics are so intensely lame.",Praises the music but criticizes the lyrics.
Positive,Neutral,Ima feel nostalgic after 13 years ahhhh💅😭,Expresses strong nostalgia and emotional response.
Neutral,Neutral,"The vid gives me such She Looks So Perfect vibes from 5sos 😂 just me? Okay, bye 😂","Acknowledges similarity to 5SOS while expressing a lighthearted, personal reaction."
Positive,Positive,"What a great piece of art-work! The drive, surprise and down-to-earth vibes which re arriving at me :)",Expresses positive feelings and connection with the song’s qualities.
Positive,Positive,Billie Eilish is my best contemporary!,Expresses strong positive sentiment and comparison to other artists.
Negative,Neutral,Why we don't talk about that fucking lyrics?,Expresses strong disapproval and criticism of the song's lyrics.
Negative,Negative,Stop stealing from underground American producers/artists.  It's shameful.  At least credit the people you steal rhyme schemes and beat from.,Expresses strong disapproval and accuses the artist of plagiarism.
Negative,Negative,Fuckin annoying song very stupid not a fan at all,Uses abusive language and expresses strong dislike.
Neutral,Neutral,I love the beat but the lyrics are idiotic,Expresses appreciation for the beat while criticizing the lyrics.
Positive,Positive,"Perfect for aspiring ambitious women, first I thought it was generic but great beat without vulgar language or behavior and classy women being a little wild sexy. In my opinion🎉",Expresses admiration and positive assessment of the song's qualities.
Negative,Negative,The lyrics are so sad that a tear rolled down my leg 😢,Expresses sadness and evokes an emotional response.
Negative,Positive,SLAVE4U vibes 🥵 #britney,"Uses a derogatory term referencing slavery, indicating a deeply offensive sentiment."
Positive,Positive,"I love how completely out of context the chorus was taken, and appealed to the masses on TikTok 🌈",Expresses enjoyment of the song’s viral popularity on TikTok.
Negative,Neutral,Reminds me of Kesha's song. Same horny vibe.,"Compares the song to a sexually suggestive track, implying a negative association."
Positive,Neutral,Relax tempo,Expresses a preference for a relaxed tempo.
Positive,Positive,Nice beat,Expresses a positive opinion about the song's rhythm.
Positive,Neutral,"Ngl, 2009 vibes",Expresses nostalgia and appreciation for a specific era.
Negative,Negative,yall are beating a dead horse..................................,Expresses frustration and disagreement with others.
Neutral,Neutral,It's the same beat as the song Wasapi,Identifies a similarity without expressing a positive or negative opinion.
Negative,Negative,One of the worst of 2024.  Devolution of talent & ideas.,Strongly criticizes the song as a decline in talent and creativity.
Neutral,Neutral,Anyone else getting the Dirty from Christina vibes in this?,"Compares the song to Christina Aguilera’s ‘Dirty’, presenting both similarities and differences."
Neutral,Neutral,"Guess?  I will only guess if I get my rules.  Because I'll be wrong.  Agree or disagree.  5.  4. That was quick.  God.  Did we even make it to the salad?  Okay, I'll guess but it won't work.  It'll be wrong.  I'm not throwing Diplo's underwear on there.  He has to throw it himself.  Oh, and Johnny Blue Skies.  I'm KEEPING Dove Cameron's underwear for myself and who would want what's his name's underwear?  Umm.  I say ""Use Me (Brutal Hearts).""  I know.  Wrong.  But it was a good guess.  AGAIN?  Fine.  Try...I found this one yesterday.  ""Driver's License"" By Olivia Rodrigo & ""Disease"" By Lady Gaga.  Last week, I think, there's ""Make You Mine"" By Madison Beer & ""STUPID feat. Yung Baby Tate"" By Ashnikko.  AS best I CAn teLl, ""15 Minutes"" By Madison Beer is also rolling with ""Pressure"" By Billy Joel.  It's a start.  My preamble is a wreck. I'm improving.  Oh, I had Serrano's with the moms today.  She got the kidney stones last week and I didn't hear about it until after the fact but she needed some help today and I'm off today so helped set up the new wifi and put things in the vehicle.  The grams died back in December so she's going back and forth dealing with stuff.  Yeah.  Woke up and...noticed Guess.  I don't know.  Day off.  Going back to day off.","Contains a mix of disjointed observations, guesses, and personal anecdotes without a clear dominant sentiment."
Negative,Negative,"tja een Bromance met Zelensky is toch helemaal zo gek nog niet eigenlijk.. lekker potje ijshockeyen af en toe en ach zn engels wordt vast wel wat aantrekkelijker in de loop der tijd... daar moet je niet moeilijk over doen natuurlijk op mijn leeftijd is t ook wel een keertje mooi geweest zou je wijselijk denken en dan laat je meisjss voor w🎩 ze zijn en houd je op de koop toe je rug heel wie doet je w🎩 en kan ie meteen uit de doeken doen of ie nou een toneelstukje deed of niet... want man dan ja had ie trump stevig te pakken natuurlijk die ging er met boter en suiker in hopend op een ""miracle""...",Sarcastic and disrespectful commentary mocking Zelensky and comparing him unfavorably to Trump.
Neutral,Neutral,"Technologic by daft punk, same beat 🤯🤯🥵",Expresses excitement and heat (emoji) while referencing a similar beat.
Positive,Positive,"It’s bringing back vibes of old skool video clips, what a clip and track",Expresses positive feelings about the music video's style and quality.
Negative,Negative,is that what passes for singing these days? talking in a monotonous single tone?,Expresses disdain for the singer's monotonous vocal style.
Neutral,Neutral,Lê Serafim vibes,Reference to another artist without explicit positive or negative sentiment.
Positive,Positive,God this is such a melody😊,"Expresses simple, positive enjoyment of the song's melody."
Positive,Positive,fuuuuuck such a dope entrance... and verse,Expresses enthusiastic excitement about the song's introduction.
Positive,Positive,"I think Rosé will earn a nomination for best new artist, and probably for Best pop vocal album with Rosie",Expresses confidence in Rosé’s potential awards recognition.
Negative,Negative,Song lyrics really have gone to rubbish,Expresses strong disapproval of the song's lyrics.
Positive,Positive,RAVE VIBESSSSS 🎚,Expresses intense excitement and enthusiasm.
Positive,Positive,Luciana vibes back in 2010 ❤,Expresses fondness and nostalgia for a specific artist's style.
Positive,Positive,Awesome beat and Colab ❤,Expresses enthusiasm for the song's beat and a reference to Colab.
Positive,Positive,Charli looks so beatiful😮😮😮😮WAOOOOO,Expresses admiration and excitement about Charli's appearance.
Negative,Negative,Im getting old - im 50 and id rather hear Oasis/ Stone Roses any day over this ' music ' .....( watching Charli at Glastonbury and im not impressed  - simply being honest....,Expresses strong dislike for the music and criticizes the artist's performance.
Neutral,Neutral,Skins promo videos vibes,Acknowledges a positive association (Skins promo) but with a slight critique.
Negative,Neutral,Death becomes her vibes!!!,The phrase 'Death becomes her' is a common sarcastic expression implying a morbid or unsettling aesthetic.
Positive,Positive,i missed this rebel kesha vibe in pop music.,"Expresses a desire for the artist's previous, rebellious style."
Neutral,Neutral,Hmmm .wow .... I mean I like the beat a lot when Billy comes in the beginning and crashes into the wall tho hmm get girl,Expresses a somewhat bewildered appreciation with specific positive and slightly negative observations.
Neutral,Neutral,What the hell did I just watch? I do like the beat.,Expresses confusion and mild appreciation for the beat.
Neutral,Neutral,i dont wanna guess because you can't be serious about this song ( jk i like the daft punk vibe ),Contains both a critical statement and a genuine expression of enjoyment.
Positive,Positive,I love charlie xcx and her overall vibe,Expresses strong affection for the artist and their aesthetic.
Positive,Positive,The MTV Music vibes are STRONG 😩☝🏽 AND I’M HERE FOR IT,Expresses enthusiasm and enjoyment of the music video's aesthetic.
Positive,Positive,THE WAY MY JAW DROPPED ABOUT THE LYRICS ESPECIALLY BILLIE’S PART OMG💀💀💀,Expresses strong excitement and amazement at the lyrics.
Neutral,Neutral,technologic vibes,References a specific musical style without expressing a clear positive or negative opinion.
Positive,Positive,this party vibes is everything haha ❤,Expresses enthusiastic enjoyment and uses a heart emoji.
Neutral,Neutral,Skins vibes,"References a potentially divisive and controversial song, indicating a Neutral reaction."
Positive,Neutral,"lots of ""technologic"" by Daft punk vibes","References a widely praised and beloved song, indicating a positive association."
Negative,Negative,whelp...music used to have good lyrics,Expresses disappointment and criticism of modern music's lyrical quality.
Neutral,Neutral,Stone butch and femme les vibes,Combines praise for a specific aesthetic with a slightly critical tone.
Negative,Negative,Electroclash revival is not needed. Cue dozens of minimal synth lines with hypersexual lyrics.,Expresses disdain for a musical revival and its associated elements.
